geo,public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-16T15:23:08.000Z,699614998897758208,"টনা-টুনি অফারে রেডমি নোট থ্রি, সঙ্গে পিস্টন থ্রি, ব্যাক কাভার ও টেম্প ... #technology #iphone #fantastic http://someurl",everyone,699614998897758208,357 Social Rabbit,4819500808,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-16T13:10:33.000Z,699581633331142656,"টনা-টুনি অফারে রেডমি নোট থ্রি, সঙ্গে পিস্টন থ্রি, ব্যাক কাভার ও ট ... #gadgets #technology #fantastic http://someurl",everyone,699581633331142656,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-16T11:45:00.000Z,699560102580191232,"টনা-টুনি অফারে রেডমি নোট থ্রি, সঙ্গে পিস্টন থ্রি, ব্যাক কাভার ... #fantastic #technology #electronics http://someurl",everyone,699560102580191232,146 Social Rabbit,3036808727,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-16T06:16:36.000Z,699477459025195008,"গ্যাজেট গ্যাং সেভেনের ভ্যালেন্টাইন টোনা-টুনি উৎসব চলছে এখনো, চলবে ... #gadgets #fantastic #technology http://someurl",everyone,699477459025195008,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-16T04:52:18.000Z,699456245003128832,"গ্যাজেট গ্যাং সেভেনের ভ্যালেন্টাইন টোনা-টুনি উৎসব চলছে এখনো, চলবে আগামী ... #tech #fantastic #gadget http://someurl",everyone,699456245003128832,146 Social Rabbit,3036808727,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-09-02T04:32:32.000Z,638932495132684289,আজ বন্ধুদের সাথে অনেক মজা হল। কারন দীর্ঘ  ১ বছর পর সবাই এক সাথে কোন জায়গায় বেড়াতে গেলাম। at #Fantastic water kingdon — feeling excited,everyone,638932495132684289,Facebook,2894798233,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-07-05T23:32:30.000Z,617838495730536448,"@someuser টুইটারে লাইক থাকলে, একটা লাইক দিতাম। #fantastic #Line",everyone,617821347679334401,Mobile Web (M2),552192237,bn,#fantastic,"[{'type': 'replied_to', 'id': '617821347679334401'}]",2830591879
,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-07-04T06:20:09.000Z,617216305888784385,"Beyond expectations ! @someuser #BKPK TT এর পর যে এত cute একটা গান আমাদের জন্য অপেক্ষা করছিল,ধারনাই ছিল না। #Fantastic #TorEkKothaye",everyone,617215011300077568,Twitter for Windows Phone,383817846,bn,#fantastic,"[{'type': 'replied_to', 'id': '617215011300077568'}]",634299946
{'place_id': '9f4e63426a3f3da2'},"{'retweet_count': 2, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2015-07-04T06:15:00.000Z,617215011300077568,"#BKPK TT এর পর যে এত cute একটা গান আমাদের জন্য অপেক্ষা করছিল,ধারনাই ছিল না। #Fantastic #TorEkKothaye",everyone,617215011300077568,Twitter Web Client,634299946,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-05-03T08:01:07.000Z,594773669924249600,#fantastic song by #bappa mozumdar....| | উতলা এই মন কি ভাবে সারাখন| তুমি কি মনটা বোঝো?| বাহিরে ভিতরে কি যে আগুন... http://someurl,everyone,594773669924249600,Facebook,2781729224,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-04-25T03:24:04.000Z,591804842563211264,আজ সকাল থেকে বাহিরের #Weather  টা অনেক ঠান্ডা আর ঝিরঝির অঝর ধারায় বৃষ্টি ঝরেই যাচ্ছে।| #cool| #fantastic| #Romantic... http://someurl,everyone,591804842563211264,Facebook,284980152,bn,#fantastic,,
,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-02-18T10:54:14.000Z,568000533774123008,"বেশ বেশ বেশ, সাবাশ #বাংলাদেশ| #FANTASTIC #RISEOFTHETIGERS| #cwc15 #BANvAFG http://someurl",everyone,568000533774123008,Facebook,230642490,bn,#fantastic,,
