in_reply_to_user_id,lang,public_metrics,id,text,author_id,referenced_tweets,reply_settings,created_at,conversation_id,source,search_query,geo
,nl,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814147192910970880,RT @someuser Ook @someuser prijkt met een reclamebord aan de zijde rond het voetbalveld.  #sc_doesburg #dankjewel #super http://someurl,2930095384,"[{'type': 'retweeted', 'id': '814094207166070784'}]",everyone,2016-12-28T16:33:11.000Z,814147192910970880,Twitter for Android,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814138389956005888,Veel dank vrijwilligers van @someuser voor E-toernooi zaalvoetbal in @someuser Prima sfeer #super! http://someurl,783030332,,everyone,2016-12-28T15:58:12.000Z,814138389956005888,Twitter for iPhone,#super,
92045258,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814136095675924484,@someuser dat is bijna 20 euro per @someuser medewerker toch? #super top!,757880171064164352,"[{'type': 'replied_to', 'id': '814118174815875072'}]",everyone,2016-12-28T15:49:05.000Z,814118174815875072,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",814135390273732609,Vandaag alert Blokker. Meerdere hulpverleners ter plaatse #super#burgeraed #hartslagnu. Slachtoffer met ademhaling naar ziekenhuis. Dank!,1606413535,,everyone,2016-12-28T15:46:17.000Z,814135390273732609,Twitter for Android,#super,
,nl,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",814094207166070784,Ook @someuser prijkt met een reclamebord aan de zijde rond het voetbalveld.  #sc_doesburg #dankjewel #super http://someurl,274605033,,everyone,2016-12-28T13:02:38.000Z,814094207166070784,TweetCaster for Android,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",814076756080623616,Over een paar weekjes weer naar #ibiza voor de nieuwe #ibiza #app 📱#super 😎by #willmediaibiza... http://someurl,272428347,,everyone,2016-12-28T11:53:18.000Z,814076756080623616,Instagram,#super,"{'place_id': 'e8bc70a6afc003cb', 'coordinates': {'type': 'Point', 'coordinates': [6.58098221, 52.23121655]}}"
1179459210,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814063456961908736,@someuser organiseert een #SUPER #VLOOIENMARKT op ZONDAG 8 JANUARI in #ZUNDERT| http://someurl http://someurl,352947551,,everyone,2016-12-28T11:00:27.000Z,814063456961908736,Twitter Web Client,#super,
1179459210,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814060223992369153,@someuser organiseert een #SUPER #VLOOIENMARKT op ZONDAG 8 JANUARI in Loon op Zand| http://someurl http://someurl,352947551,,everyone,2016-12-28T10:47:36.000Z,814060223992369153,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814053030593253376,OOK TIJDENS DE #LOSSE #VERKOOP| GELDEN ONZE #SUPER #STUNTAANBIEDINGEN!| http://someurl http://someurl,352947551,,everyone,2016-12-28T10:19:01.000Z,814053030593253376,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814050539013074945,#super fine black girl teen gratisxxx http://someurl,1328216522,,everyone,2016-12-28T10:09:07.000Z,814050539013074945,Twitter Web Client,#super,
,nl,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814035537749311488,RT @someuser Eigen regie en #samenbeslissen blijven ook in 2017 hoog op de agenda staan van @someuser aldus @someuser #super en een goed...,1866859442,"[{'type': 'retweeted', 'id': '813817549272006660'}]",everyone,2016-12-28T09:09:30.000Z,814035537749311488,Twitter for iPhone,#super,
187837328,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814014113345048576,"@someuser mijn dag kan niet meer stuk met Cuby and the Blizzards en daarna Yes, mijn bands. #genieten #super",358711147,,everyone,2016-12-28T07:44:22.000Z,814014113345048576,Twitter for iPhone,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",813842949318414336,Oef... Wat een topspul! Blijft een goeie tip van @someuser @someuser #super 💪 http://someurl,769422788,,everyone,2016-12-27T20:24:14.000Z,813842949318414336,Instagram,#super,
,nl,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}",813817549272006660,Eigen regie en #samenbeslissen blijven ook in 2017 hoog op de agenda staan van @someuser aldus @someuser #super en een goed 2017 gewenst!,518645060,,everyone,2016-12-27T18:43:18.000Z,813817549272006660,Twitter for Android,#super,
22138921,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",813806452615815168,"@someuser een topping erbij, is niet er 1 af, nu heb ik helemaal geen kaas op mn pizza! #super #fail http://someurl",13198322,,everyone,2016-12-27T17:59:12.000Z,813806452615815168,Twitter for iPhone,#super,
,nl,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813760234816684032,RT @someuser Ook het reclamebord van @someuser prijkt vol #trots langs ons hoofdveld bij #sc_doesburg! @someuser @someuser #super #d...,2930095384,"[{'type': 'retweeted', 'id': '813305419741405184'}]",everyone,2016-12-27T14:55:33.000Z,813760234816684032,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",813742782737186816,Vieuw | |  #super http://someurl,4699763293,,everyone,2016-12-27T13:46:12.000Z,813742782737186816,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813341891479662592,renee zelwigger nude #super troopers naked http://someurl,2847321745,,everyone,2016-12-26T11:13:12.000Z,813341891479662592,Twitter Web Client,#super,
,nl,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",813305419741405184,Ook het reclamebord van @someuser prijkt vol #trots langs ons hoofdveld bij #sc_doesburg! @someuser @someuser #super #dank http://someurl,274605033,,everyone,2016-12-26T08:48:17.000Z,813305419741405184,TweetCaster for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",813300512296726528,Na een #goed 2016 hopen wij op een #super 2017 http://someurl,1978971211,"[{'type': 'quoted', 'id': '813111995415269376'}]",everyone,2016-12-26T08:28:47.000Z,813300512296726528,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813272978909786112,old teen sex #super teens http://someurl,198247413,,everyone,2016-12-26T06:39:22.000Z,813272978909786112,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813204156932648961,#super sex bravo teens  teen school sex story http://someurl,2468982282,,everyone,2016-12-26T02:05:54.000Z,813204156932648961,Twitter Web Client,#super,
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813104445995237376,RT @someuser Vanmiddag voor de 1e keer t blad van @someuser ontvangen én gelezen. In 1 woord #SUPER! 🖒,410215674,"[{'type': 'retweeted', 'id': '812790892973133825'}]",everyone,2016-12-25T19:29:41.000Z,813104445995237376,Twitter for Android,#super,
,nl,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813082167874060288,RT @someuser Ook Carconcept prijkt aan de zijlijn van ons mooie kunstgrasveld van #sc_doesburg #trots #super http://someurl,2930095384,"[{'type': 'retweeted', 'id': '812601378162016256'}]",everyone,2016-12-25T18:01:09.000Z,813082167874060288,Twitter Web Client,#super,
964723081,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",812993642075979776,"@someuser Ja dat vergat ik nog #super, en dochter kijkt elk jaar opnieuw naar The sound of music ;)",1886674916,"[{'type': 'replied_to', 'id': '812990694348509184'}]",everyone,2016-12-25T12:09:23.000Z,812989378175889408,Twitter for Android,#super,
1273233576,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812954799641653248,@someuser Rock n roll ademend alsof het niets is. Amai #super,702904826758299649,"[{'type': 'replied_to', 'id': '812948659721666561'}]",everyone,2016-12-25T09:35:02.000Z,812947771326169088,Twitter Web Client,#super,
118312427,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812866074211389440,@someuser Ja!!! En voor jou ook! We gaan er zeker een paar samen maken!! #Super #Reizen #Fun,1549026217,"[{'type': 'replied_to', 'id': '812865280712052737'}]",everyone,2016-12-25T03:42:29.000Z,812857797662609409,Twitter for Android,#super,{'place_id': '173c2bb9d42baaa5'}
,nl,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",812790892973133825,Vanmiddag voor de 1e keer t blad van @someuser ontvangen én gelezen. In 1 woord #SUPER! 🖒,2460235459,,everyone,2016-12-24T22:43:44.000Z,812790892973133825,Twitter for Android,#super,
457834821,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812745592413765632,@someuser @someuser @someuser @someuser @someuser @someuser helemaal Top Dionne  @someuser #super goed gedaan meiden,994479600,"[{'type': 'replied_to', 'id': '812741976655298560'}]",everyone,2016-12-24T19:43:43.000Z,812741976655298560,Twitter for iPhone,#super,{'place_id': '8cb67e5457853086'}
,nl,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 12, 'quote_count': 0}",812745003739049984,Wat een feest. Bedankt allemaal #twitkerst #super http://someurl,236046907,,everyone,2016-12-24T19:41:23.000Z,812745003739049984,Twitter for Android,#super,
,nl,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812624096831963136,RT @someuser: Dagmar en Gaia @someuser lakken nagels bij leerlingen en collegas #donatie @someuser #super! geïnspireer...,104202565,"[{'type': 'retweeted', 'id': '812244057401520128'}]",everyone,2016-12-24T11:40:57.000Z,812624096831963136,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812612308325269504,We sluiten een #super#kerstpakket #seizoen af. We wensen iedereen hele Fijne Feestdagen en een gezond 2017. Voor... http://someurl,206751055,,everyone,2016-12-24T10:54:06.000Z,812612308325269504,Facebook,#super,
,nl,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812601378162016256,Ook Carconcept prijkt aan de zijlijn van ons mooie kunstgrasveld van #sc_doesburg #trots #super http://someurl,274605033,,everyone,2016-12-24T10:10:40.000Z,812601378162016256,TweetCaster for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812505126749532161,sex teen tv #super sxxx http://someurl,325159581,,everyone,2016-12-24T03:48:12.000Z,812505126749532161,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812494891800530945,Guido Weijers bij 3FM Serious Request #super  geweldig! Breda de mooiste stad van Brabant #BAMM #SR16 #TEAMTIJN... http://someurl,242444267,,everyone,2016-12-24T03:07:32.000Z,812494891800530945,Facebook,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812473972163899392,#Super #saver #Snow Joe MELT25EB-BKT 25-lb Flip-Top #Bucket W/Scoop #Melt #Premium... http://someurl,792317482635669504,,everyone,2016-12-24T01:44:24.000Z,812473972163899392,Google,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812402150756204548,#super sexy non nude teen teen xxx ics http://someurl,514167720,,everyone,2016-12-23T20:59:01.000Z,812402150756204548,Twitter Web Client,#super,
17616130,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812377173650771968,@someuser #Super Bedankt @someuser voor de Geweldige Magic Night op 23 Juni 2016 want ik zag de geweldige band @someuser Thank You 😘,4758321694,,everyone,2016-12-23T19:19:46.000Z,812377173650771968,Twitter for iPhone,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812351910376275969,#super sexy teens nude teenshavingsexwithteens http://someurl,29519956,,everyone,2016-12-23T17:39:22.000Z,812351910376275969,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812350871338176516,Wens iedereen #super #gezellige #kerstdagen en een #heelfijn #2017! http://someurl,895973688,,everyone,2016-12-23T17:35:15.000Z,812350871338176516,Twitter for Android,#super,{'place_id': 'ed7ecd6a755211bb'}
118026200,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",812349084807954432,@someuser Is Operatie Leunstoel ook in boekvorm te verkrijgen of alleen ebook? (De andere drie boeken zijn super!!) #Super,217229986,"[{'type': 'replied_to', 'id': '812334478135881728'}]",everyone,2016-12-23T17:28:09.000Z,812334478135881728,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",812348214041047040,Wat een top service van @someuser mijn pakketje zojuist ontzettend snel geleverd! #super,174820888,,everyone,2016-12-23T17:24:41.000Z,812348214041047040,Twitter for iPhone,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812308855099101184,Sinds gisteravond is Zoya van #natuurlijkenagellak ook te koop in #Haarlem bij Players Lounge Haarlem #super http://someurl,114498132,,everyone,2016-12-23T14:48:17.000Z,812308855099101184,Twitter for iPhone,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",812301829119889408,"Wat een #super dag!| Na 2,5 jaar de #portacath eruit!| Ongelooflijk snel alweer naar huis dus nu een échte kerstvakantie! #leukemie #klaar http://someurl",1864545955,,everyone,2016-12-23T14:20:22.000Z,812301829119889408,Twitter for iPhone,#super,{'place_id': '7837201237424454'}
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812245658535165952,#SUPER #In1keer #Geslaagd van harte gefeliciteerd met het behalen van je #Rijbewijs echt goed heel gedaan. Heel... http://someurl,905700391,,everyone,2016-12-23T10:37:10.000Z,812245658535165952,Facebook,#super,
,nl,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 5, 'quote_count': 1}",812244057401520128,Dagmar en Gaia @someuser lakken nagels bij leerlingen en collegas #donatie @someuser #super! geïnspireerd door #Tijn http://someurl,242764604,,everyone,2016-12-23T10:30:48.000Z,812244057401520128,Twitter for iPhone,#super,
,nl,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812241332882247680,"RT @someuser: @someuser Als die kiezers dat nu ook door gaan krijgen, zal het toch wel weer veranderen? #super-rich",20235082,"[{'type': 'retweeted', 'id': '812203199033724928'}]",everyone,2016-12-23T10:19:59.000Z,812241332882247680,Twitter for iPhone,#super,
1175458813,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",812208590979301376,@someuser heeft zich bij @someuser wederom aangemeld als #matchmaker voor op ons #vmbo #beroepenfeest Dat vinden wij #super 👍🏼,2359631059,,everyone,2016-12-23T08:09:52.000Z,812208590979301376,Twitter for iPhone,#super,
20235082,nl,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",812203199033724928,"@someuser Als die kiezers dat nu ook door gaan krijgen, zal het toch wel weer veranderen? #super-rich",125266182,,everyone,2016-12-23T07:48:27.000Z,812203199033724928,TweetDeck,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812199992207306752,#super slim diet pill munt brasschaat online shop,591875570,,everyone,2016-12-23T07:35:42.000Z,812199992207306752,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812189757090529280,Dat je het Kerstdiner overleeft. En niet een maand verdrietig bent! #SUPER,148532033,,everyone,2016-12-23T06:55:02.000Z,812189757090529280,Twitter Web Client,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812113508007636996,#Springuhhhh #Breda tis weer #Super om naar te kijken #SR16,234927077,,everyone,2016-12-23T01:52:03.000Z,812113508007636996,Twitter for Android,#super,
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812053163234705408,Vandaag #kerstpakket ontvangen! Ziet er weer #super uit. Royaal gevuld met lekkere spullen. Dank... http://someurl,210411109,,everyone,2016-12-22T21:52:15.000Z,812053163234705408,Instagram,#super,"{'place_id': 'c30f7c99f0509d46', 'coordinates': {'type': 'Point', 'coordinates': [5.93333, 52.95]}}"
,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812046367472439296,#super prestatie om deze namen bijelkaar te krijgen #festival @someuser http://someurl,158659319,,everyone,2016-12-22T21:25:15.000Z,812046367472439296,Twitter for iPhone,#super,{'place_id': '308031c48664e2bb'}
,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",812003789234438144,Wat waanzinnig mooi!!!! #gaaf #geweldig #super #fantastic http://someurl,577306381,,everyone,2016-12-22T18:36:04.000Z,812003789234438144,Instagram,#super,
54997497,nl,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811993535083905024,@someuser dank je wel!! Wij maken er gewoon een meisjesnaam van!! 😀👍🏻 leuk toch 😀 #super #Day,210528100,"[{'type': 'replied_to', 'id': '811980309399044096'}]",everyone,2016-12-22T17:55:19.000Z,811980309399044096,Twitter for iPhone,#super,
,nl,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",811972599249076224,En dit pakje had ik al opengemaakt voor de #twitkerst #super #bedankt! http://someurl,236046907,,everyone,2016-12-22T16:32:08.000Z,811972599249076224,Twitter for Android,#super,
