lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,in_reply_to_user_id,referenced_tweets,geo
nl,814878792372154368,814878792372154368,2016-12-30T17:00:18.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",46343531,Twitter for iPhone,"Nog een weekje geduld, pfff...#happy #ongeduldig #seat #mynewride http://someurl",everyone,#happy,,,
nl,814872055049060352,814872055049060352,2016-12-30T16:33:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2863345090,Instagram,Miauw #cat #feelgood #happy #miauw http://someurl,everyone,#happy,,,
nl,814867579059785728,814867579059785728,2016-12-30T16:15:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",773886027475914752,Twitter for Android,a hirn mit haar is wie a hodn #faschingsverkleidung #happy #year #jokes,everyone,#happy,,,
nl,814859678672977920,814859678672977920,2016-12-30T15:44:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1283619152,Twitter for Android,@someuser #Happy Birthday vriendin ek hoop jy het n lekker dag so ver,everyone,#happy,1542937507,,
nl,814849714034212864,814849714034212864,2016-12-30T15:04:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",250783361,Twitter for Android,TIP VAN DE CHEF KOK Momi voor vanavond #happy #vrijdag #avond zijn nog aantal tafels vrij voor u vanavond http://someurl #diner http://someurl,everyone,#happy,,,
nl,814842092778299392,814842092778299392,2016-12-30T14:34:28.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",251071204,Twitter for iPhone,RT @someuser De laatste 2016 klus is gereed! Alte Herren en OWsome vrijwilligers hebben een nieuwe single track aangelegd achter de go...,everyone,#happy,,"[{'type': 'retweeted', 'id': '814807630006939648'}]",
nl,814807630006939648,814807630006939648,2016-12-30T12:17:32.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",741335416616439808,Twitter for iPhone,De laatste 2016 klus is gereed! Alte Herren en OWsome vrijwilligers hebben een nieuwe single track aangelegd achter de golfbaan #Happy💥2017💥 http://someurl,everyone,#happy,,,{'place_id': '276185b7451c4ee6'}
nl,814781571807014912,814781571807014912,2016-12-30T10:33:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",101551027,Twitter for Android,#top2000 heerlijk genieten. Elk jaar weer. Ga zo Door.  De mooiste week van het jaar. #happy,everyone,#happy,,,
nl,814778030212186112,814778030212186112,2016-12-30T10:19:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",348606842,Instagram,"Mensen die je dag nog een beetje maken.....  | #retrica #happy #friends. @ Gent, Belgium http://someurl",everyone,#happy,,,"{'place_id': '67687709552688fe', 'coordinates': {'type': 'Point', 'coordinates': [3.7333, 51.05]}}"
nl,814761337117151232,814761337117151232,2016-12-30T09:13:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",731208889,Twitter Web Client,"Blije Klant #happy, Dat is dus http://someurl http://someurl",everyone,#happy,,,
nl,814752882000064513,814759032204431360,2016-12-30T09:04:25.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",199602296,Twitter for iPhone,@someuser dan ga ik vanmiddag vol gas winkelen en vanavond sushi eten! #happy,everyone,#happy,4698548480,"[{'type': 'replied_to', 'id': '814758200054607872'}]",
nl,814746661109067777,814746661109067777,2016-12-30T08:15:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",113341083,Hootsuite,#Happy ICT. Ook een klik met de ICT van Solipsis in 2017 ervaren? Lees verder: http://someurl http://someurl,everyone,#happy,,,
nl,814746598425169920,814746598425169920,2016-12-30T08:15:00.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",57670981,Coosto,RT @someuser Wens iedereen een #gezellige  #jaarwisseling en een #voorspoedig #gezond #liefdevol  #2017 toe. @someuser  @someuser #Ha...,everyone,#happy,,"[{'type': 'retweeted', 'id': '814714967786221568'}]",
nl,814742276492656640,814742276492656640,2016-12-30T07:57:50.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2938772685,Twitter Web Client,@someuser Laatste dag onder #IBO. Vanaf 2 januari vast in dienst bij @someuser #happy #HR #recruiter,everyone,#happy,249351271,,
nl,814733143240478720,814733143240478720,2016-12-30T07:21:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",142694509,Twitter for iPhone,Moe van al het slechte nieuws? Hier de mooie dingen van 2016 /via @someuser Fijn om te lezen 😃 #happy http://someurl,everyone,#happy,,,
nl,814721962928963584,814721962928963584,2016-12-30T06:37:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2693581081,Twitter for iPad,Het nieuwe jaar in met een aangepaste #website Zie http://someurl voor het resultaat #happy #Marketing,everyone,#happy,,,
nl,814714967786221568,814714967786221568,2016-12-30T06:09:19.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",560294274,Twitter for Windows,Wens iedereen een #gezellige  #jaarwisseling en een #voorspoedig #gezond #liefdevol  #2017 toe. @someuser  @someuser #Happy new year. http://someurl,everyone,#happy,,,
nl,814637553630478336,814637553630478336,2016-12-30T01:01:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",705019935844667392,Instagram,#happy #brothers day #repost snoopdogg #RMARCELL #HOME  #goodmorning #gentleman  #journal #class... http://someurl,everyone,#happy,,,
nl,814587597334999040,814587597334999040,2016-12-29T21:43:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",90258636,Twitter for iPhone,Had a great stay in Den Haag & Scheveningen #happy http://someurl,everyone,#happy,,,
nl,814572680540286977,814572680540286977,2016-12-29T20:43:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814207032639291392,Twitter for Android,Jajaja mensen ik wil jullie graag bedank voor jullie steun we hebben de 100 Followers gehaald in 2 dagen ❤❤❤❤ #happy http://someurl,everyone,#happy,,,
nl,814549560181846020,814549560181846020,2016-12-29T19:12:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3092662797,Instagram,Laatste items 2 halen 1 betalen mijnhuis #sale #lifestyle #happy#old #newyearclearancesale http://someurl,everyone,#happy,,,
nl,814546499266899968,814546499266899968,2016-12-29T18:59:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",48342075,Facebook,Zoom in #bitácora #happy ♡♡♡ http://someurl,everyone,#happy,,,
nl,814536011506192385,814536011506192385,2016-12-29T18:18:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",349893694,Instagram,2 leuke daagjes gehad met de liefste ❤#happy #lovelovelove... http://someurl,everyone,#happy,,,"{'place_id': '3ec472cdfa82fc81', 'coordinates': {'type': 'Point', 'coordinates': [4.59472222, 52.49194444]}}"
nl,814518124901003264,814518124901003264,2016-12-29T17:07:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",4162878634,Twitter for iPhone,@someuser je kwam 4x in de top 100 in de eerste helft!! Ik ben mega trots :)) #happy,everyone,#happy,1897899434,,
nl,814515632590954497,814515632590954497,2016-12-29T16:57:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",1572152647,Twitter for iPhone,Beste reclame is tevreden klanten #happy #goodvibes http://someurl,everyone,#happy,,,
nl,814505324875055105,814505324875055105,2016-12-29T16:16:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4835317425,Twitter for iPhone,Nog even gespeeld met mijn nieuwe @someuser  #iphone  lensje... #olloclip #macrofotografie #macro #nature #happy http://someurl,everyone,#happy,,,
nl,814486136949248000,814486136949248000,2016-12-29T15:00:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3313189192,HubSpot,Het leukste Teamleader-moment van Maaike? Bekijk de video! #happy #employer http://someurl http://someurl,everyone,#happy,,,
nl,814474329702408192,814474329702408192,2016-12-29T14:13:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",529581135,Instagram,Genieten met mn lievelingsmeisje Katrijn! #food #genieten #qtime #foodporn #happy #love @ Peppes http://someurl,everyone,#happy,,,
nl,814447498156707840,814447498156707840,2016-12-29T12:26:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2891854151,Twitter for Android,Mijn best gelezen blogs van het jaar 2016. Dank je wel allemaal voor het volgen en lezen #happy #travel #blogger    http://someurl http://someurl,everyone,#happy,,,
nl,814420721468407810,814420721468407810,2016-12-29T10:40:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",209279850,Instagram,#tb #happy #su #dorp #ussie #selfie #kelly #jon                          Een u s s i e hoort... http://someurl,everyone,#happy,,,"{'place_id': '3afcd8fd83f599e3', 'coordinates': {'type': 'Point', 'coordinates': [-55.2333, 5.7]}}"
nl,814410614747660288,814410614747660288,2016-12-29T09:59:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",44579181,Twitter Web Client,"Need directions little boy? ;-) Iedereen lekker zn eigen weg, ook in 2017! #Kenia #WatotoWema #dancing #happy http://someurl",everyone,#happy,,,
nl,814405225830289408,814405225830289408,2016-12-29T09:38:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",435147671,Twitter Web Client,Als ondernemer zal ik toch moeten werken in de vakantie als de aanmeldingen voor een cursus binnendruppelen. #happy| http://someurl,everyone,#happy,,,
nl,814403201139179520,814403201139179520,2016-12-29T09:30:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2801571710,Instagram,My happy place 😀ook in 2017 sta ik voor jullie klaar. #happy #ilovemyjob #verwennerij #metime... http://someurl,everyone,#happy,,,
nl,814369288123518976,814369288123518976,2016-12-29T07:15:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",574718025,Instagram,De liPhone 5S en stock ! #prixhappy #occasion #happy #cash #happycash #jura #39 #lonslesaunier... http://someurl,everyone,#happy,,,
nl,814368092168011778,814368092168011778,2016-12-29T07:10:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",250783361,Twitter for Android,Goedemorgen #sneek #Friesland SteakHouseTexasSteakSneek welkom bij ons voor lekker eten en drinken bij ons #happy #New 2017 team #TexasSteak http://someurl,everyone,#happy,,,
nl,814333495426301952,814333495426301952,2016-12-29T04:53:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",803470063751696384,Live.me ,#liveme uwen imoet [STAR]:nongkrong sendiri #Bete #happy #gift | http://someurl http://someurl,everyone,#happy,,,
nl,814281417521852416,814281417521852416,2016-12-29T01:26:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",192855103,Twitter for iPhone,Elk jaar weer #top2000 #NPORadio2 #fantastisch #genieten #enjoy #happy #HappyHolidays,everyone,#happy,,,{'place_id': 'ea0a61fa0c646676'}
nl,814241030404980740,814241030404980740,2016-12-28T22:46:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",260353737,Linkis: turn sharing into growth,Dinner Date!!! | | #LupusWarrior #NoExcuses #Healthy #Happy #Hustle #Love #Life #YouCan #GirlBoss... http://someurl,everyone,#happy,,,"{'place_id': '012b416c2c776945', 'coordinates': {'type': 'Point', 'coordinates': [-86.24833333, 43.23416667]}}"
nl,814184595243540481,814202626128695296,2016-12-28T20:13:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",413820739,Twitter for iPhone,@someuser echt hè! Zo blij met mensen als jou en oa @someuser @someusersomeuser en @someuser en dat allemaal door twitter #happy,everyone,#happy,242052639,"[{'type': 'replied_to', 'id': '814190300671471616'}]",
nl,814183517559160832,814183517559160832,2016-12-28T18:57:32.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",717627432,Twitter for Android,Die #top2000agogo gaat steeds meer op de EO jongerendag lijken.. #manmanman #happy #singalong #proost,everyone,#happy,,,
nl,814173927685713920,814173927685713920,2016-12-28T18:19:25.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",282405135,Twitter for iPhone,Yess #zomervakantie geboekt weer #Kroatië  #happy http://someurl,everyone,#happy,,,
nl,814173046777016320,814173046777016320,2016-12-28T18:15:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1694706038,Facebook,THIS brings a SMILE on my face 😘 Een super mooie review van een hele bijzondere cliente #happy #sharing... http://someurl,everyone,#happy,,,
nl,814162088545423360,814162088545423360,2016-12-28T17:32:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",55836324,Twitter Web Client,#happy slap porn none nude teen models http://someurl,everyone,#happy,,,
nl,814159382384705536,814159382384705536,2016-12-28T17:21:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",322874855,Instagram,Say YES to the dress by #bruidshuishetkoetsje #happy #bride #congrats @ Bruidshuis t Koetsje/... http://someurl,everyone,#happy,,,
nl,814158678630735877,814158678630735877,2016-12-28T17:18:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2316671513,Instagram,Photo by renezuiderveld in Amsterdam ☺️ | #belgium #antwerp #europe  #happy #fun #fitness  #igers... http://someurl,everyone,#happy,,,
nl,814147100023857152,814148413776400385,2016-12-28T16:38:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",519693928,Twitter for iPhone,"@someuser Slovenië, tussenstop Oostenrijk en afsluiten in Zwitserland 😍 #happy",everyone,#happy,4288988679,"[{'type': 'replied_to', 'id': '814147940986089472'}]",
nl,814146643805294592,814146643805294592,2016-12-28T16:31:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3128411253,Hootsuite,Een prachtige moeder met haar kindje <3 Foto: Natalia Nowak #Gambia #TheGambia #mother #kid #happy #Love http://someurl,everyone,#happy,,,
nl,814133717723742213,814133717723742213,2016-12-28T15:39:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2801571710,Instagram,Een namiddag knutselen #ikea #instituutils #makeup #happy #paaruurtjesvrij #ilovemywork @someuser http://someurl,everyone,#happy,,,
nl,814133679492595712,814133679492595712,2016-12-28T15:39:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",572726897,Instagram,"Love #beach #nieuwpoort #sealife #happy😍⚓️🌊 @ Nieuwpoort-Bad, West-Vlaanderen, Belgium http://someurl",everyone,#happy,,,"{'place_id': 'ac1482c0354c9796', 'coordinates': {'type': 'Point', 'coordinates': [2.71261524, 51.14601432]}}"
nl,814126483392364544,814126483392364544,2016-12-28T15:10:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",359393223,Twitter for iPad,Geslaagd voor de Post-hbo Cpion erkende PBSK opleiding en opname in het Landelijk Register Abituriënten.| #doorontwikkelen| #happy| #shakkei http://someurl,everyone,#happy,,,{'place_id': '3a17bf5e516ec008'}
nl,814114045326462976,814114045326462976,2016-12-28T14:21:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",134015890,Instagram,Boysenberries.| | #Happy #Bless #GoodVibes #Positive @ Taal... http://someurl,everyone,#happy,,,"{'place_id': '00e5885868b4d7ed', 'coordinates': {'type': 'Point', 'coordinates': [120.921375, 13.88025798]}}"
nl,814106519583211525,814106519583211525,2016-12-28T13:51:34.000Z,"{'retweet_count': 2, 'reply_count': 5, 'like_count': 62, 'quote_count': 0}",794067312559226880,Twitter for Android,#happy| #bellybutton| Bietjie moed bymekaar geskraap en nuwe bling gekry @someuser http://someurl,everyone,#happy,,,
nl,814090113152155648,814090113152155648,2016-12-28T12:46:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1743551,Twitter Web Client,lekker aan het klussen voor @someuser met op de achtergrond de #top2000 nice.. alles valt langzaamaan op zijn plek.. 😘 #happy,everyone,#happy,,,
nl,814086262625800192,814086262625800192,2016-12-28T12:31:04.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",74399346,Twitter Web Client,RT @someuser De vrolijkste & leukste uit 2016 #happydays #2016bestnine Ook in 2017 delen we graag weer onze #happy kids & #great investors...,everyone,#happy,,"[{'type': 'retweeted', 'id': '814083421236498432'}]",
nl,814083421236498432,814083421236498432,2016-12-28T12:19:47.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",44579181,Twitter for iPhone,De vrolijkste & leukste uit 2016 #happydays #2016bestnine Ook in 2017 delen we graag weer onze #happy kids & #great investors 😃 http://someurl,everyone,#happy,,,
nl,814075076421226497,814075076421226497,2016-12-28T11:46:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2161225424,Instagram,#christmas2016🎄🎅🎁❄ #happy #family #friends @ Snodland http://someurl,everyone,#happy,,,"{'place_id': '60cb9d7608dc5f67', 'coordinates': {'type': 'Point', 'coordinates': [0.4467, 51.328]}}"
nl,814074808086515712,814074808086515712,2016-12-28T11:45:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2161225424,Instagram,#christmas2016🎄🎅🎁❄ #family #friends #happy @ Snodland http://someurl,everyone,#happy,,,"{'place_id': '60cb9d7608dc5f67', 'coordinates': {'type': 'Point', 'coordinates': [0.4467, 51.328]}}"
nl,814064132806897664,814064132806897664,2016-12-28T11:03:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2324143752,Twitter for iPhone,Zojuist deze gesigneerde CD van @someuser ontvangen. Dank @someuser #geluksmomentje #happy http://someurl,everyone,#happy,,,
nl,814052592481398784,814052592481398784,2016-12-28T10:17:17.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",278423526,Twitter for iPhone,Wederom een geslaagde zoekopdracht naar zeer bijzondere occasion!! Was wel een aardige uitdaging #porsche #boxsterS #happy #lovethisjob http://someurl,everyone,#happy,,,{'place_id': '6002284889d67fa1'}
nl,814050267842932736,814050267842932736,2016-12-28T10:08:02.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",177164933,Instagram,Shoefie. 👟| | .| .| .| .| .| #Shoes #Sneakers #White #Cute #Girl #Shoe #Selfie #Happy #Holidays... http://someurl,everyone,#happy,,,"{'place_id': '005de1fe214f002d', 'coordinates': {'type': 'Point', 'coordinates': [121.04898471, 14.57392482]}}"
nl,814011748344823808,814011748344823808,2016-12-28T07:34:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",365485602,Twitter Web Client,En dan is het boek uit en zit ik met een grote glimlach aan tafel. Dankjewel @someuser !! #happy #herkenning #power #energie http://someurl,everyone,#happy,,,
nl,814001738093101057,814001738093101057,2016-12-28T06:55:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",55340105,Twitter for iPhone,Eerste nachtje in eigen huis gehad! Nu met #top2000 in mijn oren wachten tot de trein komt naar mijn werk! #happy 😊,everyone,#happy,,,
nl,813891374718320640,813891374718320640,2016-12-27T23:36:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3845909189,Twitter for iPhone,En nu dan echt afkicken van 2016....😭💥🎉#kstziggo #wateenjaar #happy @someuser @someuser,everyone,#happy,,,
nl,813858583301525504,813858583301525504,2016-12-27T21:26:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",452279519,Instagram,#happy #game #ouderkind #bootcamp voor jong en oud! http://someurl @ HEROik http://someurl,everyone,#happy,,,"{'place_id': '6c0c303d67cbb892', 'coordinates': {'type': 'Point', 'coordinates': [6.67835, 52.34921]}}"
nl,813813533641179136,813813533641179136,2016-12-27T18:27:21.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",2721139081,Twitter Web Client,Zon plek die nooit gaat vervelen. #kralingseplas #december2016 #derdekerstdag #maybe #inlove #maybe #singlegirl #vlog #youtube #soof #happy http://someurl,everyone,#happy,,,
nl,813810207033819136,813810207033819136,2016-12-27T18:14:07.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",49400472,Twitter for iPad,Net verhuisd en zooooo aan t genieten in mn nieuwe huis met de #top2000 aan.....heerlijk! #happy,everyone,#happy,,,
nl,813803353956319233,813803353956319233,2016-12-27T17:46:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",91612358,Instagram,Wat een mooie dag. Zo genoten ❤ most wonderful day. #horse #horseride #country #holland #happy @someuser http://someurl,everyone,#happy,,,
nl,813783470925352960,813783470925352960,2016-12-27T16:27:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3099545163,Twitter for Android,Door mijn huis heen huppelen en met #bryanadams mee brullen #happy,everyone,#happy,,,
nl,813760267200987136,813760267200987136,2016-12-27T14:55:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2801571710,Instagram,Kerstfeestje nr4 🎄🎅🏻🎁🍷🍸met de familie Verbruggen 😄#presents #christmas #happy #familybyhart... http://someurl,everyone,#happy,,,
nl,813739252118945793,813739252118945793,2016-12-27T13:32:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800325326840557572,Twitter for Android,Nike trainingspak voor kerstmis gekregen! #happy #Nike http://someurl,everyone,#happy,,,
nl,813736853132218368,813736853132218368,2016-12-27T13:22:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",221042861,Instagram,Waar ik blij van wordt? ... #amsterdam #music #happy #iamsterdam #keepitreal @ Amsterdam-Centrum http://someurl,everyone,#happy,,,
nl,813704577392537601,813704577392537601,2016-12-27T11:14:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",100755407,Twitter for Android,Als je  niet goed  voeld luister naar  dit nummer daarna voel je weer helemaal  #happy #top2000  @someuser @someuser  @someuser http://someurl,everyone,#happy,,,
nl,813643832780881921,813643832780881921,2016-12-27T07:13:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",51020149,Twitter for iPhone,(Kerst)vakantie beste tijd van het jaar: rustig op de wegen. #file #geenfile #anwb #happy,everyone,#happy,,,
nl,813641612492505088,813641612492505088,2016-12-27T07:04:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",224342025,Instagram,Leuke kerstdagen gehad! #happy #family #boswandeling #diner #brunch #gezelligheid... http://someurl,everyone,#happy,,,
nl,813523129733709829,813523129733709829,2016-12-26T23:13:23.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",296239220,Twitter for iPhone,RT @someuser Medewerkers van de Vlaamse Overheid gaan gezonder bewegen... te volgen via #sportersbelevenmeer #happy,everyone,#happy,,"[{'type': 'retweeted', 'id': '810897480246317057'}]",
