source,in_reply_to_user_id,text,reply_settings,lang,conversation_id,id,referenced_tweets,author_id,created_at,public_metrics,search_query,geo
Tweet Jukebox,,Being #fearless precisely when you are most #scared is the best #hack. - James Altucher #quote,everyone,en,814878368105713664,814878368105713664,,753219670790975496,2016-12-30T16:58:37.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,91699405,"@someuser @someuser @someuser But as long as it makes white people #scared and vote for Trump, the Russians will keep writing it.",everyone,en,814119970393227265,814874917338513408,"[{'type': 'replied_to', 'id': '814583397423009792'}]",792948240262062081,2016-12-30T16:44:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,91699405,@someuser @someuser @someuser My name is right there. And you ARE a coward. Destroying mosques is a true act of coawardice. #scared,everyone,en,814119970393227265,814874043883159552,"[{'type': 'replied_to', 'id': '814579437870030848'}]",792948240262062081,2016-12-30T16:41:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,Wildlife #RunChatHunt #RunChat #eek #scared http://someurl,everyone,en,814867045179420672,814867045179420672,,839130084,2016-12-30T16:13:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#scared,
Twitter Web Client,,"Oh shit, there goes the planet. #spaceballs #donaldtrump #scared http://someurl",everyone,en,814865597016064000,814865597016064000,,14521300,2016-12-30T16:07:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web App,41634520,@someuser | I believe Congress is what has failed to protect the American citizens from the renegade POTUS OBAMA!!| #racialdivide #scared,everyone,en,814864710466211840,814864710466211840,,798374833428041728,2016-12-30T16:04:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,192547344,@someuser @someuser @someuser @someuser agree hill is amazing and so is Kelce no offensive line no running game #scared,everyone,en,814852816229502976,814859050265575424,"[{'type': 'replied_to', 'id': '814857035242237953'}]",104652427,2016-12-30T15:41:51.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,2 flat viewings today and 2 next week. Time to get my estate agent flat on and show people round. #nerveracking #scared #pleasebuymyflat,everyone,en,814850118088294401,814850118088294401,,480566773,2016-12-30T15:06:21.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter Web Client,748795226043461632,"@someuser Never looked deeply into this site in particular, but I will. Being new to investigating this is on the way back burner. #scared",everyone,en,814693391111843841,814848125076721664,"[{'type': 'replied_to', 'id': '814693391111843841'}]",812442650397839360,2016-12-30T14:58:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for Android,1917731,@someuser Soros knows the new POTUS wont take his dirty $s. #scared #comeoutofhidinguchicken #Putinneedsu,everyone,en,814531702156656640,814843742914019328,"[{'type': 'replied_to', 'id': '814531702156656640'}]",235242149,2016-12-30T14:41:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,1125937411,@someuser @someuser Afraid the logic in this statement will be too simple for our gutless politicians #gutless #scared #nobackbone,everyone,en,814541559601434624,814838580963119104,"[{'type': 'replied_to', 'id': '814541559601434624'}]",375773220,2016-12-30T14:20:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#scared,
Post Planner Inc.,,Have you ever heard of a witch who is #scared of flying at night? #Read Inky Babble @someuser  http://someurl http://someurl,everyone,en,814834240617648128,814834240617648128,,2897624184,2016-12-30T14:03:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,,Real life humanoid robots scare the crap out of me. Just because we can doesnt mean we should. #judgementday #skynet #weallgonnadie #scared,everyone,en,814826878703927297,814826878703927297,,706654245014126592,2016-12-30T13:34:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter Web App,,"I hate waking up like this , ! #scared",everyone,en,814821478915043328,814821478915043328,,2729350516,2016-12-30T13:12:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,27765017,@someuser @someuser @someuser You see @someuser will say anything to avoid the Debbie Cook or Laura Decrescenzo court docs. #scared,everyone,en,810477835525783552,814819956235698176,"[{'type': 'replied_to', 'id': '814819431297626112'}]",27765017,2016-12-30T13:06:30.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",#scared,
Twitter for iPhone,,"I have realised that 2017 is going to be focused on the #AfterEverAfter collection, starting with #MidnightRush! #excited #scared #writing",everyone,en,814809504990773248,814809504990773248,,789484124,2016-12-30T12:24:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for iPhone,1128977450,"@someuser send help!!! Its dinner time, there are all sorts of loud strange noises and he literally cant sit still #sendhelp #scared",everyone,en,814805891799252993,814805891799252993,,709905207,2016-12-30T12:10:37.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,"Just had to tell @someuser that the snake who leapt at him, only to slither away in RE4, was not a real snake. #backtoreality #scared",everyone,en,814804544806744068,814804544806744068,,101926118,2016-12-30T12:05:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",#scared,
Twitter for iPhone,33875003,@someuser @someuser why is easyJet to to Gatwick cancelled but our @someuser isnt? #scared,everyone,en,814801928223944704,814801928223944704,,2409184393,2016-12-30T11:54:52.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for iPad,30874629,@someuser here I am #scared to go to sleep. Vikkii had to wake me from my #nightmare again. If I go back to #sleep Ill just continue....,everyone,en,814766873556369409,814800974640398337,"[{'type': 'replied_to', 'id': '814766873556369409'}]",197273006,2016-12-30T11:51:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,I just gotta tell myself its going to help you... 😥😥 #scared #nervous #stupidbody,everyone,en,814797153415602178,814797153415602178,,4709161680,2016-12-30T11:35:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,{'place_id': 'dd9c503d6c35364b'}
Twitter Web Client,,did the PM just announce biometric payments??? WTF! Who takes care of access and security of this data? #scared,everyone,en,814788027742441472,814788027742441472,,49932225,2016-12-30T10:59:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",#scared,
Twitter for Android,748075181843722241,"@someuser im still number 1 au, acl2012  I shat on @someuser in crews at bam8 and since then he doesnt even come to things. #scared",everyone,en,814705652563996672,814773552121409537,"[{'type': 'replied_to', 'id': '814705652563996672'}]",366456356,2016-12-30T10:02:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,
Twitter Web Client,192428404,@someuser Ok. This might help inspire me because I know there is snow out here and I hear wind. #scared,everyone,en,814620727852859393,814772339745390592,"[{'type': 'replied_to', 'id': '814620727852859393'}]",259697229,2016-12-30T09:57:18.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for iPhone,,What the f***! Someone just try to come inside our house! #scared 😱,everyone,en,814769697287598081,814769697287598081,,2812767489,2016-12-30T09:46:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,,Is today the day? | #wannabe #excited #scared,everyone,en,814766613987807232,814766613987807232,,4054017683,2016-12-30T09:34:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for Android,,http://someurl @someuser @someuser @someuser We need to hear from U. We are damn #scared.Not a word of reassurance from anyone.,everyone,en,814763039937282048,814763039937282048,,248205911,2016-12-30T09:20:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",#scared,
WordPress.com,,I #feel #scared to #raise a #point in my #film: #Karan #Johar http://someurl http://someurl,everyone,en,814758314621943808,814758314621943808,,130501124,2016-12-30T09:01:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,yall I am #scared to go to the doctors lol,everyone,en,814747357116035072,814747357116035072,,720704852,2016-12-30T08:18:01.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,And even #water gets #scared when it #falls... http://someurl,everyone,en,814717407470161920,814717407470161920,,783822736254726144,2016-12-30T06:19:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#scared,
Twitter Web Client,,okay mental health is important. and no matter how awesome you think you are it is not awesome enough to skip medicine #fuck #scared,everyone,en,814702356814237696,814702356814237696,,2335815350,2016-12-30T05:19:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for iPhone,,"Having a pretty chill week, starting a new job as of Jan. 2nd at a new company, in the film production space now 😎...hmm sorta #scared too😳",everyone,en,814696491826614273,814696491826614273,,144515506,2016-12-30T04:55:54.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#scared,
IFTTT,,I think he noticed I was in His jungle... #gorilla #scared #HomerBackingAwaySlowlyAfterHeS... http://someurl http://someurl,everyone,en,814695894822121472,814695894822121472,,1026321,2016-12-30T04:53:32.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 17, 'quote_count': 0}",#scared,
Twitter for iPhone,425450384,@someuser @someuser if you actually wanted to play my squad you woulda told me you were at Uconn today #scared,everyone,en,814683681730297856,814688843500814336,"[{'type': 'replied_to', 'id': '814688323155488768'}]",332612398,2016-12-30T04:25:31.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Instagram,,Pussycats are fond of the storms #cats #cat #cute #scared #love... http://someurl,everyone,en,814686070138957824,814686070138957824,,1332505502,2016-12-30T04:14:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,,"Yall dont have to #Frighten me, when knowing that you all #Scared",everyone,en,814677160237535232,814677160237535232,,36761527,2016-12-30T03:39:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,18004222,@someuser ❤ and thanks! Now work 2 take away @someuser power 2 act w/o Congress.  #unstable #manchild #scared #ProtectandDefend http://someurl,everyone,en,814675261857890304,814675261857890304,"[{'type': 'quoted', 'id': '814657351018053632'}]",550983362,2016-12-30T03:31:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,364477412,@someuser i just got my first credit card through you guys. #adulting #terrified #scared,everyone,en,814674942943956994,814674942943956994,,39334868,2016-12-30T03:30:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,Krystina is turning into a mini daniel and I dont know what to do anymore 🙃 #scared,everyone,en,814674738635296768,814674738635296768,,319423130,2016-12-30T03:29:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for iPhone,,Monday is D-Day #scared #studyharderthaneverx48485994,everyone,en,814672126947065856,814672126947065856,,112807627,2016-12-30T03:19:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Facebook,,I have been driven past this phenomenon! #scared http://someurl,everyone,en,814670202419998720,814670202419998720,,23641927,2016-12-30T03:11:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
TweetDeck,,Is this for real?| | http://someurl| | #ParanormalWH #paranormal #creepyAF #scary #scared #ghosts #ghosthunting #internet,everyone,en,814669450251292672,814669450251292672,,262274168,2016-12-30T03:08:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,,#gamer The Silver Eyes @someuserddys #bnbookpassion #BN #bnbookishlove #bnbuzz #bnotayranch #scared #2016 #teens #favoritethings http://someurl,everyone,en,814667600655306752,814667600655306752,,4228804936,2016-12-30T03:01:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter Web Client,17979038,@someuser had a dream about nuclear war last night (first time since the grand old Reagan/Cold War days) and woke to Obama-Russia news #scared,everyone,en,814661921391706112,814666617980211200,"[{'type': 'replied_to', 'id': '814661921391706112'}]",775535239,2016-12-30T02:57:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,,Everything you do it haves a consiquence 😥| #Scared.| #GuideMeLord.,everyone,en,814666298198093824,814666298198093824,,796674950987816960,2016-12-30T02:55:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,
Twitter for Android,,5mins until #ghost #hunt #live tweet every 10 MINS #scared,everyone,en,814658892428877824,814658892428877824,,3309192706,2016-12-30T02:26:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,Having my last work Starbucks #smug #newjourney #scared #pregnant #housewife,everyone,en,814658732382486528,814658732382486528,,786418150690598912,2016-12-30T02:25:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,{'place_id': '018d57064db99031'}
Twitter for iPhone,,"So, this happened. I just upset a flaming apple cart. #rape #sexualassault #disclosure #scared #Fredericton #NewBrunswick http://someurl",everyone,en,814650344705839104,814650344705839104,,15336950,2016-12-30T01:52:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,{'place_id': '349f43f819b079b9'}
Twitter for iPhone,,Anyone else see Cruz push Dana back to keep distance from @someuser while pretending he wanted at him #scared #UFC207 #nolove #andnew,everyone,en,814649058346274816,814649058346274816,,74400008,2016-12-30T01:47:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,http://someurl Fully pooped myself playing this game and its live so you know ...#scarygame #outlast #scared #newyoutuber #youtube,everyone,en,814639415834329088,814639415834329088,,270435945,2016-12-30T01:09:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Instagram,,Adventures in scaring the kids. Muhahaha| | #haha #lol #sofun #sofunny #fun #scary #scared... http://someurl,everyone,en,814639358435278849,814639358435278849,,798281422746202112,2016-12-30T01:08:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,,I feel the exact same way about those scary #Vegetables! ;)  - Ulterios   #Scared http://someurl,everyone,en,814638493401894912,814638493401894912,,2319352300,2016-12-30T01:05:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,This year has been good to me Idk if Im ready to let it go and start a new year where I step in a hospital as a student nurse #scared,everyone,en,814635961216892928,814635961216892928,,741571817706512384,2016-12-30T00:55:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Windows,,I hope I havent scared you off #scared,everyone,en,814631193320759296,814631193320759296,,1702564506,2016-12-30T00:36:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,Will Russian sanctions affect my local eastern European grocery store? #scared #notreally,everyone,en,814616170276028416,814616170276028416,,357019947,2016-12-29T23:36:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,When your lead walks into your restaurant and sits at your table. #honored #scared,everyone,en,814615834249297924,814615834249297924,,313050110,2016-12-29T23:35:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,{'place_id': '60e2c37980197297'}
Twitter for Android,428333,@someuser #Trump is a #spy !| Whats he #scared of ?,everyone,en,814611077392662528,814612780791857153,"[{'type': 'replied_to', 'id': '814611077392662528'}]",765707821916848128,2016-12-29T23:23:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,,Totally gonna overcome 2 fears of mine today. #scared #excited,everyone,en,814609611705774081,814609611705774081,,454549367,2016-12-29T23:10:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,I let matt & Keary take my car #scared,everyone,en,814609441819623424,814609441819623424,,631176147,2016-12-29T23:10:00.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,{'place_id': '7f7d58e5229c6b6c'}
Twitter for iPhone,,I dont ask for much but tonight I ask for prayers and/or good thoughts for my MRI tomorrow. #scared #earpers @someuser @someuser,everyone,en,814608841878945793,814608841878945793,,16175213,2016-12-29T23:07:37.000Z,"{'retweet_count': 0, 'reply_count': 37, 'like_count': 41, 'quote_count': 3}",#scared,
Twitter for Android,145096900,@someuser they wouldnt play us anymore because they wouldnt play in Morgantown at night #Scared #Neverforget,everyone,en,814606647045877760,814608328634540032,"[{'type': 'replied_to', 'id': '814606647045877760'}]",1651389216,2016-12-29T23:05:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter Web Client,,#Inauguration2017 #frustration #scared #newyearsresolution Oil Painting Frustration by @someuser #art #contemporaryart #modernart http://someurl,everyone,en,814606980178284544,814606980178284544,,2916021128,2016-12-29T23:00:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
Twitter for iPhone,,"Crazy, how the last week of the year can go by so fast!!! #new years #2017 #excited #scared #newlyengaged #wtf",everyone,en,814603590312468480,814603590312468480,,1873732484,2016-12-29T22:46:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,{'place_id': 'e41805d7248dbf1e'}
Twitter for iPhone,,When you hate wasps and bees and your friends are sending pictures of them in your group chat 😅😭😭 #fear #scared #why #whyyoudothistome,everyone,en,814602174793650177,814602174793650177,,352530220,2016-12-29T22:41:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,
HLATA,,Being #fearless precisely when you are most #scared is the best hack. - #JamesAltucher| | #quote #inspiration #RT http://someurl,everyone,en,814599412278300672,814599412278300672,,2906748748,2016-12-29T22:30:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for Android,,One of the scariest and most powerful dream of mine is coming true. #scared #excited,everyone,en,814598056620474368,814598056620474368,,325626690,2016-12-29T22:24:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,
Twitter for iPhone,,"My four year old keeps telling me to do her hair in pig tails just like Harley Quinn, and that she wants to be her for Halloween 😫😩😭 #scared",everyone,en,814594979427299328,814594979427299328,,15549403,2016-12-29T22:12:32.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",#scared,{'place_id': '944c03c1d85ef480'}
Vine - Make a Scene,,Scare Cam 📸 #scared #reality #LOL #ComedyVine #ukvine #snapchatvids #UKVINERS #scarecam #revine #wtf #f... http://someurl,everyone,en,814590647898439680,814590647898439680,,2358404590,2016-12-29T21:55:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
The Social Jukebox,,The #ghost story from his youth this famous psychic’s been to #scared to tell! http://someurl #radio http://someurl,everyone,en,814589866449268737,814589866449268737,,2921063798,2016-12-29T21:52:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,
Twitter for iPhone,,I actually like this sweet guy and Id hate to mess it up.😓 #scared,everyone,en,814584412511895556,814584412511895556,,599368482,2016-12-29T21:30:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,{'place_id': '18810aa5b43e76c7'}
