lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,referenced_tweets,in_reply_to_user_id,geo
es,809043892951744512,809043892951744512,2016-12-14T14:34:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",737160647264378880,Twitter for Android,Hasta las bolas 😭 stupida mamá y sus stupidas ideas obligatorias 😭😭😭 #FamilyCrown #1erTatuaje #Scared . http://someurl,everyone,#scared,,,
es,808873125513461760,808873125513461760,2016-12-14T03:15:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",120088833,Twitter Web Client,el actor porno #scared having sex http://someurl,everyone,#scared,,,
es,808593545951150080,808593545951150080,2016-12-13T08:44:58.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",340595310,Twitter for Android,"Mis pesadillas nunca me defraudan, gran argumento, gran fotografía #scared",everyone,#scared,,,
es,808280673463267328,808280673463267328,2016-12-12T12:01:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",357135133,Twitter for iPhone,Ping!!  Quien fregados va al baño en mi casa a estas horas?!?! #scared,everyone,#scared,,,
es,808144860238594048,808144860238594048,2016-12-12T03:02:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",182984982,Instagram,Asustada por los pinches cuetes. Pide apapacho. #scared #firework #pet #dog #schnauzer http://someurl,everyone,#scared,,,
es,808128052161114112,808128052161114112,2016-12-12T01:55:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",105901213,Twitter for Android,Yo en un temblor... #soyundesastre #mefuialaB #ohMyGosh #funny #scared  #earthquake #TooMuch http://someurl,everyone,#scared,,,
es,807788748947726337,807788748947726337,2016-12-11T03:27:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802664941924794368,Twitter for Android,Vamoh a rendir historia #scared #school #December #vacation http://someurl,everyone,#scared,,,
es,807036437828931584,807036437828931584,2016-12-09T01:37:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",42080593,Twitter for Android,Eso pasa por tocar con el alma #scared #drums #yamaha #evans #rock http://someurl,everyone,#scared,,,
es,806493974320058368,806493974320058368,2016-12-07T13:42:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2331373819,Smartphones Amazon,precios de smartphone http://someurl #logroño y #sanmigueldesalinas #photoofthedah #mobile #scared,everyone,#scared,,,
es,806471826922700801,806471826922700801,2016-12-07T12:14:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2331373819,Smartphones Amazon,precios moviles http://someurl #oviedo y #aller #backpacker #scared #albaybased,everyone,#scared,,,
es,806157004364464128,806157004364464128,2016-12-06T15:23:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2331373819,Smartphones Amazon,que movil barato comprar http://someurl #palencia y #navalvillardepela #lgforsale #unico #scared,everyone,#scared,,,
es,806107173835116546,806107173835116546,2016-12-06T12:05:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2331373819,Smartphones Amazon,empresas telefonia movil http://someurl #canarias y #valdezate #scared #perm24 #bandw,everyone,#scared,,,
es,806089306469179392,806089306469179392,2016-12-06T10:54:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2331373819,Smartphones Amazon,terminales moviles libres baratos http://someurl #logroño y #villagonzalodetormes #manilabased #skirt #scared,everyone,#scared,,,
es,805945860714561536,805945860714561536,2016-12-06T01:24:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2331373819,Smartphones Amazon,comprar moviles libres baratos http://someurl #valencia y #olmedadelasfuentes #youtube #scared #gedgetberkualitas,everyone,#scared,,,
es,805840644677701632,805840644677701632,2016-12-05T18:25:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",46952627,Twitter for Android,"Lluvias, vientos y truenos!!! Clase de tormenta #scared #Panama",everyone,#scared,,,{'place_id': '9d8ae4b0fac2036a'}
es,805769913461854208,805779251081478144,2016-12-05T14:21:58.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",31626480,Twitter Web App,@someuser Jajajajaja #Scared,everyone,#scared,"[{'type': 'replied_to', 'id': '805778110717247488'}]",598772922,
es,805605541514973188,805605541514973188,2016-12-05T02:51:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",805600430784999424,Twitter for iPhone,Que es peor? Ser un mofongo o un tostón?🤔 #scared,everyone,#scared,,,
es,805357161123549184,805372718409543680,2016-12-04T11:26:33.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1382921048,Twitter for Android,@someuser 😂😂😂😂😂😂😂 ya exatamente #scared 😂😂,everyone,#scared,"[{'type': 'replied_to', 'id': '805357161123549184'}]",2516308110,
es,804863887417823232,804863887417823232,2016-12-03T01:44:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2941804815,Instagram,Noche de camping 😁 #scared #fogata #playa #weekend @ Playa Rada Tilly http://someurl,everyone,#scared,,,"{'place_id': '01d9bafa50086160', 'coordinates': {'type': 'Point', 'coordinates': [-67.55532, -45.92469]}}"
es,804622856265093120,804622856265093120,2016-12-02T09:46:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",170831043,Twitter for iPhone,"Dios, pongo este vuelo en tus manos. Qué sea lo que tú quieras. 😇🙏🏾 #Scared",everyone,#scared,,,{'place_id': '0161be1b3f98d6c3'}
es,803206765592645632,803206765592645632,2016-11-28T11:59:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",458445593,Instagram,Aquí empieza todo....... #blog #newblogger #scared #southdistrictLNA... http://someurl,everyone,#scared,,,
es,803033826477932544,803033826477932544,2016-11-28T00:32:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",446733557,Vine - Make a Scene,Gajes del oficio.. #revive #garbiturico #revine #vinealo #saveforvineapp #revine #dead #scared #bestsca... http://someurl,everyone,#scared,,,
es,802142515180830720,802142515180830720,2016-11-25T13:30:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",772102555358945281,Twitter Web Client,#inktober Día 30: #wreck ( #scared )| 👻hola ¿quieres ir a mi casa?| #illustration #house #ink #dotwork http://someurl,everyone,#scared,,,
es,801510925836648448,801514843203371012,2016-11-23T19:56:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",718106629993005056,Twitter for iPhone,@someuser rebel #scared,everyone,#scared,"[{'type': 'replied_to', 'id': '801514206600241156'}]",2739387160,
es,801194730264600576,801194730264600576,2016-11-22T22:44:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1271103936,Twitter for iPhone,Día de suerte? Casi muero dos veces... Hoy he visto más mechas de este conductor que en toda mi vida. #scared,everyone,#scared,,,{'place_id': '005bf2190435cf68'}
es,801071502435164160,801071502435164160,2016-11-22T14:35:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",799776839812071424,Twitter for Android,"Verga, pinche monstruo me quiere violar | #scared http://someurl",everyone,#scared,,,
es,801029041193107456,801029041193107456,2016-11-22T11:46:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",363752484,Vine - Make a Scene,Miedo a las bolsas !! #scarecam #husky #Fun #funnyvine #scared  @someuser http://someurl,everyone,#scared,,,
es,800541489063464961,800541489063464961,2016-11-21T03:28:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",86495886,Instagram,"Me encantan las donas, digo las dunas 🏂⛷🏄| | #happyday #dessert #desiertos #sandboard #scared... http://someurl",everyone,#scared,,,"{'place_id': '01dd4e50059597d2', 'coordinates': {'type': 'Point', 'coordinates': [-75.76319809, -14.0876953]}}"
es,800016876159963136,800016876159963136,2016-11-19T16:44:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3129388782,Instagram,Montándome... os quiero... jajajaj| | #voyamorir #gonnadie #scared #montañarusa #enlacola #waiting... http://someurl,everyone,#scared,,,"{'place_id': 'dc62519fda13b4ec', 'coordinates': {'type': 'Point', 'coordinates': [-82.42092668, 28.03488332]}}"
es,800003430861467649,800003430861467649,2016-11-19T15:50:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",101273531,Instagram,Ahora sale algo de algún sitio y me cago viva👻👿 #light #home #scared #loveit http://someurl,everyone,#scared,,,
es,799456728022716416,799456728022716416,2016-11-18T03:38:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2558296634,Twitter for iPhone,Aquí hay unos weyes que están alrededor de sus treintas pero actúan como si estuviesen alrededor de sus veintes #scared,everyone,#scared,,,
es,799228818158256128,799228818158256128,2016-11-17T12:32:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",799220547502473216,Twitter for Android,Hay que tener miedo de enamorarse? O que es a lo que tememos? #scared #LoveOnTheBrain,everyone,#scared,,,
es,798673490811359232,798673490811359232,2016-11-15T23:46:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",73741240,Instagram,Mi loquita asustada #cat #ilovemycat #catwalk #scared #littlecat #way http://someurl,everyone,#scared,,,
es,798140855601139712,798140855601139712,2016-11-14T12:29:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",102223767,Twitter for Android,El aire acondicionado del bondi hace un ruido tipo que va a explotar... #Scared #Boom #Lunes,everyone,#scared,,,
es,797551441896472578,797551441896472578,2016-11-12T21:27:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",67309580,Twitter for Android,Siento que ya he vivido este día #scared,everyone,#scared,,,
es,797407048791101440,797407048791101440,2016-11-12T11:53:50.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",605500827,Twitter for Android,"Estaba con el móvil desbloqueado en la mesa y de repente se me ha abierto lo de ok, Google #scared",everyone,#scared,,,
es,797296263716814848,797296263716814848,2016-11-12T04:33:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4197528905,Twitter for Android,#momentoincomodo cuando alguien que no conoces te invita a un viaje.. #roadTrip #scared #wtfmoment #11nov,everyone,#scared,,,
es,797142203000819713,797142203000819713,2016-11-11T18:21:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3404574963,Twitter for Android,En la clinica dental iniciando el proceso para ponerme #brackets. No recuerdo la ultima que estuve Tan nervioso. #quemiedo #scared,everyone,#scared,,,
es,797127126432395264,797127126432395264,2016-11-11T17:21:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",300526790,Instagram,Mamá estoy en silent Hill :( #fuckingcold #fog #zombies #scared http://someurl,everyone,#scared,,,
es,797007647253942272,797007647253942272,2016-11-11T09:26:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",762418407354490880,Twitter for Android,#scared de que sí lo hagáis. http://someurl,everyone,#scared,"[{'type': 'quoted', 'id': '797007231816527872'}]",,
es,796451059392806912,796451059392806912,2016-11-09T20:35:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796204600101638148,Twitter for Android,"El sabado tengo una XV en USA, me da miedo ir, capaz entran a matarnos :(| | #TrumpPresident #Mexico #MIEDO #ElectionResults #scared",everyone,#scared,,,
es,796428106667986944,796428106667986944,2016-11-09T19:03:52.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",382240967,Twitter Web Client,jajajaj esto me imagino cuando algunas mujeres y amigas se autonombran #Brujas #Scared #Horror | #SoyMujerSoyArte http://someurl,everyone,#scared,,,
es,796370202309132288,796370202309132288,2016-11-09T15:13:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",619239816,Twitter for iPhone,Mi abuelita tiene razón cuando dice: esas son cosas del demonio #scared http://someurl,everyone,#scared,,,
es,796353419191681028,796353419191681028,2016-11-09T14:07:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",154654733,Instagram,Tengo miedo.... mierda :c | #IhateU #trump #ObamaILoveYou #scared #election2016 http://someurl,everyone,#scared,,,
es,796338272456863744,796338272456863744,2016-11-09T13:06:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",88224593,Twitter for iPhone,"Like we say in #venezuela El último que apague la luz--> The last person standing, turn off the lights #Scared #dejavu #ElectionResults",everyone,#scared,,,
es,796326528430862336,796326528430862336,2016-11-09T12:20:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",278151076,Twitter for Android,y como diria un grande mexicano ¿y ahora quien podrá defendernos? #Trump #EleccionesEEUU2016 #DonaldTrump  #scared,everyone,#scared,,,
es,796315286899224576,796315286899224576,2016-11-09T11:35:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",44249620,Twitter for iPhone,No puedo dejar de pensar en lo atractiva que me resulta la idea ahora de ir a vivir a amarte #TrumpPresident #Scared,everyone,#scared,,,
es,796265034712317952,796265034712317952,2016-11-09T08:15:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",211995643,Twitter for Android,"Las bolsas mundiales,las divisas, todo se hunde ante la victoria de #Trump , #scared #EleccionesEEUU2016 #ElectionDay #GodForgivesTheWorld",everyone,#scared,,,{'place_id': '250c11b76c2fdb48'}
es,796260330452250624,796260330452250624,2016-11-09T07:57:11.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",107555004,Twitter for iPhone,No entiendo la sin razón... Sin palabras! Alucino!| Donald J Trump elegido presidente de los Estados Unidos| #ElectionNight #NoWords #Scared,everyone,#scared,,,
es,796224722795171842,796224722795171842,2016-11-09T05:35:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",64753649,Twitter for Android,Mucho miedo. No es la primera vez que lo digo: el #GeneroHumano no deja de sorprenderme #ElectionNight #EleccionesEEUU2016 #MIEDO #scared,everyone,#scared,,,
es,796215139083030528,796215139083030528,2016-11-09T04:57:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",746879056725958657,Twitter for Android,"Ahora solo nos queda esperar a que los estadounidenses  hagan lo correcto, ahí se deposita todo. #electionday    #HillaryClinton #scared",everyone,#scared,,,
es,796199461978599424,796199461978599424,2016-11-09T03:55:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",43154971,Twitter for iPad,Al momento el peso mexicano ha perdido un 11% de su valor... Que Dios nos agarre confesados! 😫 😱#scared #ElectionDay,everyone,#scared,,,
es,796181203770572805,796181203770572805,2016-11-09T02:42:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",179542822,Twitter Web Client,Viendo los números de las elecciones de USA #scared http://someurl,everyone,#scared,,,
es,796142435520937984,796142435520937984,2016-11-09T00:08:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",104299074,Twitter for iPhone,Trump ya no me da risa #concerned #angry #scared,everyone,#scared,,,
es,795409298557779968,795409298557779968,2016-11-06T23:35:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795395982905278465,Instagram,🔥🔥 terror! 🔥🔥| .| .| #scared #horror #terror #woman #ghost #spirit #i #love #gorelover #weird http://someurl,everyone,#scared,,,
es,795314871663345664,795314871663345664,2016-11-06T17:20:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",80761539,Instagram,"Y sí, mi bebé me cuida de los Mounstros. ¡Te AMO mi amor! 👻🕸🎃 #horror #scared #perfect #day... http://someurl",everyone,#scared,,,"{'place_id': '2a376531dff3d76a', 'coordinates': {'type': 'Point', 'coordinates': [-99.20969045, 19.29497482]}}"
es,795307479814918144,795307479814918144,2016-11-06T16:50:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",363562382,Instagram,Sonríe para la foto! 🙌 👯 😂 🎃 #halloween #oct  #october #31 #scary #trickortreat #boo #scared... http://someurl,everyone,#scared,,,
es,795298728525500416,795298728525500416,2016-11-06T16:16:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",265082315,Instagram,Dentro o Fuera. #halloween #oct #october #31 #TagsForLikes #scary #spooky #boo #scared #costume... http://someurl,everyone,#scared,,,"{'place_id': '3a4c3d75288dec25', 'coordinates': {'type': 'Point', 'coordinates': [3.030556, 41.780556]}}"
es,795298314874822656,795298314874822656,2016-11-06T16:14:28.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",265082315,Instagram,Las Entranyas. #halloween #oct #october #31 #TagsForLikes #scary #spooky #boo #scared #costume... http://someurl,everyone,#scared,,,"{'place_id': '3a4c3d75288dec25', 'coordinates': {'type': 'Point', 'coordinates': [3.030556, 41.780556]}}"
tl,795088749180882944,795088749180882944,2016-11-06T02:21:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",212076449,Instagram,Mi Crush 😂🌚💕 #scared #festivaldelterror http://someurl,everyone,#scared,,,
es,795049793630470148,795049793630470148,2016-11-05T23:46:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2738776383,Twitter for Android,Mis vecinos están haciendo un ritual satánico!!! 😫😫😫😨😨😨😱😱😱| | #scared #help #neighbours #evil,everyone,#scared,,,
es,794578943693099008,794578943693099008,2016-11-04T16:35:57.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",202744762,Twitter for Mac,Wow! ya está en línea el trailer oficial de @someuser la serie mexicana de horror #scared http://someurl http://someurl,everyone,#scared,,,
es,794419370021638144,794419370021638144,2016-11-04T06:01:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",94566746,Twitter for iPhone,CC tienes ventana panorámica y los relámpagos iluminan tu cuarto #scared ⛈⚡️,everyone,#scared,,,
es,794282178586832896,794282178586832896,2016-11-03T20:56:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2882985190,Instagram,Terror en la ducha!!! #terror #rec #miedo #scared #gritos #hitchcok #comedia #humor #ducha... http://someurl,everyone,#scared,,,
es,794020246021488640,794020246021488640,2016-11-03T03:35:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3398385137,Twitter for BlackBerry,#faint #parachute #skydiving #skydive #ko #knockout #scared #insane #stunning” http://someurl VÉANLO. Por favor y rían conmigo,everyone,#scared,,,
es,793679369852125185,793679369852125185,2016-11-02T05:01:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",119483690,Instagram,Nuevas experiencias 😎🙆👼 #nuevasmetas #oportunities #scared #justdoit... http://someurl,everyone,#scared,,,
es,793592601660096512,793592601660096512,2016-11-01T23:16:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2970246993,Instagram,Ultimas dos semanas de colegio!!!!| #scared #exited #byeschool @ San... http://someurl,everyone,#scared,,,"{'place_id': '0104f21930c30f5c', 'coordinates': {'type': 'Point', 'coordinates': [-71.35409659, -40.15818233]}}"
es,793572854591787060,793572854591787060,2016-11-01T21:58:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",152085786,Instagram,Luz neon! #hallowen2016 #girl #disfraz #purge #hallowen #salida #night #luz #neon #dark #scared... http://someurl,everyone,#scared,,,
es,793472368920305664,793472368920305664,2016-11-01T15:18:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1973477599,Instagram,Dulce o ..... 😈#halloween #annevi #funny #miedo #scared #myfavoritenight #trickortreat http://someurl,everyone,#scared,,,
es,793440204967317505,793440204967317505,2016-11-01T13:11:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",271617014,Instagram,Mi peque!!!🔪💉🎃⚰️🔮#halloween #oct #october #31 #scary #spooky #boo #scared #costume #ghost... http://someurl,everyone,#scared,,,
es,793308517532852224,793308517532852224,2016-11-01T04:27:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",96256036,Instagram,"#Halloween #DiadeMuertos #Pateon #cementerio #Scared 🎃👻 #Boy #Horror #disfraz @ Mexico City, Mexico http://someurl",everyone,#scared,,,"{'place_id': 'bfc35dcc7e63252a', 'coordinates': {'type': 'Point', 'coordinates': [-99.1333, 19.4333]}}"
es,793290229834588160,793290229834588160,2016-11-01T03:15:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1270766929,Instagram,Solo quedan 365 días para el próximo #Halloween !!! 👿💀🎃👻| | #HappyHalloween #MakeUp #Scared http://someurl,everyone,#scared,,,
es,793283034514464768,793283034514464768,2016-11-01T02:46:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 1}",130891972,Twitter for iPhone,¡Vaya #susto! #CasadelTerror #halloween2016 #halloween #scary #scared #scare #fear #LordTerror #LordPanico http://someurl,everyone,#scared,,,
