source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,geo,search_query,in_reply_to_user_id,referenced_tweets
Twitter for Android,793951392637386753,537780344,everyone,793951392637386753,sana may sembreak din mga teachers 😂 #teacherdiaries #hopeful,2016-11-02T23:02:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,793361532612521984,116156651,everyone,793361532612521984,Lord ito na ba yun... 😍😍😍 #hopeful,2016-11-01T07:58:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,792700586227408896,3571324754,everyone,792701782841397248,"@someuser wala pako nag yes oy haha. Im still deciding, proper time po baka pwede na outsider #hopeful 😭😂",2016-10-30T12:16:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,1585434600,"[{'type': 'replied_to', 'id': '792701488120287233'}]"
Facebook,791499051636187136,1429600368,everyone,791499051636187136,#hopeful| #shineSnow| Tagal mu naman!| Lord bigay muna sya sa amin plz.. http://someurl,2016-10-27T04:37:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,791450390269087744,127152036,everyone,791450390269087744,"Hay. Hanap na lang ulit kung kailangan, there are so many opportunities out there ❤️🙏🏻 #hopeful",2016-10-27T01:24:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,789636453332492289,2893706442,everyone,789636453332492289,"Naalala ko dati 2014-2015, yung stress depress walang kaen, iyak walang tulog.. siguro heto na yun, #hopeful",2016-10-22T01:16:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,789452789051039744,723108666581229571,everyone,789452789051039744,ang gusto ko lng po matanggap sa christmas ay string bag at panda things..| #hopeful,2016-10-21T13:06:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPad,788389823631405056,186759472,everyone,788390690631749632,@someuser basi magka movie or web drama ni sila soon #hopeful,2016-10-18T14:46:02.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,30771945,"[{'type': 'replied_to', 'id': '788390275227922432'}]"
Twitter for Android,788266761862860800,158405850,everyone,788266761862860800,"Yung kahit di gwapo, basta funny rin yung hitsura. Tas gagawa kami ng parang My Sassy Girl na love story. #hopeful.",2016-10-18T06:33:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,787855464855855104,749937990093402113,everyone,787855464855855104,Pitaya for breakfast... amariwatergatebangkok #hopeful #dragonfruit @ Executive Lounge@ Amari... http://someurl,2016-10-17T03:19:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,"{'coordinates': {'type': 'Point', 'coordinates': [100.5399072, 13.75082595]}, 'place_id': '014db45c395d0608'}",#hopeful,,
Twitter Web Client,787625119808040962,1721490612,everyone,787625119808040962,paasa ang friend request nga to ah... AWAT! #hopeful,2016-10-16T12:03:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,786375832738476032,110395752,everyone,786375832738476032,"Kapit ka sa akin, kapit ka sa akin. Hindi kita bibitawaaaaaaaaan🎤🎤🎤 #hopeful http://someurl",2016-10-13T01:19:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,786000866641780736,2585550120,everyone,786000866641780736,"Sana oneday, someday... masabi ko din yannn..#itsjustifiable..#hopeful 😭🙏",2016-10-12T00:29:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,785715995038011392,760088807488094208,everyone,785715995038011392,yung tipong mag eentrance exam ka pa tas feeling excited knang magsimula hahahah| #CebuMitsumi| #hopeful,2016-10-11T05:37:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,785390630222434304,4881721344,everyone,785390630222434304,"Inaamin ko, depressed ako at pilit ko itong nilalabanan. Kaya ko ito sa biyaya ng Panginoon. #Hopeful",2016-10-10T08:04:52.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 1}",tl,,#hopeful,,
Twitter for Android,784458833162702848,824497518,everyone,784458833162702848,Sana greet din ako ng idol ko @someuser on my day today. #hopeful #wagumasa #bakamasaktanlang,2016-10-07T18:22:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,784086753569181697,56097905,everyone,784144636449140736,@someuser @someuser baka in the future kayanin na maging mukhang natural kahit older than 25 HAHAHAHAH #kapitlang #hopeful #sana,2016-10-06T21:33:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,{'place_id': '01bb53b81ba40196'},#hopeful,67378408,"[{'type': 'replied_to', 'id': '784086753569181697'}]"
Instagram,783668141671022594,766757677783326721,everyone,783668141671022594,2 Timothy 1:7 NKJV | | #nofear #fearless #hopeful #nelsonmandela #mandela #inspiration #motivation... http://someurl,2016-10-05T14:00:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,782773390310383617,502566228,everyone,782773390310383617,"Finally, napaguusapan na US trip namin HAHA #2017Travels #Hopeful 🙌🏼",2016-10-03T02:44:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,{'place_id': '01bb53b81ba40196'},#hopeful,,
Twitter for iPhone,782225838930403328,145324790,everyone,782225838930403328,"October, maging mabait ka sana sakin! 😊 #hopeful #praying",2016-10-01T14:29:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Facebook,780549060201709568,547772639,everyone,780549060201709568,"Bale, sa sembreak pala kita makikilala. Hahahaha #hopeful chereeet http://someurl",2016-09-26T23:26:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,780285757806161920,747244917156515842,everyone,780285757806161920,Excited naku pra sa amung ship visit karung wednesday 🚢😊😊 | #hopeful,2016-09-26T05:59:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,777836800400384000,721317741559283712,everyone,777836800400384000,Bat nagsabay sabay kayo bes? 😭 #semifinals #hopeful http://someurl,2016-09-19T11:48:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
TweetCaster for Android,777517044434558976,579341189,everyone,777517044434558976,More than a year na akong hindi nakakapag-donate ng dugo. Kaya sana maging healthy na ako para qualified na ulit. | | #selftalk| #hopeful,2016-09-18T14:38:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,776785088662994949,744369852555501568,everyone,776785088662994949,Medyo ok Na Ako today Kasi nakabasa Na Ako kng words mo  and Tig pray Ko Na Saiya mga problems Ko. #ThankYouLord #Hopeful,2016-09-16T14:09:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Instagram,776611972703977474,403823560,everyone,776611972703977474,PullPush                        #noquestion #answer #lookingback #hopeful #texture #thepast... http://someurl,2016-09-16T02:41:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,"{'coordinates': {'type': 'Point', 'coordinates': [-117.91930675, 33.80696594]}, 'place_id': '0c2e6999105f8070'}",#hopeful,,
Twitter for Android,776238894991876097,761213622957637634,everyone,776238894991876097,🎶Tumingin saking mata| Magtapat ng nadarama🎶💘| @someuser | #cantwait| #hopeful| #NararamdamanKoTalagaBes,2016-09-15T01:59:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,775740493200289793,177424048,everyone,775740493200289793,Hay salamat... Mapapag bigyan din sa wakas.. 🙏🙏🙏 #hopeful,2016-09-13T16:58:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,775674864350826496,2885691438,everyone,775674864350826496,thesis defense na niya ugma. #hopeful,2016-09-13T12:37:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,775452438384041984,739751274598531072,everyone,775452438384041984,Pagod isip at katawan ko| #hopeful,2016-09-12T21:54:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,774644153753841664,4665482288,everyone,774651618163687425,@someuser sana mababa boses niya #hopeful 😂,2016-09-10T16:51:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,121636552,"[{'type': 'replied_to', 'id': '774648001784537088'}]"
Facebook,774584113860751360,1637801832,everyone,774584113860751360,Kahit na sa anong sitwasyon. Laging unahin ang Diyos 😇 #Blessed #Hopeful 😇☺ #INCForLife Isang napakagandang aral na naman ang naituro ☺😇,2016-09-10T12:23:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Facebook,774583038042710017,1637801832,everyone,774583038042710017,"Kahit sa anong sitwasyon, laging unahin ang Diyos 😇 Isang napakagandang aral na naman po ☺ #Blessed #Hopeful #",2016-09-10T12:19:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Facebook,774281921799094272,1325855042,everyone,774281921799094272,Kailan ko nanaman kaha ito makakamit? 󾰕󾌣󾍀| #hopeful,2016-09-09T16:22:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for iPhone,774049117458751488,329790754,everyone,774049117458751488,#HandaNaAkong guminhawa.. #hopeful,2016-09-09T00:57:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,773017115280355328,3031882827,everyone,773017115280355328,Kahit isa sa mga ito lang ngayong Birthday ko😢 #Hopeful http://someurl,2016-09-06T04:36:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",tl,,#hopeful,,
Facebook,772819659351392256,1956664842,everyone,772819659351392256,Di ako makatulog pero kailangan para bukas. Goodnight pips #Hopeful #Positive #Ready #Determined — listening to ichiban no takaramono.,2016-09-05T15:32:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
Twitter for Android,772647653746233344,284929648,everyone,772647653746233344,Laban lang...konting kembot na lang andyan na ang Christmas basket at hamon 😊 #hopeful #mondaymotivation #Monday,2016-09-05T04:08:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,,#hopeful,,
Twitter Web Client,771961782571298816,3606345441,everyone,771964795742523392,"@someuser pagbalik kasi ng KS, engaged na si M at A. tas dun na iikot yung story sa pamilya nila. hahaha. #hopeful| #ALDUBLolasUSBound",2016-09-03T06:55:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,4491895218,"[{'type': 'replied_to', 'id': '771961782571298816'}]"
Twitter for Android,771491437246500864,78204433,everyone,771499086662950916,@someuser thank you direk sa support.hoping matuloy ang project niyo with kimxi #hopeful #praying,2016-09-02T00:04:50.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",tl,,#hopeful,33326861,"[{'type': 'replied_to', 'id': '771491437246500864'}]"
Twitter for Android,771131039389392896,4851935739,everyone,771181491707445249,"@someuser wow, sana kasama po ang Mclisse. #hopeful",2016-09-01T03:02:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,27185634,"[{'type': 'replied_to', 'id': '771131039389392896'}]"
Twitter for Android,771021749789925376,51402691,everyone,771021749789925376,Eto na naman BD1 na namaaan kabado na naman huhu please sana walang issues!! #hopeful,2016-08-31T16:28:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,,#hopeful,,
