reply_settings,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,geo,in_reply_to_user_id,referenced_tweets
everyone,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 27, 'quote_count': 0}",2016-12-30T23:47:17.000Z,814981212389470209,814981212389470209,Twitter for iPhone,15767103,en,the saddest trip to Trader Joes is the trip when youre full of diner food and make no ill advised impulse purchases @someuser #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:46:09.000Z,814980927059349506,814980927059349506,Twitter for iPhone,814078117891502080,en,"I want to move away so I can start my life all over again. Itll be tough, but maybe itll work. #sad #alone",#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:51.000Z,814980851398119424,814980851398119424,isaiah_ebooks,2959585485,en,Literally going to cry and be #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:18.000Z,814980715582341120,814980715582341120,Instagram,1665319248,en,"Going to have some lovely scars on my fingers now, Im so clumsy🙈😔 #sad #toptags #sad top.tags... http://someurl",#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:43:24.000Z,814980236249038848,814980236249038848,Twitter for iPhone,946451922,en,#sad#sacks http://someurl,#sad,,,"[{'type': 'quoted', 'id': '814481677653315588'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:43:14.000Z,814980193181831168,814920722208296960,Twitter for iPhone,760327121466036226,en,@someuser @someuser @someuser This is really a #sad list.,#sad,,25073877,"[{'type': 'replied_to', 'id': '814920722208296960'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:40:11.000Z,814979427113144322,814979427113144322,DragPlus,2494056594,en,A sad way to end the year #sad http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:39:32.000Z,814979260796571648,814979260796571648,Twitter Web App,335416515,en,"For the first time in my life, I read the names given in BBC article for #NewYearsHonours and felt that not one of them deserved it. #Sad",#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:39:20.000Z,814979210641031168,814964293305323525,Twitter for iPhone,794344941149360128,en,"@someuser You and Trump are the biggest puppets of all, and you dont even know it. Putin has Trump in the palm of his hand. #SAD",#sad,,3065685213,"[{'type': 'replied_to', 'id': '814966206792925185'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:36:06.000Z,814978398497869824,814978398497869824,Twitter Web Client,4211873294,en,"The excitement, angst and dread of doing an end of year top 10 movie list. #happy #sad #2017 #newyearnewme",#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:36:03.000Z,814978385583767552,814978385583767552,Twitter for Android,1694330958,en,"This Beggar King, no gravitas #sad| #DonaldTrumpReadsGOT",#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:35:04.000Z,814978140292321280,814976542325477376,Twitter for iPhone,805160941587283968,en,@someuser @someuser #LOL I watch @someuser every morning from SF Bay Area. So dont speak 4 peeps from West Coast. #Sad #Loser,#sad,,4015669700,"[{'type': 'replied_to', 'id': '814977059164332032'}]"
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:34:38.000Z,814978027746574336,814978027746574336,Twitter for iPhone,1395644150,en,Does anyone feel like crying? This will help. http://someurl #Unpresidented #SAD #TRUMP,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:33:16.000Z,814977684803620864,814977684803620864,Twitter for Android,43214732,en,Ok has a coach even asked anyone to block #9 because no one is doing a thing. #sad cmon #Husker #Oline do something.,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:28:41.000Z,814976533202878464,814976533202878464,Twitter for iPhone,786485732777000961,en,@someuser I died a little inside when I saw this overpriced great gift #sad #sexist #dontsellthisshit #toronto http://someurl,#sad,,46975958,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:27:40.000Z,814976276905754624,814976276905754624,Twitter for Android,788220976353861633,en,R.I.P Donielle sweetie pie sorry we had to say bye to you today.Hope will meet again someday.#Sad,#sad,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-30T23:27:07.000Z,814976138120347648,814923284395343872,Twitter for iPad,1368100356,en,@someuser @someuser #TrumpInaugurationhymn | What a friend we have in Putin ?| Bringing in the Sheeple ?| His eye is on the pussy ?| #sad,#sad,,46682998,"[{'type': 'replied_to', 'id': '814923284395343872'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:21:01.000Z,814974604322177029,814974604322177029,Sprout Social,115398087,en,Seasonal Affective Disorder: SAD - symptoms and what you can do http://someurl #SAD #brainbalance http://someurl,#sad,,,
everyone,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-30T23:19:49.000Z,814974301526953984,814969153190764544,Twitter Web Client,3171911561,en,@someuser @someuser I think its time for one of Trumps monthly intel briefings. #sad,#sad,,728981660566433792,"[{'type': 'replied_to', 'id': '814969153190764544'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:19:08.000Z,814974127694024704,814974127694024704,Twitter for iPhone,1470333302,en,Huskers simply canNOT tackle Dobbs. Unreal #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:14:53.000Z,814973059178393600,814973059178393600,Twitter for iPhone,102196166,en,I just got my record player in the mail and I already have to ship it off to get fixed. 😔😔😔 #Sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:14:51.000Z,814973050647117824,814973050647117824,Twitter for iPhone,358047823,en,Sad news from @someuser today 😔 Im still glad you favorited my tweet when I made that @someuser logo on my wall ❤️ #sad #news #getwell http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:14:34.000Z,814972980438663168,814958820980039681,Twitter for Android,15007269,en,U pick the news network w/ 10℅ truth rating http://someurl @someuser @someuser @someuser @someuser| |  #sad,#sad,,25073877,"[{'type': 'replied_to', 'id': '814958820980039681'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:12:18.000Z,814972409585528832,814972409585528832,Share.Radionomy.com,2814657699,en,Now playing  :  Oskar Schuster -  Paris Est on| | http://someurl| | #sadmusic #sadsong #sad,#sad,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:11:50.000Z,814972289884291072,814970752491487233,Twitter for iPhone,632437663,en,"@someuser @someuser @someuser nope, and they never will, they dont understand that were irredeemable either... #Sad",#sad,{'place_id': 'e0060cda70f5f341'},49190063,"[{'type': 'replied_to', 'id': '814970752491487233'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:09:33.000Z,814971718628360192,814971718628360192,Twitter for iPhone,1518615900,en,"Rest In Peace, Princess. | Rest In Peace, Grandma Aggie. | #sad",#sad,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:08:39.000Z,814971491930415104,814971491930415104,Twitter Web Client,32427624,en,"Scared a lady today. Its raining & I noticed her tires bald. Instead of lowering her window to hear, she locked her doors! #sad #fearsucks",#sad,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:08:02.000Z,814971334363140100,814971334363140100,SquillopTweetBot,3091190290,en,new #Stickers for iOS 10!| | http://someurl| | #indiedev #sad #grumpy #iMessageApps #iMessage #miserable #happymeal Bot23:8,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:03:06.000Z,814970095919316992,814968627027972097,Twitter Web Client,2380724779,en,@someuser @someuser WBA just cant let him leave can they #sad,#sad,,111556576,"[{'type': 'replied_to', 'id': '814968627027972097'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:02:54.000Z,814970044681777152,814970044681777152,Twitter for iPhone,1096804676,en,Ugh #NorthCarolina 🏈 I was so rooting for you to win!! #Sad,#sad,{'place_id': '0121f9435fdae948'},,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:00:16.000Z,814969378974339072,814969378974339072,Twitter for iPhone,809541609478045697,en,Hunt is almost over. #sad http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T22:59:20.000Z,814969146769190916,814954819869929472,Twitter for iPhone,135745278,en,@someuser this is going to happen in the US more often #sad,#sad,,759251,"[{'type': 'replied_to', 'id': '814954819869929472'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:58:52.000Z,814969029831966720,814969029831966720,Twitter Web Client,2238984758,en,Recorded #Sad Eyes on #SingSnap #karaoke http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:54:53.000Z,814968027368267776,814968027368267776,Instagram,2321772588,en,HATIN ON YO PEOPLE IS THE NEW COOL... #SAD... #UNDERSTANDING #WITNESS #VERYoften #1Of1... http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:53:42.000Z,814967728951926784,814967728951926784,Twitter for iPhone,52397626,en,The only thing i accomplished in 2016 was the water bottle flip challenge thingy... #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:52:35.000Z,814967449271627776,813498739923054593,Twitter for Android,2441607244,en,@someuser so you really have NOTHING to do in your life than trash ppl #SAD,#sad,,25073877,"[{'type': 'replied_to', 'id': '813498739923054593'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:52:17.000Z,814967372008157184,814967372008157184,Twitter for Android,814515345989873664,en,Sometimes all you need is someone to pick you up off the floor and tell you that you arent worthless | | #photography #lights #beautiful #sad http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:51:14.000Z,814967106181668864,814967106181668864,Twitter for iPad,805732443479310336,en,It doesnt get any better seeing Dobbie the house-elf dying #sad #JKRowlings #HarryPotter 😥😥😥😥😥😥😥,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T22:50:56.000Z,814967030902190081,814967030902190081,Twitter Web Client,805160941587283968,en,#LOL  #Putin plays @someuser @someuser again...#Sad | | #MAGA #TRUMP #NeverTrump #resist #dumptrump #TrumpTrain #Trump2016 #ObamaLegacy http://someurl,#sad,,,"[{'type': 'quoted', 'id': '814931332383969280'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:49:57.000Z,814966783392305152,814957616770203648,Twitter for Windows Phone,3031491880,en,@someuser can I come over Tomorrow? Im staying home not celebrating#sad,#sad,,2156278138,"[{'type': 'replied_to', 'id': '814957616770203648'}]"
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2016-12-30T22:49:02.000Z,814966554244759553,814961324652429312,Twitter for Android,411013700,en,@someuser Trump dosnt need advisors...he knows everything #sad,#sad,,14511951,"[{'type': 'replied_to', 'id': '814961324652429312'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:47:37.000Z,814966196189745152,814966196189745152,Instagram,191976902,en,Make it almost 6 years now... #sad #fancysthoughts #readmore http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T22:43:35.000Z,814965183470858241,814965183470858241,Twitter for iPhone,272149116,en,You could do a favor one time for somebody and theyll take it for a habit... #sad,#sad,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:42:02.000Z,814964793761271812,814964793761271812,Twitter Web Client,34910687,en,I just read @someuser will be the most disliked President in the history of USA. Is It how he wants his children to remember him #sad,#sad,{'place_id': '36775d842cbec509'},,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:41:05.000Z,814964554950201354,814964554950201354,Twitter for iPhone,2435570929,en,When cleaning your room starts to look good then you look at the bed and its a WHOLE different mess on top of it ... FmL #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:40:04.000Z,814964298149724161,814964298149724161,Twitter for Android,1449770029,en,.@someuser @someuser @someuser well done! #Sad @someuser will try 2 grab credit. But @someuser culminates 8 impressive yrs http://someurl,#sad,,,"[{'type': 'quoted', 'id': '814940600608948224'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:40:02.000Z,814964288548966400,814964288548966400,Tweetbot for iΟS,711687970118615041,en,oh how much more #sad can this year get http://someurl,#sad,,,"[{'type': 'quoted', 'id': '814924475795767296'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:39:55.000Z,814964260581220352,814964260581220352,Twitter for iPhone,556650618,en,Nap time 😴😹 #Sad💀,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:37:20.000Z,814963610027835392,814962794965635072,Twitter Web Client,142375727,en,@someuser aka #CouchSurfer. Time 4 this old man 2 stp flapping hs gums #HillarysBoyBernie still trying 2 b relevant #Sad #ObamasLegacy,#sad,,216776631,"[{'type': 'replied_to', 'id': '814962794965635072'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:37:15.000Z,814963590478237696,814919370711461890,Twitter Web Client,110572212,en,@someuser you are such a puppet. #sad #MAGAtt,#sad,,25073877,"[{'type': 'replied_to', 'id': '814919370711461890'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:35:30.000Z,814963147752742914,814963147752742914,Twitter for iPhone,55600626,en,Watching Dobby die never gets any easier!!! #HarryPotter #dobby #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",2016-12-30T22:35:23.000Z,814963119084683264,814963119084683264,Twitter Web App,177703470,en,"@someuser #BigBoss10, Its nt luking good sir to have a double standard #celebrities vs #indiawale.#uneqal law#shocking decision #sad",#sad,,132385468,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-30T22:34:55.000Z,814963003296772096,814963003296772096,Twitter for Android,2223209961,en,Im super excited @someuser  is doing a separate Offices & Bosses podcast but also extremely upset I have no way of paying to listen #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:34:32.000Z,814962903153459201,814919370711461890,Twitter Web App,803466335984488448,en,"@someuser Being your puppetmaster doesnt require smarts. Youll accept your narcissistic supply from anyone, anytime. #Sad",#sad,,25073877,"[{'type': 'replied_to', 'id': '814919370711461890'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:34:30.000Z,814962898707607552,814962898707607552,Instagram,603664121,en,RIP George ❤️| -| -| -| -| -| -| -| #faith #love #sad #hero #superstar #gay #me #art http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:34:26.000Z,814962877870309376,814962877870309376,Twitter for Android,600922957,en,I loved exo until i met the fandom that came with it | #sad #exo #fandom #love #war #injustice #disrespect #disgusted http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T22:31:55.000Z,814962245859995648,814952016317448192,Twitter for iPad,1048157184,en,@someuser @someuser @someuser ..OMG ...I dont want to watch ...but I will #Sad😭😭😭,#sad,{'place_id': '7c426a2070a154db'},354470528,"[{'type': 'replied_to', 'id': '814952016317448192'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-30T22:30:43.000Z,814961946311196673,814958820980039681,Twitter for Android,797959667049754625,en,@someuser @someuser @someuser @someuser @someuser | I usually rip the scratch & sniff cards out right away and throw in the trash #sad,#sad,,248300454,"[{'type': 'replied_to', 'id': '814959442361991169'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:30:29.000Z,814961886315814914,814961886315814914,Twitter for Android,2963148310,en,"And when I think I have done a lot, it happens that I have not done anything at all. #sad #feelingbad 😶😣",#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:28:44.000Z,814961443745464321,814961443745464321,Share.Radionomy.com,2814657699,en,Now playing  :  Clara Ponty -  Rapture on| | http://someurl| | #melancholy #sad #melancholymusic,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:28:35.000Z,814961406760067072,814946856249729024,Twitter Web Client,20189132,en,@someuser Ive alreadyfinished my Grimmathon.....now on countdown for season 6....what am I going to do when it ends?? #grimm #lost #sad,#sad,,294149214,"[{'type': 'replied_to', 'id': '814946856249729024'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:28:09.000Z,814961300673560578,814959897624379392,Twitter for Android,1930255502,en,"@someuser @someuser @someuser and I didnt see my name... So #Sad 😔, no phone for the Year Begin",#sad,,29873662,"[{'type': 'replied_to', 'id': '814959897624379392'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:18:20.000Z,814958828357873669,814958828357873669,Twitter Web Client,96231732,en,Loneliness and the feeling of being unwanted is the most terrible poverty. Feeling #sad. #goodnighteveryone,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:11:56.000Z,814957217120219137,814957217120219137,Twitter for iPhone,17684842,en,That must be why he cant tackle Russian hacking issue until next week.#sad http://someurl,#sad,,,"[{'type': 'quoted', 'id': '814955738586087424'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:11:44.000Z,814957165894959105,814956852186386432,Twitter for iPhone,590524256,en,@someuser @someuser this Trump  idiot is nothing but a joke hes just a troll that thinks hes patriotic but yet he the opposite #sad,#sad,,708469304702996481,"[{'type': 'replied_to', 'id': '814956852186386432'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:10:25.000Z,814956835065262080,814956835065262080,Twitter for Android,1437407389,en,There is a rare time where a story is featured on multiple platforms of electronic /social media. Did not see on Twitter 1st. Plausible #Sad http://someurl,#sad,,,"[{'type': 'quoted', 'id': '814954330117836802'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:10:20.000Z,814956814932574209,814956814932574209,Twitter for Android,1037612160,en,For all the free sax work Ive done for everyone its amazing Im having so much trouble finding 1 producer. #sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:09:57.000Z,814956718648164352,814956718648164352,FeliciaCruhz,797200217150025728,en,#GeorgeRRMartin relieved after #Sad #Puppies #Hugo awards defeat #books #reading http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:09:12.000Z,814956529283637254,814956529283637254,Instagram,330918139,en,Idk.. I look weird in this 😂😂| |  #photooftheday #vacation #struggleisreal #sad #clotheslove... http://someurl,#sad,"{'place_id': '01b763b150004405', 'coordinates': {'type': 'Point', 'coordinates': [125.63713665, 7.10279251]}}",,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:09:08.000Z,814956514125299712,814956514125299712,Twitter Web Client,1035526621,en,Does the NSA know youre saying this shit? CIA? Congress? This kinda thing used to put one on a watch list. It puts YOU on a #sad list. http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:08:02.000Z,814956238156992512,814956238156992512,SquillopTweetBot,3091190290,en,new #Stickers for iOS 10!| | http://someurl| | #indiedev #sad #grumpy #iMessageApps #iMessage #miserable #happymeal Bot22:8,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:07:36.000Z,814956127989407744,814956127989407744,Twitter for iPhone,78221991,en,Do you know how many dorks I know that actually DESERVE a shot with a hot chick that will probably never get that opportunity? #Sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:06:31.000Z,814955855477178368,814955855477178368,Twitter Web Client,14229632,en,#Dilbert #Comic for 2014-01-01 by #ScottAdams http://someurl via @someuser #ComicStrip #Comics #Truth #Repeating #History #Sad,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",2016-12-30T22:04:51.000Z,814955433781653504,814955433781653504,Twitter for iPhone,27938964,en,Splurged on @someuser and its like half empty when I opened it 😞 #sad #moreplease http://someurl,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",2016-12-30T22:03:13.000Z,814955022140047361,814954819869929472,Twitter for iPhone,22977459,en,@someuser | That is so sad for the baby and for the poor lady who felt that was her only option #sad,#sad,,759251,"[{'type': 'replied_to', 'id': '814954819869929472'}]"
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:02:15.000Z,814954781986930689,814954781986930689,Twitter for Android,2269413898,en,@someuser Thnx fr my #Celebrations 5×Maltesers 1×GalaxyCaramel 3×Galaxy 9×Snickers 13×Mars 7×Twix 6×Bounty 6×MilkyWay #Joke #nogalaxy #sad http://someurl,#sad,,300360969,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T22:00:55.000Z,814954444421025793,814954444421025793,Twitter for iPad,1587151591,en,"Yes, smart enough to make a complete joke of the #US #election and apparently... get away with it. #DonaldLovesVladimir #kissykissy #sad http://someurl",#sad,,,"[{'type': 'quoted', 'id': '814923259573600256'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T21:59:59.000Z,814954211565858821,814954211565858821,Buffer,15638231,en,Easy Self-Care Strategies That Counteract Seasonal #Depression http://someurl #SAD,#sad,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T21:59:56.000Z,814954195606380544,814954195606380544,Twitter Web Client,16092352,en,Make Amerussia great again #doomed #shocked #appalled #sad (still),#sad,,,
