source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,in_reply_to_user_id,referenced_tweets,geo
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",945155533,"Aao ji, kaao ji, idhu dhaanda pao bhaji!! @someuser #fantastic thinking!!! Awesome song!",794912653982318592,794912653982318592,hi,everyone,2016-11-05T14:42:00.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",75522981,"तू किसी रेल सी गुजरती है, मै किसी पुल सा थडथडाता हुँ । #Fantastic #saturday #pollution",794881992684748800,794881992684748800,hi,everyone,2016-11-05T12:40:09.000Z,#fantastic,,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1404272064,#am_waiting Vijay Sethupathi #fantastic http://someurl,792622482301693952,792622482301693952,hi,everyone,2016-10-30T07:01:40.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",783332844982722561,@someuser @someuser anushka ji v. talented.....#Fantastic,790897021922189312,790556033760370692,hi,everyone,2016-10-25T12:45:18.000Z,#fantastic,207997374,"[{'type': 'replied_to', 'id': '790556033760370692'}]",
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",736929324259905536,( ु ›ω‹ ) ु♡#チュサンウク  #주상욱  #朱相昱  #joosangwook  #joosanguk  #판타스틱  #ファンタスティック  #Fantastic http://someurl,789865511618158592,789865511618158592,hi,everyone,2016-10-22T16:26:27.000Z,#fantastic,,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",843529538,व्‍हाट्सएप ने जोड़ा यह शानदार फीचर| #WhatsApp #added #fantastic #feature http://someurl,789729980729004032,789729980729004032,hi,everyone,2016-10-22T07:27:54.000Z,#fantastic,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",736929324259905536,( ु ›ω‹ ) ु♡| #チュサンウク  #주상욱  #朱相昱  #joosangwook  #joosanguk  #판타스틱  #ファンタスティック  #Fantastic http://someurl,789485983242694656,789485983242694656,hi,everyone,2016-10-21T15:18:21.000Z,#fantastic,,,
Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1706809609,@someuser @someuser #fantastic Mai bhi inki sirat ki Bahot badi #fan Hu.kya khub wah ishq ho Gaya 👏🏼👏🏼😍,787724992163172353,787693033076600832,hi,everyone,2016-10-16T18:40:48.000Z,#fantastic,490997428,"[{'type': 'replied_to', 'id': '787693033076600832'}]",
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",29204063,Jisoo is bae. #fantastic http://someurl,787540663592103936,787540663592103936,hi,everyone,2016-10-16T06:28:20.000Z,#fantastic,,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2900399070,#nAvrAtri  #7day #osm     #fantastic  #garba #full_on #mastii_with_friends — feeling awesome at Adhyashakti Garba... http://someurl,784649196045373440,784649196045373440,hi,everyone,2016-10-08T06:58:41.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",359199781,@someuser sir aap toh commentatory ke saath saath yaha bhi #fantastic ho...#superman #mulitalented.,782547834537144320,782471072625012737,hi,everyone,2016-10-02T11:48:37.000Z,#fantastic,176295495,"[{'type': 'replied_to', 'id': '782471072625012737'}]",
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",73549457,Play the #Fantastic #Giveaway contest from @someuser & win Priya Darshini Vijaya Lakshmi Kavitha Kavi http://someurl,778887687176544256,778887687176544256,hi,everyone,2016-09-22T09:24:30.000Z,#fantastic,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4045925668,jashne ghadeer mubarak to all 🏃👓#Sweet😘😘 👑💯💮#Awesome😍💋 🍎🍒🍑#Beautiful🎻🔭 🔯🔥#Handsome🏄👓 🔄🔁#Fantastic✔✔✔ ⏩✴❄#Romantic😍😘 ✨🌹🌾#Wonderfull🌼🌸🍁 ♥🌴🌱🌺🌻🌼,778331673360527360,778331673360527360,hi,everyone,2016-09-20T20:35:06.000Z,#fantastic,,,
Twitter SMS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3346778833,Study:| *English To Urdo*| #Fantastic | (Bohat acha)| | #Some time| Kabhe kabhe| | #Untill / unless | (Jab tak)| | #Besid.| (Nazdeek)| | Dream.| (Khawab),778097304888864768,778097304888864768,hi,everyone,2016-09-20T05:03:48.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2748675848,Na she juda ta la ma| ta me jwandun ta me saa| khalko wawray yaar me laaro bewafa| dil-ruba na raazi| pa khanda na raazi #Fantastic| #CokeStudio9,769253415197212673,769253415197212673,hi,everyone,2016-08-26T19:21:20.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",20976979,"Socha tha jaldi so jaon ga aaj, logon ke maslay solve kerte guzar gaya time #Fantastic",766374646992297985,766374646992297985,hi,everyone,2016-08-18T20:42:09.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",3229425000,@someuser Yo Yo Rakshabandhan  #Fantastic  sir,766265222210486272,766245301497782272,hi,everyone,2016-08-18T13:27:20.000Z,#fantastic,769727912,"[{'type': 'replied_to', 'id': '766245301497782272'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",864739213,Yeh sub tumhara karam hai #Aaqa k baat ab tak bani hui hai. #fantastic #nothingmoreimpressive #CokeStudio9,764469017121808384,764469017121808384,hi,everyone,2016-08-13T14:29:51.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4554278234,तिमी भए ह्याप्प्प्प्प्प्प्पी | ह्याप्प्प्प्प्प्प्प्प्प्प्प्प्प्प्प्पी| ह्याप्प्प्प्प्प्प्प्प्प्प्प्प्पप्प्पी| | #wonderful #fantastic गीत,763965821810937856,763965821810937856,hi,everyone,2016-08-12T05:10:20.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2849182675,@someuser हाउ! #fantastic 😆😅😄😏😎😍,761858887742066688,759754881473196036,hi,everyone,2016-08-06T09:38:08.000Z,#fantastic,3294184778,"[{'type': 'replied_to', 'id': '759754881473196036'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2209989792,Jisoo😍😍😘💕💕 #fantastic http://someurl,760827975478632453,760827975478632453,hi,everyone,2016-08-03T13:21:39.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2909856613,Aaj to jabda me dard la dia aapne 😀#fantastic #TheKapilSharmaShow @someuser,759445935957172224,759445935957172224,hi,everyone,2016-07-30T17:49:55.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",3243287510,@someuser @someuser @someuser pehchaan hee toh banani hai.or iss duniya mai karna hee kya hai..#Fantastic dialogue..@someuser,759263095072129025,759263095072129025,hi,everyone,2016-07-30T05:43:22.000Z,#fantastic,73896043,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",217968621,Japanese local sake 🍶👍😊| | #sake #ricewine #japanesesake #madeinjapan #cooljapan #cool #fantastic... http://someurl,757888657680244736,757888657680244736,hi,everyone,2016-07-26T10:41:51.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",705756411213512704,@someuser | Hey dhoop kitni magar na saya| jo kal tha apna hey aj prayaa| #AapKLiye #Shaheer #Fantastic http://someurl,757104865407561728,757104865407561728,hi,everyone,2016-07-24T06:47:20.000Z,#fantastic,65636227,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",1217438592,भरोसाखुदापरहैतोजोलिखाहैतकदीरमें| वोहीपाओगेमगर| भरोसाअगरखुदपरहैतोखुदावहीलिखेगाजोतुमचाहोगे| #Fantastic #cool #background http://someurl,752444755087417344,752444755087417344,hi,everyone,2016-07-11T10:09:44.000Z,#fantastic,,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",185624548,तुम्ही Whatapp वर आहात न?? #Fantastic #Kavita  :) http://someurl,751410752985165825,751410752985165825,hi,everyone,2016-07-08T13:40:58.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1217438592,मुझसे नफरत करने वालो एक काम करो| | सुधर जाओ नहीं तो गुजर जाओ -------A_M_S_H_F_C | #cuteness #always #fantastic #cool http://someurl,748792058991636481,748792058991636481,hi,everyone,2016-07-01T08:15:13.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",748035056304791552,भंसाली की पद्मावती से बॉलीवुड में डेब्यू करेंगी अंकिता लोखंडे|  http://someurl| Source: Live Hindustan| #Fantastic devue,748490394959175681,748490394959175681,hi,everyone,2016-06-30T12:16:31.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",17732378,#Fantastic #Friday ko kaam mat karna coz weekend ki maa behan ek mat karna,743674216315183104,743674216315183104,hi,everyone,2016-06-17T05:18:44.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2407569583,@someuser| #Fantastic 👏| Chahe ye zameen ye Aasmaan rahein naa rahe..Tere Mere Pyaar ki Umar Salamat rahe..❤| Me lost in this song #Breakfast,739717262920163330,739717262920163330,hi,everyone,2016-06-06T07:15:13.000Z,#fantastic,155791874,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1200573703,"Hahaha :D LOL :D #FANTASTIC 6 :P (Y)| Aishwaria Dusane, Aishwaria Dusane, Harshida Pankhanya, Harshida Pankhanya,... http://someurl",737217702306021377,737217702306021377,hi,everyone,2016-05-30T09:42:51.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",3299826547,@someuser #mast #superb #fabulous #fantastic...bhai😉😀,735114384029192193,735112842244849664,hi,everyone,2016-05-24T14:25:01.000Z,#fantastic,132385468,"[{'type': 'replied_to', 'id': '735112842244849664'}]",
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1447247203,@someuser Aaisa tou nahi ki her jagah aap hi dikhne lage hain:))haha.Aaj ka News Paper #Fantastic 👍🏼#HTCity :)),733506581829033984,733492236286070785,hi,everyone,2016-05-20T03:56:11.000Z,#fantastic,1447247203,"[{'type': 'replied_to', 'id': '733506086167158784'}]",
Mobile Web (M2),"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3934642762,Jab ham #Alcohol pite he toh.. Log hame #Alcoholic bulate he.... Par jab ham #Fanta pite he toh..log hame #Fantastic kyu nai bulate ??:|:D,729982758731304960,729982758731304960,hi,everyone,2016-05-10T10:33:46.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",519197243,@someuser kya to ad banaya hai...... #superb #mindblowing #fantastic,728993585312333824,728150621023436800,hi,everyone,2016-05-07T17:03:09.000Z,#fantastic,67378160,"[{'type': 'replied_to', 'id': '728150621023436800'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4216621774,@someuser @someuser @someuser @someuser @someuser | http://someurl| Akshay Kumar New Songs #H3 Taang Uthake | #Fantastic,728586401655209984,728586313037840389,hi,everyone,2016-05-06T14:05:09.000Z,#fantastic,763292478,"[{'type': 'replied_to', 'id': '728586313037840389'}]",
Twitter for Android,"{'retweet_count': 29, 'reply_count': 1, 'like_count': 17, 'quote_count': 0}",3148431282,#इनकी_भी_तारीफ़_करो| @someuser | तुम दिल की धड़कन में रहते हो रहते हो ...| #Fantabulous| #Fantastic| #Wow| 🎶🎶🎶🎶🎻🎤,727628390778343424,727623263963090944,hi,everyone,2016-05-03T22:38:21.000Z,#fantastic,3148431282,"[{'type': 'replied_to', 'id': '727623263963090944'}]",
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3501035478,@someuser #FANtastic Bhaijan Love,727177458844315648,727177458844315648,hi,everyone,2016-05-02T16:46:31.000Z,#fantastic,101311381,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",211179102,Simhasth  #fun #fantastic #lotsofwork #newfriends #awesome #crowd #devotion #kshipra #kalautsav... http://someurl,727015591744311296,727015591744311296,hi,everyone,2016-05-02T06:03:19.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",41771774,@someuser  #Karanjohar Bhai #Fantastic #Truefacts #funny http://someurl,724296241748795393,724296241748795393,hi,everyone,2016-04-24T17:57:35.000Z,#fantastic,57928790,"[{'type': 'quoted', 'id': '724295402413936640'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2910798702,Loved #Fan....aur jinhe pasnd nahi aayi unke liye bas itna Hi Tu Nahi Samjhega| #FANtastic Sunday,721683343381762048,721683343381762048,hi,everyone,2016-04-17T12:54:51.000Z,#fantastic,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",51477955,Just saw #FANtastic Sunday ... Tu nahi samjhega jab tak movie nahi dekhega ☺️😍❤️ just #FANtabulous.#Srk 🙌🏻 @someuser http://someurl,721619556792307712,721619556792307712,hi,everyone,2016-04-17T08:41:24.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2759120323,Watching 3rd TIME | #Love u So much @someuser Sir Sirf Star Nahi Hai Duniya Hai Meri | #Fantastic Sunday http://someurl,721582478423527424,721582478423527424,hi,everyone,2016-04-17T06:14:03.000Z,#fantastic,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",181984569,@someuser| Dil haar kar dil ki baazi jeet te ho| tum acting nehi sirf pyaar karte ho........... #FANtastic #Mr. Khan | love u,721430178921062400,721430178921062400,hi,everyone,2016-04-16T20:08:52.000Z,#fantastic,101311381,,{'place_id': '70957ac3123b3249'}
Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",870926598,Superb Film @someuser se najar hath nahi raha.doobara dekhne ja raha hoon.#FANtastic. #KHANtastic,721320895327924226,721320895327924226,hi,everyone,2016-04-16T12:54:37.000Z,#fantastic,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",772966219,"@someuser @someuser Sir ne ghazab kaam kiya hai,kamaal ki acting,#FANtastic #FANmovie",721033789913374720,721030246347235328,hi,everyone,2016-04-15T17:53:46.000Z,#fantastic,3233303094,"[{'type': 'replied_to', 'id': '721032401850404864'}]",
Twitter for Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3734871024,@someuser Sir aap pehle aise actor hai Jo apne sath sath apni Film team Ka bhi khoob khayal Rakhte hai..U are #FANtastic #FAN200ndcounting,720975436474425344,720975436474425344,hi,everyone,2016-04-15T14:01:53.000Z,#fantastic,101311381,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1361512465,"Aaj mai jo kuch bhi hu apne fans ki wajah se...., #FANtastic performances by @someuser in Fan.",720974130284105728,720974130284105728,hi,everyone,2016-04-15T13:56:42.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1363832480,@someuser gaurav h to aryan h .. gaurav nhi to aryan kuch bhi nhi . Wohoo #FANtastic #jabrafan #hearttouching #loveusrk #FAN #FirstDayFANShow,720914735928094720,720914735928094720,hi,everyone,2016-04-15T10:00:41.000Z,#fantastic,101311381,,"{'place_id': '317fcc4b21a604d5', 'coordinates': {'type': 'Point', 'coordinates': [77.138329, 28.6625111]}}"
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",104772074,Shah Rukh Khan as Gaurav is mind blowing and #FANtastic,720850798754660352,720850798754660352,hi,everyone,2016-04-15T05:46:37.000Z,#fantastic,,,
Twitter SMS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3346778833,#Study:| Englis to Urdu| #Fantastic| Bohat Acha| #Some Times| Kabhe Kabhe| #Untill/Unless| Jab Tak| #Beside| Nazdeek| #Between| Darmyan| #Who| Kon| #Asim,719075012116901888,719075012116901888,hi,everyone,2016-04-10T08:10:17.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",3252518154,Make up Saralzar Noob film 3 #makeupmovie #makeupartist #makeupfx #movie #fantastic #Noob #workshop http://someurl,718380003591921664,718380003591921664,hi,everyone,2016-04-08T10:08:34.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",350115345,@someuser #Fantastic idea this😃 What say Maam!?😊 | आपके नाम का तो पुरा जंगल हो जाएगा फिर!!😁😄 #RavsNationalPark! http://someurl,716194082704363520,716194082704363520,hi,everyone,2016-04-02T09:22:30.000Z,#fantastic,291557277,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1645322550,"Woh sikandar hai doston , Haari baazi ko jeetana jise aata hai !!@someuser #IndvsAus #SuperSoulSunday #fantastic #Cricket #challangeaccepted",714145129854939140,714145129854939140,hi,everyone,2016-03-27T17:40:41.000Z,#fantastic,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",588888467,@someuser  #FANTAstic Holi moments !| Dahi bhalle | ♥| Gujiya http://someurl,713023895100493824,712581159138508800,hi,everyone,2016-03-24T15:25:18.000Z,#fantastic,3279507235,"[{'type': 'replied_to', 'id': '712581159138508800'}]",
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",836236310,katya_gochez 😘 #fantastic #days with #friends #happylife #colonia #sanrafael #cuauhtemoc #cdmx... http://someurl,712748418607747073,712748418607747073,hi,everyone,2016-03-23T21:10:39.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1929424340,#IndvsBan #dhoni #awesome #fantastic #interesting jai ho,712698365310423040,712698365310423040,hi,everyone,2016-03-23T17:51:46.000Z,#fantastic,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",232038528,"@someuser #FANTAstic Holi Ke Rang,Fanta hai Sang! De Jaaye Meethi si Yaadien, Sab Ke liye Ranga Rang! Happy Holi! http://someurl",712583732025135104,712583732025135104,hi,everyone,2016-03-23T10:16:15.000Z,#fantastic,3279507235,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",232038528,"@someuser #FANTAstic Holi Ke Rang, Fanta Se Sang! De Jaaye Meethi si Yaadien, Sab Ke liye Ranga Rang! Happy Holi! http://someurl",712583440856559616,712581159138508800,hi,everyone,2016-03-23T10:15:06.000Z,#fantastic,3279507235,"[{'type': 'replied_to', 'id': '712581159138508800'}]",
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3165013320,@someuser @someuser @someuser | #FanAnthem of Shahrukh KhAnthem is #FanTastic 😊,711158421383286784,711014378892439552,hi,everyone,2016-03-19T11:52:34.000Z,#fantastic,211073567,"[{'type': 'replied_to', 'id': '711109383443230720'}]",
Facebook,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",166683624,#FACEBOOK par dekhkar lagta hai duniya mein koi dukh takleef hai hi nahin.. 󾌲 | Kaashhh sabki life itni #FANTASTIC... http://someurl,711103531961294848,711103531961294848,hi,everyone,2016-03-19T08:14:28.000Z,#fantastic,,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",585609715,#::》》♡♡☆Rihanna-Work|Sakhiya Cheliya(Vidya Mashup)#󾠃󾠔󾠔fantastic beats#󾬏 http://someurl,710839404210814977,710839404210814977,tl,everyone,2016-03-18T14:44:55.000Z,#fantastic,,,
Twitter SMS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3346778833,#Study:| Englis to Urdu| | #Fantastic| Bohat Acha| | #Some Times| Kabhe Kabhe| | #Untill/Unless| Jab Tak| | #Beside| Nazdeek| | #Between| Darmyan| | #Who| Kon,710468230049980420,710468230049980420,hi,everyone,2016-03-17T14:10:00.000Z,#fantastic,,,
Twitter SMS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3346778833,*Study*| Englis to Urdu| | #Fantastic| Bohat Acha| | #Some Times| Kabhe Kabhe| | #Untill/Unless| Jab Tak| | #Beside| Nazdeek| | #Between| Darmyan| | #Who| Kon,707062600438308864,707062600438308864,hi,everyone,2016-03-08T04:37:15.000Z,#fantastic,,,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",11589192,DV Paluskar. Raga Shree --- Hari ke Sharan Kamal ...#fantastic #NP  http://someurl via @someuser,706318781421780992,706318781421780992,hi,everyone,2016-03-06T03:21:34.000Z,#fantastic,,,
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2817220760,#Fantastic day it was#Bhai baaah!# by bhardwaj.sachin.3 #Connaught_place #Delhi #IncredibleIndia http://someurl,705759905014218752,705759905014218752,hi,everyone,2016-03-04T14:20:48.000Z,#fantastic,,,
Twitter for iPhone,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 14, 'quote_count': 0}",121373496,"@someuser sir, #ShahRukh  ko sirf #ShahRukh hi haraa sakte hain par iss bar #FAN ne baazi maar li...#FANtastic sir. | |  http://someurl",705093602641211392,705093602641211392,hi,everyone,2016-03-02T18:13:09.000Z,#fantastic,101311381,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",843529538,बुमरा डेथ ओवरों में कर रहा है शानदार गेंदबाजी-धौनी | #mirpur #dhoni #bumrah #fantastic http://someurl,704946114160676866,704946114160676866,hi,everyone,2016-03-02T08:27:05.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",3149756418,Jab se #FANTrailer dekha hai tab se bs ek hi baat soch rhi hu k isme Villain kaun hai Gaurav Or Aaryan 😰 Jo b #FANtastic hogi movie 😍😍😍😍,704692380964937729,704692380964937729,hi,everyone,2016-03-01T15:38:50.000Z,#fantastic,,,
