source,text,reply_settings,lang,conversation_id,id,referenced_tweets,author_id,created_at,public_metrics,search_query,geo,in_reply_to_user_id
Instagram,Vans ✨|  #world #wonderful #wonderland #earth #tattoo  #Thailand #peace #PhotoArt #photograph... http://someurl,everyone,nl,763324709845032960,763324709845032960,,366668847,2016-08-10T10:42:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,"{'place_id': '00a7834164189296', 'coordinates': {'type': 'Point', 'coordinates': [100.494, 13.7522]}}",
Twitter for Android,RT @someuser Lovely gifts from mijn lieve 💜💜| #happy #joy #joyful #wonderful #love #heart #girl #girlfriend... http://someurl,everyone,nl,763206234577088513,763206234577088513,"[{'type': 'retweeted', 'id': '763195991176519681'}]",161575331,2016-08-10T02:52:00.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,Lovely gifts from mijn lieve 💜💜| #happy #joy #joyful #wonderful #love #heart #girl #girlfriend... http://someurl,everyone,nl,763195991176519681,763195991176519681,,110370006,2016-08-10T02:11:18.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,Dinner at Sullivans on Sullivan Island. #wonderful http://someurl,everyone,nl,762423320260202496,762423320260202496,,3138645389,2016-08-07T23:00:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter Web Client,"#gymnastics @someuser | Kerri Strug, 1996 #Olympics, a #wonderful #story | http://someurl http://someurl",everyone,nl,759429108082311172,759429108082311172,,701030962562519040,2016-07-30T16:43:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,Regenboog #rainbow #wonderful #special #naturephotography @ Droomvallei Uitgeverij http://someurl,everyone,nl,759107499240878080,759107499240878080,,236046907,2016-07-29T19:25:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,"{'place_id': '75431660bc651ca9', 'coordinates': {'type': 'Point', 'coordinates': [4.76849558, 51.61435397]}}",
Instagram,Queen B 👑🍋😍| #Beyonce #formationworldtour #mygod #wonderful #QueenB @ Stade de France http://someurl,everyone,nl,756430038925541376,756430038925541376,,2541890527,2016-07-22T10:05:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Instagram,Beste Tiere der Welt 🐢| #turtle #schildi #schildkröte #garden #hippie #animal #wonderful #ham... http://someurl,everyone,nl,754582590602870784,754582590602870784,,715924843955372033,2016-07-17T07:44:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
ViralSexyShop,#Pipedream Products Deluxe #Wonderful  http://someurl http://someurl,everyone,nl,750554975458164736,750554975458164736,,4871589767,2016-07-06T05:00:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,citroen c5 airscape concept car| #citroen| #wonderful| #motorsport http://someurl,everyone,nl,748403880736735232,748403880736735232,,3309529355,2016-06-30T06:32:44.000Z,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",#wonderful,,
Mobile Web (M2),Sands - Vuma #wonderful,everyone,nl,748157986556739584,748157986556739584,,709482614219010048,2016-06-29T14:15:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for Android,RT @someuser jaguar xkr s gt 2013| #jaguar| #wonderful| #motorsport http://someurl,everyone,nl,747183072806842368,747183072806842368,"[{'type': 'retweeted', 'id': '746985838140096512'}]",711303127190917122,2016-06-26T21:41:41.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter Web Client,@someuser @someuser wahhaa.. CATS are #wonderful| en erg #spiritueel (lol)| * Kijk NIET naar wat zij zeggen| maar wat zij #DOEN * ;),everyone,nl,746332863197552640,747039037500887040,"[{'type': 'replied_to', 'id': '747027632823336960'}]",1021921448,2016-06-26T12:09:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,201671508
TwitterBender,jaguar xkr s gt 2013| #jaguar| #wonderful| #motorsport http://someurl,everyone,nl,746985838140096512,746985838140096512,,3309529355,2016-06-26T08:37:56.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,,
Instagram,At Nijmegen its #wonderful #video #train #travelling  | #osom 😀✌ |     #crazyday http://someurl,everyone,nl,746413221297348610,746413221297348610,,4632737075,2016-06-24T18:42:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,Vespa S 150 ie| #Vespa| #wonderful| #motorbike http://someurl,everyone,nl,746186895814602752,746186895814602752,,3321184001,2016-06-24T03:43:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter Web Client,RT @someuser 2015 dodge challenger srt hellcat| #dodge| #voitures| #wonderful http://someurl,everyone,nl,745557804514148352,745557804514148352,"[{'type': 'retweeted', 'id': '745555472514592768'}]",3352894581,2016-06-22T10:03:27.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,2015 dodge challenger srt hellcat| #dodge| #voitures| #wonderful http://someurl,everyone,nl,745555472514592768,745555472514592768,,3309529355,2016-06-22T09:54:11.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#wonderful,,
Instagram,Midsummernight at Baarn Station #ns #bal paleissoestdijk #wonderful @ BAL op Paleis Soestdijk http://someurl,everyone,nl,745394154524413952,745394154524413952,,390351615,2016-06-21T23:13:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for Android,Fragrant Hill - #Wonderful Trekkers #Destination  in #Beijing-a #calm #experience |  #China @someuser @someuser @someuser http://someurl,everyone,nl,744208853839994880,744208853839994880,,2833916030,2016-06-18T16:43:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,{'place_id': '0a063651d547b2b9'},
TwitterBender,koenigsegg red concept car| #koenigsegg| #wonderful| #autos http://someurl,everyone,nl,742259711895044096,742259711895044096,,3309529355,2016-06-13T07:38:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,@someuser #Wonderful #Things ? #ReallyNow #ClintonCrimes http://someurl Volunteer @someuser,everyone,nl,693983950000263169,741491972355948544,"[{'type': 'replied_to', 'id': '693983950000263169'}]",324228541,2016-06-11T04:47:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,3349433536
Buffer,http://someurl #HPATP-StorageEssentialsv9 #brilliant #helpful #addictive #Truth #gift #Wonderful #Actnow #... http://someurl,everyone,nl,740922424410177536,740922424410177536,,569219948,2016-06-09T15:04:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter for Android,RT @someuser 2010 Bmw Activee Concept| #bmw| #wonderful http://someurl,everyone,nl,740503774117171200,740503774117171200,"[{'type': 'retweeted', 'id': '740288311269326849'}]",2868627741,2016-06-08T11:20:32.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,2010 Bmw Activee Concept| #bmw| #wonderful http://someurl,everyone,nl,740288311269326849,740288311269326849,,3309529355,2016-06-07T21:04:21.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
Twitter for Android,RT @someuser renault zoe ze concept| #renault| #sportscar| #wonderful http://someurl,everyone,nl,740188610671050752,740188610671050752,"[{'type': 'retweeted', 'id': '739990181005168641'}]",2868627741,2016-06-07T14:28:11.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,renault zoe ze concept| #renault| #sportscar| #wonderful http://someurl,everyone,nl,739990181005168641,739990181005168641,,3309529355,2016-06-07T01:19:42.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,Honda Shadow VLX Deluxe| #Honda| #ride| #wonderful http://someurl,everyone,nl,738388732030636032,738388732030636032,,3321184001,2016-06-02T15:16:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,#nomansland #shakedown #beautiful jonnieparker #wonderful #love #festival #success http://someurl,everyone,nl,737968037056421888,737968037056421888,,109090589,2016-06-01T11:24:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Instagram,VERLANGEN. #jeanettewinterson #adi_reading #literature #wonderful http://someurl,everyone,nl,737944420268552192,737944420268552192,,23175144,2016-06-01T09:50:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for Android,"Hun Engels was niet helemaal perfect, maar een hit werd het wel: #Wonderful Days  (Dus niet Wonderfull ;) ) http://someurl",everyone,nl,736495395740749824,736495395740749824,,710348185072439296,2016-05-28T09:52:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
Twitter for iPhone,Weet iemand hoeveel toetsaanslagen er in die 50min #Brahms2 zijn? #wonderful #kew2016,everyone,nl,735913696157945857,735913696157945857,,24291673,2016-05-26T19:21:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#wonderful,,
TwitterBender,201 citroen ds4| #citroen| #wonderful| #topcars http://someurl,everyone,nl,735788564416495616,735788564416495616,,3309529355,2016-05-26T11:03:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#wonderful,,
