lang,public_metrics,id,text,author_id,reply_settings,created_at,conversation_id,source,search_query,geo,in_reply_to_user_id,referenced_tweets
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",803952980101922816,#pissed porn chikas sexys http://someurl,458765089,everyone,2016-11-30T13:25:01.000Z,803952980101922816,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",803736657405087744,¡Ya dejen de reproducirse! El metro no puede estar más atascado de lo que está. | #Pissed,158997416,everyone,2016-11-29T23:05:26.000Z,803736657405087744,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802224465862098948,Una mierda... Cómo no van a traer The Girl on the Train  ni a Cajamarca ni a Jaén. #Pissed,37133387,everyone,2016-11-25T18:56:31.000Z,802224465862098948,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",801242982661943296,La única cosa que no me deja en paz es el acne.😌 #pissed,611953393,everyone,2016-11-23T01:56:28.000Z,801242982661943296,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",800553577588649984,Ahora se me cae el internet @someuser . A acabarse los datos se ha dicho #Pissed #Sucks,253286239,everyone,2016-11-21T04:17:01.000Z,800553577588649984,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800134904612847621,Vegas #pissed #kufball,14839662,everyone,2016-11-20T00:33:21.000Z,800134904612847621,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800094950029299712,Im typically not an angry person pero cuando ser creen la gran mierda... Uy prepárate. #pissed #GetTheseHands #uyyy 😡😡😡😡😡😡😡😡😡😡😡😡😡,186212354,everyone,2016-11-19T21:54:35.000Z,800094950029299712,Twitter for iPhone,#pissed,,,
it,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",799894573849919488,"Vivi e lascia vivere, credo che me lo tatuerò sulla fronte per ricordarlo ad alcune persone  che a volte lo dimenticano #pissed",382253245,everyone,2016-11-19T08:38:22.000Z,799894573849919488,Twitter Web App,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",799512229716623366,Tan desconsiderados so  que TIENEN que poner salsa a tó jender a las 3:18 a.m. #pissed,2525390895,everyone,2016-11-18T07:19:04.000Z,799512229716623366,Twitter for Windows,#pissed,,,
es,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 18, 'quote_count': 0}",799023947648028676,Desde ahora peliculas y series por inbox porque no se les puede compartir nada lo convierten en Los Roldán a los dos días #pissed,202922392,everyone,2016-11-16T22:58:48.000Z,799023947648028676,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",798381599863623680,PERO NO FUERAN LAS LUNAS ROJAS PORQUE ENTONCES ESTÁ MÁS DESPEJADO QUE NADA #PISSED,926433312,everyone,2016-11-15T04:26:21.000Z,798381599863623680,Twitter for Android,#pissed,{'place_id': 'ff1c0dd545aca772'},,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796573876075593729,Un jefe más basura no había? #pissed,1130067164,everyone,2016-11-10T04:43:06.000Z,796573876075593729,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796314575746367488,Despiertas con todas las vibras y te enteras de una F...ing  Trump noticia >:( #Pissed,2369236387,everyone,2016-11-09T11:32:44.000Z,796314575746367488,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795996565353725952,Verificaciooooon de shit ! #pissed #mad #FlowersTheDeer #enojada #madrugando #sleepy #fornothing... http://someurl,11553042,everyone,2016-11-08T14:29:04.000Z,795996565353725952,Instagram,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795404220488974336,"MariaJoseLaso : ¿Por qué sonríen, perras?| | #happy #selfie #pissed #chihuahua #dog #dogporn #instadog #Cancun... http://someurl #S...",430386835,everyone,2016-11-06T23:15:18.000Z,795404220488974336,IFTTT,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795403881077424128,"#MariaJoseLaso: ¿Por qué sonríen, perras?| | #happy #selfie #pissed #chihuahua #dog #dogporn #instadog #Cancun... http://someurl",170336440,everyone,2016-11-06T23:13:57.000Z,795403881077424128,IFTTT,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795402969441136640,"¿Por qué sonríen, perras?| | #happy #selfie #pissed #chihuahua #dog #dogporn #instadog #Cancun... http://someurl",467586012,everyone,2016-11-06T23:10:20.000Z,795402969441136640,Instagram,#pissed,"{'place_id': '6eb95eddb81a6b4b', 'coordinates': {'type': 'Point', 'coordinates': [-86.8583, 21.13986]}}",,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795023271351750662,Van dos y envdd wooooo #pissed,93089410,everyone,2016-11-05T22:01:33.000Z,795023271351750662,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",795000702326243330,Traés a tu perro a que la bañen y corten el pelo y uñas y sale sangrando. #notnice #madashell #pissed,19222879,everyone,2016-11-05T20:31:52.000Z,795000702326243330,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",794724610612850688,Me RE molesta que no se pueden mas ver los lyrics desde la app de musica de itunes en el iphone #Pissed,291376407,everyone,2016-11-05T02:14:47.000Z,794724610612850688,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794422502428553216,Estúpido aguacero!!!! #pissed,432297820,everyone,2016-11-04T06:14:18.000Z,794422502428553216,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794041223140868098,Me choca que me dejes en visto cuando me compadezco y no te dejo en visto piece of douche shithole  😠😠😠 #Pissed,85724230,everyone,2016-11-03T04:59:14.000Z,794041223140868098,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",793671739477745664,La falta de tiempo es directamente proporcional a la caída en picada de mi vida de bloggera. #pissed,41609477,everyone,2016-11-02T04:31:03.000Z,793671739477745664,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",793566701191172097,Que manera de hechar a perder un partido #pissed 😡😡😡😡😡,1279567616,everyone,2016-11-01T21:33:39.000Z,793566701191172097,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",793564740177887233,Ese momento en el que le quieres tirar un zapato a tu computadora... #workproblems #pissed http://someurl,38601616,everyone,2016-11-01T21:25:52.000Z,793564740177887233,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791826008374583296,Prefiero que me digan las cosas directamente a que simplemente no contesten o dejen en visto #Pissed 😒😤,61030898,everyone,2016-10-28T02:16:46.000Z,791826008374583296,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791809184664694784,Literalmente no haces nada en todo el día y me dices que yo soy la floja 🙄🙄 #pissed,74616921,everyone,2016-10-28T01:09:55.000Z,791809184664694784,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791426004745150464,ahhh siempre se me olvidanlas claves #pissed,66032043,everyone,2016-10-26T23:47:18.000Z,791426004745150464,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",790416478998671360,"@someuser votarian hacia @someuser @someuser @someuser ellos se lo merecen, son increíbles, #pissed #nofair #LaBanda 😠😞😒",174722989,everyone,2016-10-24T04:55:48.000Z,790416478998671360,Twitter for iPhone,#pissed,,2528242532,
es,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",790364134181249024,Estúpidos mi corazón idiotas. #pissed #TheWalkingDead,83444569,everyone,2016-10-24T01:27:48.000Z,790364134181249024,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789220161949696001,#hammered #pissed #tenerife @ Roca Nivaria Gran Hotel 5* http://someurl,1107382087,everyone,2016-10-20T21:42:04.000Z,789220161949696001,Instagram,#pissed,"{'place_id': '4ecd7c95b51819d7', 'coordinates': {'type': 'Point', 'coordinates': [-16.77733459, 28.12037265]}}",,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",786940191990812672,Patricia http://someurl  #piza #wreaths #miraclub #motivational #pissed #sumatera,2791797040,everyone,2016-10-14T14:42:17.000Z,786940191990812672,MEGAPO.ST,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",785867299672592384,Cuando la falta de sentido común entorpece los trámites legales historias de terror en oficina de enlace de SRE #pissed,19000464,everyone,2016-10-11T15:38:59.000Z,785867299672592384,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",785850801864540160,Yo me pregunto si no tendran casa para desayunar que tienen que venir acá todos los días 🤔🙄 #pissed,198342575,everyone,2016-10-11T14:33:26.000Z,785850801864540160,Twitter for iPhone,#pissed,{'place_id': '0003325e5c63a062'},,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",784989925535907841,Not a quesadilla wtf @someuser #pissed http://someurl,460763870,everyone,2016-10-09T05:32:37.000Z,784989925535907841,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",784138526791262208,@someuser @someuser horizontal #pissed,268704466,everyone,2016-10-06T21:09:28.000Z,784110849833271296,Twitter for iPad,#pissed,{'place_id': '791e00bcadc4615f'},34654362,"[{'type': 'replied_to', 'id': '784110849833271296'}]"
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",783524181002579969,Maldita seas 🙎🏻| #Pissed,954585770,everyone,2016-10-05T04:28:16.000Z,783524181002579969,Twitter for iPhone,#pissed,{'place_id': '943b8d68d76b386c'},,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",782666800987242497,"come on Barca , haibo ...#pissed",494463998,everyone,2016-10-02T19:41:21.000Z,782666800987242497,Mobile Web (M2),#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",782259338110988289,#pissed porn videos de elizabeth gutierrez porno gratis http://someurl,178840179,everyone,2016-10-01T16:42:14.000Z,782259338110988289,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",782198315693645825,La impunidad que da la ignorancia :/ #pissed #molesta,864147096,everyone,2016-10-01T12:39:45.000Z,782198315693645825,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",780834768476704768,Ninguna mujer necesita maquillaje! (Las industrias d)el maquillaje necesitan a las mujeres #pissed,864147096,everyone,2016-09-27T18:21:30.000Z,780834768476704768,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",780515765648822273,Cuando se le olvido su juguete en casa😩😩😩😩😫😫😫😫😫 ayyyyyy #pissed,4513379423,everyone,2016-09-26T21:13:54.000Z,780515765648822273,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",779845024058073088,El Capitan | #pissed http://someurl,1132008456,everyone,2016-09-25T00:48:37.000Z,779845024058073088,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",779653043155529728,YAASSS #FRIENDSHIP #NEVERCARED #PISSED #PABLO http://someurl,503345480,everyone,2016-09-24T12:05:45.000Z,779653043155529728,Twitter for iPhone,#pissed,,,"[{'type': 'quoted', 'id': '779449276569034752'}]"
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",779360421618733056,¡Basta de redefinir la incompetencia! #Pissed,16962282,everyone,2016-09-23T16:42:58.000Z,779360421618733056,Chromnitweet,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",777254145132732417,Qué pecado es ser tetona en un país de acomplejados. Que difícil encontrar un brassiere decente #pissed,440356939,everyone,2016-09-17T21:13:23.000Z,777254145132732417,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",776700684427067392,De esas veces que tu suegra se pone peda y se pone de impertinente. Ughhh ni cuando yo empese a tomar. #rantdesuegras #pissed #annoyed 😡😠,602108539,everyone,2016-09-16T08:34:08.000Z,776700684427067392,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",776561708970172416,😱 URSULA NOOOOOO!!!!! #pissed #sad 💔😫😩 http://someurl,23765635,everyone,2016-09-15T23:21:53.000Z,776561708970172416,Instagram,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",776295415280873472,Me siento como Regina George después de estarse que comió barritas para subir de peso #pissed,595212513,everyone,2016-09-15T05:43:44.000Z,776295415280873472,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",774712151122599936,¡Que trompa! #pissed #enojado #whyyoumadbro  #fitsofrage #iwannacrysobad #thisissomebullshit http://someurl,64296957,everyone,2016-09-10T20:52:24.000Z,774712151122599936,Twitter for Android,#pissed,,,"[{'type': 'quoted', 'id': '774665525469249536'}]"
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",774431567175258112,Cuando entre a la carrera nadie me dijo que tenia que saber física cuántica #pissed,4328178314,everyone,2016-09-10T02:17:28.000Z,774431567175258112,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",774356933612478465,Burocracia 1 - Viviana 0 #pissed,257242749,everyone,2016-09-09T21:20:54.000Z,774356933612478465,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",772766897075023872,La gente que se caga en un transmilenio repleto a las 7am ¿qué piensa de la vida? #pissed,219006023,everyone,2016-09-05T12:02:40.000Z,772766897075023872,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",772643290868965376,TARDÉ SIGLOS COMPRANDO EN INTERNET 😤 #Pissed,141985284,everyone,2016-09-05T03:51:30.000Z,772643290868965376,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",772223316639690752,"Por culpa de Twitter y sus pocas formas de resolverte un problema técnico, tuve que crearme una nueva cuenta. #PISSED",772219743138746368,everyone,2016-09-04T00:02:40.000Z,772223316639690752,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",772218455218987008,"No, señor. No porque se pegue más a mí en la fila, va a avanzar más rápido... | #pissed",2726590750,everyone,2016-09-03T23:43:21.000Z,772218455218987008,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",771833718587609088,"Si no te gusta, come verga! #pissed",543005710,everyone,2016-09-02T22:14:33.000Z,771833718587609088,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",771595178754703360,@someuser  #RIP Pablo. #Pissed,2911189567,everyone,2016-09-02T06:26:40.000Z,771591178747645952,Twitter for iPhone,#pissed,,3186880639,"[{'type': 'replied_to', 'id': '771591178747645952'}]"
es,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",770788904467398656,APRIL2017 #WTF #PISSED !!!!,321599635,everyone,2016-08-31T01:02:50.000Z,770788904467398656,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",770271863746465792,Cuando te cortan el teléfono en la UNI!... -.-| #pissed,769587236916588544,everyone,2016-08-29T14:48:17.000Z,770271863746465792,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",769736228891684865,"Como cuando te pintas de fiel devota cristiana pero poco te importan los animalitos que, encima, compras y no crías bien. #Pissed",105594613,everyone,2016-08-28T03:19:52.000Z,769736228891684865,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",769605990421409792,Todo quieren que yo no tengo 20 manos #pissed😡😡😡😡,1518068581,everyone,2016-08-27T18:42:21.000Z,769605990421409792,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",767845783190118401,Cuando los de kokomo le dejan esa cosa puesta y ahora tengo que volver a que se lo quiten! 😠😠 #pissed http://someurl,2408130623,everyone,2016-08-22T22:07:55.000Z,767845783190118401,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",767113011131666433,Fuckin cdmx tu tráfico está del nabo! Por eso me cagas chingao! Trafico de la nada #pissed 👊🏻💪🏽,134514991,everyone,2016-08-20T21:36:08.000Z,767113011131666433,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",766384120486297605,Definitivamente q hay cosas q uuuusssh #Pissed,346181018,everyone,2016-08-18T21:19:47.000Z,766384120486297605,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",765628223195537408,Enterándome que #Scandal recién vuelve en Febrero 2017. #pissed,3055959309,everyone,2016-08-16T19:16:07.000Z,765628223195537408,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",764960341109317633,Oficialmente hecho con todas las formas de medios de comunicación social #pissed #MilwaukeeUprising #done,742140138873102336,everyone,2016-08-14T23:02:12.000Z,764960341109317633,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",764830070368272384,IBRA cadabra!! #pissed,1050677270,everyone,2016-08-14T14:24:33.000Z,764830070368272384,Twitter for Android,#pissed,,,
es,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",764386505548705792,Me castra ver a esa golfa con el. #pissed,55851841,everyone,2016-08-13T09:01:59.000Z,764386505548705792,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",762480995232735236,Naco aquel que NO sabe de respeto en los vuelos 😡 #pissed,76834197,everyone,2016-08-08T02:50:10.000Z,762480995232735236,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",761979282101002240,Muchas gracias a la Demarcación de Costas de Gran Canaria(@someuser y a @someuser por cargarse la playa de Tauro y su Bufadero #pissed,213378096,everyone,2016-08-06T17:36:32.000Z,761979282101002240,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",761741784435208192,"Que pedo con el cine de hoy. Nada más nos engañan con sus pinches trailers y cuando la vez, te decepcionan. #YaNoEsLoMismo #Pissed",355704729,everyone,2016-08-06T01:52:48.000Z,761741784435208192,Twitter Web Client,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",760867687631290370,Quién metió mano? @someuser #Pissed http://someurl,952104090,everyone,2016-08-03T15:59:27.000Z,760867687631290370,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",760660977360769024,"Y cómo siempre, sólo ven lo malo en esta casa. 😡 #pissed",376548583,everyone,2016-08-03T02:18:04.000Z,760660977360769024,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",759945852442009600,Me choca que Mike Ross no haya estudiado!!!!! #pissed #Suits http://someurl,298123573,everyone,2016-08-01T02:56:24.000Z,759945852442009600,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",759552294497038336,Hacen que el proceso de envejecimiento se acelere. #Pissed,39385267,everyone,2016-07-31T00:52:33.000Z,759552294497038336,Twitter for iPhone,#pissed,{'place_id': 'd862adecd71aa2a2'},,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",758158430641254400,Mientras no veo Emilia se come mi almuerzo. #pissed.,2989186160,everyone,2016-07-27T04:33:50.000Z,758158430641254400,Twitter for Android,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",757730488400416770,Wtf JoJo #pissed #bachelorette #luke💔,1072634744,everyone,2016-07-26T00:13:21.000Z,757730488400416770,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757450536350281728,@someuser #Winning #BBPaul Victor #pissed,2995428583,everyone,2016-07-25T05:40:55.000Z,757449805568233472,Twitter for Android,#pissed,,3186880639,"[{'type': 'replied_to', 'id': '757449805568233472'}]"
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757426547959603201,Por qué lo que siempre tiene esa cara de culo... #pissed #cat #funny #cute #donttouchme http://someurl,448667336,everyone,2016-07-25T04:05:35.000Z,757426547959603201,Instagram,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",756534167135985665,Pa que carajo hago cita si me atienden  tres horas despues?! #pissed,4230069974,everyone,2016-07-22T16:59:35.000Z,756534167135985665,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",756191649550602241,"Esto de lidiar con señoras lunaticas no va a dejar que se amargue mi dia, con razon estan divorciadas. #pissed",60222266,everyone,2016-07-21T18:18:33.000Z,756191649550602241,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",756000071272001536,Por eso odio hacer trabajos en grupo #pissed!,2715145214,everyone,2016-07-21T05:37:17.000Z,756000071272001536,Twitter for Android,#pissed,{'place_id': '00cbad4318310a30'},,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",755928999281381376,YAS Mama Da #pissed #bb18,2390961474,everyone,2016-07-21T00:54:52.000Z,755928999281381376,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",755594770857066496,"Necesito un emoji de higo, y de corazón color higo; y que el color del emoji de berenjena sea realmente del color de la berenjena. #Pissed",222136876,everyone,2016-07-20T02:46:46.000Z,755594770857066496,Twitter for iPhone,#pissed,,,
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",755229554227064833,@someuser c supone ke diga io tambn te kielo #pissed,32547773,everyone,2016-07-19T02:35:31.000Z,755227863440248832,Twitter for iPhone,#pissed,,1660969542,"[{'type': 'replied_to', 'id': '755229381786603520'}]"
es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",754689138104803328,Intrigerro alert! #pissed #trustissues #pamore,125647682,everyone,2016-07-17T14:48:06.000Z,754689138104803328,Twitter for iPhone,#pissed,,,
