id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,geo
611190033232601088,Instagram,611190033232601088,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-06-17T15:13:53.000Z,Im standing by...#waiting #hopeful #chance @ 万菱汇国际中心 http://someurl,2473349138,zh,#hopeful,
597324814974607360,Instagram,597324814974607360,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-05-10T08:58:28.000Z,Ill learn how to ride one someday!! #hopeful #不可放棄#| | 海濱公園 http://someurl,38817442,zh,#hopeful,
593019784754831360,Tumblr,593019784754831360,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-04-28T11:51:49.000Z,Photo: 要努力，然後期待下一個低潮。#beyourself #flowers #hopeful#art#fun#feel http://someurl,480499122,zh,#hopeful,
593019781613277184,Instagram,593019781613277184,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-04-28T11:51:48.000Z,要努力，然後期待下一個低潮。#beyourself #flowers #hopeful#art#fun#feel http://someurl,480499122,zh,#hopeful,
581081785959727104,Twitter for iPhone,581081785959727104,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-03-26T13:14:28.000Z,我希望得到的成绩会及格! 🙏🙏🙏 #hopeful,777827000,zh,#hopeful,
560860517825118212,WeChat app,560860517825118212,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-01-29T18:02:22.000Z,want le hair this long again. [快哭了][可怜] #creditstowig #hopeful http://someurl,215253672,zh,#hopeful,
556836099440381954,Instagram,556836099440381954,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-01-18T15:30:46.000Z,又到了大家想吃宵夜的時間| | 於是來張 讓你們吐個夠😂😂 待了五個月 再兩週再兩週| | 再兩週 就放假放假放假| | 再兩週 就考試😫 #倒數14 #Nervous #hopeful #NAVY⚓️ http://someurl,257440578,zh,#hopeful,
554989507741618178,Twitter for Android,554989507741618178,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-01-13T13:13:04.000Z,一個決策的改變，瞬間讓我覺得這個世界充滿希望lol| #final_exams #hopeful #WorldPeaceNow,2889416874,zh,#hopeful,
554278991251910656,Instagram,554278991251910656,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-01-11T14:09:44.000Z,今晚食放題好開心呀，2015第一餐放題 =)| So full so much joy ~| #放題 #2015 #hk #life #is #wonderful #hopeful #great #food... http://someurl,245286578,zh,#hopeful,
550322616406642688,Instagram,550322616406642688,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-12-31T16:08:30.000Z,2015 我对你充满信心，不要让我们失望，也不要有天灾人祸，谢谢 2014 给我的一切也祝所有朋友在 2015 有个更美好的一年 Happy New Year !!! #Happy #hopeful... http://someurl,510304260,zh,#hopeful,"{'coordinates': {'type': 'Point', 'coordinates': [101.70821628, 3.1582013]}, 'place_id': '7b02fbddf4d9f2c6'}"
543613107835518976,Instagram,543613107835518976,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-12-13T03:47:19.000Z,"願2015年天天美好、天天精彩、天天開心！| Get ready for Year of the sheep, 2015 :)| #readyfor2015 #year2015 #hopeful #enjoy... http://someurl",193230167,zh,#hopeful,
539650303449370624,Instagram,539650303449370624,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-12-02T05:20:33.000Z,😁😁😁十二月 我来了...| #Happy #Hopeful #New🆕 #December http://someurl,2389119482,zh,#hopeful,
535441854938898434,Twitter for iPhone,535441854938898434,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2014-11-20T14:37:40.000Z,「上帝創造世界只花了七天，從現在開始算起還有十個七天，你可以創造十個世界。」 #hopeful,112977133,zh,#hopeful,"{'coordinates': {'type': 'Point', 'coordinates': [121.52108842, 25.06621439]}, 'place_id': '204a435ce97d5de4'}"
528478445416632320,Twitter for Android,528478445416632320,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2014-11-01T09:27:34.000Z,我的心跟着希望在动 我停它也会跟着 #hopeful,1646060850,zh,#hopeful,
509302397987196928,Facebook,509302397987196928,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-09-09T11:28:48.000Z,The #Hopeful #Voodoo #Doll 為你的生活注入快樂的元素，使你充滿希望及正能量去面對每一天 @someuser http://someurl,94527912,zh,#hopeful,
507941991003353088,Instagram,507941991003353088,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-09-05T17:23:02.000Z,舉杯邀明月。我的中秋，順應時節，那種涼涼的氣溫，正符合我涼涼的心，乾了吧！| #hopeful #fighting @ 景美河濱公園 http://someurl,146765013,zh,#hopeful,"{'coordinates': {'type': 'Point', 'coordinates': [121.53532616, 24.99631312]}, 'place_id': '204a435ce97d5de4'}"
503237893565849600,Instagram,503237893565849600,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-08-23T17:50:38.000Z,#0824| 如果旅行可以改變我，那去吧！| 如果旅行可以得到解脫，那去吧！| #smileagain #travel #hopeful #airplane http://someurl,183155827,zh,#hopeful,
492886548409364482,Twitter for Android,492886548409364482,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-07-26T04:18:05.000Z,#barsandmelody －hopeful| 最近很喜歡聽他們的 #hopeful 🎶，覺得他們很厲害！兩個年紀輕輕的才子👍😉| http://someurl,1221681115,zh,#hopeful,
488955764435075072,Instagram,488955764435075072,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-07-15T07:58:33.000Z,愛不囉嗦。| 一日愛心義工，做公益！| 請多多支持唐寶寶喔！| #charity #Yahoo #hopeful #happiness @ Yahoo！ Taiwan http://someurl,51519365,zh,#hopeful,"{'coordinates': {'type': 'Point', 'coordinates': [121.61462017, 25.05786875]}, 'place_id': '204a435ce97d5de4'}"
459177150453911552,Instagram,459177150453911552,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-04-24T03:48:58.000Z,於是乎，我每天早上都有現磨豆漿了。✌️| #line #app #taiwan #taipei #taiwanese #family #sisters #hopeful #iphone5 http://someurl,1532749740,zh,#hopeful,
453558778466942976,Instagram,453558778466942976,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-04-08T15:43:34.000Z,能否帶我逃出這苦海 這裡低壓到喘不過氣 DSE快d過去吧😔 #tired #help #save #me #down #mood #plz #pass #fast #hopeful #god... http://someurl,1443745286,zh,#hopeful,
453474069254770688,Instagram,453474069254770688,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-04-08T10:06:57.000Z,#hopeful #peace #harmony #LinYin #Temple #hangzhou @ 杭州飛來峰靈隱寺 http://someurl,55292146,zh,#hopeful,
441929448603283456,Instagram,441929448603283456,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-03-07T13:32:45.000Z,留住這一刻。IG，DSE後再會了。| #dse #fighter #seeyasoon #hopeful #determination #please #pray #for #me http://someurl,2373215300,zh,#hopeful,
436867298088198144,Instagram,436867298088198144,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-02-21T14:17:35.000Z,ABO小將6附送的口罩好可愛❤️| #血型小將ABO #hopeful #Oblood #realcrazyman #bloodABO http://someurl,1233205201,zh,#hopeful,
420226590896041984,Instagram,420226590896041984,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-01-06T16:13:21.000Z,thx你的好評：）你地既支持係我既動力！💪💃🙌💝🎉| | #hkig #hk #hkigshop #hkseller #good #好評 #thanks #support #love #hopeful http://someurl,2243594250,zh,#hopeful,
418017458700963840,Instagram,418017458700963840,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-12-31T13:55:03.000Z,"Goodbye 2013, Hello 2014 😊 | 希望是一个全新的开始，我要努力加油✌️编写崭新的故事❤️ #happy #hopeful #newstart #2014... http://someurl",223438498,zh,#hopeful,
393297576797409280,Instagram,393297576797409280,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-10-24T08:47:04.000Z,这种痛谁知啊... 坚持吧 !! #recovery #pain #hopeful #positive #minorstroke http://someurl,492970558,zh,#hopeful,
378439976964591616,Instagram,378439976964591616,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-09-13T08:48:16.000Z,不要被眼前的烏雲嚇到| 那微小的藍就是希望| #taipei #taiwan #taipei101 #view #cloud #black #blue #hope #optimistic #hopeful... http://someurl,1532749740,zh,#hopeful,
353852792273768448,Instagram,353852792273768448,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-07-07T12:27:34.000Z,有這樣的生活 有你們 我已經很滿足了 ! :) #happy #day #grateful #hopeful http://someurl,489348829,zh,#hopeful,
332844751005044736,Instagram,332844751005044736,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-05-10T13:09:07.000Z,"不要对事情感到绝望,背后其实有很多好朋友为你加油打气的. #pig #nose #gambateh #hopeful @ 温暖窝 - 无限期限 http://someurl",766559167,zh,#hopeful,
316569183271931905,Instagram,316569183271931905,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-03-26T15:15:49.000Z,城里的月光把#梦 #照亮| #moonlight #natural #silent #night #love #hopeful #day http://someurl,295547678,zh,#hopeful,
291772762194849793,Twitter for iPhone,291772762194849793,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2013-01-17T05:03:42.000Z,Crossing my fingers that this:油让虚的喜恶喀 means your dress is on its way! #Hopeful,493629013,zh,#hopeful,
253155320489205760,IFTTT,253155320489205760,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-10-02T15:31:46.000Z,"在淺草寺前合十🙏 祈求Drama Soc 一切順利, 身邊人健康快樂。 #wish #pray #ganki #tokyo #trip #japan #jpig #hopeful #all #best #girl #holiday by lk3m0n ...",607527910,zh,#hopeful,
219632377239060480,Twitter Web Client,219632377239060480,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-07-02T03:23:33.000Z,現在的心情最適合聽這個了。Loves Sorrow and Loves Joy. http://someurl #hopeful,14282689,zh,#hopeful,
199870885560205312,Twitter Web Client,199870885560205312,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-05-08T14:38:28.000Z,过去让他过去 明天才是美好的 ;) #hopeful http://someurl,448123973,zh,#hopeful,
194809814130499585,Mobile Web,194809814130499585,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-04-24T15:27:33.000Z,不管怎样 明天会更好 继续努力加油 ! #joyful  #powerful  #hopeful,448123973,zh,#hopeful,
