reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,referenced_tweets,in_reply_to_user_id,geo
everyone,en,814854796826079232,1009733370,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814886257813843969,"@someuser damn straight, sista. #pissed",Twitter for Android,2016-12-30T17:29:58.000Z,#pissed,"[{'type': 'replied_to', 'id': '814885977076416512'}]",21183577,
everyone,en,814882471229685760,196218211,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814882471229685760,@someuser I got a phone and I didnt get me free phone #pissed,Twitter for Android,2016-12-30T17:14:55.000Z,#pissed,,103074428,
everyone,en,814871131199045633,23842255,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",814871131199045633,waited 23 minutes for @someuser to tell me they cant make my order anymore but also cant refund me??? ON MY SISTERS BIRTHDAY. #pissed,Twitter for Android,2016-12-30T16:29:51.000Z,#pissed,,,
everyone,en,814866737359450112,25369210,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",814866737359450112,"Sorry our Christmas Sale is over, dont like it go somewhere else you old fuckin bitches. #PISSED #FightMe",Twitter for iPhone,2016-12-30T16:12:24.000Z,#pissed,,,
everyone,en,814862397697572866,443739377,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814862397697572866,"so @someuser sells me (12/27/19) expired (12/19/16) diet pepsi then i open can, realize this thn wont let me get a new 12 pk? really? #pissed",Twitter Web Client,2016-12-30T15:55:09.000Z,#pissed,,,
everyone,en,814859891198328832,814122201079226368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814859891198328832,My mum just said that Trevor Moran can not fucking sing 😠😠 @someuser #pissed #WTF,Twitter for Android,2016-12-30T15:45:12.000Z,#pissed,,,
everyone,en,814854132150304768,33821259,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814854132150304768,@someuser why are all the stores out of gingerbread lattes?  #annoyed #pissed,Twitter for iPhone,2016-12-30T15:22:19.000Z,#pissed,,30973,
everyone,en,814853877950517249,774988962205171712,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 12, 'quote_count': 1}",814853877950517249,How low can you go to steal someones content andwork and claim it as your own. #PISSED,Twitter for iPhone,2016-12-30T15:21:18.000Z,#pissed,,,
everyone,en,814853199513456640,1689570980,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814853199513456640,@someuser dont open 4 biz if ur not prepared 2 serve ur faithful customers #pissed how the heck r u out of all of this #protest http://someurl,Twitter for Android,2016-12-30T15:18:36.000Z,#pissed,,40245758,
everyone,en,814852561538863105,16965895,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814852561538863105,@someuser Still waiting for a reply on my parts support ticket to get my dang keyboard and mouse replaced! #Pissed,Twitter Web Client,2016-12-30T15:16:04.000Z,#pissed,,74286565,
everyone,en,814848756554285057,101167533,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814848756554285057,"When you work your ass off looking forward to the weekend, and someone elses error fucks it up for you.| | #pissed #frustrated",Twitter for Android,2016-12-30T15:00:57.000Z,#pissed,,,
everyone,en,814844737588957184,1193823896,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814844737588957184,Not what I ordered. Wtf get it together @someuser third time this week my coffee is wrong. #pissed 😡 http://someurl,Twitter for iPhone,2016-12-30T14:44:59.000Z,#pissed,,,
everyone,en,814843098727673857,812316298168401921,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814843098727673857,"Ive never been more anxious than waiting to check-in at an EXACT time for a flight, STILLLLL didnt get boarding group A. #pissed",Twitter Web Client,2016-12-30T14:38:28.000Z,#pissed,,,
everyone,en,814840353467592704,103474722,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814840353467592704,The one time the provided city bus is early and I come down ON THE DOT. #pissed,Twitter for Android,2016-12-30T14:27:33.000Z,#pissed,,,
everyone,en,814840213826629632,525683951,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814840213826629632,Didnt give myself enough time to shovel the driveway and get to the gym on time today.... #pissed #andfat,Twitter for iPhone,2016-12-30T14:27:00.000Z,#pissed,,,
everyone,en,814830441924587520,3904463066,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814830441924587520,When youre the only one scheduled to show up but your boss shows up to make sure you came in to work #Holidays #Working #Pissed http://someurl,Twitter for iPhone,2016-12-30T13:48:10.000Z,#pissed,,,
everyone,en,814827418380685312,392385418,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814827418380685312,"@someuser how da hell am I gonna get canceled on 4 times in a row, these drivers r ruthless tryna get that surge. #ubertw #rude #pissed",Twitter for iPhone,2016-12-30T13:36:09.000Z,#pissed,,2815754953,
everyone,en,814820925757526016,762901379421655041,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",814820925757526016,"If I was there, I would have shown him an express way to hell!! #pissed",Twitter for Android,2016-12-30T13:10:21.000Z,#pissed,,,
everyone,en,814820513499336704,139076465,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",814820513499336704,When you have a concept but you cant find your characters voice.... #writersproblems #writing 😤 #pissed,Twitter Web Client,2016-12-30T13:08:43.000Z,#pissed,,,
everyone,en,814813423187816448,20829464,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814813423187816448,What kind of cinema doesnt accept credit cards in this day and age? Ugh. #pissed,Twitter for iPhone,2016-12-30T12:40:33.000Z,#pissed,,,
everyone,en,814803745225609218,2419285868,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",814803745225609218,@someuser booked earlier #flight to see #family now #yourelate & will see #airport & #fog. #pissed #angry #dejected,Twitter for iPhone,2016-12-30T12:02:05.000Z,#pissed,,1467228402,
everyone,en,814783617314365440,702654758536896512,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814783617314365440,"Dont fucking assume anything about me coz u dont fucking know me, motherfuckers! #pissed",Twitter for iPhone,2016-12-30T10:42:06.000Z,#pissed,,,
everyone,en,814778783001612288,752237865204064257,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814778783001612288,"This year was Satans year, can it end already #pissed 😠 http://someurl",Twitter for Android,2016-12-30T10:22:54.000Z,#pissed,"[{'type': 'quoted', 'id': '814396651972358144'}]",,
everyone,en,814774056943636480,798520426146107392,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814774056943636480,why do people blame you even you did nothing??😫😢| | #pissed| #sad| #Confused,Twitter Web Client,2016-12-30T10:04:07.000Z,#pissed,,,
everyone,en,814769974115897344,325862777,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814769974115897344,The budget is why I wanted to do the New Years Eve show downtown. The proceeds I made from busking supplemented my work income. #pissed,Twitter Web Client,2016-12-30T09:47:54.000Z,#pissed,,,{'place_id': '813a485b26b8dae2'}
everyone,en,814765671288606720,1109121140,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814765671288606720,Today Im going to get totally smashed! 🍻#pissed,Twitter for iPhone,2016-12-30T09:30:48.000Z,#pissed,,,
everyone,en,814748352013340673,541401970,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",814748352013340673,@someuser Very disappointed. Oredered product with one day delivery on 28/12 still havent got it. #pissed,Twitter for Android,2016-12-30T08:21:59.000Z,#pissed,,1282946089,
everyone,en,814743602408656897,1965471739,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814743602408656897,cant believe that shitty meme account Versace tamagotchi reposted the American badass vid from my hs #pissed #i hate his memes,Twitter for iPhone,2016-12-30T08:03:06.000Z,#pissed,,,
everyone,en,814730203276726272,2748233191,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",814730203276726272,Im not pissed Im #pissed,Twitter for iPhone,2016-12-30T07:09:52.000Z,#pissed,,,
everyone,en,814729889802756097,413600631,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",814729889802756097,goodluck to me going back to sleep any fucking time soon. #pissed,Twitter for iPhone,2016-12-30T07:08:37.000Z,#pissed,,,
everyone,en,814728672070529024,167969099,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814728672070529024,I dont give two shits right now tho. #pissed http://someurl,Twitter for iPhone,2016-12-30T07:03:47.000Z,#pissed,,,
everyone,en,814725432713117696,770665302,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814725432713117696,Cant ever fucking party with the homies #Pissed,Twitter for Android,2016-12-30T06:50:54.000Z,#pissed,,,
everyone,en,814721850844545024,1146721764,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814721850844545024,What Id do to go back in fucking time #annoyed #pissed #GetMeOuttaHere,Twitter for iPhone,2016-12-30T06:36:40.000Z,#pissed,,,
everyone,en,814713819914113024,1869285510,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814713819914113024,WTF! Tried of the Lakers losing games 😤#Pissed,Twitter for iPhone,2016-12-30T06:04:45.000Z,#pissed,,,
everyone,en,814712605147164672,34683114,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814712605147164672,If I had a dollar for every sorry I heard tonight. @someuser #disappointed #milpitas #pissed,Twitter for iPhone,2016-12-30T05:59:56.000Z,#pissed,,,
everyone,en,814711045038034944,8472362,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",814711045038034944,I just spent the last 3 hours trying to fix (upgrade) my guitar when it should have only taken 20 minutes. #goingtobed #pissed,Tweetbot for iΟS,2016-12-30T05:53:44.000Z,#pissed,,,
everyone,en,814707563606511616,254383986,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814707563606511616,Social media is not the place to find out your spouse has been killed and the killer went after the wrong person and car smfh #Pissed,Twitter for iPhone,2016-12-30T05:39:54.000Z,#pissed,,,
everyone,en,814698586919358464,2956223674,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814698586919358464,Mad x1828383929 bc Im stuck at home #pissed,Twitter for iPhone,2016-12-30T05:04:14.000Z,#pissed,,,
everyone,en,814681169438642177,1684593306,"{'retweet_count': 13, 'reply_count': 2, 'like_count': 13, 'quote_count': 0}",814681169438642177,I just had to break up a fight on Chicago Ave. One dude was smothered in milkshake and got it all over me... #pissed #thosewerenewpants,Twitter for Android,2016-12-30T03:55:01.000Z,#pissed,,,
everyone,en,814677553973698560,26293588,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814677553973698560,If you can seriously look at this and call it on Smith... seriously unfollow me now. Should be in overtime. #preds #pissed http://someurl,Twitter for iPhone,2016-12-30T03:40:39.000Z,#pissed,,,
everyone,en,814676342151069696,883670714,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",814676342151069696,Honestly. I hate losing. But I hate losing even more when team didnt really outplay you. This is was one of those games #NHLJets #PISSED,Twitter for Android,2016-12-30T03:35:50.000Z,#pissed,,,
everyone,en,814674961344372741,495680421,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814674961344372741,When you receive an email for @someuser saying that your cancellation is successful #wtf #Inevercancelled #pissed #givememydealback,Twitter for iPhone,2016-12-30T03:30:21.000Z,#pissed,,,
everyone,en,814598405406203904,798402463464296449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814673634916601856,"@someuser @someuser @someuser @someuser they r starting to realize, they been had. #PISSED",Twitter Web Client,2016-12-30T03:25:05.000Z,#pissed,"[{'type': 'replied_to', 'id': '814647562447646720'}]",65519718,
everyone,en,814629512080195584,595301239,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814671194523713538,@someuser @someuser @someuser please please stop going on about it when we cant see it at all in Australia. #Pissed off aussie,Twitter for iPad,2016-12-30T03:15:23.000Z,#pissed,"[{'type': 'replied_to', 'id': '814629512080195584'}]",175485029,
everyone,en,814668461897117696,173940011,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",814668461897117696,Idk who @someuser thinks she is. Spending NYE with her bf and not me?? Did you forget were dating?!? #pissed #needanewbff #takingapps,Twitter for iPhone,2016-12-30T03:04:31.000Z,#pissed,,,
everyone,en,814667063432187904,2332759034,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",814667063432187904,Avion bought himself the f****** present I got him 💀💀💀💀💀💀💀 #pissed,Twitter for iPhone,2016-12-30T02:58:58.000Z,#pissed,,,
everyone,en,814663752880705536,2405415690,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814663752880705536,Mama Bear has her claws out.  No one will ever make my kids feel like they are better off dead.  No one should ever be bullied.  #pissed,Twitter for iPhone,2016-12-30T02:45:49.000Z,#pissed,,,
everyone,en,814659856401461248,2588357466,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",814659856401461248,Yeah lets put some Molly in a water bottle and tell someone its just water. Im sorry but that is so much bullshit.idc who you are.#pissed,Twitter for iPhone,2016-12-30T02:30:20.000Z,#pissed,,,
everyone,en,814658563792474112,840220441,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814658563792474112,Oh yeah they wanna eject my guy @someuser #pissed,Twitter for iPhone,2016-12-30T02:25:11.000Z,#pissed,,,{'place_id': '67e385da41adc880'}
everyone,en,814657918935003136,568561546,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814657918935003136,I missed such an important call!!!!! !!!!! #pissed,Twitter for iPhone,2016-12-30T02:22:38.000Z,#pissed,,,
everyone,en,814654425763553281,2240704442,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",814654425763553281,Having a job is cool and all but Ive been looking forward to racing arenacross at the van andel for awhile and now Im working #pissed,Twitter for iPhone,2016-12-30T02:08:45.000Z,#pissed,,,
everyone,en,814653461497257984,3154019922,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814653461497257984,"went to walmart, target, & best buy and none of the have @someuser glory days album and I wanted it so bad #pissed",Twitter for Android,2016-12-30T02:04:55.000Z,#pissed,,,
everyone,en,814648778829414400,804824284463910912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814648778829414400,"LET IT GO... Surrender, dislocate| http://someurl #NewYear #U2 #Bono #pissed #letitgo #2017 #Inspiration #inspirationthursday",Twitter for Android,2016-12-30T01:46:18.000Z,#pissed,,,
everyone,en,814647650289065986,610834982,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814648756687826945,@someuser im still #pissed,Twitter for iPhone,2016-12-30T01:46:13.000Z,#pissed,"[{'type': 'replied_to', 'id': '814648700207329280'}]",610834982,
everyone,en,814647405035606017,557982746,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814647405035606017,So is this what quality means now? Just did my second warranty exchange in under a year on a @someuser device #pissed,Twitter for Android,2016-12-30T01:40:51.000Z,#pissed,,,
everyone,en,814645604127305728,1274022578,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",814645604127305728,"My dog didnt like her Bone. Like what, I spent my time and money picking the perfect bone and she didnt like it. #Pissed",Twitter for iPhone,2016-12-30T01:33:42.000Z,#pissed,,,
everyone,en,814642378518777856,50460869,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",814642378518777856,"@someuser if Im told to get my car and then told it wont be ready until tomorrow, do I get to charge $120 / hour for wasted time #pissed",Twitter for Android,2016-12-30T01:20:53.000Z,#pissed,,14219877,
everyone,en,814642010246160385,15824597,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814642010246160385,@someuser Why 255 routes cancelled this wk during prime commute hrs? The few that showed up #SardineCan forced me to alt route #pissed,Twitter for Android,2016-12-30T01:19:25.000Z,#pissed,,95997861,
everyone,en,814640426565201920,1188153038,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814640426565201920,All I can say is you are lucky no one has exposed your bullshit yet #pissed,Twitter for Android,2016-12-30T01:13:07.000Z,#pissed,,,
everyone,en,814638045035053059,80129139,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",814638045035053059,Why has @someuser taken you off the air @someuser #pissed,Twitter for iPhone,2016-12-30T01:03:39.000Z,#pissed,,,
everyone,en,814632532100714496,218316146,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814632532100714496,Im so over rain. I want snow. #snow #pissed http://someurl,Linkis: turn sharing into growth,2016-12-30T00:41:45.000Z,#pissed,,,
everyone,en,814628384454090752,2569216670,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814629398951428097,@someuser called in to work #pissed,Twitter for iPhone,2016-12-30T00:29:18.000Z,#pissed,"[{'type': 'replied_to', 'id': '814628384454090752'}]",322251349,
everyone,en,814629106256121856,402350740,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814629106256121856,"If it were me I would remove #proud and replace with #pissed.  But hey, be proud your defense is terrible and you had 4 turnovers. http://someurl",Twitter for iPhone,2016-12-30T00:28:08.000Z,#pissed,"[{'type': 'quoted', 'id': '814602815876329472'}]",,
everyone,en,814623804970438657,3205372078,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",814628527358275584,@someuser just scanned back through their tweets looks like theyve been having problems all day went 10mins b4 end of Ice Age #Pissed 😡😂,Twitter for Android,2016-12-30T00:25:50.000Z,#pissed,"[{'type': 'replied_to', 'id': '814627043598016512'}]",2269376259,
everyone,en,814628013971304448,733807362176221185,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814628013971304448,Oh well heres my lift home #taxi #pissed http://someurl,Twitter for Android,2016-12-30T00:23:48.000Z,#pissed,,,
everyone,en,814621714944495617,344806578,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",814621714944495617,Spent an hour and half on it and you reword the whole mf thing🙄 #pissed #annoyed,Twitter for iPhone,2016-12-29T23:58:46.000Z,#pissed,,,
everyone,en,814621633038221314,3510559813,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814621633038221314,#pissed someone calm me down cuz bitch bout to go ape,Twitter for Android,2016-12-29T23:58:26.000Z,#pissed,,,
everyone,en,814619967907827713,151302189,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",814619967907827713,Its a bad day when your fav filter goes away on snap chat! #pissed,Twitter for iPhone,2016-12-29T23:51:49.000Z,#pissed,,,
everyone,en,814615993993588739,570861216,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814615993993588739,Ima shiit on your nappy little heads !! | #Pissed,Twitter for Android,2016-12-29T23:36:02.000Z,#pissed,,,
everyone,en,814615925408178176,84361188,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814615925408178176,Why in the hell did I have a dream about being hella best friends with @someuser then I wake up and come to find out Im not. #pissed. http://someurl,Twitter for Android,2016-12-29T23:35:46.000Z,#pissed,,,
everyone,en,814612150819819520,542178434,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814612150819819520,wtf i was supposed to get my nails done today #pissed,Twitter for iPhone,2016-12-29T23:20:46.000Z,#pissed,,,{'place_id': '3b77caf94bfc81fe'}
everyone,en,814610189978632192,749926043012640769,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814610189978632192,.@someuser should NOT have deleted the tweet!  #CarrieFisher was indeed one of the most beautiful creatures in the World! #pissed,Twitter Web Client,2016-12-29T23:12:58.000Z,#pissed,,,
everyone,en,814609826395410432,749926043012640769,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814609826395410432,@someuser should NOT have deleted the tweet!  Carrie Fisher was indeed one of the most beautiful creatures in the World! #pissed,Twitter Web Client,2016-12-29T23:11:31.000Z,#pissed,,14824849,
