source,conversation_id,author_id,text,referenced_tweets,in_reply_to_user_id,reply_settings,created_at,id,public_metrics,geo,lang,search_query
neojurnal2015,814338584236986368,1331339334,VLOG #Building #Ikea #Furniture #Sephora #Haul #& #My #Sad #Plant #November #KamiAhok http://someurl,,,everyone,2016-12-29T05:13:42.000Z,814338584236986368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web App,814235015492018180,80625260,sal seker eers weer in 2080 n show van @someuser kan gaan kyk. geld is daar net nie. #nielekkernie #sad #wilsograagweernaeentoegaan,,,everyone,2016-12-28T22:22:10.000Z,814235015492018180,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814213665343885313,32314867,Helaas... @someuser deze zag ik ook http://someurl #sad,"[{'type': 'replied_to', 'id': '814213665343885313'}]",36054940,everyone,2016-12-28T21:03:03.000Z,814215106963836931,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,814209171541413892,824998866,"Wil opzich niet heel vervelend doen, maar de eerste week vakantie is al op de helft. Dus de vakantie is bijna voorbij. #sad http://someurl",,,everyone,2016-12-28T20:39:28.000Z,814209171541413892,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '5fbbce7f39083f7a'},nl,#sad
TweetDeck,814149240951861248,27852924,@someuser Dat laatste heb ik dus ook. Ik krijg hooguit 2 likes denk ik. #sad,"[{'type': 'replied_to', 'id': '814149240951861248'}]",24934353,everyone,2016-12-28T16:41:55.000Z,814149391242133504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,814144437441929217,1864579788,Duizenden #zeesterren op strand aangespoeld #bizar #sad http://someurl duizenden zeesterren op strand aangespoeld via @someuser,,,everyone,2016-12-28T16:22:14.000Z,814144437441929217,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
TweetDeck,814091945563791360,120521568,@someuser thanks man <3 (denk dat vaker dan dagelijks douchen weinig effect heeft :(((( #sad),"[{'type': 'replied_to', 'id': '814106238405509120'}]",778147236,everyone,2016-12-28T13:51:22.000Z,814106470107217920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813901000041963520,1854748836,@someuser @someuser ben ik niet want k fix niemand en heb ook geen fix dusja #Sad kappa,"[{'type': 'replied_to', 'id': '813904660595666944'}]",4189013043,everyone,2016-12-28T00:30:05.000Z,813904821203959809,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813842706569064448,243313765,#jaaroverzicht #2016 😂😂😂 Syrisch meisje karakteriseert het krachtig wat hebben wij verkeerd gedaan? #sad,,,everyone,2016-12-27T20:23:16.000Z,813842706569064448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813832566658793472,306204479,NOS Jaaroverzicht aka NOS Aanslagenoverzicht #sad,,,everyone,2016-12-27T19:42:58.000Z,813832566658793472,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813782320452927488,4163063547,"When ze op reis vragen wie de oudste is, Hanne of jezelf (Hanne is 5 jaar jonger) ☹️☹️☹️☹️ #sad",,,everyone,2016-12-27T16:23:19.000Z,813782320452927488,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 41, 'quote_count': 0}",{'place_id': '0a38de00fe3436ab'},nl,#sad
Twitter for Android,813722051097874432,231436809,RT @someuser Winterblues? winterdip? Bestel de elegante PROPEAQ lichtbril bij DokterOnline http://someurl #lichttherapie #winterde...,"[{'type': 'retweeted', 'id': '813692464083116032'}]",,everyone,2016-12-27T12:23:49.000Z,813722051097874432,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,813692464083116032,713016190298357760,Winterblues? winterdip? Bestel de elegante PROPEAQ lichtbril bij DokterOnline http://someurl #lichttherapie #winterdepressie #SAD http://someurl,,,everyone,2016-12-27T10:26:15.000Z,813692464083116032,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 1}",{'place_id': 'de4a6927f1d07eca'},nl,#sad
Twitter for iPhone,813630454763024384,32314867,Mooi weergegeven #georgemichael http://someurl #sad #rip,,,everyone,2016-12-27T06:19:51.000Z,813630454763024384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813525527168503808,954670146,Vroeger gooide PingPing nog met filipinos op mensen. Nu geven mensen Ping filipinos #Sad,,,everyone,2016-12-26T23:22:54.000Z,813525527168503808,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': 'ef0bc536202c76e3'},nl,#sad
Twitter Web Client,813481213784653824,2317488506,"2016 belangrijkste nieuws; 3 pop-iconen dood. #DavidBowie, #Prince en gisteren #GeorgeMichael. Dan voel je je ineens heel oud worden..😧🙄#sad",,,everyone,2016-12-26T20:26:49.000Z,813481213784653824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,813348471012986880,1413626568,RT @someuser Zo mooi.. herinneringen 😓.. wat een stem! #sad #rip #georgemichael George Michael - Going To A Town http://someurl,"[{'type': 'retweeted', 'id': '813348380227334144'}]",,everyone,2016-12-26T11:39:21.000Z,813348471012986880,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813348380227334144,48748629,Zo mooi.. herinneringen 😓.. wat een stem! #sad #rip #georgemichael George Michael - Going To A Town http://someurl,,,everyone,2016-12-26T11:38:59.000Z,813348380227334144,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 17, 'quote_count': 0}",,nl,#sad
Twitter for Android,813315328222629888,548324673,Blij dat ik hem ooit live heb mogen zien in Ahoy. Wat een stem!! #georgemichael #sad #RIPGeorge,,,everyone,2016-12-26T09:27:39.000Z,813315328222629888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813297087836225536,144939675,Na #bowie en #prince vandaag mijn jeugdheld overleden. #sad #georgemichael #whamforever #😢😢😢😢😢 http://someurl,"[{'type': 'quoted', 'id': '813294401942355968'}]",,everyone,2016-12-26T08:15:10.000Z,813297087836225536,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",{'place_id': 'a917063aa167ace9'},nl,#sad
Twitter for iPhone,813278466997096448,472486341,"Muzikale held en genie George Michael overleden, dit kan toch niet waar zijn ??? What the hell. Komt er wel ff inzetten zo met de kerst #sad",,,everyone,2016-12-26T07:01:11.000Z,813278466997096448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Echofon,813185766100701185,244987395,@someuser ik kan het niet geloven!!! Wat een verlies #sad 😢,"[{'type': 'replied_to', 'id': '813185766100701185'}]",26208313,everyone,2016-12-26T06:16:10.000Z,813267137510985728,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813160724755316736,714086577702584321,@someuser Triest nieuws om te horen 😢 #LastChristmas voor #GeorgeMichael R.I.P. Dit nummer krijgt een heel speciale betekenis nu. #Sad,"[{'type': 'replied_to', 'id': '813160724755316736'}]",105161244,everyone,2016-12-26T05:09:04.000Z,813250252975251456,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813178719330308096,2326112734,Sorry @someuser maar vandaag gaat the best of George Michael and Wham op repeat! #tosoon #80s #sad #cantsleep #hero,,,everyone,2016-12-26T00:24:49.000Z,813178719330308096,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813175234731900929,96217226,Ik ga het toch proberen....#sad #missyou http://someurl,,,everyone,2016-12-26T00:10:58.000Z,813175234731900929,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813174759886389248,1480002660,Cos God stopped keeping score. Dank je George Michael voor je prachtige muziek! #Sad #LastChristmas #Rip #Icon http://someurl,,,everyone,2016-12-26T00:09:05.000Z,813174759886389248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813158530320568320,2494371449,@someuser Potver mijn jeugdidool nu ook al naar de eeuwige popfestival daar boven.. #sad,"[{'type': 'replied_to', 'id': '813158530320568320'}]",6028822,everyone,2016-12-25T23:26:06.000Z,813163942830817280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813163663079129088,775388178949734400,Jeetje George Michael ... #RIP #sad #LastChristmas,,,everyone,2016-12-25T23:24:59.000Z,813163663079129088,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813160714080661505,15764391,RIP George Michael. Weer een van mijn favoriete zangers naar de eeuwige muziekvelden! #sad http://someurl,,,everyone,2016-12-25T23:13:16.000Z,813160714080661505,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813160689363783680,14712229,Damn. 2016 laat echt alle helden gaan. #sad #georgemichael #rip http://someurl,,,everyone,2016-12-25T23:13:10.000Z,813160689363783680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,813159443286360064,186808004,GVD Georgies last Christmas only 53! #sad,,,everyone,2016-12-25T23:08:13.000Z,813159443286360064,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813158721031438336,618396082,Wrom geen 24uur per dag @someuser #Top2000 op @someuser Nee das geslaagd! Geen #top2000 voor mij vannacht kijken.. 😢😢 #notfunny #sad,,,everyone,2016-12-25T23:05:21.000Z,813158721031438336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': 'ef0bc536202c76e3'},nl,#sad
Twitter Web Client,813158530320568320,927592158,@someuser Als de bbc het meld.. #sad,"[{'type': 'replied_to', 'id': '813158530320568320'}]",6028822,everyone,2016-12-25T23:05:11.000Z,813158678610247680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,813145035671801856,4546703866,O fuck ziggo reageert tussen 8-22 naaah #sad,,,everyone,2016-12-25T22:10:58.000Z,813145035671801856,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web App,813043894510354432,160134235,@someuser aaaaah ik ga wss naar rafketjee toeee dat weekend #sad 💔💔💔,"[{'type': 'replied_to', 'id': '813044920994893824'}]",341684822,everyone,2016-12-25T15:36:41.000Z,813045812112584704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,813006899159371776,306204479,"het doet gewoon zeer om afscheid te nemen van mijn mobiele nummer na 6,5 jaar :( #sad",,,everyone,2016-12-25T13:02:04.000Z,813006899159371776,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,812982900161445888,853412917,Op deze dagen (omdat ik bij me opa en oma ben) mis ik iemand om mee te praten en close mee te zijn. Iemand om trots op te zijn naast me #Sad,,,everyone,2016-12-25T11:26:42.000Z,812982900161445888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,812790873230544899,3880725437,@someuser @someuser shit t ligt echt niet in zeeland #sad http://someurl,"[{'type': 'replied_to', 'id': '812970599786102784'}]",1416321338,everyone,2016-12-25T10:43:08.000Z,812971935546150912,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,nl,#sad
neojurnal2015,812953498820157440,1331339334,VLOG #Building #Ikea #Furniture #Sephora #Haul #& #My #Sad #Plant #dukungAhok #KamiAhok http://someurl,,,everyone,2016-12-25T09:29:52.000Z,812953498820157440,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,812704069781491712,117354903,"Zo aardig, zon mooie zangeres.....#sad http://someurl","[{'type': 'quoted', 'id': '812685568979111936'}]",,everyone,2016-12-24T16:58:44.000Z,812704069781491712,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,812585026793652224,471549937,RT @someuser OMG. Hondje wordt voor het eerst in zn leven geaaid. Heeft even geen idee wat ie er mee aan moet. #sad #sweet http://someurl,"[{'type': 'retweeted', 'id': '812583792963715072'}]",,everyone,2016-12-24T09:05:42.000Z,812585026793652224,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,812583792963715072,18637247,OMG. Hondje wordt voor het eerst in zn leven geaaid. Heeft even geen idee wat ie er mee aan moet. #sad #sweet http://someurl,,,everyone,2016-12-24T09:00:47.000Z,812583792963715072,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 12, 'quote_count': 2}",,nl,#sad
Twitter for iPhone,812390604130971653,4689349681,Ik moet zo nodig plassen maar dit kan niet op pauze... #sad #flikkenmaastricht,,,everyone,2016-12-23T20:13:08.000Z,812390604130971653,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter Web Client,812286039784116224,13579462,"Vervelend bericht: ik heb al een paar weken geen Twitter-avatar meer. :( Hij blijft maar leeg, wat ik ook doe... #sad",,,everyone,2016-12-23T13:17:38.000Z,812286039784116224,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,nl,#sad
TweetDeck,812221286244085760,85648974,"Gelukkig hoef ik deze maand geen schoolgeld te betalen, anders had ik nog maar 4 euro over :) #sad",,,everyone,2016-12-23T09:00:19.000Z,812221286244085760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,811891591916953600,45794591,"Bakje #skyr gekocht voor mn #treinreis, laat ik t lepeltje op de grond vallen.. #sad #geenskyr #laatmaar #treinleven #kutleven",,,everyone,2016-12-22T11:10:14.000Z,811891591916953600,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,811843035252330496,2449316862,Blijft duren.. #sad Brand aan hotel in Leuvense Bondgenotenlaan http://someurl,,,everyone,2016-12-22T07:57:17.000Z,811843035252330496,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
neojurnal2016,811811005378560000,1331339334,VLOG #Building #Ikea #Furniture #Sephora #Haul #& #My #Sad #Plant #AhokTersangka #KamiAhok http://someurl,,,everyone,2016-12-22T05:50:01.000Z,811811005378560000,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,811694382260830208,43189015,@someuser het is bijna literair (en #sad ook),"[{'type': 'replied_to', 'id': '811698370473578497'}]",28296601,everyone,2016-12-21T22:45:14.000Z,811704107572531200,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,811694949691486210,178636796,@someuser  Inzake plaatsing volgende ronde: onjuist. Aleen nummers 1 gaan door (6 pl) + 2 beste nrs 2 + 8 pl instroom CL = 16 pl #sad #weak,"[{'type': 'replied_to', 'id': '811694949691486210'}]",14907733,everyone,2016-12-21T22:27:33.000Z,811699656119828480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
TweetDeck,811464180079403008,2671213630,wow @someuser is gewoon uitgenodigd om mee te doen aan een zang competitie en ik niet #sad http://someurl,,,everyone,2016-12-21T06:51:51.000Z,811464180079403008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",,nl,#sad
Twitter for iPhone,811333398681841665,115386104,RT @someuser .@someuser @someuser @someuser gebiedsplan gáát over bespreken met bewoners! En dan doen jullie dit... #jammer #sa...,"[{'type': 'retweeted', 'id': '811330978773868545'}]",,everyone,2016-12-20T22:12:10.000Z,811333398681841665,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,811326826576494592,160936821,.@someuser @someuser @someuser gebiedsplan gáát over bespreken met bewoners! En dan doen jullie dit... #jammer #sad #wrong #nuklaar http://someurl,"[{'type': 'replied_to', 'id': '811330520701403136'}]",132835286,everyone,2016-12-20T22:02:33.000Z,811330978773868545,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter Web Client,811309936517009413,129940879,"@someuser Heb verdomd mooie nieuwe pattas gekocht, maar ze zijn morgen nog niet binnen. #sad #noshine",,57889419,everyone,2016-12-20T20:38:56.000Z,811309936517009413,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,811172931124494336,217506679,RT @someuser Berlijn| | #gedicht #berlin #berlijn #berlinattack #sad #droevig #madworld #insane #poetry #poem http://someurl,"[{'type': 'retweeted', 'id': '811121947664941057'}]",,everyone,2016-12-20T11:34:32.000Z,811172931124494336,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,811165083439165440,204816178,RT @someuser Berlijn| | Liefde om metaal verwrongen| Een markt druk bezocht| Nooit meer de kerst bezongen| Haat is een gedrocht| | #Berlijn...,"[{'type': 'retweeted', 'id': '811119566671802368'}]",,everyone,2016-12-20T11:03:21.000Z,811165083439165440,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,811111229607579648,443041134,@someuser Laat dat soms maar weg..... #sad,"[{'type': 'replied_to', 'id': '811111229607579648'}]",19904027,everyone,2016-12-20T08:13:26.000Z,811122322866393089,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Instagram,811121947664941057,394008615,Berlijn| | #gedicht #berlin #berlijn #berlinattack #sad #droevig #madworld #insane #poetry #poem http://someurl,,,everyone,2016-12-20T08:11:56.000Z,811121947664941057,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",,nl,#sad
Twitter Web Client,811119566671802368,394008615,Berlijn| | Liefde om metaal verwrongen| Een markt druk bezocht| Nooit meer de kerst bezongen| Haat is een gedrocht| | #Berlijn #BerlinAttack #Sad,,,everyone,2016-12-20T08:02:29.000Z,811119566671802368,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",,nl,#sad
Twitter Web Client,810951162383974400,373019604,RT @someuser Daar gaan we weer. Dit zal de politiek aangrijpen maar niet op de manier zoals het ons aangrijpt..... #kerstmarkt #sad #laf,"[{'type': 'retweeted', 'id': '810949342387376129'}]",,everyone,2016-12-19T20:53:18.000Z,810951162383974400,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for Android,810949342387376129,68979137,Daar gaan we weer. Dit zal de politiek aangrijpen maar niet op de manier zoals het ons aangrijpt..... #kerstmarkt #sad #laf,,,everyone,2016-12-19T20:46:04.000Z,810949342387376129,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPad,810936530344808449,269959558,Wat gebeurt er weer in de wereld? #Aleppo #Berlin #Zürich #Turkey #aanslagen #sad,,,everyone,2016-12-19T19:55:09.000Z,810936530344808449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,810935324872503296,1592731848,Onverwacht met de man naar de dokter. En had tickets gewonnen met @someuser voor AP Colleteral Beauty vanavond 😢 #badtiming #sad #nomovie,,,everyone,2016-12-19T19:50:22.000Z,810935324872503296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Giphy Share,810869737706160128,2680733428,Na een week ziekte constateren dat je favoriete brooddoos weggesmeten is door de kantinemadam #sad #colruytgroupie http://someurl,,,everyone,2016-12-19T15:29:45.000Z,810869737706160128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",,nl,#sad
Tweetbot for Mac,810837291790925824,32842880,@someuser waarom is je helplizeaaneenlaptop offline #sad,,121528297,everyone,2016-12-19T13:20:49.000Z,810837291790925824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '3171295c8928119c'},nl,#sad
Twitter for iPad,810614832198258689,2953610019,@someuser @someuser jullie wel ikke ni #Sad,"[{'type': 'replied_to', 'id': '810614832198258689'}]",760605730496020481,everyone,2016-12-18T22:39:45.000Z,810615564112719873,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",,nl,#sad
Twitter for iPhone,810600984028266498,187548320,@someuser OMG JAAAAA! 🎉🎉 nu zijn al mijn deprimerende tweets voor Jan Lul! #sad maar thanx voor het goede nieuws! Kerfetti!,"[{'type': 'replied_to', 'id': '810602026681987073'}]",474861479,everyone,2016-12-18T21:46:57.000Z,810602277006442496,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,nl,#sad
