source,public_metrics,author_id,text,id,conversation_id,lang,in_reply_to_user_id,reply_settings,created_at,search_query,referenced_tweets,geo
Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791713538956005376,Ang sakit pala noh...!ung bang dinudurog ang puso mo...#heartbroken #hopeless  #unhappylife,797503502046138369,797503502046138369,tl,,everyone,2016-11-12T18:17:06.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",49394484,In my native Utah. #Heartbroken http://someurl,796918595091623936,796918595091623936,tl,,everyone,2016-11-11T03:32:53.000Z,#heartbroken,"[{'type': 'quoted', 'id': '796847200378626048'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",795953720500420608,Yung ngayun kolang nalaman na 3 months na pala sila ni crush😢😢😳😭| Tapos yung gf pala ni crush si best friend 😛😓😭😭😭| #HeartBroken,796612586712113156,796612586712113156,tl,,everyone,2016-11-10T07:16:55.000Z,#heartbroken,,
Twitter for BlackBerry,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4848916119,Aowa mara Qondi whats on with you mara yee....#heartbroken#sorryAbutiFez#NkawanaIsWaitingForYou,796428434582994949,796428434582994949,tl,,everyone,2016-11-09T19:05:10.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",61943976,May dalawang klaseng tao sa mundo ang umaalis at ang iniiwan!!! #heartbroken  #failedrelationship,794611995739705344,794611995739705344,tl,,everyone,2016-11-04T18:47:17.000Z,#heartbroken,,
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 1}",65932131,Sayanga ato na Surgery quiz oy. Pambawi na unta toh. 😔 #heartbroken,794378606117949440,794378606117949440,tl,,everyone,2016-11-04T03:19:53.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",2624173760,I cannot comprehend the MISUARI sudden show-up. Ano nga po bang nangyari ulit sa Zamboanga nung September 2013? Nakalimot ba? #heartbroken 💔,794180336615706624,794180336615706624,tl,,everyone,2016-11-03T14:12:02.000Z,#heartbroken,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",41192404,"Para po sa mahilig sa #Matamis. Bawal po ang #heartbroken, may #ampalaya po baka maging... http://someurl",793825148935647232,793825148935647232,tl,,everyone,2016-11-02T14:40:38.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2620985820,baby luv q;;; miss na miss kuh na puh siya #heartbroken #sad http://someurl,793771716086345729,793771716086345729,tl,,everyone,2016-11-02T11:08:19.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",41192404,"Para po sa mahilig sa #Matamis. Bawal po ang #heartbroken, may #ampalaya po baka maging bitter.| | GRAB YOURS NOW... http://someurl",793760495664664576,793760495664664576,tl,,everyone,2016-11-02T10:23:44.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3580055474,may nagmamahal pa ba sa akin..???| | #heartbroken | #AloneWithMyThoughts,793684620898242560,793684620898242560,tl,,everyone,2016-11-02T05:22:14.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",76541933,"Huhuhu! @someuser is getting married na! #Heartbroken pero masaya ka, eh...sige na nga... 😖😖😖 #Congrats #GinoCols",792663702176542720,792663702176542720,tl,,everyone,2016-10-30T09:45:28.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",36954281,@someuser ang haba ng sinulat ko tapos hindi pala kita maaring i-DM. Huhuhuhu! #Saklap #SadLife #HeartBroken LOL Ang cute mo @someuser <3,792662761536757760,792556375280721920,tl,72457332,everyone,2016-10-30T09:41:43.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '792626805538557952'}]",
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",593792436,@someuser ako din naman #heartbroken eh HAHAHAHA *charot*😂😂😂,791962650817069057,791961508125159424,tl,3317668249,everyone,2016-10-28T11:19:44.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '791962447330447362'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",779178713732689920,grabe ang sakit #heartbroken,791924119629537280,791924119629537280,tl,,everyone,2016-10-28T08:46:38.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",173421704,"Sanay na ako sa madilim na mundo,  simula nung iwan mo ako........| | #HeartBroken 💔💔💔💔💔💔💔",791052614607659008,791052614607659008,tl,,everyone,2016-10-25T23:03:35.000Z,#heartbroken,,
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2150774144,🇵🇰 Pakistan 💔😢 #Pakistan #heartbroken,790811374603669504,790811374603669504,tl,,everyone,2016-10-25T07:04:58.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",62230418,We all knew that Glenn would die. In denial lang tayo. :( Hanggang ngayon. #Heartbroken,790754599866990592,790754599866990592,tl,,everyone,2016-10-25T03:19:22.000Z,#heartbroken,,
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1854575396,@someuser @someuser Me ulti khichdi paka rhi hu?? Dats y i dnt share it #heartbroken,790629680525127681,790625392339984385,tl,720230731230760961,everyone,2016-10-24T19:02:59.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '790629091892277249'}]",
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",3188426419,sa mga #HeartBroken at mga #PaasaDyan 😂😂😂😂😂😂 http://someurl,790433995523629060,790433995523629060,tl,,everyone,2016-10-24T06:05:24.000Z,#heartbroken,,
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",3186509000,@someuser @someuser @someuser Bina bataye chat session kyun kiya kappu..i missed ittt #Heartbroken 😭😭,790144408289054720,790120937223917568,tl,1492538024,everyone,2016-10-23T10:54:41.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '790121862223114240'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2418399062,Nakakaiyak bes| Uri Bogummy will be here in PH| but not in Manila| | ilang oras na lang #HEARTBROKEN na ako,789161363713044480,789161363713044480,tl,,everyone,2016-10-20T17:48:25.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2420459323,ang pusong wasak kailangan ng head and shoulder.. 󾌴✌| #heartbroken si beshy...,788590945298186240,788590945298186240,tl,,everyone,2016-10-19T04:01:47.000Z,#heartbroken,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",786893940263878656,Aye. Morning e.e 💛💙💚💜#heartbroken #emo #emogirl #scene #emoboy... http://someurl,788312373937471488,788312373937471488,tl,,everyone,2016-10-18T09:34:50.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",133613950,I cant imagine @someuser playing for another team.. nagkamulat at lumaki na ko na sa purefoods siya..why o why? #heartbroken,786554668545482753,786554668545482753,tl,,everyone,2016-10-13T13:10:21.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2897267125,"I feel you kisses hahahaahaha, pero tama talaga si kuya hahahaha #PBBFriends4ever  #heartbroken",785501925609312257,785501925609312257,tl,,everyone,2016-10-10T15:27:07.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",221302592,Shems. May gf na pala siya :( Panu na ako 😭💔🔪 #heartbroken,784219420256145408,784219420256145408,tl,,everyone,2016-10-07T02:30:54.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",782952245398601728,Masakit yung Mamaliitin ka ng EX mo.| | #heartbroken,783315130461265921,783315130461265921,tl,,everyone,2016-10-04T14:37:35.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4356133753,Anong gagawin ko kung wag na umasa para sa kanya 😞😞😞 Pag umasa parin ako sa kanya nagmukha na akong tanga 😞😞😞 | -Emperor| #Heartbroken,783234988430929920,783234988430929920,tl,,everyone,2016-10-04T09:19:07.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",554862864,Natulog na lahat tapos ganun pa din...🙃🙃🙃 #headaches #heartbroken #alakpamore #hangover #itsbeenawhile — feeling tipsy,783067698838310912,783067698838310912,tl,,everyone,2016-10-03T22:14:22.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2512616564,#HeartBroken:::  i miss you so much...| | Kahit may iba kana.. ikaw pa rin ang mahal...,782401395190136832,782401395190136832,tl,,everyone,2016-10-02T02:06:43.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",317989394,"Kash koi aisa Aina huta  chaheyra nahi ,,,,,niyat batey| #heartbroken",781917874583588864,781917874583588864,tl,,everyone,2016-09-30T18:05:23.000Z,#heartbroken,,
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",777451067420184576,Yung mga lalaking minahal ko ng sobra tapos mangiiwan lang pala :(      #heartbroken,781784795932090368,781784795932090368,tl,,everyone,2016-09-30T09:16:34.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3230900774,@someuser Par GOVT pe ghalat kia na moni :(( | #Heartach #HeartBroken 💔,781538118235197440,781530402510909441,tl,2987108011,everyone,2016-09-29T16:56:22.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '781531701100982272'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",442696891,Naiiyak ako pag nakakakita ng posts about MDS. 😭 Mas lalo pag may photos. 😭😭😭 #heartbroken,781357399886094336,781357399886094336,tl,,everyone,2016-09-29T04:58:15.000Z,#heartbroken,,
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",777093985235902464,"Buti pa ang dota, may dota 2.| Pero yung I love u, walang I love u 2. #heartbroken",781010684586946560,781010684586946560,tl,,everyone,2016-09-28T06:00:32.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1290144139,FAAAAAAAAAAAAAAAAAAAAAACK di ko ka team mate this year si Sarah baby T-T #heartbroken,780895369215508481,780895369215508481,tl,,everyone,2016-09-27T22:22:19.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",780726812129136640,Ng dahil sa interview ni Alden sa pep... namulat na rin #heartbroken 😢 http://someurl,780744889113808896,780744889113808896,tl,,everyone,2016-09-27T12:24:21.000Z,#heartbroken,"[{'type': 'quoted', 'id': '780744010461614081'}]",
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",555621382,#AtticusIndepand RT DPG_IBIZA: SpaceIbiza #ibiza #ibiza2016 #heartbroken #love #endofanera http://someurl,780132904991162368,780132904991162368,tl,,everyone,2016-09-25T19:52:33.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",762247102059667456,@someuser lo Maan lya hmne aap reply kroge nhi 😭😭😭😭😭| #heartbroken 💔,778678288805867520,778678288805867520,tl,78583540,everyone,2016-09-21T19:32:25.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2478756252,Angelina divorcing Brad pitt. 󾬎󾬎󾬎󾬎󾬎󾬎󾬎󾬎 #worldcomestoanend #endofromance #splitsvilla #heartbroken http://someurl,778263610325889024,778263610325889024,tl,,everyone,2016-09-20T16:04:38.000Z,#heartbroken,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2478756252,Angelina divorcing Brad pitt. 💔💔💔💔💔💔💔💔 #worldcomestoanend #endofromance #splitsvilla #heartbroken http://someurl,778263602000236544,778263602000236544,tl,,everyone,2016-09-20T16:04:36.000Z,#heartbroken,,
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",702053821527117824,"Nag mahal.Nasaktan,Naging Zombie| #heartbroken",778113872892919808,778113872892919808,tl,,everyone,2016-09-20T06:09:38.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",712256841787441152,Nakigulo ka pa sa ring origins @someuser . Caused more confusion. Sigh. Nakakapagod mag-fangirl. #heartbroken #hopianomore,777471032600895488,777471032600895488,tl,,everyone,2016-09-18T11:35:13.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1264582812,#last night in CHILL with this guys mga baki hahaha... #mga reyna at hari pasaway...#heartBroken kasi yung isa... http://someurl,776645557691428864,776645557691428864,tl,,everyone,2016-09-16T04:55:04.000Z,#heartbroken,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",230085326,Part time lover hulur kad jemputan.. #sedeh #pedeh #heartbroken 😭 💔 @someuser http://someurl,776322459662450688,776322459662450688,tl,,everyone,2016-09-15T07:31:12.000Z,#heartbroken,,"{'place_id': '59e757bb93090b8c', 'coordinates': {'type': 'Point', 'coordinates': [103.86397, 1.48781]}}"
Twitter Web App,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",775147422234226688,Wala na JANNETH💔💔💔| #HeartBroken,776028526734520320,776028526734520320,tl,,everyone,2016-09-14T12:03:13.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2567887962,ABIII MAT 😭😭#heartbroken,774397733511856128,774397733511856128,tl,,everyone,2016-09-10T00:03:01.000Z,#heartbroken,,
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2990772909,Ito na ang pinaka-perfect na regalo ngayon para sa kaibigan mong #Heartbroken! .| .| .| Mangr... http://someurl http://someurl,773644512811945985,773644512811945985,tl,,everyone,2016-09-07T22:10:00.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2601285608,Nagmahal naman Ako nang Seryoso Pero Bakit niloko pa ako. #heartbroken #lovehurts #sawisapagibig,771858108956020736,771858108956020736,tl,,everyone,2016-09-02T23:51:28.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2601285608,Bakit pa kasi Sa Muslim Ako nag mahal. Yan tuloy nasaktan Ako 💔💔💔 #heartbroken,771716662215094272,771716662215094272,tl,,everyone,2016-09-02T14:29:24.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2601285608,Time and Effort Lang gusto KO sayo Pero d mo pa mabigay. 💔 #walangforever #sawisapagibig #heartbroken,771710667908714496,771710667908714496,tl,,everyone,2016-09-02T14:05:35.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",721721847734255616,R U worthy for this| Mlapit na akong sumuko.. | Im starting to doubt your love for me. | Ito pla yung feeling. Ganito pla yun.| #heartbroken,771331868818083840,771331868818083840,tl,,everyone,2016-09-01T13:00:22.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",754669044377071618,Ang pagkakamali ay isang lesson..| Pero d n dpt gawin..| Huwag paden kalimutan huminga dhil tuloi padin ang buhay..| #heartbroken,771037423413235712,771037423413235712,tl,,everyone,2016-08-31T17:30:21.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2795395088,Halaaa!!! so V nga at di si R? anubayan #heartbroken sorry. d bagay e.. pero oh well.. di natin hawak ang heart ni M http://someurl,770941307816513536,770941307816513536,tl,,everyone,2016-08-31T11:08:25.000Z,#heartbroken,"[{'type': 'quoted', 'id': '770940623620673536'}]",
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1365564744,"@someuser @someuser Haha, second choice am I... Tut tut! #heartbroken haha",770367339401515008,770365581954428929,tl,303751494,everyone,2016-08-29T21:07:41.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '770367017882939392'}]",
Twitter for Android,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2199357805,Kashta pattu en babyyyy @someuser draw Pana pic (2nd pic) evano aataya potu net la potan :((( #sadme #heartbroken 😢😢 http://someurl,769783478111973376,769783478111973376,tl,,everyone,2016-08-28T06:27:37.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",802624326,Daal pe Tarka Talo sy nahi lagaya tha|  .| #HeartBroken #Drama #BanMQM #PakistanZindabad http://someurl,768118645876809732,768118645876809732,tl,,everyone,2016-08-23T16:12:10.000Z,#heartbroken,"[{'type': 'quoted', 'id': '768116184332066824'}]",
