lang,reply_settings,source,public_metrics,created_at,text,conversation_id,id,author_id,search_query,in_reply_to_user_id,referenced_tweets,geo
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-29T13:02:41.000Z,"Natapos ko si Bari na maluwag sa dibdib, sobrang fulfilling talaga kapag kasama mo si God all the way. 💖 #excited for book2",814456608180748289,814456608180748289,4559764002,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-29T04:27:12.000Z,@someuser @someuser Hmmm Mas excited pa kmi Angel Ventot kay sa sau HAHAHA Kmi Sir wla? Charrrr | #Sweet| #Excited | #KiligOverLoad,814320713918095360,814326882015461376,795974648751980544,#excited,808603502,"[{'type': 'replied_to', 'id': '814320713918095360'}]",
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-28T22:41:45.000Z,#secretnewyear| #excited| Bdw jaslaii mero name paryaxa ramro gift lyaideula..Haha jk..😁😂😭,814239944122179584,814239944122179584,4043590754,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T15:34:19.000Z,"Medyo nangalawang ako, tutok pa yung aircon kaya nangangatal at ang bilis ko magturo... #excited",814132376787767297,814132376787767297,182886205,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2016-12-28T13:32:47.000Z,Ready na po tiyan ko sa Media Noche hahaha #excited| | WIL GetTheJacketBack,814101795387494402,814101795387494402,800368836608303104,#excited,,,{'place_id': '0c4cd224fc7fb579'}
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T10:14:42.000Z,@someuser first single nila lalabas na Jan 1 sa asap!!!  #excited 😄 BoyBandPH Woohoooooo http://someurl,814051942989082624,814051942989082624,145350255,#excited,828742454,"[{'type': 'quoted', 'id': '814044429925240833'}]",
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T09:23:47.000Z,Ready na later for our Adventure Mahaba habang byahe toh haha.| #Excited,814039131151945728,814039131151945728,4670876240,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T00:37:36.000Z,30 is real ba talaga? <3 Sana tuloy. HAHAHA #Excited,813906711044100097,813906711044100097,3178194702,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T23:18:38.000Z,Available na kaha ang Cosmo karon? Hahahaha #excited #OA,813886838498738176,813886838498738176,493821792,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-27T23:11:37.000Z,@someuser Oo-er! #excited 😂😂😂😂😂😂,813883658658578432,813885073548333056,3030643218,#excited,47643231,"[{'type': 'replied_to', 'id': '813884796397031424'}]",
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T21:24:13.000Z,@someuser @someuser post kayo agad ng vids nyo #excited,813856408722513920,813858047101521920,1288421383,#excited,1288421383,"[{'type': 'replied_to', 'id': '813856854879059968'}]",
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-27T12:54:44.000Z,@someuser see you in 2 days!!makakanood na din ako nang VKJ| #excited,813729828025212929,813729828025212929,295135340,#excited,628808642,,
tl,everyone,Twitter for Windows,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T06:25:24.000Z,Malapit na kami umuwi #Excited,813631851071881216,813631851071881216,813625448684867584,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T05:28:04.000Z,Yung ninang ng anak mo na bigla nalang magmmessage ng may gift ako for keira. Igpick up nala buwas ha LBC abuyog hahahaha ibaaaa #excited,813617424217960449,813617424217960449,51444481,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T04:37:02.000Z,363 days nalang..| Pasko na..| #excited,813604577752784896,813604577752784896,227297724,#excited,,,
tl,everyone,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T01:56:05.000Z,#EXCITED NA TAYO MAG BAGONG TAON #ABS-CBN,813564076919955460,813564076919955460,799435443192270848,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}",2016-12-26T15:57:14.000Z,364 days nalang pala pasko na ulit #EXCITED,813413367968694272,813413367968694272,812541083775168512,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T14:27:53.000Z,work na kaagad. hayssst. #excited,813390886159560704,813390886159560704,136932947,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",2016-12-26T13:59:53.000Z,Match day ...... ggmu #manchesterunited #boxingday #excited,813383838571184128,813383838571184128,1721630046,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T11:27:47.000Z,GENSAN <3| PAPUNTA NA AKO DYAN!!| | #EXCITED,813345562284224512,813345562284224512,3668812880,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T05:28:59.000Z,✌🏻✌🏻✌🏻 #Excited @ Mandaluyong http://someurl,813255264493182976,813255264493182976,4827930139,#excited,,,"{'place_id': '005de1fe214f002d', 'coordinates': {'type': 'Point', 'coordinates': [121.034, 14.5836]}}"
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T05:11:39.000Z,@someuser ako pa yung unang unang nagbihis HAHAHA #excited,813250742861471744,813250901938798592,794471569313570816,#excited,794471569313570816,"[{'type': 'replied_to', 'id': '813250742861471744'}]",
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T05:04:31.000Z,Lalayas na daw po siya 😂😂😂 #travel #camping #65L #excited... http://someurl,813249107263225856,813249107263225856,1632999876,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T11:04:41.000Z,Seklusyon next! #excited,812977359032725504,812977359032725504,45086591,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T03:50:13.000Z,Okay lang ko sa pasko nmo ron| Kay next year puhon mas lingaw na 😊😊| #excited,812868021068804096,812868021068804096,3141590653,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T21:17:31.000Z,#excited pussy tokyo teens http://someurl,812769194941022208,812769194941022208,968536261,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T15:53:33.000Z,Merry #ChristmasEve from QwikMed 🎅🏻💊🎄 #Christmas #pharmacy #clinic #Santa #excited #Fayetteville #MerryChristmas #FollowFriday #FF @someuser http://someurl,812687667649531904,812687667649531904,793837141855838208,#excited,,"[{'type': 'quoted', 'id': '812660600056578049'}]",
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T14:43:24.000Z,FRALALALAAAA | #excited #christmas #christmaseve #gif #illustration #pranitasdrawingaday... http://someurl,812670012863475712,812670012863475712,41127182,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-24T13:50:57.000Z,Magkita kita po tayo mamaya sa Gaisano Country Mall 7:30 PM! Gusto ko na kayo makita Cebuanos! #excited #seeulater http://someurl,812656812881113088,812656812881113088,809681268547944448,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T13:01:21.000Z,"Feeling ko, naging bata uli ako. :3| Nagregalo kuya ko... Pinapipili ako sa dalawang parehas hindi ko alam yong laman. :3| #Excited",812644332247261184,812644332247261184,2605479788,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-24T12:04:58.000Z,eto na!!! hahaha #excited http://someurl,812630142040182785,812630142040182785,3327824287,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T11:53:46.000Z,hays salamat gibalikan najud niya katong nagpalipay sa iyaha sa pila ra ka bulan 😃 hulat nalang ko ug official najud ☺ #Excited☺,812627321844858880,812627321844858880,757203421887729664,#excited,,,
tl,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T07:01:24.000Z,excited hisoka #TheMemebot #excited hisoka #Funny #Meme http://someurl http://someurl,812553746110676993,812553746110676993,737394371809533952,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T03:21:10.000Z,Isiu Magad Ahh Bhay Kanda Yong? 😘 #Excited,812498325211467776,812498325211467776,2702105430,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-24T02:52:13.000Z,@someuser Manonood kasi me ng digicon 😂😂 #Excited 😂😂,812483590915178497,812491039877365760,2906791651,#excited,4008650240,"[{'type': 'replied_to', 'id': '812490882175750144'}]",{'place_id': '0087ad0f1b6dfcc8'}
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 1}",2016-12-24T00:43:17.000Z,@someuser #excited much for tom. para sa socializing namin sa munti naming lokal!! goodmorning#mgakaps！！,647571096074477568,812458589398802432,3626900774,#excited,3626900774,"[{'type': 'replied_to', 'id': '783784867800633344'}]",
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T22:13:55.000Z,@someuser yes po! Nakasettle na po ako with other Mariestellers. Blockscreening po 😂😄 #Excited,812419099540062208,812421000621006848,733177102405525504,#excited,260091320,"[{'type': 'replied_to', 'id': '812419099540062208'}]",
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T16:51:06.000Z,Mga Ninong/Ninang 😁 .. | Hello ! Daw ingun sa inyung inaanak 😊😊😊 .. HAHAHAHAHA .. | | #CHRISTMASisComing !| #Excited! 😆😆,812339760173879300,812339760173879300,1432174172,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-23T16:37:33.000Z,konting tiis na lang birthday ko na #excited #atat #agadagad,812336351563517953,812336351563517953,746996834741039104,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T16:24:42.000Z,Sino sasama sa concert ng exo?waah!| #excited💕,812333117696540672,812333117696540672,3877782494,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T15:21:00.000Z,Hindi ko pa nga nakukuha yung bike ko...| Hindi pa nga ako marunong magbike...| Ang dami dami ko nang plan para sa amin ng bike ko ;)| #Excited,812317089385955328,812317089385955328,1290692888,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-23T15:16:32.000Z,Ohmygod!! 😱😂 puyatan na this simbang gabi later. 😍 #Excited,812315961768325120,812315961768325120,727064311969914881,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T12:08:12.000Z,#excited ... d na ako makatulog pa.,812268569216110592,812268569216110592,66611936,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T11:04:13.000Z,Buti pa sa Glorietta may eternity. Hahaha. | | #excited #squad http://someurl,812252467953971200,812252467953971200,281492998,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T09:08:11.000Z,Wahooooooo #friday #excited #christmaseveeve #twodaystogo #Fridaylove❤ #weekend #christmas 🎁🎄⛄❄😃 http://someurl,812223267440365568,812223267440365568,42423705,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T06:50:35.000Z,@someuser @someuser mga behhhhh hahaha wala lang see you sooooon #excited,812188636024188929,812188636024188929,544863602,#excited,2331879151,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T05:51:06.000Z,Pauwe na sila :) #Excited !,812173668373569536,812173668373569536,2311788750,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T02:07:39.000Z,@someuser panay refresh ko. Baka may i announce ka na po.... 😅😅😅| #excited #EXOrdiuminManila,811809693987241984,812117436497588228,210775656,#excited,78244130,"[{'type': 'replied_to', 'id': '811809693987241984'}]",
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T15:00:30.000Z,Naya saal naya gaana.. #excited😍 http://someurl,811949538973990913,811949538973990913,2692520520,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T09:40:36.000Z,@someuser anong pantulog ang suot mo for the premiere? #excited,811863631910449152,811869034299822080,360260766,#excited,58152290,"[{'type': 'replied_to', 'id': '811863631910449152'}]",
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T08:48:30.000Z,@someuser kelan release ng second single?🙈🙈💃💃 hahaha di pa nga narerrlease mv e #excited  #BalangArawMV,811851428939452416,811855923685650432,510234413,#excited,248165139,"[{'type': 'replied_to', 'id': '811851428939452416'}]",
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-22T07:00:25.000Z,3days na lng christmas na ! :) Sino ksama mo this christmas ???| #Excited,811828725318680576,811828725318680576,2315306022,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T06:59:15.000Z,tae hae !! #goblinkdrama #Excited #EpisodeVII,811828428907298816,811828428907298816,3580234632,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T04:09:15.000Z,Hahaha 😂 sa UV na ako nagkilay. 😁😄| | #excited #ssshhhhh 😉 http://someurl,811785647623196675,811785647623196675,2348072250,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T23:46:30.000Z,Marami daw silang sorpresa. #excited http://someurl,811719523627724800,811719523627724800,4881721344,#excited,,"[{'type': 'quoted', 'id': '811714454207332352'}]",
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-21T12:40:40.000Z,Hello sir @someuser Kumusta po? May bagong album ang Collabro. Sabi nila may original song yata sila dito. #Excited http://someurl,811551964358000640,811551964358000640,61685602,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T12:03:37.000Z,I need foot massage rn. 😣 Pag-aaralan daw ng asawa ko ang magmassage like the video he shows me. Ahhhh~ sarap ng tulog ulit. #excited,811542637157093376,811542637157093376,3236446507,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-21T11:02:58.000Z,"3 days from now makikita ko na yjng pamangkin ko, si TheA. 😍😍 #excited",811527377096298497,811527377096298497,1336295551,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-21T10:23:14.000Z,Maraming ganap na mangyayari this last week of December 😊❤| #Excited | #PersonalTweet,811517377347141632,811517377347141632,3014328931,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-21T10:08:26.000Z,@someuser wedding bells for kaira😊 #excited waiting for all rasmein n ghoomar dance 😄 on mhara bandra gulab ka phool n har pag u hi tu 😍💞,811513651131715585,811513651131715585,1917755400,#excited,112976692,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-21T05:37:34.000Z,@someuser yeps.. Basta Carpenters.;) Kdrama mode ka pala ha. Bukas ng morning LegendsofTheBlueSea na ep.11&12.. #Excited 😂😂,811442702906597376,811445485395267584,843521376,#excited,443394610,"[{'type': 'replied_to', 'id': '811444945227612161'}]",
tl,everyone,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T03:44:30.000Z,Kelan Kaya natin makikilala ang admin ng edven loyalist?sana ngayong  Araw na #excited,811417030649753600,811417030649753600,2706559207,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T02:11:44.000Z,2 Tulog nalang PBB na 😊😊 #Excited @ Abudhabi UAE http://someurl,811393687817244672,811393687817244672,3035128123,#excited,,,"{'place_id': '00f24ae701a1207b', 'coordinates': {'type': 'Point', 'coordinates': [54.49457, 24.39165]}}"
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-20T23:33:57.000Z,"Uy, engaged narin Coleen & Billy😍. Kayo? When? @someuser @someuser Jusko!😍 #Excited💕",811353979728760832,811353979728760832,2166121002,#excited,,,
tl,everyone,Twitter for Android Tablets,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T20:19:17.000Z,Christmas party na bukas #Excited,811304989238792192,811304989238792192,778527172898148352,#excited,,,"{'place_id': '002c292a55e071e0', 'coordinates': {'type': 'Point', 'coordinates': [121.1324196, 14.566992]}}"
tl,everyone,Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T18:49:18.000Z,Natsume Yuujinchou season 6!!! #cantwait #excited http://someurl,811282343528841216,811282343528841216,354972570,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T14:53:45.000Z,Magkikita na kami 😍 #excited,811223067724632064,811223067724632064,757004987373203456,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T14:41:37.000Z,Di makatulog 😭😭| #Excited,811220012652380160,811220012652380160,2242390835,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T12:33:50.000Z,Akoy nagtataka sa paskong kay lamig. Doon pa nadama init ng pag-ibig 🤗 #December20 #excited #5daystogobeforeChristmas,811187857347919872,811187857347919872,32258621,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-20T09:08:44.000Z,Kyan & Shay meeting Santa 🎅🏼🎄❤️ 5 sleeps!! #excited http://someurl,811136239982313472,811136239982313472,29707870,#excited,,,
tl,everyone,Linkis: turn sharing into growth,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T04:22:48.000Z,Eto na! #ChristmasParty2016 #excited #valkyrie #BGC #ManilaChristmas #2016 http://someurl,811064282116931584,811064282116931584,167642786,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T20:46:43.000Z,Idedeliver na daw ang barko ni ace! | #excited hahaha!,810949506330075136,810949506330075136,376266038,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-19T16:45:43.000Z,Christmas party na bukas nakakaeksayt tuloy makatanggap ng mugs at picture frame 😢| #excited,810888856128155650,810888856128155650,789709600543023104,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-19T16:05:33.000Z,Sana may ganap sa debut mo @someuser #excited #lookingforward,810878747884724225,810878747884724225,710178986,#excited,,,
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T15:58:07.000Z,Secret santa @someuser Eek!!!! #excited! http://someurl,810876876172492800,810876876172492800,2730791836,#excited,,,
tl,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T10:35:30.000Z,Ugma na jud ang Party🎉🎉😜 kinsa kaya naka bunot sa akua ba #Excited 😝😜👌,810795687222898689,810795687222898689,4904505133,#excited,,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-19T09:59:19.000Z,YAY. MAGHIMO KOG CHOCOLATES WHEN I FEEL BETTER. SALAMAT SA PAGPALIT OG INGREDIENTS MA! :DD| |  #EXCITED #AF,810786582810820608,810786582810820608,4661088756,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-19T09:12:13.000Z,"@someuser Janunary! come fast yaar, Fanungos are waiting😇😍 #Excited | #NewYearNewSong🙋😘 #EkDafaa✌#AkVoice🤗",810528988632326144,810774730831777793,741517990995300352,#excited,2602250071,"[{'type': 'replied_to', 'id': '810528988632326144'}]",
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T06:17:18.000Z,Panunuluyan 2016 #Excited,810730708478136322,810730708478136322,803858435938942976,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-19T05:12:08.000Z,Shet ito na yung chance na makapagturo sa isang State U. #excited,810714309277851648,810714309277851648,109612291,#excited,,,
tl,everyone,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-18T23:30:40.000Z,Bukas na Party namin| ##Excited,810628377363124224,810628377363124224,732080393696903168,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-18T21:27:04.000Z,Pupunta muna kong school mamaya 😍 #MNHS #excited #missingtheplace,810597270257139712,810597270257139712,2423792435,#excited,,,{'place_id': '00bfa8c9260bc8d0'}
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-18T11:08:15.000Z,#excited na ako mamaya sa ggv @someuser @someuser @someuser @someuser @someuser really excited much😂😂😂😂😂,810441542116618240,810441542116618240,810345234680795137,#excited,,,
