source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,geo,search_query,in_reply_to_user_id,referenced_tweets,withheld
Twitter for iPhone,813435412811288576,17574814,everyone,814646205112287232,@someuser @someuser @someuser @someuser @someuser Glad Egg is playing tonight - UF will need to play great to win. #worried,2016-12-30T01:36:05.000Z,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",en,,#worried,375263857,"[{'type': 'replied_to', 'id': '813866870176677888'}]",
Java to Twitter,814635827913375745,4289485636,everyone,814635827913375745,"(Baltimore Sun) #Worried about future, #Cross Street Market merchants ask for.. http://someurl http://someurl",2016-12-30T00:54:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814618964483567616,1105821734,everyone,814618964483567616,"@someuser Is Her Majesty, the #Queen, ok? Lots of rumours online and Im #worried 😟😟😟😟😟😟😟",2016-12-29T23:47:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,36042554,,
Twitter Web Client,814617216649928704,491425673,everyone,814617216649928704,Can anybody who knows @someuser let me know if she is okay? #worried #suicide,2016-12-29T23:40:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814610942831038464,577098950,everyone,814610942831038464,"Hum someones up to no good! Send your minions, I have all the evidence and receipts so I am #notbothered You should be #worried #shookhoney http://someurl",2016-12-29T23:15:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814610511354531841,20205097,everyone,814610511354531841,@someuser Can you tell us if the Queen is OK? #worried,2016-12-29T23:14:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,24510587,,
Twitter for Windows Phone,814566590717001728,130841522,everyone,814597325784027136,@someuser she did seem convinced didnt she??#worried,2016-12-29T22:21:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,3144395841,"[{'type': 'replied_to', 'id': '814596677189386240'}]",
Twitter for iPhone,814576460530905089,151862758,everyone,814576460530905089,Very strange how @someuser have put this out tonight... #mediablackout #TheQueen #worried  http://someurl,2016-12-29T20:58:56.000Z,"{'retweet_count': 4, 'reply_count': 3, 'like_count': 3, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814570879522836482,3784004719,everyone,814571466725330944,@someuser yeah they worry me too #worried #relatable #sponsored #sorrynotsorry #LOL #oops,2016-12-29T20:39:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,1016471550,"[{'type': 'replied_to', 'id': '814570879522836482'}]",
tinypancake,814571240690249728,718973258096254976,everyone,814571240690249728,Tumblr: http://someurl #cardcaptorsakura #cardcaptor_sakura #sakura #kero #sleeping #sleep #worried #anime #cute http://someurl,2016-12-29T20:38:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",pt,,#worried,,,
Twitter Web Client,814567827445260289,2310680844,everyone,814567827445260289,I hate it when people on your TL just close their accounts silently and vanish into thin air  #Worried,2016-12-29T20:24:38.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",en,,#worried,,,
Twitter Web App,814493660486176768,138361192,everyone,814564903302336512,"@someuser @someuser Crikey Mr VB, you best take it very easy for now. #worried",2016-12-29T20:13:01.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",en,,#worried,321034096,"[{'type': 'replied_to', 'id': '814564583310553088'}]",
Twitter for Android,814543740144615424,362494478,everyone,814545969215848448,"@someuser Hmm thats kind of my point. For whatever reason, it always seems to be downhill after New Year #worried",2016-12-29T18:57:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,2917297918,"[{'type': 'replied_to', 'id': '814543740144615424'}]",
Favstar.FM,814536861926367233,22420755,everyone,814536861926367233,"Seriously, has anyone checked in on Betty White lately?   #worried",2016-12-29T18:21:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
IFTTT,814528361620008961,632369073,everyone,814528361620008961,#YourDailyConsideration from #JackUpYourLife for #Thursday #Becoming #OneDay #LookBack #Worry #Worried #ThingsThat... http://someurl,2016-12-29T17:47:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814525631044075522,708044336945086468,everyone,814525631044075522,Finally seen the last episode #humans #spoileralert glad Mia @someuser survived #worried foraminute + good work Niska @someuser,2016-12-29T17:36:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814517300128792577,2885070899,everyone,814517300128792577,@someuser didnt post a snap story about his socks today... do we think hes okay?! #worried,2016-12-29T17:03:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 1}",en,,#worried,53248522,,
Twitter for iPhone,814511955373395968,782516861699260416,everyone,814511955373395968,.....*sighs*....| #Noctis| | Art: pickart-master| #FinalFantasyXV #FFXV #Worried http://someurl,2016-12-29T16:42:37.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,780894801797394432,46449456,everyone,814508319234629632,"@someuser You said ☝️in October that you were shooting for fall release, before holidays. Its 3 days til Jan, no news, no drone. #worried",2016-12-29T16:28:10.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,46449456,"[{'type': 'replied_to', 'id': '814144078392672257'}]",
Twitter for iPhone,813908823689883648,3320337036,everyone,814506954420867072,I have @someuser Kinda #worried they may not be long enough to block all the #snow going in my #pants when I #wipeout -TW,2016-12-29T16:22:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,47477421,"[{'type': 'replied_to', 'id': '814404058698158081'}]",
Twitter for iPhone,814500209149575169,23622854,everyone,814500209149575169,Any idea what the crunching noise is when I step on my brake? Plus the abs light is on #worried #jeep 😐,2016-12-29T15:55:57.000Z,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}",en,{'place_id': '001907e868d06e24'},#worried,,,
Twitter for iPhone,814446270953693184,29815778,everyone,814495468768075776,@someuser #i hope this will be done#fir heavens sake this is 21st century and we are still talking of amenities #worried #,2016-12-29T15:37:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,333935142,"[{'type': 'replied_to', 'id': '814446270953693184'}]",
Twitter for iPhone,814282206809976832,29815778,everyone,814493488809119744,@someuser #worried no I am scared 😳 let put it that way# like really#WTF happened #,2016-12-29T15:29:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,19697415,"[{'type': 'replied_to', 'id': '814282206809976832'}]",
Twitter for iPhone,814492072774434816,108653486,everyone,814492072774434816,Please tell me Im not crazy for booking my whole trip to the states with @someuser | #worried,2016-12-29T15:23:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814490916450959360,20224873,everyone,814490916450959360,When your parcel is delivered by @someuser but youre not home and get the email saying its been successfully delivered #Worried,2016-12-29T15:19:01.000Z,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814466089178501120,810150259703840768,everyone,814466089178501120,"Don,t #worried# about your future|  #Just chill and# Enjoy yor present....##",2016-12-29T13:40:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814461704549662720,453277767,everyone,814461704549662720,I thought Alex Neil said wed wait and see who came in and out first in January.#worried http://someurl,2016-12-29T13:22:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814445747827572736,709010401736806401,everyone,814459322159820800,@someuser I was thinking about @someuser #worried,2016-12-29T13:13:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,1458415406,"[{'type': 'replied_to', 'id': '814458461819785220'}]",
NewsVideos,814455192821399552,2994053057,everyone,814455192821399552,Id be #Worried if #Bayern were #Already at top form - #Ancelotti #Remains calm over #Bundesliga ...| | http://someurl http://someurl,2016-12-29T12:57:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814429936631037953,790514705609715712,everyone,814429936631037953,I dont know if i will be able to speak and say what i want to say to Changsun .... #Worried #Afraid,2016-12-29T11:16:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
mommyinmotion,814414506403057664,2592457604,everyone,814414506403057664,#Should You #Worried Why Do http://someurl http://someurl,2016-12-29T10:15:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814343995686064130,68193420,everyone,814343995686064130,"I have 3 or 4 old 1k rupee notes, all issued before 2005 & banks have refused to deposit them. Am I going to be jailed next week? #worried",2016-12-29T05:35:13.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814340797923528704,443923036,everyone,814340797923528704,"Some tops tell me they want me to be loose, Some demand me to be tight. What am I to do? Ahhhhh How can I fuck & please all of them #Worried http://someurl",2016-12-29T05:22:30.000Z,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 12, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814339520674021376,2496248982,everyone,814339520674021376,"Always wanted a swimming pool, just not like this. Almost knee deep. #vicfloods #worried",2016-12-29T05:17:26.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPad,814282206809976832,1864080416,everyone,814339156981776386,@someuser ...#worried about 4 yrs of #pussyGrabbing by the #pussyGrabberInChief? #Hell #yes!,2016-12-29T05:15:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,19697415,"[{'type': 'replied_to', 'id': '814282206809976832'}]",
Twitter for iPad,814311824443187202,4119682995,everyone,814313846508818433,@someuser thank you | Daughter travelling alone for the first time anxious mum #worried,2016-12-29T03:35:24.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#worried,16795011,"[{'type': 'replied_to', 'id': '814313501296562178'}]",
Facebook,814293679615737856,59497002,everyone,814293679615737856,Why em i so nervous.. geeeees.. #worried😰 — feeling nervous,2016-12-29T02:15:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814289278746427392,814282733971185665,everyone,814289278746427392,should be in bed but phillip hasnt shown up #worried like for a shoutout !!,2016-12-29T01:57:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814254597107806208,292008201,everyone,814254597107806208,"Just ate a crumb off my shirt, thought it was a bread crumb but it wasnt #idontknowwhatIate #worried #2016mightgetme",2016-12-28T23:39:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter Web Client,814241843294695424,1064850134,everyone,814241843294695424,What is a Senior Post-doc?  I really hope this does not become the norm .... | #worried  #postdoc http://someurl,2016-12-28T22:49:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,"[{'type': 'quoted', 'id': '814240769338908673'}]",
Instagram,814230396212637696,34248004,everyone,814230396212637696,when your mom gives you that look that still works #mom #thatlook #scared #worried #likelikelike... http://someurl,2016-12-28T22:03:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814211881149878272,240867041,everyone,814211881149878272,Can everyone please keep your fingers crossed tomorrow for Sienna? She has her rescans to make sure shes still cancer free #worried http://someurl,2016-12-28T20:50:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814186111740379136,26197894,everyone,814186111740379136,@someuser I didnt get my pay today via direct deposit. Is it because it was a holiday and you were closed? #worried,2016-12-28T19:07:50.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#worried,27949726,,
Twitter for iPhone,814185553478516736,25972561,everyone,814185553478516736,@someuser please can you help me find my important parcel ... #worried,2016-12-28T19:05:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,2872571512,,
Twitter for Android,814182347537076224,2293368075,everyone,814185010462883840,@someuser If i record it will i find it all over the place on my Sky Box plus timeline? | #worried,2016-12-28T19:03:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,92727851,"[{'type': 'replied_to', 'id': '814182347537076224'}]",
Twitter for Android,814176261417435136,136655112,everyone,814176261417435136,Girish Kulkarni screaming in front of Aamir Khan just before intermission #dangal #worried #notcoolman,2016-12-28T18:28:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814157864315056128,378013937,everyone,814157864315056128,First time on @someuser airline and its running 1.25 hours behind and I have connections.....#worried #notgoodemirates,2016-12-28T17:15:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814153760205316096,315959331,everyone,814153760205316096,Shall I start packing my bag now or wait until Home Office send me a notice?This is outrageous! #BritaininEU #Brexit #terrified #worried http://someurl,2016-12-28T16:59:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,"[{'type': 'quoted', 'id': '814083049281425408'}]",
Tweetlogix,814137756209336320,44232164,everyone,814137756209336320,Why you #Worried about it @someuser,2016-12-28T15:55:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814132452428021760,171969854,everyone,814132452428021760,@someuser Giants should be loose and maybe motivated to knock a hated rival out of the playoffs. Conversely Skins may be tight #worried,2016-12-28T15:34:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': 'dea1eac2d7ef8878'},#worried,24391041,,
Twitter for Windows,814131411447746560,448943029,everyone,814131411447746560,"I srsly just saw my hands shaking for no reason. its not that violent but still, a tremor need to be sought for medication. hmm #worried",2016-12-28T15:30:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Windows Phone,814128723498778624,3177520835,everyone,814128723498778624,"Last time I didnt hear from someone this long, they turned out to be dead.... #worried 😖😥😓",2016-12-28T15:19:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Tweetlogix,814125340612317186,44232164,everyone,814125340612317186,Everybodys #Worried,2016-12-28T15:06:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Tweetlogix,814125234974560256,44232164,everyone,814125234974560256,#Worried RT @someuser Why yall be so worried about another mf ?,2016-12-28T15:05:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Tweetlogix,814125117055922177,44232164,everyone,814125117055922177,#Worried RT @someuser why yall worried about what somebody else does and does not do with their vagina,2016-12-28T15:05:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Tweetlogix,814124888546013184,44232164,everyone,814124888546013184,#Worried RT @someuser why yall worried bout them when u could b worried bout urself?,2016-12-28T15:04:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Tweetlogix,814124833562886145,44232164,everyone,814124833562886145,#Worried RT @someuser Lol drake and jlo aint ever heard of any of you !! Why tf yall worried bout them,2016-12-28T15:04:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
The Social Jukebox,814124216098455552,56871717,everyone,814124216098455552,Dealing with a #worried kid? Worry Warriors:Help Kids #Cope with #Anxiety| http://someurl,2016-12-28T15:01:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Tweetlogix,814124115862941698,44232164,everyone,814124115862941698,There goes that #Worried word RT @someuser Why yall so worried about who dating who as if it has a personal effect on your life?,2016-12-28T15:01:29.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814112943440732160,1711803764,everyone,814112943440732160,SA lead just over 300 mark! | Will it be a 4 day test match? | #worried | 😶 | #SAvSL,2016-12-28T14:17:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Instagram,814105731670700032,608508380,everyone,814105731670700032,"Sergei the poodle, going under anesthetic for dental work. #worried #dogdentalcare... http://someurl",2016-12-28T13:48:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for Android,814099872680792064,757101638,everyone,814103405337550849,@someuser thank God...  #Worried #ALDUBFaithAndWonder,2016-12-28T13:39:11.000Z,"{'retweet_count': 33, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,,#worried,3705625513,"[{'type': 'replied_to', 'id': '814099872680792064'}]",
Twitter for Android,814102005253865472,396037818,everyone,814102005253865472,"So, the mail to UK arrived finally. Im curious how long it will still take for my oversea mail... #worried",2016-12-28T13:33:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,,#worried,,,
Instagram,814070053289267200,177534371,everyone,814070053289267200,Be Brave.| #sendinglove #angel #cat #pet #worried #upset #cantconcentrateatwork #praying http://someurl,2016-12-28T11:26:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,814056719592595456,774500383,everyone,814056719592595456,#HarryRedknapp being linked with @someuser now 😫 Give it to @someuser at least he knows what it means to the fans! #worried #swans,2016-12-28T10:33:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Instagram,814048813887393792,827381419,everyone,814048813887393792,...its a big difference #between #wisingup and #being #worried to #death ..#stress #1 #killer... http://someurl,2016-12-28T10:02:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
Twitter for iPhone,813936177308803072,39608678,everyone,813936177308803072,#3DaysandCounting A bit #worried this morning- #WhatWillIDo?  Then I looked at the calendar and #MadeAList #AllBetter,2016-12-28T02:34:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#worried,,,
