lang,reply_settings,source,public_metrics,created_at,geo,text,conversation_id,id,author_id,search_query,referenced_tweets,in_reply_to_user_id,withheld
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:53:16.000Z,,Happy New Year! #happynewyears #happy #happyholidays #facexer #exercises http://someurl,814982718987665409,814982718987665409,4668811876,#happy,,,
en,everyone,Sprout Social,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:53:02.000Z,,How #Happy Are You?| You can track your #happiness & improve your mood!| Get the #app here: http://someurl http://someurl,814982660313456641,814982660313456641,128920408,#happy,,,
en,everyone,Rondera,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:52:40.000Z,,Happy New Year By Dj Pius New Rwandan Music 2016 - Duration: 3:17. YEGOB 925 views http://someurl #Happy,814982569083207680,814982569083207680,6326192,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:52:06.000Z,,What are your plans for tomorrow?! #newyears #2017 #2016 #party #fiesta #celebrate #life #happy... http://someurl,814982426233479168,814982426233479168,4784828498,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:51:59.000Z,,#HAPPY #NEW #YEAR from #energy #journalist Nicholas Newman http://someurl via @someuserEUjournalist,814982396776943620,814982396776943620,50646980,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:51:10.000Z,,Win a KitchenAid stand mixer or a year supply of Catelli product thanks to @someuser http://someurl #happy,814982191805595648,814982191805595648,212989927,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:50:50.000Z,,#Happy #NEW #YEAR from #energy #journalist and #copywriter - Nicholas Newman http://someurl,814982106992574465,814982106992574465,50646980,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:50:19.000Z,,If u obey all the rules you will miss all the fun! #fun #happy #loa,814981977262686208,814981977262686208,95727860,#happy,,,
en,everyone,Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:50:14.000Z,,Choose Happiness http://someurl| #ohhappyday #gospel #cover #singing #sisteract #whoopigolberg #malecover #happiness #happy #joy,814981956572237824,814981956572237824,1470448262,#happy,,,
en,everyone,Gleam Competition App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:49:58.000Z,,Win a KitchenAid stand mixer or a year supply of Catelli product thanks to @someuser #happy http://someurl,814981888745959424,814981888745959424,374042128,#happy,,,
en,everyone,Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:49:46.000Z,,"Why hello there, #Friday. Don’t mind if I do! #azultequila #tequila #margarita #blue #atx #weekend #happy #atxdrinks #austin #cheers http://someurl",814981836665450501,814981836665450501,267407138,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:48:34.000Z,,#happy #daughter #Christmas holidays http://someurl,814981534687969280,814981534687969280,222975641,#happy,,,
en,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:47:18.000Z,,And a new build begins #remington action #followalong #picoftheday #gunsofinstagram #creedmoor #happy #2a #nra #com... http://someurl,814981219431645184,814981219431645184,1724389165,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:46:58.000Z,"{'place_id': '00c699d656122ebe', 'coordinates': {'type': 'Point', 'coordinates': [121.03707972, 14.43960172]}}",My cool crazy malagu family! 😂😍 #TeamMalagu| | .| .| .| .| .| #Family #Cool #Crazy #Team #Ohana #Happy... http://someurl,814981133888868352,814981133888868352,177164933,#happy,,,
en,everyone,Dynamic Tweets,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:46:49.000Z,,Six scientists. Six suicides. What secret are they dying to protect? http://someurl #goodread #happy Do you think could happen?,814981094739218436,814981094739218436,1148221298,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:26.000Z,,#Happy New Year To ALL 😘😘😘,814980747610050560,814980747610050560,814965347631570944,#happy,,,
en,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:11.000Z,,Last day of 2016@someuser #sydney #australia #2016#saturday #happy #instadaily #starbucks #starbucksforlife... http://someurl,814980685475627008,814980685475627008,2835599198,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:09.000Z,,hi Alena hope u are doing well remember your mom dec/31st  miss her  love you | #happy new year,814980677888249856,814980677888249856,41108237,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:44:32.000Z,,I think #spirituality and #religion are extremely crucial for an individual to be #happy in... http://someurl,814980522766139392,814980522766139392,2243254927,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:43:57.000Z,{'place_id': 'b62cd77425868341'},#Merry Christmas_____ #Happy New Year http://someurl,814980375231471617,814980375231471617,779152090501382144,#happy,,,
en,everyone,iOS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:43:19.000Z,,A bottle of New world golden pale ale #Happy #Good,814980214677708801,814980214677708801,101299203,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:43:16.000Z,,"Considering how Q4 went for me personally, it is a blessing that I can end this year with a smile on my face #happy",814980200987578369,814980200987578369,444955428,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:43:15.000Z,,"Merlot, popcorn, a snuggly dog, and a good book. Cant think of a better way to spend the night #happy",814980200094109696,814980200094109696,16476963,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:42:23.000Z,,"#happy #flexfriday #fitfam !!  Had a smashing #shoulderworkout this morning 💪🏻💪🏻grow baby grow ,... http://someurl",814979981008740352,814979981008740352,3246186744,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:42:17.000Z,,Love listening to this kitty #purr. #kitten #happy #love #Balrog #fluffy #pat #cat #cuddles http://someurl http://someurl,814979955687727104,814979955687727104,166173761,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:41:52.000Z,"{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.97924285, 40.75900669]}}",Top of the Rock with my #BFF 👯 #LuAndMonTakeNewYork #Friends #Happy #Winter #Vacation #Spam #NYC... http://someurl,814979850008231936,814979850008231936,35171952,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:41:46.000Z,,Have a #great #weekend everyone and a #happy and #blessed 2017!! :),814979824355831808,814979824355831808,31643128,#happy,,,
en,everyone,JezSande,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:41:35.000Z,,I adopted a #dog over the #weekend I think its safe to say he #happy #cute #animals #aww #pics http://someurl,814979780730818560,814979780730818560,786246077145939968,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:41:07.000Z,,We finally found his friends! #happy #tomatillo #joy #happy2017 #blossomtranslations http://someurl,814979659876225029,814979659876225029,3172173877,#happy,,,
en,everyone,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:40:27.000Z,,"Yesterday, I was grateful. Tomorrow, Ill be thankful. But for now, Im blessed.| =| Last day of 2016| #Happy New Year!",814979492301017088,814979492301017088,116351668,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:40:25.000Z,,Good morning last day of the year today #happy new year Mayward| | MAYWARD YearEnderOnTWBA,814979484663152640,814979484663152640,3230749422,#happy,,,
en,everyone,Instagram,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:39:06.000Z,,2 cuties 💋 @someuser #sheep #lamb #cute #babyanimals #pettingfarm #love #happy #michigan... http://someurl,814979152642129921,814979152642129921,2688644096,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:39:00.000Z,{'place_id': '0073b76548e5984f'},"#2016bestnine what a year! Highs, lows, succession, growth and my sister got married #amazing #blessed #happy 💫 http://someurl",814979130538065920,814979130538065920,236242644,#happy,,,
en,everyone,iOS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:38:16.000Z,,#2017 #happy New Years http://someurl,814978943157735424,814978943157735424,784906974261567490,#happy,,,
en,everyone,DragPlus,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:38:09.000Z,,Happy New Year (a Little Early) #happy http://someurl,814978914384748545,814978914384748545,2493279756,#happy,,,
en,everyone,Giveaway Tools Confirmation,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:38:02.000Z,,#Win A Philips Wake-up Light! @someuser #health #mornings #energetic #happy #giveaway @someuser http://someurl,814978883678302212,814978883678302212,4874899246,#happy,,,
en,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:37:40.000Z,,Artemis 56x76 sold;)#thankyou #martingallerycharleston #happy #newyears #art#fineart #sold http://someurl,814978793160871936,814978793160871936,49015631,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:37:35.000Z,,Artemis 56x76 sold;)#thankyou #martingallerycharleston #happy #newyears #art#fineart #sold @someuser http://someurl,814978772864614400,814978772864614400,49015631,#happy,,,
en,everyone,The Social Jukebox,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:37:12.000Z,,A persons happiness can be attributed to an inability to focus on their problems.| | #smile be #happy http://someurl,814978676664205312,814978676664205312,3048207617,#happy,,,
en,everyone,dlvr.it,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:37:10.000Z,,#PaWg #Happy New Year!?#naughty #sex http://someurl @someuser @someuser @someuser @someuser http://someurl,814978665603743744,814978665603743744,723608414627201024,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:36:19.000Z,,"Happy Friday! You will find me under the covers in bed, by the fire, watching some #OrangeBowl football. #happy #babyitscoldoutside #TGIF",814978454408065024,814978454408065024,108374104,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:36:06.000Z,,"The excitement, angst and dread of doing an end of year top 10 movie list. #happy #sad #2017 #newyearnewme",814978398497869824,814978398497869824,4211873294,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:35:31.000Z,,Last morning of 2016 (3)| .| .| .| .| .| .| .| . | #happy #photograph #photography #amateur #classic... http://someurl,814978252875907072,814978252875907072,86473667,#happy,,,
en,everyone,Linkis: turn sharing into growth,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:34:26.000Z,,Wishing everyone a joyous new year Happy 2017!| #newyear #NewYearsEveEve #Happy #Joyous http://someurl,814977979868676096,814977979868676096,1138474622,#happy,,,
en,everyone,The Social Jukebox,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:34:07.000Z,,"If you really #love it, it never feels like #work ! #dreamjob #happy #jobsatisfaction http://someurl http://someurl",814977900353126400,814977900353126400,28423612,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:33:36.000Z,,Blood test confirmed today ITS A GIRL! #babygirl Stark it is! #happy #excited #newadventures http://someurl,814977767628570628,814977767628570628,549923934,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:33:35.000Z,,"#Sandy #Koufax #on #the #mound #and #Vin #Scully on the 🎙 = #greatness #Happy #Birthday, #Sandy!... http://someurl",814977765434884096,814977765434884096,2231055848,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 13, 'reply_count': 1, 'like_count': 26, 'quote_count': 0}",2016-12-30T23:32:04.000Z,{'place_id': '00836cb90515ddd1'},Happy New Year to all my wonderful twitter friends!  Have an amazing 2017. #new year #happy #friends  #follow. #followbackalways. http://someurl,814977382775918593,814977382775918593,2828050646,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:31:53.000Z,"{'place_id': '18810aa5b43e76c7', 'coordinates': {'type': 'Point', 'coordinates': [-96.7945211, 32.7844763]}}",Back to basics | .| .| .| .| | #love #instagood #photooftheday #beautiful #cute #grave #happy... http://someurl,814977339247443968,814977339247443968,249847896,#happy,,,
en,everyone,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:31:27.000Z,,Looking forward to opening our familys #happy #memories jar 2016 & excited to start all over again for #2017! #gratitude #happythoughts http://someurl,814977230539489280,814977230539489280,2783677948,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:30:36.000Z,,Nothing better than quality time with my everything! #daughter #happy #love #daddyslittlegirl... http://someurl,814977013895360513,814977013895360513,504596633,#happy,,,
en,everyone,Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:30:34.000Z,,#Happy NYE. All the best in #2017 http://someurl,814977006983122944,814977006983122944,142633279,#happy,,,
en,everyone,LisaLandrow,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:30:33.000Z,,"Bet lots of you have these, but #happy I just found mine again #harrypotter http://someurl",814977000406392832,814977000406392832,811212338166636546,#happy,,,
en,everyone,Hearsay Social,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:30:29.000Z,,They grow up too fast ... savor the time you have! #Motivation #LifeInsurance #StateFarm #LoveYourFamily What is one of your #happy #memories? http://someurl,814976986145619968,814976986145619968,1509032287,#happy,,,
en,everyone,Crowdfire Inc.,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:30:02.000Z,,http://someurl| | why dont we do this?| | #orgy| #sex| #porn| #love| #buttsex| #blowjob| #fun| #happy| #funny| #gay| #anime| #naruto| #hentai| #anal,814976872433983488,814976872433983488,4857624942,#happy,,,
en,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:29:31.000Z,,Brotherly love 💙 #brothers #siblings #cute #happy #studiophotography #picoftheday #instamo... http://someurl http://someurl,814976742251253760,814976742251253760,76524024,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:29:27.000Z,,"#happy thought! Excited to announce, that my little twitter account reached 200 followers! From my Polish corner, hugs & best wishes to ALL! http://someurl",814976725998305280,814976725998305280,793974498001305600,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:29:24.000Z,{'place_id': '53b67b1d1cc81a51'},You should always believe something wonderful will happen | #Quote #happy #feelinginspired #positivity #thinklikeart #wonderful,814976712777887746,814976712777887746,437922175,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:28:49.000Z,,http://someurl                                                     #HAPPY NEW YEAR 2017!,814976564471492608,814976564471492608,3102565103,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:28:40.000Z,,#Happy #New #Year #Eve #everybody | #blessings to you! 🏔️| We are #childfree and feeling quite... http://someurl,814976526664011776,814976526664011776,164888395,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:28:35.000Z,,Getting some protein in that #wanderluster body haha #fit #climbing #climber #sport #iceclimbing #girlswhoclimb #girl #happy #foodie #food http://someurl,814976505533124608,814976505533124608,294745221,#happy,,,
en,everyone,The Social Jukebox,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:28:06.000Z,,I am #happy because I unreservedly accentuate the good in others. ~Sri Chinmoy #quote,814976383843729408,814976383843729408,3709862773,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:25:18.000Z,,Only god can judge me. #kreuz #dad #taufkreuz #onlygodcanjudgeme #love #life #laugh #happy... http://someurl,814975682455408640,814975682455408640,65698059,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:24:36.000Z,,Version 2016| | #smile #happy #hair #travel #photography #home #winter #blogger #lifestyle #Poland... http://someurl,814975503044067328,814975503044067328,2269430335,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:24:04.000Z,,Gift from my son! jordaan.mc thanks baby! | #gift #momlife #son #blessed #ring #love #happy http://someurl,814975371221364736,814975371221364736,522653149,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:23:56.000Z,"{'place_id': '09f6a7707f18e0b1', 'coordinates': {'type': 'Point', 'coordinates': [2.3371621, 48.85390604]}}","Im the luckiest 😍💑🌷 #Happy #Love @ Paris Eiffel Tower, France http://someurl",814975337759174656,814975337759174656,137916679,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:23:49.000Z,,Such a great day in LDN finished by watching @someuser which was fantastic 🙏🏻 #happy,814975306587131904,814975306587131904,38676262,#happy,,,
en,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:23:14.000Z,,Guilty Pleasures. 🛀🍕 #InPizzaWeTrust #photooftheday  #happy #goodnight #guiltypleasures #r... http://someurl http://someurl,814975161594245120,814975161594245120,79403154,#happy,,,
en,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:22:49.000Z,,The weekend has arrived 🙏🏼 #work #boss #workout #nye #weekend #happy #love #fitness #sweat #fashion #style #pheel http://someurl,814975055767535616,814975055767535616,891190064,#happy,,,
en,everyone,my_scheduler_gorillabeats,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:22:43.000Z,,#Audiojungle Check out #Happy #Upbeat on #EnvatoMarket by @someuser http://someurl #advertising #commercial #upbeat #radio,814975032707477504,814975032707477504,799369625368674304,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:21:13.000Z,,@someuser @someuser @someuser #Happy Birthday Carson!,814917751210917888,814974653630468099,2731069422,#happy,"[{'type': 'replied_to', 'id': '814974109117517824'}]",2731069422,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:20:39.000Z,,I am thankful for water. #thankful #positive #happy  http://someurl http://someurl,814974509073793024,814974509073793024,710101406057762816,#happy,,,
en,everyone,Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:20:15.000Z,,"Main Street Insurance Group will be closed Monday, January 2nd to bring in the New Year!  #2017 #Happy #New #Year http://someurl",814974410771861505,814974410771861505,4921193336,#happy,,,
en,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:20:09.000Z,,#HAPPY NEW YEAR! http://someurl,814974382879584256,814974382879584256,469765151,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-30T23:19:47.000Z,,Gotta work all day tomorrow and Sunday #happy#new#year,814974291519406080,814974291519406080,264986072,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:19:34.000Z,,"#Supper tonight!  Teriyaki chicken breast, mashed and gravy, green beans with lemon pepper butter sauce👌#yay #happy",814974237437988865,814974237437988865,4306745779,#happy,,,
en,everyone,Twitter for Mac,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:19:25.000Z,,when is lifetime customer relations not a thing??| #sales #customer #happy,814974201106812928,814974201106812928,8311482,#happy,,,
en,everyone,Nimble Quotes,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:19:08.000Z,,Use the love key! Love is the master key that opens the gates of happiness. Oliver Wendell Holmes #happy http://someurl,814974127748435968,814974127748435968,2269621765,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:18:47.000Z,,My year has been made 😍 lets hope 2017 can make my dreams become even more true #happy #love #dreamsdocometrue,814974041564053505,814974041564053505,22647989,#happy,,,
en,everyone,Ripl App,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:18:37.000Z,,#happy #theatricool #act #sing #dance #perform book your free taster session http://someurl http://someurl,814974000338239489,814974000338239489,3407137582,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:17:53.000Z,"{'place_id': 'c458763765cea500', 'coordinates': {'type': 'Point', 'coordinates': [19.9617252, 50.0488396]}}",#christmascards with #happy #bear ❤🎄🐻 #christmastime #handmade #recycledpaper #silkscreen... http://someurl,814973815314935808,814973815314935808,2686700869,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:17:03.000Z,,Smile more. #smile #chill #happy #goodvibes #goodtimes #goals #staystrong #dedication #relax... http://someurl,814973603431280640,814973603431280640,162605294,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:16:53.000Z,,"All a good work in progress!!!!! #happy #hardcore #newtunes @ Hounslow, Hounslow, United Kingdom http://someurl",814973561370767360,814973561370767360,3166877727,#happy,,,
