source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,referenced_tweets,in_reply_to_user_id,geo
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 1}",247455683,Al meer dan vijf uur zonder website #fail #kanechtniet #duurtlang #pissed #yourhosting @someuser,801073620030263296,801073620030263296,nl,everyone,2016-11-22T14:43:28.000Z,#pissed,,,
Twitter for Mac,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",16557781,Major #fail @someuser Waarom herkennen jullie mijn OV chipkaartnummer niet?? En activering per brief?? Ik welk jaar leven jullie? #pissed,800793013660295168,800793013660295168,nl,everyone,2016-11-21T20:08:27.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",3183945039,@someuser Betaal me scheel aan maandelijkse zorgkosten..3* verzekerd maar kan 9 van de 10 x bijbetalen!SCHANDALIG!GELDWOLVEN!#pissed,800666130570416128,800317777236131840,nl,everyone,2016-11-21T11:44:15.000Z,#pissed,"[{'type': 'replied_to', 'id': '800663090215981056'}]",29947796,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2777659960,@someuser Paard van Sint (is) #pissed.,799505875333431296,799503284071464960,nl,everyone,2016-11-18T06:53:49.000Z,#pissed,"[{'type': 'replied_to', 'id': '799503284071464960'}]",619005881,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1154392903,@someuser @someuser dus er is precies niets gebeurt? Hoe bedoel je niet efficiënt? Mag ik aub een gepaste oplossing? #PISSED,798889094977884160,798889094977884160,nl,everyone,2016-11-16T14:02:57.000Z,#pissed,,135620949,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 0, 'quote_count': 0}",124538936,Poll: mag je een auto afkeuren op een rafelende gordel op de achterbank.. zie foto! #kwikfit #doetdat #pissed http://someurl,798209053608525824,798209053608525824,nl,everyone,2016-11-14T17:00:43.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2466177901,Welke idioot laat grote werkzaamheden uitvoeren bij #gelredome #Arnhem  in het weekend? Dikke #file! Eikels!! #pissed,797391770820689920,797391770820689920,nl,everyone,2016-11-12T10:53:07.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",733099922,"Man man man, altijd wat met die @someuser Hoezo rijd de trein nu weer niet vanaf Hsum naar Almere? Net stond er +5 min. #pissed",796072818618302464,796072818618302464,nl,everyone,2016-11-08T19:32:04.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",308691184,Kan iemand uitleggen waarom #Booking me altijd #pissed maakt door goedkopere prijzen te mailen voor een plek waar ik dan net van terug ben?,794857484225810433,794857484225810433,nl,everyone,2016-11-05T11:02:46.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",175509909,"Aan de persoon die mijn fiets gestolen heeft : hopelijk heb je een platte band, valt je ketting eraf en werken de lichten niet meer!!#pissed",794796573100306432,794796573100306432,nl,everyone,2016-11-05T07:00:44.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",446101304,@someuser na 50 minuten in de wacht wordt de verbinding weer verbroken!!! #pissed #slechtezaak #klantonvriendelijk #graagreactie,793102087634706433,793102087634706433,nl,everyone,2016-10-31T14:47:27.000Z,#pissed,,168456306,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",474161256,En #Hamilton en #Rosberg staan nu op een feestje en vragen zich waarom niemand het over hen heeft.. #pissed #gomax #MexicoGP,792850294401036289,792850294401036289,nl,everyone,2016-10-30T22:06:55.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3130502355,RT @someuser: ik werd gewoon keihard geddost tijdens mijn foking livestream... #pissed,792455054011793408,792455054011793408,nl,everyone,2016-10-29T19:56:22.000Z,#pissed,"[{'type': 'retweeted', 'id': '792412829307600896'}]",,
Twitter Web Client,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",1412922584,ik werd gewoon keihard geddost tijdens mijn foking livestream... #pissed,792412829307600896,792412829307600896,nl,everyone,2016-10-29T17:08:35.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3057905576,"@someuser @someuser De Belgen zijn helemaal niet akkoord! 😡 Graag de juiste woorden gebruiken, AUB. #pissed",791642858797301760,791590323554222081,nl,everyone,2016-10-27T14:09:00.000Z,#pissed,"[{'type': 'replied_to', 'id': '791590323554222081'}]",2822530175,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",3057905576,"@someuser @someuser @someuser En wij, het Volk, had weer niks te zeggen. #pissed",791642271280160769,791584078202109952,nl,everyone,2016-10-27T14:06:40.000Z,#pissed,"[{'type': 'replied_to', 'id': '791584078202109952'}]",16416889,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3057905576,"@someuser @someuser @someuser  Verdorie, stop met dat België. Het Belgische volk heeft hier niks over te zeggen gehad #pissed",791639469963304960,791586069812744192,nl,everyone,2016-10-27T13:55:32.000Z,#pissed,"[{'type': 'replied_to', 'id': '791586069812744192'}]",762062634963394560,
Twitter for Android,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",626842722,RT @someuser: We hebben afgelopen jaar 1300kwh  minder elec verbruikt tov vorig jaar en moeten toch meer betalen. Dank u @someuser @someuser,791521725729107968,791521725729107968,nl,everyone,2016-10-27T06:07:39.000Z,#pissed,"[{'type': 'retweeted', 'id': '791184985571074048'}]",,
Twitter for Android,"{'retweet_count': 5, 'reply_count': 4, 'like_count': 2, 'quote_count': 0}",1863713952,We hebben afgelopen jaar 1300kwh  minder elec verbruikt tov vorig jaar en moeten toch meer betalen. Dank u @someuser @someuser en co #pissed,791184985571074048,791184985571074048,nl,everyone,2016-10-26T07:49:34.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",57953387,"Wees eens duidelijk in uw communicatie @someuser dat vertragingen gebeuren ok, mr communiceer DUIDELIJK! #pissed #pendelpret",790786065196052480,790786065196052480,nl,everyone,2016-10-25T05:24:24.000Z,#pissed,,,
Twitter for Windows,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",111050685,#plek in de trein vinden en dan niet mogen zitten want die is bezet voor dame die achter in de rij staat iedereen #pissed#off#,790779193109913600,790779193109913600,nl,everyone,2016-10-25T04:57:06.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",70998458,"@someuser Moet nog kijken, maar iemand heeft me al gespoilerd wie er doodgaan.. #pissed",790545056830722048,790540820214648832,nl,everyone,2016-10-24T13:26:43.000Z,#pissed,"[{'type': 'replied_to', 'id': '790540820214648832'}]",394279173,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",281161796,@someuser is da nu echt zo moeilijk om uw reizigers op uw eigen tijdstippen op te pikken? #pissed #106743 richting antwerpen,789869358206033921,789869358206033921,nl,everyone,2016-10-22T16:41:44.000Z,#pissed,,32851079,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",363566332,Het dondert en het bliksemt. Althans hier in huize Boks. #ruzie #pissed 😠 Komt in de beste relaties voor zeker? Wat een klote dag,784495490092195841,784495490092195841,nl,everyone,2016-10-07T20:47:54.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",420578312,Beste @someuser ik zou het fijn vinden als de wifi het een keer doet en dat ik na 30 min bellen ooit iemand aan de lijn krijg. #pissed,784132632334467073,784132632334467073,nl,everyone,2016-10-06T20:46:02.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",198288711,@someuser 2/2 Sinds juli jl. is er geen papier meer opgehaald in #Tollebeek.  Container zit nu al tot de rand vol #fail #geenservice #pissed,783990220211556352,783990220211556352,nl,everyone,2016-10-06T11:20:08.000Z,#pissed,,211830717,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",712706648327004160,RT @someuser @someuser @someuser dit is allemaal zó slecht voor mijn bloeddruk! #pissed,783962339443892224,783962339443892224,nl,everyone,2016-10-06T09:29:21.000Z,#pissed,"[{'type': 'retweeted', 'id': '783956844586860544'}]",,
Twitter for iPad,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",409848447,@someuser @someuser dit is allemaal zó slecht voor mijn bloeddruk! #pissed,783956844586860544,783704233212248064,nl,everyone,2016-10-06T09:07:31.000Z,#pissed,"[{'type': 'replied_to', 'id': '783704233212248064'}]",2714901547,
Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",995972414,RT @someuser Oow wat had ik daar graag ff willen zijn...had ze met hun migrantengiechels over de straatstenen getrokken! 😠😠#pissed dank u...,782189278470234113,782189278470234113,nl,everyone,2016-10-01T12:03:51.000Z,#pissed,"[{'type': 'retweeted', 'id': '782180054122070016'}]",,
Twitter for Android,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",3183945039,Oow wat had ik daar graag ff willen zijn...had ze met hun migrantengiechels over de straatstenen getrokken! 😠😠#pissed dank u EU http://someurl,782180054122070016,782180054122070016,nl,everyone,2016-10-01T11:27:11.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",64681640,"Ik durf gvd geen personeel aan te werven door de belastingdruk, gaat @someuser er nog een schep bovenop doen. Ik ben serieus #pissed.",777762575719108608,777762575719108608,nl,everyone,2016-09-19T06:53:42.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",52785630,Mensen met kleine hondjes die vinden dat ze hun hondje los kunnen laten lopen.Gelukkig is mijn aangelijnde grote hond niet agressief #pissed,772868593340018689,772868593340018689,nl,everyone,2016-09-05T18:46:46.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1869323222,toch fijn dat ik maand uitstel krijg zodat ik HUN FOUT KAN OPLOSSEN. EIKELS .... #PISSED  #ErIsBetaaldGVD,770652820106276865,770652820106276865,nl,everyone,2016-08-30T16:02:05.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2783392037,Ongeloofelijj gewoon dit! #pissed,769141654553059329,769141654553059329,nl,everyone,2016-08-26T11:57:15.000Z,#pissed,,,
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",778098194,Geen #airco in #trein #ns van #TilburgnaarBoxtel. #Sauna pfff. #Gevaarlijk #pissed,768454120244178946,768454120244178946,nl,everyone,2016-08-24T14:25:14.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",357698846,Wanneer de site van @someuser zegt dat je bus al geweest is maar je stond er 7 min op voorhand 🤔 #explainthis #hetiskoud #pissed !!!!!,767337000827518976,767337000827518976,nl,everyone,2016-08-21T12:26:12.000Z,#pissed,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",738776209958555648,Bestie 😘 #lovethisgirl #bestfriends #sistersforlife #pissed #partytime http://someurl,765595234394894336,765595234394894336,nl,everyone,2016-08-16T17:05:02.000Z,#pissed,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",520848685,Second one already 😳 #pissed #soon vanessab7887 @ Huyton http://someurl,764505877445353472,764505877445353472,nl,everyone,2016-08-13T16:56:19.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",372753338,"En daarom is-ie zo #pissed, dat ie nu van die looser-tweets stuurt.| #Slachtofferrol http://someurl",763076947412934656,763076947412934656,nl,everyone,2016-08-09T18:18:16.000Z,#pissed,"[{'type': 'quoted', 'id': '763049310552457217'}]",,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",4549453289,Weeral vertraging van de trein. Als je te laat wilt zijn NMBS tot uw dienst 👍🏻 #nmbs #pissed,763055711123337216,763055711123337216,nl,everyone,2016-08-09T16:53:53.000Z,#pissed,,,{'place_id': '2a8a74486cd0d519'}
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",49430864,Zo-nu-En-Dan kan ik zó #pissed zijn op @someuser Pffff #NSFail !!! http://someurl,759108894216036352,759108894216036352,nl,everyone,2016-07-29T19:30:38.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",456116123,En nu gaan we serieus frustraties er uit werken. #schermen #pissed,758704506536329216,758704506536329216,nl,everyone,2016-07-28T16:43:45.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",905655516,ne wel gemeende fuck you aan de eikel in Apen-C die de roltrap geblokkeerd heeft. Waardoor ik men @someuser aansluiting gemist heb. #pissed,758161712411512837,758161712411512837,nl,everyone,2016-07-27T04:46:52.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",709100501820952576,"Sommige mensen zijn toch smerige, achterbakse ratten 😤#pissed",755501416274391042,755501416274391042,nl,everyone,2016-07-19T20:35:48.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",452301942,Gdi brain. Let me sleep. #pissed,753638846500179969,753638846500179969,nl,everyone,2016-07-14T17:14:37.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 0, 'quote_count': 0}",45939675,en ik kon weer achter een @someuser bezorger aanrennen die weigert naar de voordeur te lopen! #pissed #klacht *4e keer*,752865591271260161,752865591271260161,nl,everyone,2016-07-12T14:01:59.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",264768203,"Anouk maar op een andere school het examenjaar in dan, hondsrug college denkt duidelijk niet mee #pissed",752582070518550529,752582070518550529,nl,everyone,2016-07-11T19:15:22.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 27, 'quote_count': 0}",2264164707,1-0 LUBRIFJFBKEIEDENSE AT HT| | #Pissed,746514354833600512,746514354833600512,nl,everyone,2016-06-25T01:24:26.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",270489719,RT @someuser wanneer ge een sociaal leven wilt opbouwen na uwen blok maar de staking dit verhindert... #delijn #blok #pissed,746317574913269760,746317574913269760,nl,everyone,2016-06-24T12:22:30.000Z,#pissed,"[{'type': 'retweeted', 'id': '746317162944561152'}]",,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",76401183,wanneer ge een sociaal leven wilt opbouwen na uwen blok maar de staking dit verhindert... #delijn #blok #pissed,746317162944561152,746317162944561152,nl,everyone,2016-06-24T12:20:52.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",4580744547,@someuser jullie staken ook meer dan jullie werken hé #pissed,746044862819078144,746044862819078144,nl,everyone,2016-06-23T18:18:50.000Z,#pissed,,14309512,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",20263494,En kan iemand me dan eens uitleggen waarom? Want onderstaande maakt me toch redelijk #pissed #genoeggeweest http://someurl,745503682544832513,745503682544832513,nl,everyone,2016-06-22T06:28:23.000Z,#pissed,"[{'type': 'quoted', 'id': '745439198463725570'}]",,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2242240638,"Waar zit je eigenlijk mej verstand, achterlijk wijf! #pissed",742816472620228608,742816472620228608,nl,everyone,2016-06-14T20:30:22.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",311301153,@someuser hier zojuist nieuw slachtoffer. Morgen wéér bellen #pissed #amateurs #dakgoed,742814637343793154,616239612890120193,nl,everyone,2016-06-14T20:23:05.000Z,#pissed,"[{'type': 'replied_to', 'id': '616239612890120193'}]",3353129919,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",635596068,"RT @someuser: 140 woningen voor Syrische gezinnen aangekocht http://someurl| uitkering, gratis huis, gezondheidszorg etc. et...",741637142439460864,741637142439460864,nl,everyone,2016-06-11T14:24:08.000Z,#pissed,"[{'type': 'retweeted', 'id': '741636487222071296'}]",,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2991021323,"140 woningen voor Syrische gezinnen aangekocht http://someurl| uitkering, gratis huis, gezondheidszorg etc. etc.| #kudburger #pissed",741636487222071296,741636487222071296,nl,everyone,2016-06-11T14:21:32.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1510418640,Nee tis waar gras afrijden is belangrijker dan de GIP van uw dochter #pissed 😡,741556362254155776,741556362254155776,nl,everyone,2016-06-11T09:03:08.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",16646473,Thuiskomen en merken dat @someuser toegang tot de woning heeft afgesloten zonder boe of ba #fuckthisshit #pissed http://someurl,741300340570632192,741300340570632192,nl,everyone,2016-06-10T16:05:48.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2873845154,Iemand zet zijn muziek hier kei luid int straat? Hallow moet gij ni studeren kind? Een beetje solidariteit graag!! #pissed,740903421008588800,740903421008588800,nl,everyone,2016-06-09T13:48:35.000Z,#pissed,,,{'place_id': '67687709552688fe'}
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2299782427,Wat is de overeenkomst tussen mij en Vodafone? De kleur rood.... #pissed,739768429415170048,739768429415170048,nl,everyone,2016-06-06T10:38:32.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3469960756,"RT @someuser Een voetbalmatch duurt maar 90 min, beste @someuser Mag ik dan nu mijn TV en internet terug? #belnor #pissed",739495535997030400,739495535997030400,nl,everyone,2016-06-05T16:34:09.000Z,#pissed,"[{'type': 'retweeted', 'id': '739495352601022465'}]",,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",372781477,"Een voetbalmatch duurt maar 90 min, beste @someuser Mag ik dan nu mijn TV en internet terug? #belnor #pissed",739495352601022465,739495352601022465,nl,everyone,2016-06-05T16:33:25.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",49406412,RT @someuser Dit is klote @someuser neem je 1stuk handbagage mee omdat je afspraak in Londen MOET halen zit vliegtuig vol n wordt t alsn...,739355381441433600,739355381441433600,nl,everyone,2016-06-05T07:17:14.000Z,#pissed,"[{'type': 'retweeted', 'id': '738747558114283520'}]",,
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",397561589,En dan ook met zon schijthouding binnenkomen van ja hallooo het was gezellig en ik ben toch veilig hè. #pissed #bozemama,738864260609126400,738864260609126400,nl,everyone,2016-06-03T22:45:41.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",90167394,Dit is klote @someuser neem je 1stuk handbagage mee omdat je afspraak in Londen MOET halen zit vliegtuig vol n wordt t alsnog ingecheckt #pissed,738747558114283520,738747558114283520,nl,everyone,2016-06-03T15:01:57.000Z,#pissed,,,
Echofon,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",107250068,"@someuser you suck 👎🏻 29€ aan invoerkosten over een pakketwaarde van 80€. 17,50 aan verwerking? BELACHELIJK #pissed",738391751912742912,738391751912742912,nl,everyone,2016-06-02T15:28:06.000Z,#pissed,,138062686,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",144110593,In de steek gelaten door de @someuser zoek gewoon een andere job als je nie blij bent ipv studenten met examens in t zak te zetten #pissed,736471564212965376,736471564212965376,nl,everyone,2016-05-28T08:17:58.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",330500041,@someuser als die series achterlopen en er te weinig films zijn? why krijgen wij niet dezelfde bieb als andere landen #pissed #kutNetflix,736230917153390592,736230917153390592,nl,everyone,2016-05-27T16:21:43.000Z,#pissed,,231239973,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",354857741,@someuser afgesloten. Niemand raakt nog in of uit #staking #mensenkloten #ditgaattever #pissed http://someurl,735865371715096576,735865371715096576,nl,everyone,2016-05-26T16:09:10.000Z,#pissed,,182786599,{'place_id': '0653bb913c88c1ea'}
TweetDeck,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",14320973,Stomme stakers. Nu geraakt mijn lief niet thuis morgen ofwat? :( #pissed,735837893047033856,735837893047033856,nl,everyone,2016-05-26T14:19:59.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",218944158,Hoezo geen hinder? Ze laten me niet binnen. #pissed Stiptheidsacties bij douane in luchthavens Luik en Charleroi http://someurl,735545653716258816,735545653716258816,nl,everyone,2016-05-25T18:58:44.000Z,#pissed,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",317772875,"#Pissed off..kutjongens hier in de straat...eerst hond bang maken.. dwars door tuinen, iedereen uitschelden en nu in de Aldi grote bekken?",735487600006463488,735487600006463488,nl,everyone,2016-05-25T15:08:03.000Z,#pissed,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",52687074,GVD weeral AL die #kittens en zwangere poezen die gedumpt worden! 😡😡😡 elk jaar hetzelfde. Ze zouden die mensen moeten castreren #pissed,735199181476921344,735199181476921344,nl,everyone,2016-05-24T20:01:58.000Z,#pissed,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",153143917,"En ik ben me zeer goed bewust van de risicos van beleggen in het algemeen, maar begin dan niet met te zeggen dat je 10% winst boekt #pissed",733394891884142592,733393831740182528,nl,everyone,2016-05-19T20:32:22.000Z,#pissed,"[{'type': 'replied_to', 'id': '733393831740182528'}]",153143917,
