public_metrics,source,created_at,id,geo,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android,2016-12-30T17:31:04.000Z,814886535703232512,,814886535703232512,#2017in3words 5H back together| #hopeful,2330730116,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T17:31:00.000Z,814886519622238208,,814886519622238208,Its the last #Friday of #2016 yall! Are you ready? #2017 #HAPPYNEWYEAR #hopeful #prayedup #FaithFriday,2749403574,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T17:27:23.000Z,814885608262959104,{'place_id': '1b9f1a683fe6c2eb'},814885608262959104,I cant believe Im sick! I NEED to get better for @someuser #NYE pronto! #sick #nobueno #STS9LightYears #hopeful,15164457,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",Twitter for iPhone,2016-12-30T17:19:44.000Z,814883681118470144,,814883681118470144,Forgive and #release the trying situations of the past year. Let everything feel new and #hopeful. Feel lighter; buoyant.🎈🎏🎈,268607705,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T17:18:50.000Z,814883454752083969,,814883454752083969,Were counting on you 2017 #DarthVader #lordsidious #StarWars #Darkside #Jedi #Awesome #Hopeful http://someurl,733322917447139329,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for BlackBerry,2016-12-30T17:07:16.000Z,814880546866216960,,814880546866216960,God is too faithful to fail me...#Hopeful,296771582,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T17:03:17.000Z,814879543391449088,,814879543391449088,Just 3 weeks and 4 days to be launched!!!| with the lovely @someuser | #suicidegirls #hopeful... http://someurl,3305544063,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for Android,2016-12-30T16:47:06.000Z,814875470781173760,,814816401642979328,@someuser Hmmm do you think bacon roses will work on guys too ? #hopeful 😀,1169910175,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814872327129300992'}]",1169910175
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T16:34:44.000Z,814872358695698432,,814856079196594176,@someuser this is lovely!!! For sale????? Saw these in Paris #hopeful http://someurl,212320782,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814856079196594176'}]",443208387
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T16:32:33.000Z,814871810747547648,,814871810747547648,one last shift for 2016! and it ended with a big bang! goodbye 2016 and hellow 2017! #happy #blessed #hopeful,880042933,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPad,2016-12-30T16:24:03.000Z,814869668422885379,,814864723091030016,@someuser They are... and Im #hopeful!  #NCL ...,20535518,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814868397594910720'}]",772113176
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T16:23:25.000Z,814869510561923072,{'place_id': '3cf05613c1dd6dbd'},814869510561923072,Hey! They aint said I do yet. #hopeful #teamJerena http://someurl,1926565574,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T16:19:36.000Z,814868550074662912,,814868550074662912,"Me (for the 53rd time this yr, 8th yr straight): maybe its not my weekend, but its gonna be my yr! 2 days left, I got this! 😭 #hopeful",77353558,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T16:16:04.000Z,814867659535880193,,814684899772919808,@someuser waiting for Colangelo to work some magic like the rest of the Philly fans.  #hopeful,245814794,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814866688550338560'}]",73158292
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-30T16:09:39.000Z,814866045714518016,,814864012995424260,"@someuser Thats my plan. One this year, maybe another at the holidays. Both in the universe of my novel needing a new  home. #hopeful",1623366968,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814865319651057665'}]",2875913468
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T16:08:40.000Z,814865799085232128,,814865799085232128,I just entered to win a Xbox One from @someuser http://someurl #XboxOne #Xbox #Giveaway #enter #win #hopeful,2640943040,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T16:00:39.000Z,814863781167828992,,814863781167828992,Thankful but expecting something better! Better days ahead! #hopeful #grateful #expecting,457843800,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone,2016-12-30T15:43:17.000Z,814859408584781828,{'place_id': '4da74513442e5fc5'},814859408584781828,Important reminder each morning  🙌🏼❤🙏🏼 #hopeful http://someurl,541720608,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Sprout Social,2016-12-30T15:35:38.000Z,814857484435357697,,814857484435357697,@someuser offers a list of books to help you feel #hopeful for the #newyear http://someurl,3071529419,en,everyone,#hopeful,,15492359
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T14:22:26.000Z,814839065401065473,,814839065401065473,Perhaps with the wind of change cleaning up govt in GB n US soon in Germany; perhaps the UN will change as well #Hopeful #MAGA #NewDayDawns http://someurl,4234685303,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hootsuite,2016-12-30T14:08:34.000Z,814835573949104128,,814835573949104128,#Grateful for all our #success. #Hopeful for the future. | Wishing you #SeasonsGreetings from the #port of #Djibouti: http://someurl,1225149024,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Facebook,2016-12-30T14:01:20.000Z,814833755823206400,,814833755823206400,I am going to attain my #IBPS_CLERK (MAIN) exam which will held on 1st January 2017.  Feeling #hopeful in... http://someurl,855896318,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT,2016-12-30T13:55:56.000Z,814832395358797824,,814832395358797824,Good Morning! Grind and go get it! 👆😉| •| •| #hustlehard #bepersistant #hopeful #quotesofinsp... http://someurl http://someurl,2820691964,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Tweet Jukebox,2016-12-30T13:45:12.000Z,814829692851253248,,814829692851253248,Hope & believe! http://someurl #hope #hopeful #Christiangift #ChristianJewelry #faith #inspire http://someurl,200404046,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T13:38:50.000Z,814828091377930240,,814828091377930240,Playing dress up with my phone...#funtimes #s7 #devereaux #hopeful #dior #biosculpturegel... http://someurl,749937990093402113,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T13:08:41.000Z,814820502556606467,,814820502556606467,Its freezing but still no sign of snow #hopeful,43342264,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Windows Phone,2016-12-30T13:02:48.000Z,814819023284305920,,814819023284305920,"2016 my first step, by God grace 2017 next level #hopeful",2942467264,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T12:41:37.000Z,814813690784456704,,814813690784456704,"😭😭😭| but I love you, myself 💜😂| Wait what 2017 will give me hhhhh | #single #ｓｉｎｇｌｅaf #hopeful... http://someurl",220322099,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T12:34:46.000Z,814811967970017280,,814811967970017280,I cant wait for the @someuser inauguration to see what magic happens. #hopeful #change #BetterFuture #BestWishes.,42010711,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T12:29:50.000Z,814810727521390592,,814810727521390592,"Hi @someuser , are we going to see a @someuser 570S GT4 anytime soon to add to the Porsche and Maserati?? #Hopeful",29525611,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 2, 'like_count': 9, 'quote_count': 0}",Instagram,2016-12-30T12:15:15.000Z,814807056796434432,,814807056796434432,Counting down to 2017!  #hopeful http://someurl,36426540,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T11:22:30.000Z,814793783749451776,,814787374156685312,"@someuser do we get to holy grail 2017 before anyone else,where no celebs are lost,and trump has stroke rendering him incapacitated?#hopeful",262072228,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814787374156685312'}]",26410290
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",TweetDeck,2016-12-30T10:29:19.000Z,814780399771615232,,814780399771615232,Dear @someuser please add ASIN for ebooks. Dear @someuser please add multiple reads. Thanks in advance for the late Xmas gifts ;-) #hopeful,218079338,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T10:05:54.000Z,814774504668819459,,814774504668819459,The #Distance between your #dreams and #reality is called #Action| #hopeful #KeepGoing #saveArash #behuman,2553142944,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,2016-12-30T09:54:29.000Z,814771630488637442,,814771630488637442,Loving lazy days listening to @someuser whilst waiting on breakfast in bed 😝 🍳 #hopeful #nevergonnahappen,74142640,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T09:53:16.000Z,814771325034176512,,814771325034176512,What ever this is itll pass | #hopeful #today_is_new_day,795272442075840512,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",Twitter Web Client,2016-12-30T09:36:31.000Z,814767111528677376,{'place_id': '790541b0a526fb49'},814742957693829120,"@someuser @someuser What a wonderful piece, thank you so much for sharing some genuinely positive things about 2016 #hopeful",390777678,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814742957693829120'}]",2162374808
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Instagram,2016-12-30T08:25:41.000Z,814749286919499776,,814749286919499776,Everyday everyone needs a leap of faith.... #hopeful http://someurl,484505415,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad,2016-12-30T08:20:33.000Z,814747995061129216,,814747995061129216,Hoping that Phixos can do something like that. Huhuhu #hopeful http://someurl,1280058834,en,everyone,#hopeful,"[{'type': 'quoted', 'id': '812501901577072640'}]",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T07:26:27.000Z,814734376529334274,,814734376529334274,Please let this happen tomorrow | #Hopeful #BringBackTheBelt http://someurl,1581653305,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T06:44:08.000Z,814723729158770688,,814723729158770688,One more day and well be welcoming a brand new year... hope its a good one! #hopeful http://someurl,139442453,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T06:42:26.000Z,814723299703947265,,814689828856066048,@someuser Maybe so but still #hopeful. 🙏🏻,537653845,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814722414819102720'}]",3063254716
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone,2016-12-30T06:30:21.000Z,814720258921656320,{'place_id': '014a875e27311e81'},814720258921656320,Day 2:  Shaping 2017... #work #Hopeful #Stronger http://someurl,38848610,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T06:20:19.000Z,814717735284318208,,814717735284318208,Repost from 2013...Still #hopeful http://someurl,90993289,en,everyone,#hopeful,"[{'type': 'quoted', 'id': '340104432253534209'}]",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T06:14:27.000Z,814716258830536704,,814716258830536704,"Wish this would happen to me, I still have 2 days #hopeful http://someurl",716175734335639552,en,everyone,#hopeful,"[{'type': 'quoted', 'id': '814708275706892288'}]",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T06:02:55.000Z,814713357500563456,,814713357500563456,I have faith that 2017 is going to be a great year because I already know its going to be a good year #hopeful #happy #NewYearsEve,778733079099609089,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T05:52:01.000Z,814710613356187648,,814710613356187648,"I just remembered I have a DCMI cable to HDMI converter, this means I dont need an HDMI cable to resume using my nice computer... #hopeful",325912367,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T05:41:46.000Z,814708035574792192,,814708035574792192,Come link up your #fun #funny #hopeful and #happy posts on Friday Frivolity http://someurl via @someuser,2228514475,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone,2016-12-30T05:35:22.000Z,814706424945049603,{'place_id': 'fbd6d2f5a4e4a15e'},814706424945049603,Cant wait to see what the world has in store with me as a cutter #becomingacutteronecowatatime #hopeful #destinedtobegreat http://someurl,3023373710,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android,2016-12-30T04:23:28.000Z,814688327739801600,,814688327739801600,Everytime i see a post about Danielle Stislicki i hope its going to say she was found safe. Havent seen that post yet. #hopeful #finddani,58564643,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T04:07:43.000Z,814684367406645249,,814684367406645249,Live in 10 #hopeful,179235956,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,2016-12-30T03:52:41.000Z,814680582076723200,,814680582076723200,"Taking some new things and some old things, but only good things into 2017. #hardstuffcanstillbegoodstuff #hopeful",2607699690,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Facebook,2016-12-30T03:04:06.000Z,814668356695494657,,814668356695494657,"If there’s anything to be #hopeful about in the #newyear, it’s the knowledge that we can carry the things that... http://someurl",277139431,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T03:00:43.000Z,814667505994080256,,814667505994080256,Enough of 2016!| Too many bad things.| I am ready for you 2017!| Heres to hoping it will be a great ride.| #NewYear  #FridayFeeling #hopeful,805452407299706880,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T02:34:01.000Z,814660785628581888,,814660785628581888,Whats coming is better than whats gone. 🙌🏻 #hopeful #positivyreigns,862499124,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Tweet Jukebox,2016-12-30T02:24:13.000Z,814658319877107712,,814658319877107712,Breeze tickling naked skin~Touch my mind move within...#BuzzingBee #Heart #Hopeful #Poetry http://someurl http://someurl,309844238,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T02:08:17.000Z,814654307249299456,,814654307249299456,.@someuser @someuser sooooo hows it coming??? #2days #hopeful #health #insurance #dontblowit,1004764711,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T01:47:15.000Z,814649017795825667,,814597213880012800,@someuser can i? Please? Please 🙏🙏🙏 Can I get lucky? #hopeful,1734837656,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814597213880012800'}]",504020426
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:24:51.000Z,814643377228681216,,814643377228681216,Doing homework once again. I swear it feels like college is never going to end for me! #hopeful #2018collegegradute,24514631,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T00:56:06.000Z,814636142259740672,,814636142259740672,Life is more than what we think #hopeful,19492303,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T00:40:52.000Z,814632310452719616,,813933282018684929,@someuser @someuser @someuser I remain optimistic that Trump will come thru on campaign promises! #hopeful,297736501,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814208494811365377'}]",4623902898
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T00:38:43.000Z,814631766879109120,,814631766879109120,Wow! Its actually a fortune that will be wrong... lol #hopeful http://someurl,525887579,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hootsuite,2016-12-30T00:31:35.000Z,814629972727963653,,814629972727963653,"While an #imperfect reproduction, this is how #iseelife #throughmychildseye: #hopeful, #optimistic, #open, #love http://someurl",4889114014,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T00:24:46.000Z,814628257362538496,,814628257362538496,Im hoping work tomorrow is much better than today! #hopeful,308327607,en,everyone,#hopeful,,
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone,2016-12-30T00:24:10.000Z,814628106854137858,,814628106854137858,"Ugh just sitting here by myself thinking. Trying to find the one love of my life, maybe one day I will! #Hopeful #ImOver6Feet sc: nfio_3233",729027280262041600,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T00:17:32.000Z,814626437835542528,{'place_id': 'f995a9bd45d4a867'},814598436993531908,@someuser @someuser @someuser @someuser and maybe he will be 1st Grizz in HOF #Hopeful,1447659595,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814598436993531908'}]",786314316001579008
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-29T23:41:40.000Z,814617411374776320,,773414272298721280,@someuser Please come BACK!!!! @someuser needs to pick this show up or @someuser !!!! #Hopeful. We all need more of Harry ! #Crushing,33965316,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '773414272298721280'}]",575875431
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-29T23:15:21.000Z,814610791114620928,,814610791114620928,This is all we can hope for #hopeful #readyfor2017 http://someurl,400133544,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Hootsuite,2016-12-29T23:10:08.000Z,814609476397498368,,814609476397498368,#Hopeful this touches hearts that needs it today. So happy for you Autumn! #DreamsDoComeTrue #ttc w/#infertility #nc http://someurl http://someurl,216068356,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",Twitter for Android,2016-12-29T23:06:46.000Z,814608629550776321,{'place_id': '18254280149d518a'},814608629550776321,"Brighton struggled to break us down a few weeks ago, its 11 v 11,  you never know, we need those 3 points up for grabs, #ccfc #hopeful",744341810,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-29T22:11:50.000Z,814594803220574208,,789389071403487232,"@someuser @someuser @someuser maybe others like me feel its not hopeless, although today can seem like an eternity #hopeful",33137324,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814478982183841792'}]",883150386
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for Android,2016-12-29T22:02:46.000Z,814592521959538690,{'place_id': '460c5314e8a33c64'},813486236291760128,Lets #pray for more leaders like +Karowei | #grateful #hopeful|  @someuser @someuser @someuser http://someurl,27151453,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814572392383180801'}]",3557576483
