reply_settings,geo,conversation_id,public_metrics,id,text,created_at,source,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id
everyone,,808195708713111552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808195708713111552,放假出來走走，這邊有種讓人放鬆的感覺 #八德落羽松 #tree #photos #nice👌 #wonderful──覺得心情放鬆（在八德落羽松秘境） http://someurl,2016-12-12T06:24:07.000Z,Facebook,122569788,zh,#wonderful,,
everyone,,807282066970832896,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807282066970832896,"Welcome 兩位公主🙊| ,| ,| ,| ,| ,| | #happy #happytimes #princess #pettygirls #baby #nice #wonderful #Hk... http://someurl",2016-12-09T17:53:37.000Z,Instagram,565643880,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [153.1, -26.5333]}, 'place_id': '7e347291be7bbab4'}",806366861097046020,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806366861097046020,"#Australia #SunshineCoast #coolumbeach #views #wonderful | | 這效果感覺還不錯🤓😎😳😁 @ Coolum Beach, Queensland http://someurl",2016-12-07T05:16:55.000Z,Instagram,730755449805410304,zh,#wonderful,,
everyone,,805099644011290624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",805099644011290624,"啊mo坐到咁直 似等緊野喎🙄😩| 大鍋啦唔知佢下個目標係拆邊個櫃🤔| ,| ,| ,| ,| ,| ,| ,| #havefun #baddog #wonderful #地獄版破壞王... http://someurl",2016-12-03T17:21:27.000Z,Instagram,565643880,zh,#wonderful,,
everyone,,804631010860236801,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",804631010860236801,早就乖乖在電視前坐好看mama!!!#2016mnetasianmusicawards #2016mama #wonderful http://someurl,2016-12-02T10:19:16.000Z,Instagram,1034138198,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [121.5379333, 25.0406799]}, 'place_id': '00180402799fed03'}",802736208967331840,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802736208967331840,外頭一直下雨下雨下雨，所以只好曬照片曬照片讓自己不要發霉。 | #Sunny #bike #outdoor #family #wonderful #lovely #goodweather... http://someurl,2016-11-27T04:50:00.000Z,Instagram,78344833,zh,#wonderful,,
everyone,,800401091149983745,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800401091149983745,這一個衝動，讓我感冒瞬間加重😷😵😵😵😵😵😚😚😚😚😚| 就讓我沈浸在那美好的氛圍中吧| #BOK #SOULNGENE #leenu #seanlee #리누 #션리 #대만 #wonderful... http://someurl,2016-11-20T18:11:05.000Z,Instagram,225772614,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [120.64371131, 24.17107179]}, 'place_id': '0039bc7a30aaa885'}",800166702499635204,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800166702499635204,別停下來，讓熱情澎湃，把心打開，世界就精彩| | #dontstop #passion #running #open #openyourheart #world_great #wonderful... http://someurl,2016-11-20T02:39:42.000Z,Instagram,4288051273,zh,#wonderful,,
everyone,,799864355978412034,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",799864355978412034,憂慮並不能阻止不好的事情發生，它只能阻止你享受生活中的美好！| #wonderful day http://someurl,2016-11-19T06:38:17.000Z,Instagram,318124192,zh,#wonderful,,
everyone,,799488702204510208,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",799488702204510208,我希望我以后有钱了买一个别墅！然后弄一个私人浴池！ #wonderful  #comfortable http://someurl,2016-11-18T05:45:35.000Z,Twitter for Android,4487133446,zh,#wonderful,,
everyone,,794487562488442881,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794487562488442881,Formidable （法語：完美）| 三週年快樂，| 以後要繼續討厭我唷❤️| #formidabile #wonderful #life #love #happy #lucky http://someurl http://someurl,2016-11-04T10:32:50.000Z,IFTTT,3147240512,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [104.07404332, 30.55812663]}, 'place_id': '005061e97edfdf2d'}",794380911609454592,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794380911609454592,这是我最喜欢的展馆，没有之一——伊藤| 所有东西免费试吃，于是我拿了好多面包带走😝😝😝#wonderful #favourite #love #free #bread #ITO #quality... http://someurl,2016-11-04T03:29:02.000Z,Instagram,1568718145,zh,#wonderful,,
everyone,,794076538580844545,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794076538580844545,我喜欢这个摄像头😝😝😝#love #wonderful #iphone #iphone7plus #camaro #chengdu http://someurl,2016-11-03T07:19:34.000Z,Instagram,1568718145,zh,#wonderful,,
everyone,,793609280691826688,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",793609280691826688,要像豆芽一樣，用力生長。| morning🌝🌝| #catherine #wonderful #nicepicture #instagram #photography #wednesday... http://someurl,2016-11-02T00:22:51.000Z,Instagram,1591126591,zh,#wonderful,,
everyone,,792662849768357888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",792662849768357888,要被自己的智商感動哭了，終於ok了。| #line #lineapp #catherine #wonderful http://someurl,2016-10-30T09:42:05.000Z,Instagram,1591126591,zh,#wonderful,,
everyone,,791588994198990848,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791588994198990848,生活和这杯水一样，虽然平淡无奇，但是心向阳光，也会五彩斑斓！The life will be colorful! #life #colorful #wonderful ❤️❤️❤️❤️ http://someurl,2016-10-27T10:34:57.000Z,Instagram,714712009787514880,zh,#wonderful,,
everyone,,790919685835460609,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",790919685835460609,#beijing #coldday #autumn #iphone #wonderful 秋天是树叶变金黄与夕阳...一起虚度，短的沉默，长的无意义🍂 http://someurl,2016-10-25T14:15:22.000Z,Instagram,764662521496166400,zh,#wonderful,,
everyone,,790919556013387778,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",790919556013387778,#wonderful #iphone #autumn #coldday #beijing 秋天是树叶变金黄与夕阳...一起虚度，短的沉默，长的无意义🍂 http://someurl,2016-10-25T14:14:51.000Z,Instagram,764662521496166400,zh,#wonderful,,
everyone,,789748376380334080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789748376380334080,萧瑟的不像话！🍂🍂🍂🍂🍂#autumn #yellow #wonderful http://someurl,2016-10-22T08:41:00.000Z,Instagram,714712009787514880,zh,#wonderful,,
everyone,,788433660978470912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788433660978470912,乐山跷脚牛肉还是丰富！#food #dinner #delicious #much #beef #wonderful #leshan #sichuan http://someurl,2016-10-18T17:36:47.000Z,Instagram,1568718145,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [121.53700691, 25.00110718]}, 'place_id': '00180402799fed03'}",785025498241966080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",785025498241966080,我是俏皮小廚娘。| #cute #kitchen #diy #cake #kid #child #love #wonderful #letthekids #candidchildhood... http://someurl,2016-10-09T07:53:58.000Z,Instagram,78344833,zh,#wonderful,,
everyone,,784954386610991105,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",784954386610991105,奶油多 + 熱奶茶 = Perfect Match #奶油多 #perfectmatch #morning #wonderful #day #breakfast http://someurl,2016-10-09T03:11:24.000Z,Instagram,56114123,zh,#wonderful,,
everyone,,783707360946708480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",783707360946708480,#Wonderful  place @ 重慶武隆 天生三橋 http://someurl,2016-10-05T16:36:10.000Z,Instagram,4655496613,zh,#wonderful,,
everyone,,782781890843414529,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",782781890843414529,速報一張～才子與佳人| 這天不知道為何一直忘記東西| 一天三次手機，相機，飾品，我都快把東西掉光了～| 善良的新娘一直幫我把掉的東西拿給我| 太感謝了～| #新竹新秘 #新娘秘書 #臺北新秘 #桃園新秘 #wonderful http://someurl,2016-10-03T03:18:40.000Z,Facebook,567889232,zh,#wonderful,,
everyone,,782232206005514240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",782232206005514240,#video #Comiket #beijing #C3 #IDO漫展 #ido #漫展 #selfpic #selfie #life #happy #wonderful #friends #friend #cute #dog 吃狗粮😂 单身汪🐶的日常，过节的礼物🎁 http://someurl,2016-10-01T14:54:25.000Z,Twitter for Android,772044008474292224,zh,#wonderful,,
everyone,,779496063052845057,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",779496063052845057,喜歡多雲的天空💙💙💙💙| #sky #clouds #takeaphoto #Nature #wonderful #magnificent #scenery @ 國立臺灣海洋大學... http://someurl,2016-09-24T01:41:58.000Z,Instagram,153048116,zh,#wonderful,,
everyone,,777466928587825153,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",777466928587825153,"多謝KK, Rose and Ronnie 的Melody 禮物，真係唔捨得用！💋💋💋💋#happy #mymelody #gift #lovely #wonderful #love... http://someurl",2016-09-18T11:18:55.000Z,Instagram,4699832971,zh,#wonderful,,
everyone,,776430782701187073,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",776430782701187073,沒有買鞋就無法完整的女人，| 一次兩雙覺得很滿足😇😇| #mystock #highheels #wonderful #mylittleworld #happyday http://someurl,2016-09-15T14:41:38.000Z,Instagram,2184596046,zh,#wonderful,,
everyone,,775065468436701184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",775065468436701184,🍜📸❤️与最好的朋友度过的最好的时间| #photography  #wonderful #time http://someurl,2016-09-11T20:16:22.000Z,Instagram,732917994045603840,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [120.30183004, 22.61039545]}, 'place_id': '00dcc81a0ec32f15'}",774449241292931072,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",774449241292931072,Good Day for BBQ🍗🍖🍠| | 感謝主，給我們一個很棒的週末好天氣喔！| | #sunnyday #happyday #wonderful #kaohsiung @ 高雄圖書館總館 http://someurl,2016-09-10T03:27:42.000Z,Instagram,14106076,zh,#wonderful,,
everyone,,773669398821339136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",773669398821339136,回想兒時的我...令我想回到過去...時間可停留...是多麼美好呢？#hongkong #childhood #past #wonderful... http://someurl,2016-09-07T23:48:53.000Z,Instagram,528809621,zh,#wonderful,,
everyone,,773538979606061057,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",773538979606061057,是彎的 彎的佛！#wonderful http://someurl,2016-09-07T15:10:39.000Z,Instagram,28834104,zh,#wonderful,,
everyone,,771288957506039808,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",771288957506039808,用一顆美好之心，看世界風景，用一顆感恩之心，感謝經歷給我們的成長，用一顆平常之心，看人生得失成敗。#picoftheday #like #wonderful #life #reindeer... http://someurl,2016-09-01T10:09:51.000Z,Instagram,233082190,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [23.2417, 69.9667]}, 'place_id': '4dbdf04bc11b47f7'}",769058642565926912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",769058642565926912,今天要跟你說掰掰～舒適的車內空間！謝謝你喔！這幾天讓我們安全的完成旅程～可惜我不會開手排😄#toyota #good #car #wonderful #travel #instagood... http://someurl,2016-08-26T06:27:23.000Z,Instagram,233082190,zh,#wonderful,,
everyone,,768328617382195200,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",768328617382195200,夏日中午就是要這樣吃才不會曬傷中暑❤️| #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈| #laugh #joy #fun #food #wonderful #awesome #perfect... http://someurl,2016-08-24T06:06:31.000Z,Instagram,2384508830,zh,#wonderful,,
everyone,,767297938448154625,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",767297938448154625,久久一次的文青之旅😊😊| 聽演講聽到睡著😅😅| 我也真是醉了😂😂| #wonderful day @ 紀州庵文學森林 http://someurl,2016-08-21T09:50:58.000Z,Instagram,764782145885700096,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [114.18359308, 22.2802281]}, 'place_id': '01cb3bd54f92388e'}",767277532169338881,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",767277532169338881,😎✌🏻️🎤.| #VSDay #FULLofLOVE #wonderful @ Causeway Bay 銅鑼灣 http://someurl,2016-08-21T08:29:53.000Z,Instagram,136874527,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [112.98094755, 28.19221769]}, 'place_id': '00f78919207ddecd'}",765510801604116480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",765510801604116480,#wonderful #comfortable #great 静看夜幕的降临亦是一种美好。 @ 定王台 http://someurl,2016-08-16T11:29:32.000Z,Instagram,724412866552451072,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [120.66120393, 24.15523854]}, 'place_id': '0039bc7a30aaa885'}",764655138975780865,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",764655138975780865,媽，我有卡比獸啦！！| | #pokemongo #game #snorlax #happy #amzaing #wonderful... http://someurl,2016-08-14T02:49:26.000Z,Instagram,391221270,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [114.04238941, 22.31303765]}, 'place_id': '017f6751306425f0'}",764600928787767296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",764600928787767296,#wonderful #holidays #hongkong #disneyland @ 香港迪士尼樂園 Hong Kong... http://someurl,2016-08-13T23:14:01.000Z,Instagram,308877642,zh,#wonderful,,
everyone,,762290721768501249,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",762290721768501249,到荒地(未开发)取景♡| #shooting #photography #love #wonderful #experience #climb http://someurl,2016-08-07T14:14:05.000Z,Instagram,2548581667,zh,#wonderful,,
everyone,,761820266968166400,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",761820266968166400,特别难吃。awful-tasting #食物 #吃货 #food #Wonderful http://someurl,2016-08-06T07:04:40.000Z,Twitter for iPhone,754204537435455488,zh,#wonderful,,
everyone,,761575527601860608,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",761575527601860608,回憶總是美好的.. 我想念這個時候了 😳😳| #pulaupangkor #collegetrip #collegelife #wonderful #memories #missit http://someurl,2016-08-05T14:52:09.000Z,Instagram,1074119797,zh,#wonderful,,
everyone,,759026501731885056,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",759026501731885056,放工之即興去動漫！！| 最愛的One Piece❤️| 啲船都好靚😭好想要！| #love #forever #OnePiece #Figure #want #wonderful #맞팔 #미소 http://someurl,2016-07-29T14:03:14.000Z,Instagram,488328531,zh,#wonderful,,
everyone,,759025410596372481,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",759025410596372481,放工之即興去動漫！| 最愛的One Piece❤️| 啲figure真係好靚😭好想要！| #love #forever #OnePiece #Figure #want #wonderful #맞팔 #미소 http://someurl,2016-07-29T13:58:54.000Z,Instagram,488328531,zh,#wonderful,,
everyone,,758251578344214528,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",758251578344214528,照片太多，不知從何PO起‼️| 號稱全球最快最貴的跑車，在這遇到你| #losangeles #beverlyhills #wonderful #interisting #bugatti... http://someurl,2016-07-27T10:43:58.000Z,Instagram,2266322419,zh,#wonderful,,
everyone,,757097182096871424,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757097182096871424,終於吃到 凱西姨姨| #happy #wonderful | #Dessert#抹茶千層| 好幸福唷😘 http://someurl,2016-07-24T06:16:49.000Z,Twitter for iPhone,3188864456,zh,#wonderful,,
everyone,,755500780900093952,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",755500780900093952,晚报治疗 💆🏻👍 #best #great #nice #wonderful #srilanka #planyourhappinesswithus #contactus #info@someuservel.com http://someurl,2016-07-19T20:33:17.000Z,Twitter for iPhone,713647933145481216,zh,#wonderful,,
everyone,,754991187853926401,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",754991187853926401,時尚編髮～小禮帽髮型| #新娘秘書 #新竹新秘 #wedding #wonderful http://someurl,2016-07-18T10:48:20.000Z,Facebook,567889232,zh,#wonderful,,
everyone,,753190092538318849,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",753190092538318849,學習前，先來祭拜五臟廟| | #delicious #晚餐 #dinner #wonderful http://someurl,2016-07-13T11:31:26.000Z,Instagram,1127919216,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [121.57242183, 25.05720481]}, 'place_id': '00180402799fed03'}",753186994520326145,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",753186994520326145,我在麥帥二橋塞車時拍下了傍晚的夕陽西下。| | #sunset #taiwan #taipei #wonderful #dream @ 彩虹河濱公園-麥帥二橋旁 http://someurl,2016-07-13T11:19:07.000Z,Instagram,59307912,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [121.51904288, 24.97728408]}, 'place_id': '019a3137395a2973'}",752822258125508608,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",752822258125508608,遠處的雲看起來很像一座高山！| | #cloud #mountains #sunset #taiwan #wonderful #magic @ 新店安坑陽光運動園區 http://someurl,2016-07-12T11:09:47.000Z,Instagram,59307912,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [120.68047775, 24.14344919]}, 'place_id': '0039bc7a30aaa885'}",748358935753687040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",748358935753687040,有一種默契叫做心照不宣| 有一種感覺叫做妙不可言| 有一種幸福叫做有你相伴| | #tacitly #understanding #feel #wonderful #happiness... http://someurl,2016-06-30T03:34:08.000Z,Instagram,4288051273,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [116.39166667, 39.90333333]}, 'place_id': '01120f703ae9184a'}",747793879299141632,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",747793879299141632,#天安门 #北京 #2016 #华文教师培训 #wonderful #exciting #training #memorable # 毛泽东 #tiananmensquare #beijing... http://someurl,2016-06-28T14:08:48.000Z,Instagram,116642049,zh,#wonderful,,
everyone,,747393825920811008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",747393825920811008,超緊張之婚禮前一天~新娘注意事項| http://someurl| #新娘秘書 #新竹新秘 #婚前準備 #wonderful #婚禮 http://someurl,2016-06-27T11:39:08.000Z,Facebook,567889232,zh,#wonderful,,
everyone,,747003936347873281,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",747003936347873281,Its #shanghai | 这里是 #魔都上海| Such a #wonderful place❤ http://someurl,2016-06-26T09:49:51.000Z,Twitter for iPhone,3393912965,zh,#wonderful,,
everyone,,746725592666513408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",746725592666513408,晚安～～| | 拿的起、放的下，看開不愉快的事，生活才會快樂精彩。| | #life #lifestyle #happy #wonderful #excellent http://someurl,2016-06-25T15:23:49.000Z,Twitter for Android,705451191581306880,zh,#wonderful,,
everyone,,746300456188674048,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",746300456188674048,美好的週末夜🌆| | #sunset #landscape #beautifulday #wonderful #kaohsiung http://someurl,2016-06-24T11:14:29.000Z,Instagram,14106076,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [119.815776, 49.56403454]}, 'place_id': '005aedba195af261'}",744732172183969793,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",744732172183969793,寻龙诀拍摄基地～太美了太美了！#wonderful #beautiful #hulunbuir #us #sky #blue #moon #sunset #sunshine #prairie... http://someurl,2016-06-20T03:22:40.000Z,Instagram,1568718145,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [119.815776, 49.56403454]}, 'place_id': '005aedba195af261'}",744731530216407042,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",744731530216407042,落日余晖～夕阳西下～#sunset #sunshine #prairie #sky #moon #blue #beautiful #us #hulunbuir #wonderful @someuser http://someurl,2016-06-20T03:20:07.000Z,Instagram,1568718145,zh,#wonderful,,
everyone,,744465523069587456,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",744465523069587456,超漂亮。| #sea #browneyes #brownhair #beautiful #wonderful #summer #sunshine #relax @ 龍洞跳水灣 http://someurl,2016-06-19T09:43:06.000Z,Instagram,738260827673743360,zh,#wonderful,,
everyone,,744114623893278721,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",744114623893278721,20160618| #fengchuisha | #風吹沙| 久違了墾丁 美麗如昔 可是人潮好多不喜歡| #wonderful #niceweather #cloud #ocean #sea... http://someurl,2016-06-18T10:28:45.000Z,Instagram,1241458783,zh,#wonderful,,
everyone,,743443626001305600,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",743443626001305600,可是我是想你的............音樂❤| #piano #wonderful #canon #riverflowsinyou #Instagram #photograph http://someurl,2016-06-16T14:02:27.000Z,Instagram,1591126591,zh,#wonderful,,
everyone,,742387557632217088,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",742387557632217088,"希望可以一直旅行下去，| 豐富我的人生。| #trips #world #luggage #lifeisgood #instaboys #better #wonderful @ Yungho,... http://someurl",2016-06-13T16:06:01.000Z,Instagram,738260827673743360,zh,#wonderful,,
everyone,,741087985932767232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",741087985932767232,優勝美地好涼爽啊！| 一開始進山還超冷的！| 雖然太陽很曬卻冷得要死XD| | 後來才知道原來就是早上照得遠遠的山上有雪的地方！| 😝😝😝| | #wonderful... http://someurl,2016-06-10T02:01:59.000Z,Instagram,2490906272,zh,#wonderful,,
everyone,"{'coordinates': {'type': 'Point', 'coordinates': [121.91700899, 11.97135825]}, 'place_id': '01954260729f7a75'}",740912475936169987,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",740912475936169987,#wonderful #resturant on the #beach 😘 #舟車勞頓 終於可以吃個 #relax #romentic #dinner 了... http://someurl,2016-06-09T14:24:34.000Z,Instagram,914057936,zh,#wonderful,,
