reply_settings,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,referenced_tweets,in_reply_to_user_id,geo
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-11-08T19:49:43.000Z,796077259744546817,796077259744546817,Twitter for iPhone,460536391,nl,Boekje via @someuser 2 tickets. Krijg je 2 uur later opeens te horen dat de vlucht niet bestaat #fail #angry #noservice,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-04T06:45:17.000Z,794430299975385088,794430299975385088,MEGAPO.ST,2835347628,nl,Stevana http://someurl of #sexy #afternoon #angry #спортэтожизнь #frenchbulldogs #chiaseeds,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-29T08:37:13.000Z,792284141349920769,792284141349920769,MEGAPO.ST,2838933211,nl,Raf http://someurl in #sexy #gratid #227;o #angry #bench #fitspiration #irongirl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-20T11:37:27.000Z,789068004214599680,789068004214599680,Twitter Web Client,753234348061691904,nl,#angry pussy sexxteenxxx http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-16T06:51:15.000Z,787546431473197056,787546431473197056,MEGAPO.ST,2838933211,nl,Kiersten http://someurl ok #follow #gunaydin #angry #фит #modelife #legsfordays,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-14T03:43:07.000Z,786774310409101312,786774310409101312,MEGAPO.ST,2799084203,nl,Kiersten http://someurl on #girl #gunaydin #angry #sportgirl #mtllifestyle #phg,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-12T16:42:15.000Z,786245609330126848,786245609330126848,Twitter Web Client,751922889117536256,nl,#angry pussy model teen http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-10-12T08:12:19.000Z,786117278857359360,786117278857359360,Twitter for Android,339658603,nl,@someuser merci om altijd oh zo goes op tijd te zijn. Ik mis vooral mn lessen niet. #staking #telaat #again #angry,#angry,,32851079,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-10-10T09:28:12.000Z,785411599351808000,785411599351808000,Twitter for Android,635734482,nl,Gister was nie my dag nie. #angry #Notfeelingright,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-02T12:52:22.000Z,782563876198031363,782563876198031363,IFTTT,198826463,nl,"Gisteren in het #bos, Kees was minder blij. #forest #angry #boys http://someurl http://someurl",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-27T13:42:38.000Z,780764590716096512,780764590716096512,Instagram,205069237,nl,Ahgr!! #artwork #artoftheday #illutration #design #monkey #angry #drawing #draw #sad http://someurl,#angry,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-27T06:35:22.000Z,780657062334181376,780657062334181376,Twitter Web Client,391070583,nl,RT @someuser: Welke lolbroek heeft besloten die nieuwe strepen aan te leggen op #E40 de van affligem tot bxl ? Motards in de file da...,#angry,"[{'type': 'retweeted', 'id': '780648008467742720'}]",,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-27T05:59:23.000Z,780648008467742720,780648008467742720,Twitter for Android,358646938,nl,Welke lolbroek heeft besloten die nieuwe strepen aan te leggen op #E40 de van affligem tot bxl ? Motards in de file danken u.. NOT ! #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-24T12:36:25.000Z,779660760255430656,779660760255430656,Twitter Web Client,33158126,nl,2/2 dat rottige kauwgum overal op straat dumpt. Dat wordt weer sandaal afbikken. #stimorol #plantingmysandalinyouropenmouth. #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-21T21:11:02.000Z,778703103700836352,778703103700836352,Google,58372607,nl,Hadouken #angry #street #fighter #vector http://someurl #vectorheart #vectoricon #vectorpeople #arcade,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-09-20T23:58:17.000Z,778382805533274112,778382805533274112,Instagram,68698244,nl,"#angry @ Bijlmerdreef, Amsterdam Zuidoost http://someurl",#angry,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-20T12:14:37.000Z,778205723771699200,778205723771699200,Twitter for iPhone,702121236848054273,nl,RT @someuser @someuserlaid | Betaal n helse bedrag per maand vir 2 persone.dan nog n flippen groot bybetaling #angry #gatvol,#angry,"[{'type': 'retweeted', 'id': '552758443879432192'}]",,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-11T11:11:22.000Z,763694290757382144,763694290757382144,Twitter Web Client,2370449978,nl,dioni1122334 & QQ5034858195 | | Two teamers in lms #triggered #lostgame #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-08-09T13:16:54.000Z,763001109174743041,762979101858795520,Twitter for Windows,4418475076,nl,@someuser #mellogang Meet Rotten Mello😈..  #art #design #inspired #imagine #story #hero #villain #angry http://someurl,#angry,"[{'type': 'replied_to', 'id': '762979101858795520'}]",4418475076,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-07-30T19:51:21.000Z,759476494381027328,759476494381027328,Twitter for iPad,4623687377,nl,Ik haaaaaaat teammates #angry http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-07-29T22:39:22.000Z,759156389013024768,759153779191209984,Twitter for iPhone,144958657,nl,@someuser @someuser als het Trump wordt kun je zo naar VS om #ANGRY te beginnen met al die boze Amerikanen die gelogen uitkomen,#angry,"[{'type': 'replied_to', 'id': '759153779191209984'}]",65881225,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-19T20:45:15.000Z,755503793089945600,755503793089945600,Twitter for Android,131538668,nl,"Oke tis duidelijk ons ma heeft 0,0% vertrouwen in mij #angry #wtf 😠😠😠😠😠😠😠",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-19T19:15:01.000Z,755481086927536128,755481086927536128,Instagram,3058592056,nl,Doen alsof ze boos is en toch moeten giechelen. 😘| | #baby #Alessa #act #actress #angry #happy... http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-16T00:00:44.000Z,754103434756829184,754103434756829184,twitterfeed,4841988671,nl,Bedrijven Spelen In Op Pokémon Go-Hype: Pokémon Go is de nieuwe #Angry Birds en iedereen van jong... http://someurl #smartphone,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-12T11:23:33.000Z,752825722142588928,752825722142588928,Twitter for iPhone,246852994,nl,Ik ben het echt kotsbeu!! Weer is het CHIO Aken-time en ik ben opnieuw ziek 😡😡😡 #angry #,#angry,,,{'place_id': 'd89a775692b1917f'}
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-12T07:38:56.000Z,752769195520253952,752769195520253952,Twitter for iPhone,827590418,nl,"Dat mens heeft mij pist gemaakt seg! Hele dag verpest. Als je het beter kan, doe het dan toch gewoon zelf! Dikke nek #angry",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-11T18:52:03.000Z,752576200808210432,752576200808210432,Twitter for Android,2455410115,nl,@someuser @someuser Zwaar #teleurgesteld in jullie service en de vakantie moet nog beginnen! #badservice #notamused #angry,#angry,,608184876,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-06-29T05:38:19.000Z,748027797390647296,748027130014015488,Twitter Web Client,132163274,nl,@someuser antha bondaam laa vunte fans aa? #Sad #Angry,#angry,"[{'type': 'replied_to', 'id': '748027597515284480'}]",2397462901,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-26T16:31:52.000Z,747105106798215168,747105106798215168,Twitter for Android,68519257,nl,Ik ben niet #Angry meer. Want ik mag met dit lieve jongetje mee naar huis #Bird #TTFestival #ttkermis  #angrybirds http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-25T16:16:17.000Z,746738798113939456,746738798113939456,Instagram,218760042,nl,tijdens stadswandeling in Deventer #grafitti #photoftheday #angry #addition #behappy #winston... http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-06-21T16:42:37.000Z,745295870359306240,745286740504678404,Twitter for Android,3057905576,nl,"@someuser @someuser @someuser Jongens, jongens, JONGENS toch!!!! #angry #mad",#angry,"[{'type': 'replied_to', 'id': '745286740504678404'}]",3969435119,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-20T00:11:03.000Z,744683949130125312,744683949130125312,DragPlus,2795524824,nl,Plus breekt record met Angry Birds - Distrifood.nl #angry http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-12T23:16:11.000Z,742133425855995904,742133425855995904,Twitter for Android,193708540,nl,Wat is die @someuser toch een enorme oetlul #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-06-08T21:39:52.000Z,740659636924231680,740659636924231680,Twitter for iPhone,2760444898,nl,@someuser morgen draait #angry birds wel in Gouda op 13:30,#angry,,3352304326,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-06-02T11:26:57.000Z,738331061155954689,738331061155954689,Tweetbot for iΟS,65651817,nl,Dat je oprechte haat voelt tegen die hele kleine groene varkentjes die maar nie kapot willen. #angry #barbara,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-05-31T11:19:21.000Z,737604372654219265,737604372654219265,Twitter for Android,252001073,nl,Faggots van de dpd ik ben thuis ze lopen naar de deur ik ook rijden ze weg en laten een we hebben u net gemist briefje achter #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-28T12:46:26.000Z,736539125512294400,736539125512294400,Twitter for Android,1354846225,nl,Hoeveel ongevallen moeten er nog gebeuren met moteren vooraleer er actie wordt ondernomen? #baloisetour #wielrennen #rondevanbelgie #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 13, 'quote_count': 1}",2016-05-27T10:02:39.000Z,736135521177612288,736135521177612288,Twitter Web Client,2194979065,nl,O wat zijn we blij met de terugkeer van Roland (de voetbalkenner): NOT      #sos #wtf  #stvv #sad #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-23T07:56:29.000Z,734654216665333760,734654216665333760,twitterfeed,4835052881,nl,Plus en Energize pakken uit met spaaractie #Angry Birds: Plus Supermarkten heeft een spaaractie me... http://someurl #marketing,#angry,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-20T20:58:50.000Z,733763937943031812,733763937943031812,Twitter for iPhone,130536299,nl,RT @someuser De kijkcijfers van @someuser zullen volgende week een pak lager liggen. #Lisa moest blijven. #angry #tvvv,#angry,"[{'type': 'retweeted', 'id': '733763292292861952'}]",,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-05-20T20:56:16.000Z,733763292292861952,733763292292861952,Twitter Web Client,405012426,nl,De kijkcijfers van @someuser zullen volgende week een pak lager liggen. #Lisa moest blijven. #angry #tvvv,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-20T05:39:19.000Z,733532537356607488,733532537356607488,twitterfeed,4827099287,nl,Dankzij deze Nederlander is #Angry Birds méér dan een spelletje geworden: Dankzij The #Angry B... http://someurl #carrière #HR,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-05-18T11:46:25.000Z,732900143125663744,732900143125663744,Instagram,48829293,nl,Joohw #angrybirds  powerrrrr💪🏻👊| | #birds #shirt #cap #angry #game #tshirt http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-17T23:52:38.000Z,732720515626893314,732720515626893314,twitterfeed,419510125,nl,Recensie: #Angry Birds: Oogstrelend doch pijnlijk ongrappig. Best tof voor de kleintjes maar een feest van ir... http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-12T18:17:47.000Z,730824308889653249,730824308889653249,Instagram,199635193,nl,Er word er 1tje boos als ik te dichtbij kom #zwaan #jongen #swan #angry http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-08T19:21:47.000Z,729390863726587905,729390863726587905,Instagram,91104226,nl,"#angry  #birds vanaf #11mei2016 in de #bioscoop, | maar nu al in het #bushokje 😀| #10000stappen... http://someurl",#angry,,,"{'place_id': '0653bb913c88c1ea', 'coordinates': {'type': 'Point', 'coordinates': [4.3892312, 50.8935595]}}"
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-05-03T05:09:02.000Z,727364322805030912,727364322805030912,Instagram,2828065462,nl,Been slacking. 3D Printer is Broke.  #angry  #lulzbot @someuser lulzbot3d #sadpanda http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-28T09:56:59.000Z,725624847791837184,725624847791837184,Facebook,3150957792,nl,#JAMES REID!| #ANGRY http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-04-26T21:28:46.000Z,725074161639510016,725074161639510016,Twitter for iPad,1558876742,nl,Wat moet ik doen om #schauvlieghe af te zetten ? #klimaatzaak #angry #stopdattoneel,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2016-04-16T14:16:14.000Z,721341436344537088,721341436344537088,Twitter for Android,68922207,nl,Serieus @someuser ?! Er zit gewoon een kras op mn dure pre-order Blu-ray..... hoe gaan we dit oplossen? #fail #angry http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-15T21:00:52.000Z,721080876105404416,721080876105404416,Instagram,636818867,nl,Hahaha deze stickers x3 | | #girl #angry #stickers #filters #follow http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-10T03:35:53.000Z,719005956512858112,719005956512858112,Facebook,3566625914,nl,󾮗#Like- 3fact 󾌫󾮟| ❤#Love- Yu gej boddogoo ✌󾌴| 󾍁#Wow- Taalagddag 2 zuiliig 󾮗󾮠󾌳| 󾌣#Sad- Dursamjaasa 󾌫󾮟| 😈#Angry- Anhnii setgegdelee heley󾌧󾮟,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-07T09:03:50.000Z,718001327557722112,718001327557722112,Instagram,56739547,nl,"Papa, ik wil doen alsof ik boos ben...| #Lily #angry #Antwerp #picoftheday #photooftheday #Beauty... http://someurl",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-31T04:44:12.000Z,715399272338825218,715399272338825218,wallpapers4u.org,2150971009,nl,"street fighter x tekken, ... - http://someurl| | #Angry #CharactersBackgrounds #FacesImages http://someurl",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-30T10:24:40.000Z,715122564876660736,715122564876660736,Twitter Web Client,155387315,nl,Arjun Kapoor SLAPS Radio Jockey| (http://someurl| @someuser #slap #bollywoodnews #radio #jockey #Angry http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-29T07:28:30.000Z,714715843263913984,714715843263913984,Twitter for iPhone,33253161,nl,Dat zijn dus die lieve voetbalfans die gepest werden door de rouwenden... #fail #angry  http://someurl,#angry,"[{'type': 'quoted', 'id': '714714165307383809'}]",,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-23T07:48:12.000Z,712546474341625856,712546474341625856,Twitter for iPhone,74096414,nl,Ow @someuser wat een indrukwekkend overzicht met perfecte passende muziek heb je gemaakt! #sadness #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-22T11:19:35.000Z,712237281051017216,712237281051017216,Twitter Web Client,26213685,nl,#angry #JeSuisCharlie #SeSuisParis #IamAnkara #BendeKlootzakken #EnolaGay Ik ben er fier op Belg te zijn!,#angry,,,
everyone,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-22T10:42:04.000Z,712227840440320001,712227840440320001,Twitter for Android,2868578301,nl,"RT @someuser Er zouden minstens al 40 doden zijn , bron van iemand die daar ter plekke is... #Zaventem #Angry",#angry,"[{'type': 'retweeted', 'id': '712221751934132224'}]",,
everyone,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-22T10:17:52.000Z,712221751934132224,712221751934132224,Twitter for Windows Phone,609510664,nl,"Er zouden minstens al 40 doden zijn , bron van iemand die daar ter plekke is... #Zaventem #Angry",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-19T18:12:34.000Z,711254049962790912,711254049962790912,Twitter for iPhone,2587178220,nl,@someuser #DowntonAbbey s 6 geprogrammeert 5 min voor en na zoals bij alle andere opnames. Niet genoeg. Ik MIS HET EINDE van de aflevering #ANGRY,#angry,,5751572,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-19T16:41:05.000Z,711231027914608640,711231027914608640,Instagram,145204934,nl,Hallo #weekend.  Dat zeg ik met een #sun #selfie van donderdag! #Angry #face maar boos was/ben... http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-16T11:47:57.000Z,710070095603736579,710070095603736579,Twitter for Windows Phone,948362467,nl,Bijdrage energiefonds ontvangen maw #turteltaks #angry Wedden dat deze week de pers. belastingen ook in de bus valt?,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-15T19:21:15.000Z,709821781146783744,709821781146783744,Twitter for Android,608054804,nl,Die kk ido kan de pot op hoop dat die verrader wordt gepakt om steeds mn roosje te hacken!!! #grr #angry,#angry,,,
everyone,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-01T09:50:45.000Z,704604780673560576,704604780673560576,247Preapproval.com,1114735326,nl,RT @someuser Nieuwe #blog. #mustread #socialmedia #Facebook #emoji #yay #love #wow #angry #sad #like  #haha http://someurl,#angry,"[{'type': 'retweeted', 'id': '704592880044810240'}]",,
everyone,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-03-01T09:03:27.000Z,704592880044810240,704592880044810240,Twitter for Android,3058592056,nl,Nieuwe #blog. #mustread #socialmedia #Facebook #emoji #yay #love #wow #angry #sad #like  #haha http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-29T10:49:16.000Z,704257120640897024,704257120640897024,Twitter for Android,3458670735,nl,Kom er net achter dat @someuser mij ontvolgt had #angry 😂😂😂😂,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-26T16:19:09.000Z,703252972440915968,703252972440915968,Instagram,4924684329,nl,Vroom vroom! BMW i8 and M3  #beautiful #fast #comeseerichyrich #wideworldbmw #angry @ Wide World... http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-25T17:55:41.000Z,702914880718950401,702914880718950401,Twitter for Android,256013954,nl,Versje voor vrijdag #versje  #YF16057 #facebook #reactions #like #love #wow #haha #sad #angry #socialmedia http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-02-24T16:46:29.000Z,702535076605730816,702530878111617024,Twitter Web Client,28983061,nl,"@someuser yay ziet er lief uit, maar zie ik wel nergens op fb! #sad #angry",#angry,"[{'type': 'replied_to', 'id': '702530878111617024'}]",17308403,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-24T14:25:52.000Z,702499690508656640,702499690508656640,Twitter Web Client,214871327,nl,"Geef toe, ze zijn best leuk toch? #facebook #like #love #haha #wow #sad #angry http://someurl",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-17T23:19:15.000Z,700097202975346688,700097202975346688,Twitter for iPhone,54695360,nl,De mensen die aandacht vragen op een negatieve manier krijgen ook aandacht. Echt erg #work #angry,#angry,,,
