lang,created_at,public_metrics,reply_settings,text,id,author_id,conversation_id,source,search_query,geo,referenced_tweets,in_reply_to_user_id
pt,2016-10-12T13:12:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Brita http://someurl is #loveher #piola #fans #details #pissed,786192751801016320,2791797040,786192751801016320,MEGAPO.ST,#pissed,,,
pt,2016-10-12T03:46:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Sergio Romo 😡 #pissed,786050351933685760,230337637,786050351933685760,Twitter for iPhone,#pissed,,,
pt,2016-10-09T22:21:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,@someuser Paul #pissed,785243885060567040,780808420974694400,785226490115870720,Twitter for iPhone,#pissed,,"[{'type': 'replied_to', 'id': '785242724391944192'}]",1551015542
in,2016-10-04T23:09:59.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",everyone,cami is #pissed http://someurl,783444081326292992,1429390897,783444081326292992,Twitter Web Client,#pissed,,"[{'type': 'quoted', 'id': '783442931172544512'}]",
pt,2016-09-30T16:51:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#pissed #lost #daydrinking http://someurl via instagram http://someurl,781899403447574528,252800340,781899403447574528,IFTTT,#pissed,,,
pt,2016-09-27T20:48:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Já me estão a mandar escrever relatórios.|  Não sei se #sad ou se #pissed,780871842844344321,1729007449,780871842844344321,Twitter for Android,#pissed,,,
pt,2016-09-22T04:31:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,😭😭😭😭😭 Paul #BB18 #pissed,778813861478576128,28232062,778813861478576128,Twitter for iPad,#pissed,,,
no,2016-09-22T03:18:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,@someuser @someuser brutal #Pissed,778795575470809088,56321815,778793789011787776,Twitter for Android,#pissed,,"[{'type': 'replied_to', 'id': '778793789011787776'}]",26020465
pt,2016-09-22T02:56:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Nooooo Paul 😭😭😭😭😭 #BB18 #Pissed,778790088729853952,444258364,778790088729853952,Twitter for iPhone,#pissed,,,
pt,2016-09-22T02:55:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,#Pissed  #NeverCared  #Friendship PAUL #BB18 #bblf,778789773557104641,373159336,778789773557104641,Twitter Web Client,#pissed,,,
lt,2016-09-22T02:23:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,@someuser ruba is #pissed,778781714936107008,898677348,778781477005819904,Twitter for iPhone,#pissed,,"[{'type': 'replied_to', 'id': '778781588171677696'}]",379318757
pt,2016-09-21T05:28:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,DEUS EX MACHINA #lofi #crew #crewlife #deus #ex #machina #canggu #say #sayings #pissed #famous... http://someurl,778465829444685824,103318922,778465829444685824,Instagram,#pissed,,,
pt,2016-09-13T02:02:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,KD is #pissed 😂😂 http://someurl,775514937611329536,303879690,775514937611329536,Twitter for iPhone,#pissed,{'place_id': '27de1a6e27075587'},"[{'type': 'quoted', 'id': '775501474218532864'}]",
pt,2016-09-10T19:22:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Bono is #pissed,774689619854041088,512790315,774689619854041088,Twitter for iPhone,#pissed,{'place_id': '77f923f5a841bbdf'},,
it,2016-09-10T02:33:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,@someuser Ditto. #Pissed #BB18,774435600850034688,40080125,774433447863472128,Fenix for Android,#pissed,,"[{'type': 'replied_to', 'id': '774433447863472128'}]",2825148968
pt,2016-08-20T03:27:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",everyone,team paul assemble #pissed #bb18,766838957141262336,1284875328,766838957141262336,Twitter for iPhone,#pissed,,,
pt,2016-08-19T01:55:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,#bb18 Paul #pissed,766453452742549504,2612703800,766453452742549504,Twitter for iPhone,#pissed,,,
pt,2016-08-12T02:31:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Paulie: #pissed.. 😅 #bb18,763925806724751360,534965983,763925806724751360,Twitter for iPhone,#pissed,,,
pt,2016-08-05T19:57:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Aguentando a fila do pão no pic... #pissed,761652372196167680,317867850,761652372196167680,Twitter for Android,#pissed,,,
pt,2016-07-27T23:45:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,tenho cá uma sorte....| #pissed,758448320541057024,1212037410,758448320541057024,Twitter Web Client,#pissed,,,
pt,2016-07-27T07:11:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Paul #pissed #BB18 http://someurl,758198194740142080,1330380528,758198194740142080,Twitter for Android,#pissed,,,
pt,2016-07-21T01:11:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#PISSED #NeverCared {{Paul}} #BB18 😍😍😍,755933140997185536,302319909,755933140997185536,Twitter for iPhone,#pissed,,,
pt,2016-07-07T18:06:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Ele q n pense q vai voltar a ser como antes nunca mais| #pissed,751115299584368640,1212037410,751115299584368640,Twitter for Android,#pissed,,,
pt,2016-07-07T00:29:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,N curto qd me mentem| #pissed,750849295457353728,1212037410,750849295457353728,Twitter for Android,#pissed,,,
pt,2016-07-06T20:15:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Então moto G3 não tem giroscópio... legal, acabou minha alegria com Pokemon GO!! #pissed 😒😒😒😒",750785151634960384,706217670245552128,750785151634960384,Twitter for Android,#pissed,,,
pt,2016-06-17T19:52:53.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",everyone,"Que raiva fodasse , pessoas que se estão a cagar literalmente para o exame , estudam 1 dia antes ou nem isso e têm ganda nota... #Pissed",743894201230823425,635730750,743894201230823425,Twitter for iPhone,#pissed,,,
tl,2016-06-08T23:28:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Umagang umaga😤 #Pissed,740687035292221440,3059844690,740687035292221440,Twitter for iPhone,#pissed,{'place_id': '003364821f48df45'},,
pt,2016-05-18T04:00:33.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,@someuser tive que escutar alguém dizer isso hoje. #pissed,732782906305875969,179682373,732760207571488768,Twitter for Android,#pissed,,"[{'type': 'replied_to', 'id': '732773126745010176'}]",1644132432
it,2016-04-28T16:30:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,via_gio #myworld #unfiltered #uncensored #happy #sad #pissed #hurt #jokes #insults #encourage #love #hate #giveup #... http://someurl,725723777078824960,4152019156,725723777078824960,IFTTT,#pissed,,,
cy,2016-04-20T21:58:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,@someuser #pissing #peeing #pee #piss #pissed #squirt #sex #xxx #porn http://someurl fein,722907399598649344,720201615899299840,722907399598649344,Twitter Web App,#pissed,,,
pt,2016-04-01T21:05:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,a maior frustação da minha vida é seguir a @someuser no snapchat pra ver o @someuser mas ela nunca mostra ele!!! #pissed,716008554893848576,16640727,716008554893848576,Twitter Web Client,#pissed,,,
pt,2016-03-26T00:50:11.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,"@someuser não acredito que te esqueceste, #pissed",713528438506831872,722966005,713525404288622593,Twitter Web Client,#pissed,,"[{'type': 'replied_to', 'id': '713527701664088065'}]",1225307168
en,2016-03-25T11:56:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Hagardo Versoza ang fezz 😌 #byahefeels #haggard #pissed-off... http://someurl,713333653707886592,1243074246,713333653707886592,Instagram,#pissed,,,
lt,2016-03-23T14:38:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Genauso-.- #warcraft #pissed http://someurl,712649751376830464,546648182,712649751376830464,World of Warcraft,#pissed,,,
pt,2016-03-15T01:45:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",everyone,Team jo jo #pissed,709556159393300482,776594748,709556159393300482,Twitter for iPhone,#pissed,,,
pt,2016-03-12T20:46:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Pontualidade definitivamente não é o forte do brasileiro. #Pissed http://someurl,708756180466843649,79210910,708756180466843649,Twitter for Android,#pissed,{'place_id': 'b4b48bcb1e6b53b7'},,
fr,2016-03-03T19:51:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,la fois ou quon a ete pris en echo #pissed #jlariepareille... http://someurl,705480701416710145,888590226,705480701416710145,Instagram,#pissed,,,
pt,2016-02-12T11:42:37.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",everyone,não sei se #farta se estou #pissed,698109951869394944,535297284,698109951869394944,Twitter for Windows Phone,#pissed,,,
pt,2016-02-02T10:39:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,muito fake essa notícia! | #Pissed http://someurl,694470078339928064,382510628,694470078339928064,Facebook,#pissed,,,
it,2016-01-25T03:16:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,@someuser @someuser Ditto! #Pissed,691459652958175232,131731484,691457808856907776,Twitter Web Client,#pissed,,"[{'type': 'replied_to', 'id': '691457808856907776'}]",364395311
pt,2016-01-07T21:34:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"@someuser Pilha já troquei, ou ele tem alguma coisa contra aquela pilha que tem o Neimar? #pissed",685212926920228864,42679707,685212926920228864,TweetDeck,#pissed,,,2608929074
en,2015-12-27T18:10:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",everyone,Sisters. #pissed 👭 http://someurl,681175451591655424,156233104,681175451591655424,Twitter for iPhone,#pissed,,,
it,2015-12-14T17:14:27.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Pessimo pessimo pessimo @someuser #pissed,676450189520019456,322366632,676450189520019456,Twitter Web Client,#pissed,,,
fr,2015-12-13T06:49:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,14sec pffff #pissed,675930547764490240,2819314146,675930547764490240,Twitter for iPhone,#pissed,,,
pt,2015-10-28T22:42:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Completamente sem ideias para o projeto de Design Gráfico. #pissed,659500604134449155,282749596,659500604134449155,Twitter for iPad,#pissed,,,
pt,2015-10-27T10:02:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,É que nasci no lugar errado mesmo. Não há maneira. Seems that this shithole will never produce enough educated people. #Pissed,658946982359269376,3906089780,658946982359269376,Twitter for BlackBerry®,#pissed,,,
ro,2015-10-14T23:04:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,@someuser color: #pissed,654432599117463552,2232041399,654283741678968832,Twitter for iPhone,#pissed,,"[{'type': 'replied_to', 'id': '654283741678968832'}]",170800581
tl,2015-10-12T21:35:38.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,HAHAHAHA gr8 #pissed,653685481268494336,100525854,653685481268494336,Twitter for iPhone,#pissed,,,
pt,2015-10-04T19:46:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Protestam, Reclamam das faltas de condições mas na altura de votar, votam no mesmo partido ! #pissed",650758957158543360,820025653,650758957158543360,Mobile Web (M2),#pissed,,,
pt,2015-10-03T21:33:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,já não estou sozinha #pissed,650423511853338624,1120204116,650423511853338624,TweetDeck,#pissed,,,
pt,2015-09-22T01:12:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Gostei de um vídeo do @someuser de @someuser http://someurl I Went To Chile #PISSED,646129939385729024,41657817,646129939385729024,Google,#pissed,,,
tl,2015-09-16T08:53:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",everyone,Miranda is #pissed http://someurl @someuser hahaha,644071628364713984,2424458382,644071628364713984,Twitter Web Client,#pissed,,,
ht,2015-09-15T14:29:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#Emma Del Rey #Pissed In Her #Mouth #Gives Bj http://someurl http://someurl,643793824557371392,2592457604,643793824557371392,mommyinmotion,#pissed,,,
pt,2015-09-14T20:25:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Aish!#pissed#,643520848096292864,3018350707,643520848096292864,Facebook,#pissed,,,
pt,2015-09-14T00:39:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Se tem 1 coisa q me irrita é gente q escreve RIP fulano de tal qdo morre alguém... O fdp às vezes nem sabe o q quer dizer! #tnc #pissed,643222526722744320,52410069,643222526722744320,Twitter for Android,#pissed,,,
tl,2015-08-28T15:30:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,@someuser hahahhaha im #pissed,637286175821164544,169644581,637285018251993088,Twitter for iPhone,#pissed,,"[{'type': 'replied_to', 'id': '637285018251993088'}]",297052089
tl,2015-08-28T12:37:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Ano ba!!!!!!! | #pissed #hateWaiting,637242569710112768,364680889,637242569710112768,Twitter for Android,#pissed,,,
pt,2015-08-25T03:06:47.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,"@someuser A Virginia tenta matar a veia, mas acho q não consegue!! Essa internet fdp da @someuser não me deixa ver..... #pissed",636011812140503044,24726246,636011552462741508,Twitter for Mac,#pissed,,"[{'type': 'replied_to', 'id': '636011552462741508'}]",33383581
pt,2015-08-22T10:44:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,11am #pissed #messy #friends #laughs #beer #vfessss #v festival http://someurl,635039815478677504,168730982,635039815478677504,Instagram,#pissed,,,
pt,2015-08-21T15:57:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,descobri que ontem podia ter comprado camisola do psg a metade do preço #pissed,634756127742423040,768704461,634756127742423040,Twitter for iPhone,#pissed,,,
pt,2015-08-13T02:56:51.000Z,"{'retweet_count': 19, 'reply_count': 8, 'like_count': 107, 'quote_count': 0}",everyone,Miranda is #pissed http://someurl,631660659328053249,85714856,631660659328053249,Vine - Make a Scene,#pissed,,,
it,2015-08-12T09:07:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#Repost via_gio| ・・・| #myworld #unfiltered #uncensored #happy #sad #pissed #hurt #jokes #insults... http://someurl,631391549411192832,184222785,631391549411192832,Instagram,#pissed,,,
pt,2015-07-24T15:32:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,@someuser @someuser Virgil #pissed,624602978888986624,14839662,624596943755345921,Twitter for Android,#pissed,,"[{'type': 'replied_to', 'id': '624596943755345921'}]",233200393
pt,2015-07-23T18:14:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Serviço de internet da mCel está cada vez menos satisfatório. 😒📵⛔ #pissed,624281567968526336,303172259,624281567968526336,Twitter for Android,#pissed,,,
pt,2015-07-19T07:00:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Que tal ser acordada quase às 4 da manhã pq o gato do apartamento de cima tá brincando com uma bolinha de gude ou algo do tipo? #pissed,622662356078870528,16048430,622662356078870528,Echofon,#pissed,,,
pt,2015-07-05T10:52:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Boar. #pissed,617647156703444992,546648182,617647156703444992,Twitter for iPhone,#pissed,,,
pt,2015-07-02T17:59:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,A merda do exame de espanhol que fizemos era um exame de iniciação ou seja o exame está anulado e temos de repetí-lo #pissed,616667423022948353,306775405,616667423022948353,Twitter for iPhone,#pissed,,,
pt,2015-06-28T17:07:30.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,Onde está o bolo krlh?! Foi me prometido bolo #pissed,615204889627619330,2210116247,615204889627619330,Twitter for iPhone,#pissed,,,
es,2015-06-20T01:41:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Trauma #pissed 💔,612072801281814528,3165431700,612072801281814528,Twitter for Android,#pissed,,,
pt,2015-06-13T18:38:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Não sei porquê (ou até sei), mas há uma gaja que não suporto. A maneira como ela fica a olhar para mim da-me vontade de a rebentar! #pissed",609792064298029056,446380785,609792064298029056,Twitter for iPhone,#pissed,,,
pt,2015-06-11T14:57:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,assassin mode 🔫 #tbt #when #I #was #pissed as #fuck #summer in #taipei #hot & #sunny #taiwan... http://someurl,609011684318015489,3068444315,609011684318015489,Instagram,#pissed,"{'coordinates': {'type': 'Point', 'coordinates': [121.633, 25.0333]}, 'place_id': '00180402799fed03'}",,
pt,2015-06-02T19:12:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,No senior cruise... #pissed| 😬 😤,605814381096497152,1868687311,605814381096497152,Twitter for Android,#pissed,,,
pt,2015-06-02T18:49:12.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 17, 'quote_count': 0}",everyone,Off to maga tomorrow oioi #sun #magaluf #pissed,605808401533145088,1344048404,605808401533145088,Twitter for iPhone,#pissed,,,
eu,2015-06-02T11:07:00.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",everyone,@someuser #zero/zero #pissed #lads http://someurl,605692083115073536,2594870176,605692083115073536,Twitter for iPhone,#pissed,{'place_id': '6d3561394ffa8f4a'},,151958578
pt,2015-05-26T20:22:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,crl zé.| #pissed,603295248786292738,3188229286,603295248786292738,Twitter Web Client,#pissed,,,
pt,2015-05-25T15:33:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Cadê o sinal??? @someuser #pissed,602859974285500416,24726246,602859974285500416,Twitter Web Client,#pissed,,,
es,2015-05-13T19:13:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#SSFootball penaldo #pissed,598566823454453760,615442968,598566823454453760,Write Longer,#pissed,,,
tl,2015-05-09T21:28:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,HOH heh HOH!!! 👌🏻 #drunk #pissed #rosé #cheekychickennuggetts #wine http://someurl,597151103218819072,60630372,597151103218819072,Instagram,#pissed,,,
pt,2015-05-03T05:00:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Que asco de pelea. 😞😡 #pissed #TeamPacman,594728220945035264,97018793,594728220945035264,Twitter for iPhone,#pissed,{'place_id': 'bfc0e5ed37b66a6c'},,
pt,2015-04-28T14:47:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Meu professor de biologia é uma BENÇÃO !! Ugh.  #pissed,593064008606994432,445931366,593064008606994432,Twitter for iPhone,#pissed,,,
pt,2015-04-20T08:54:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,http://someurl 5SOS... http://someurl #fans #free #fridays #girls #hip-hop #music #official #pissed #rap #released #video,590075970247340032,2945808455,590075970247340032,erased1693945,#pissed,,,
es,2015-04-19T00:22:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#Home #Pissed #suit #State #DressTheWorldLikeFrank @ Casa De Frank http://someurl,589584784021655552,40110936,589584784021655552,Instagram,#pissed,"{'coordinates': {'type': 'Point', 'coordinates': [-2.07088617, 51.90202833]}, 'place_id': '1bcb27fccfb2825f'}",,
pt,2015-04-09T19:13:59.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,@someuser I heard Jhonni Blaze sex tape sucked!!!!! #pissed > > esta antecipou-se e deixou a Lira para trás. Cc : @someuser,586245691422441472,377966012,586245691422441472,Twitter for Android,#pissed,,,
pt,2015-03-30T22:03:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Não aguento maisss essa porra toda de One Direction !!!!! Dá pra mudar a merda do assunto ou,  de preferência, calar a boca ? #Pissed #Tnc",582664446021111808,271199691,582664446021111808,Twitter for Android,#pissed,,,
pt,2015-03-19T01:31:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Level 9000 #pissed,578368277673582592,2499386743,578368277673582592,Twitter for iPhone,#pissed,,,
pt,2015-03-07T11:04:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#pissed Reflex Revenge&Quadruple Glory http://someurl,574163755459833856,507724213,574163755459833856,Mobile Web (M2),#pissed,,,
