lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,geo,referenced_tweets,in_reply_to_user_id
it,714833003503964160,714833003503964160,2016-03-29T15:14:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",236036428,Instagram,Mi sto divertendo pt 2.| | #doodling| #sketching #inking #brush | #bored and #annoyed http://someurl,everyone,#annoyed,,,
it,712059666679918593,712059666679918593,2016-03-21T23:33:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1093555994,Twitter for iPhone,Voglio parlare in italiano fluente e no poso :( #annoyed,everyone,#annoyed,{'place_id': '521b6f591c4b3ce8'},,
it,711905554705158144,711905554705158144,2016-03-21T13:21:25.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",413857530,Twitter for Android,Chia chia chia. Haha #annoyed  http://someurl,everyone,#annoyed,,,
es,706676041884966912,706676041884966912,2016-03-07T03:01:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2906496789,Instagram,NO MORE PANDAS 😩😭😭😭 #NOMORE #IMDONE #NOPANA #NOREMIXES #YALLKILLEDIT #ANNOYED #PLSSTOP http://someurl,everyone,#annoyed,,,
it,696558873700913152,696581117961465856,2016-02-08T06:27:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",24556086,Twitter for Android,@someuser ditto.. #annoyed,everyone,#annoyed,{'place_id': '4f060a213b552e5f'},"[{'type': 'replied_to', 'id': '696558873700913152'}]",1425130596
pt,691876430880358400,691876430880358400,2016-01-26T06:52:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",909669841,Twitter for iPhone,#Annoyed level 1000,everyone,#annoyed,,,
tl,683615193021177856,683616201533186048,2016-01-03T11:49:38.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",634964582,Twitter for iPhone,@someuser @someuser hehe #annoyed,everyone,#annoyed,,"[{'type': 'replied_to', 'id': '683616103386464256'}]",225972752
pt,668934145570156548,668934145570156548,2015-11-23T23:28:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4009656892,twtcmd,#∞¥┤∞è╣Ω╕░ #annoyed #churchflow #bully #hairdye 1048 #APPS #spain #News #Radio Radios Espana: http://someurl plz Retweet,everyone,#annoyed,,,
pt,662188745869950976,662188745869950976,2015-11-05T08:44:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",31425498,Twitter for iPhone,@someuser no pre sale VIP email #annoyed #whereisit?!?!?,everyone,#annoyed,,,20431187
pt,651069231891619840,651069231891619840,2015-10-05T16:19:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2455403479,Twitter for Android,"Só por que me acha bonita sorrindo não dá o direito de exigir que eu sorria. E mais, é exigido que faz eu me recusar. #annoyed",everyone,#annoyed,,,
tl,644756370181353472,644756370181353472,2015-09-18T06:14:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",352109853,Twitter for iPhone,Ha 😂😂😂😂 hahahaha 😭😭😭 HA ! | | 😒😒😒😒 #annoyed,everyone,#annoyed,,,
tl,640563987457961985,640563987457961985,2015-09-06T16:35:30.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",610473194,Twitter for iPhone,Pamela shows me zero love #annoyed,everyone,#annoyed,,,
et,639952932855635968,639952932855635968,2015-09-05T00:07:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2237490996,Twitter for Android,Putahamnida!| #Annoyed,everyone,#annoyed,"{'place_id': '00d2f6976fc2e1aa', 'coordinates': {'type': 'Point', 'coordinates': [121.1921482, 14.0352689]}}",,
pt,635857266340667392,635857266340667392,2015-08-24T16:52:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",39521294,Twitter for iPhone,Hoje eu To precisando deste curso! #bored #annoyed http://someurl,everyone,#annoyed,{'place_id': '4ebe32c7ad1032ae'},,
tl,634463016914780160,634463016914780160,2015-08-20T20:32:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2505862393,Twitter for iPhone,Haha k #annoyed,everyone,#annoyed,{'place_id': '350518f7c1ac93ff'},,
pt,634059658903322625,634059658903322625,2015-08-19T17:49:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",8347102,Twitter for iPhone,Fazendo hora. Literalmente. #annoyed,everyone,#annoyed,,,
tl,632228451248832512,632228451248832512,2015-08-14T16:33:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",364134918,Twitter for Android,Tara tulog. #Annoyed,everyone,#annoyed,,,
pt,624928850703720448,624928850703720448,2015-07-25T13:07:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",117108026,Instagram,Minha cara de felicidade pq me acordaram as 10 da madrugada desse sábado 😒 #chateado #annoyed... http://someurl,everyone,#annoyed,,,
pt,602141898233393154,602141898233393154,2015-05-23T15:59:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",18292155,Twitter for Android,se aikae.| | #annoyed,everyone,#annoyed,,,
tl,600639797535768576,600639797535768576,2015-05-19T12:31:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",559431049,Twitter for iPhone,so ganun?! 😡 #annoyed,everyone,#annoyed,,,
tl,597922330036178944,597922330036178944,2015-05-12T00:32:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",189398673,Twitter for Android,Ha.. hahaha.. #annoyed,everyone,#annoyed,,,
pt,595231544358371329,595231544358371329,2015-05-04T14:20:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3166271146,Twitter Web Client,Sabe Salvador? More like Sab Rodrigo....#annoyed,everyone,#annoyed,,,
pt,593626056881524736,593626056881524736,2015-04-30T04:00:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",36257440,Instagram,#empowered #cranky #annoyed| Miz. P. | @someuser #whole30 #ibelieve @ Parker Palace http://someurl,everyone,#annoyed,"{'place_id': 'a592bd6ceb1319f7', 'coordinates': {'type': 'Point', 'coordinates': [-117.17649841, 32.75999832]}}",,
pt,585342199816065024,585342199816065024,2015-04-07T07:23:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",758384342,Twitter for iPhone,#annoyed a todo dar,everyone,#annoyed,,,
es,582281971180670978,582281971180670978,2015-03-29T20:43:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",150708710,Twitter for Windows Phone,A este domingo le esta faltando algo... #Annoyed,everyone,#annoyed,,,
tl,580941234904047616,580941234904047616,2015-03-26T03:55:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",320168943,Twitter for Windows Phone,Ano ba?!?!?!?!?!? #annoyed,everyone,#annoyed,,,
ht,578883174668857345,578883174668857345,2015-03-20T11:37:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",31291327,Twitter Web Client,#TangoDown| @someuser 1k followers| @someuser 1k| @someuser 1k| @someuser 1k| @someuser 1k| #OpISIS  #Anonymous #CtrlSec #Annoyed,everyone,#annoyed,,,
pt,576735851209584640,576735851209584640,2015-03-14T13:25:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3091299945,Instagram,Dia de ir ao Vet :( #cat #scared #annoyed 😿😾 http://someurl,everyone,#annoyed,,,
pt,576674029278507008,576674029278507008,2015-03-14T09:19:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3031216428,Twitter for iPhone,Um no☝️😕 #annoyed,everyone,#annoyed,,,
pt,570446252200087552,575903135048286208,2015-03-12T06:16:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",615280658,Twitter Web Client,@someuser @someuser @someuser aiiii disturbing #annoyed,everyone,#annoyed,,"[{'type': 'replied_to', 'id': '570446252200087552'}]",64496569
pt,575687414951342081,575687414951342081,2015-03-11T15:59:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",299730553,Twitter Web Client,quem foi o gênio que incluiu a matéria de sociologia no curso de engenharia civil mesmo? #annoyed,everyone,#annoyed,,,
pt,575133166333222912,575133166333222912,2015-03-10T03:16:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",125519668,Twitter for iPhone,Super sensitive 😳 #annoyed,everyone,#annoyed,,,
pt,573194369517416448,573194369517416448,2015-03-04T18:52:41.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2552568823,Twitter Web Client,"Por que tem leitores que insistem em comparar livros e séries? Ninguém pode usar mais os mesmos temas em outros livros, é isso? #annoyed",everyone,#annoyed,,,
pt,571078113339281408,571078113339281408,2015-02-26T22:43:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",74304599,Instagram,Tem uma garota que não para de me chamar 😂😓🐶 #Dog #Annoyed http://someurl,everyone,#annoyed,,,
pt,566348745164349440,566348745164349440,2015-02-13T21:30:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1468505670,Twitter for Android,netaaaaa #annoyed,everyone,#annoyed,,,
pt,565524440025288704,565524440025288704,2015-02-11T14:55:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",186496434,Twitter for Android,@someuser #judging @someuser @someuser @someuser http://someurl kkkk... #annoyed huhu,everyone,#annoyed,,,
fr,564132614668554240,564132614668554240,2015-02-07T18:44:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",28937601,Instagram,Parlez-vous français? #selfie #bored #annoyed #saturday http://someurl,everyone,#annoyed,,,
pt,562327011172294656,562327011172294656,2015-02-02T19:09:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",55671333,Twitter for iPhone,Alarme de incêndio tocando sem motivo: trabalhe com uma barulho desses... #annoyed http://someurl,everyone,#annoyed,,,
es,560522352635965440,560522352635965440,2015-01-28T19:38:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",99259841,Twitter for Android,Reposo total! #annoyed,everyone,#annoyed,,,
es,559769313788579840,559769313788579840,2015-01-26T17:46:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2638504169,Twitter for iPhone,Bye falecia #annoyed,everyone,#annoyed,,,
pt,559076145900310529,559076145900310529,2015-01-24T19:51:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2326792936,UberSocial for BlackBerry,Bloody mosquitos nxaa #Annoyed,everyone,#annoyed,,,
pt,558152573912616962,558152573912616962,2015-01-22T06:41:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",35033965,Twitter for iPhone,no blue gatorade.... 😠 #annoyed,everyone,#annoyed,,,
pt,557697069901946880,557697069901946880,2015-01-21T00:31:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",85372749,Twitter Web Client,De saco cheio da vida sempre passar as pernas em mim!! Porque não passar a mão?? Aff #tmnc #annoyed,everyone,#annoyed,{'place_id': 'f207b85be9f1513e'},,
pt,553605764720623616,553618998072705024,2015-01-09T18:27:09.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",63140119,Twitter for iPhone,@someuser simplesmente inaceitavel a atual situação do Brasil #annoyed,everyone,#annoyed,,"[{'type': 'replied_to', 'id': '553610884313268224'}]",49202809
pt,545605174858117120,545605174858117120,2014-12-18T15:43:05.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",10164502,Twitter for iPhone,"gente, e esse sistema pra cartão da @someuser q pifa dia sim, dia não? Mais uma estrela não computada #annoyed",everyone,#annoyed,,,
fr,544473821600681984,544473821600681984,2014-12-15T12:47:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",868006735,Twitter for Android,Wtf lhaaaaa.... #annoyed hbis,everyone,#annoyed,,,
es,543546387364052993,543546387364052993,2014-12-12T23:22:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",173103789,Instagram,Bye Felicia 😔| | #100poems #SincerelySemhar #Poetry #Annoyed http://someurl,everyone,#annoyed,,,
tl,542629125715152896,542629125715152896,2014-12-10T10:37:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2326807988,Mobile Web (M2),Hahaha :-D #annoyed,everyone,#annoyed,,,
pt,542491593211535361,542491593211535361,2014-12-10T01:30:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",240364147,Twitter Web Client,Facebook como te odio #annoyed,everyone,#annoyed,,,
pt,541605874465513472,541605874465513472,2014-12-07T14:51:17.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",56839169,Twitter for Android,As vezes as coisas nao saem como planejamos... #bored #annoyed #whyBC#,everyone,#annoyed,,,
it,541405897239846913,541405897239846913,2014-12-07T01:36:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",456979907,Twitter for Android,Haha hahahhaha #nope! #annoyed hahahshhahah,everyone,#annoyed,,,
es,541339645205053440,541339645205053440,2014-12-06T21:13:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",279071370,Twitter for iPhone,Liar. #annoyed,everyone,#annoyed,,,
pt,539009390225805312,539009390225805312,2014-11-30T10:53:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",341361387,Twitter for Android,TEMPER! TEMPER! #Annoyed😡😡,everyone,#annoyed,,,
pt,537295850930982912,537295850930982912,2014-11-25T17:24:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",616996979,Instagram,Hoje então isto está munta bom! #NOS| #internet #sad #nothappy #instasad #sadness  #annoyed #optimus... http://someurl,everyone,#annoyed,,,
tl,535019282178916355,535019282178916355,2014-11-19T10:38:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",68942444,Mobile Web (M2),ANO BA? #annoyed #TweetNiMheya,everyone,#annoyed,,,
es,534561202354282497,534561202354282497,2014-11-18T04:18:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",834276716,Twitter for Android,Bye felica. #annoyed. #fuckyou,everyone,#annoyed,,,
pt,534117856334839808,534117856334839808,2014-11-16T22:56:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",828000200,Twitter for Android,Maldito Wifi De Aqui ! #Annoyed!,everyone,#annoyed,,,
pt,528305535909494784,532860210642046978,2014-11-13T11:39:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1203039547,Twitter for Android,@someuser OA bye!!! #annoyed,everyone,#annoyed,,"[{'type': 'replied_to', 'id': '532857139157409792'}]",51689859
pt,532284720793808896,532284720793808896,2014-11-11T21:32:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",88549976,Twitter Web Client,Status: Detestando esses posts que pedem para deixar um amém. #annoyed #Facebook,everyone,#annoyed,,,
pt,530589352024604672,530589352024604672,2014-11-07T05:15:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2243427782,Twitter for iPhone,ummm ew. bye Felicia✌️ #annoyed,everyone,#annoyed,,,
pt,530534205412102144,530534205412102144,2014-11-07T01:36:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",331052908,Twitter for iPhone,Este pessoal adora discutir #annoyed,everyone,#annoyed,,,
en,527760365531447296,527760365531447296,2014-10-30T09:54:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1158410653,Twitter Web App,Daddy Terminator!? Oh FFS! #annoyed,everyone,#annoyed,,,
en,527504726577774593,527504726577774593,2014-10-29T16:58:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",37597886,Twitter Web Client,color me #annoyed,everyone,#annoyed,,,
pt,526687530989944832,526687530989944832,2014-10-27T10:51:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",8698892,Everypost,Pqp cadê minha bolha de isolamento? #annoyed,everyone,#annoyed,,,
pt,526498488981676032,526498488981676032,2014-10-26T22:19:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",30023430,Twitter for iPhone,Illuminati in action: o voto eletrônico é fixed!!! #meufacebooknaovaiterpaz #saco #annoyed,everyone,#annoyed,,,
it,525017656005767168,525017656005767168,2014-10-22T20:15:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",718041131,Twitter for iPhone,http://someurl| Se mi riduco a questo potete comprendere quanto questa sera sia noiosa per me. #askfm #annoyed #tired,everyone,#annoyed,,,
in,524922467937443840,524922467937443840,2014-10-22T13:57:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",150228002,Twitter for iPhone,DPMO! #annoyed,everyone,#annoyed,,,
pt,518308314250485761,518308314250485761,2014-10-04T07:55:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",213946066,Twitter for BlackBerry®,A ona ke marikana fela!#Annoyed for aeons!,everyone,#annoyed,,,
tl,516096981219807232,516096981219807232,2014-09-28T05:28:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",292685185,Twitter for iPhone,Puro porma lang haha #annoyed #yabangniyo,everyone,#annoyed,,,
en,513913380826935296,513913380826935296,2014-09-22T04:51:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1967234035,Twitter for Windows Phone,Dick head professor 😒😒 #annoyed,everyone,#annoyed,,,
pt,511713407637409792,511728082403618816,2014-09-16T04:07:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2734214366,Twitter for iPhone,@someuser @someuser #BBAD BOOOO#BB16 #annoyed,everyone,#annoyed,,"[{'type': 'replied_to', 'id': '511713407637409792'}]",606612516
es,511228314649108481,511228314649108481,2014-09-14T19:01:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",187261484,Twitter for iPhone,BYE FELICIA #annoyed,everyone,#annoyed,,,
pt,510139682064457728,510139682064457728,2014-09-11T18:55:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1684354494,Twitter for iPhone,"Não por força nem por violência, mas sim pelo meu Espírito, diz o Senhor dos Exércitos. (Zacarias 4:6) ! #eleicoes2014 #annoyed",everyone,#annoyed,,,
pt,509761984624361473,509761984624361473,2014-09-10T17:55:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",82707432,Twitter Web Client,"Não sei se sou eu, ou se realmente o twitter tá chato demais ¬¬ #Annoyed",everyone,#annoyed,,,
