source,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,in_reply_to_user_id,referenced_tweets,geo
Twitter for Android,@someuser sir kal se aarakshan start ho rha hain #scared,everyone,hi,739125715841355776,739126170784927744,4518336013,2016-06-04T16:06:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,295833852,"[{'type': 'replied_to', 'id': '739125715841355776'}]",
Twitter Web Client,@someuser हो ना ! 😲😵 #Scared,everyone,hi,725233924209795073,725234417942323200,21176633,2016-04-27T08:05:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,30405602,"[{'type': 'replied_to', 'id': '725233924209795073'}]",
Twitter for Android,#Allah Ruth Gaye!!| #Allah Ko ManaO| #scared,everyone,hi,724742834281021441,724742834281021441,3010525315,2016-04-25T23:32:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Instagram,DARO MERI AAWAZ SE #BE #SCARED #VOICE #VOCALS http://someurl,everyone,hi,709464538014359552,709464538014359552,541711347,2016-03-14T19:41:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
hindi.news24online.com,मोबाइल पर बात करने वालों के लिए बुरी खबर! #mobileuser #scared #Badnews http://someurl http://someurl,everyone,hi,709284222167453696,709284222167453696,34206701,2016-03-14T07:45:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,Just saw #RajThackeray give speech on @someuser ... Ab auto dhundhoo ki usme Marathi maanoos dhundhoo ??!!! #dilemma #helpme :) #scared,everyone,hi,707644598529568768,707644598529568768,801951018,2016-03-09T19:09:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,@someuser #scared boee,everyone,hi,704528104438554624,704530599437082624,265108477,2016-03-01T04:55:59.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,250368166,"[{'type': 'replied_to', 'id': '704528104438554624'}]",
Facebook,Ankita #alien 󾌪󾌴󾌴󾌴󾰬| Manmeet #evil󾌴󾌴| Ayushi #cool 󾌰| Nidhi #classy󾰬| Parth #angry 󾌳󾌳| Rajat #scared󾍁󾰬󾌳󾰬 http://someurl,everyone,hi,694544949912702976,694544949912702976,3060848985,2016-02-02T15:36:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,Aaj hamare ghar mai subah se paranormal activities horahi hen 😱😪 #Scared,everyone,hi,692557972002750465,692557972002750465,342056400,2016-01-28T04:01:02.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",#scared,,,
Twitter for Android,Aaj Nehra ko Behra na kar de maar maar ke..| #Scared| #IndvsAus,everyone,hi,691932966373695491,691932966373695491,104194792,2016-01-26T10:37:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,@someuser #Scared yaar </3,everyone,hi,691190116862197760,691192025023016960,4824478463,2016-01-24T09:33:15.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,3236137752,"[{'type': 'replied_to', 'id': '691191853819953152'}]",
Instagram,"The #scared word & the #spiritual icon @ Visvesvaraya Hostel, Iit Bhu - Varanasi http://someurl",everyone,hi,687620422993612800,687620422993612800,182784099,2016-01-14T13:00:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,"{'place_id': '7519d5ef0b317d8f', 'coordinates': {'type': 'Point', 'coordinates': [82.98366634, 25.26210351]}}"
Twitter for Android,@someuser कल मैंने FB पेज पे एक पत्थर मारते बाबा की पिक डाल के काबाका जिक्र किया तो एक FIR करने चला गया... #Scared :-(,everyone,hi,684379148874203136,685700042162749440,963883015,2016-01-09T05:50:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,2604671916,"[{'type': 'replied_to', 'id': '685698297256755200'}]",
Twitter for Android,@someuser कभी भी किसी कुत्ते को गीता के श्लोक बोलते नहीं देखा पर Ex IRS की भऊ भऊ 🐕🐕🐕 छाप भाषा को देश जान गया है #लालूकेजूभाईभाई #Scared,everyone,hi,676755010877718528,676755010877718528,3282206263,2015-12-15T13:25:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,711694309,,
Twitter for Android,@someuser ऐसे भी RT लेते हैं लोग :O #scared,everyone,hi,668328352277659648,672069219844927488,963883015,2015-12-02T15:06:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,1731162325,"[{'type': 'replied_to', 'id': '672068584302972929'}]",
Twitter for Android,Aj kal sabhi din bary manhoos hain.. aye din mujhe death news milti rehti hain :(| #Scared,everyone,hi,669943083459584004,669943083459584004,3281856830,2015-11-26T18:17:32.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for iPhone,And they say Darrr ke aage jeet hai... #Worried #Scared,everyone,hi,663336731790348288,663336731790348288,1054048435,2015-11-08T12:46:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for iPhone,#А330 2 Dubai| #makeitrealbaby #boarding #afraid #drunk #happy #scared #feelinrheheat #seetoumore,everyone,hi,662142188353150976,662142188353150976,616008526,2015-11-05T05:39:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,"Jab meray jaise loug b padne lagtey hai,, yahi hota hai....| Target Chapter still incomplete| #Scared #Kitchen #Allah",everyone,hi,658646902158684160,658646902158684160,2534268096,2015-10-26T14:10:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
Twitter for Android,"ज़िंदगी में जितनी बड़ी मुश्किलें होगी,उतना ही बड़ा उन पर काबू पाने पर आपका नाम होगा......| #My #new #book #scared  #tough #wish #me #luck",everyone,hi,658308742669205505,658308742669205505,371544233,2015-10-25T15:46:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
DragPlus,DIY pomegranate alarm prank #scared http://someurl,everyone,hi,654730743684317184,654730743684317184,2298062076,2015-10-15T18:49:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,@someuser अब आपने और ठोक दी तो? #SanjivBhatt #scared,everyone,hi,654622081485672448,654673970801717248,47595479,2015-10-15T15:03:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,111944435,"[{'type': 'replied_to', 'id': '654622081485672448'}]",
Mobile Web (M2),@someuser Mere is reply se mujhpar case darj to nahi ho jaega na bhaiyya ji ..#scared,everyone,hi,651363751925407744,651800949363609601,137237373,2015-10-07T16:47:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,137237373,"[{'type': 'replied_to', 'id': '651800457115860993'}]",
Twitter for Android,"Nantsi Into Hamb phez  kwe roof ye room yam #Scared  , Hayin 😭😭😱😤  #Fire 🔥🔥🔥💣 .| | 😂",everyone,hi,648622978767421440,648622978767421440,3345365235,2015-09-28T22:19:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#scared,,,
Twitter for Windows Phone,सोमनाथ भारती क्राइम किया तो उसके कुत्ते को उठा ले गए। डर है कि आशुतोष कोई क्राइम ना कर दे। 😒😒#Scared,everyone,hi,647858258305114112,647858258305114112,182058939,2015-09-26T19:40:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Fenix for Android,सोमनाथ भारती क्राइम किया तो उसके कुत्ते को उठा ले गए। डर है कि आशुतोष कोई क्राइम ना कर दे। 😒😒| #Scared,everyone,hi,647843878507118593,647843878507118593,325967359,2015-09-26T18:43:11.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
Instagram,With Lao Shui . :)| | #Tense #whyPGandN1 #theyDidntdance #tiringday #Nervous #Scared #Outcome @someuser http://someurl,everyone,hi,646263518560452608,646263518560452608,291545804,2015-09-22T10:03:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '5f1f473ed6455f55', 'coordinates': {'type': 'Point', 'coordinates': [103.907, 1.41444]}}"
Twitter for Windows Phone,Diwali aane wale hai bahut jaldi...Log phatake phodenge.Meri soch ke phat jati hai!#scared #panicattacks,everyone,hi,642679386840264704,642679386840264704,3336240433,2015-09-12T12:41:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,Ya rahman ya raheem.  I hope makapass kog PSTHE.  #scared,everyone,hi,639851334972280832,639851334972280832,460926137,2015-09-04T17:23:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,@someuser photo ki quality dekhiye.. mujhe apne Govt. Id se match hoti dikh rahi hai... #Scared now... :-/,everyone,hi,635049478530011137,635050136637456384,141467972,2015-08-22T11:25:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,47595335,"[{'type': 'replied_to', 'id': '635049478530011137'}]",{'place_id': '317fcc4b21a604d5'}
Twitter for Android,Ab Jinn aur Parion ko bhi HBD kaha Jaye ga #Scared #HappyBirthDayPari,everyone,hi,629379600900993024,629379600900993024,553674954,2015-08-06T19:52:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Instagram,#rollerskating #quantumoftheseas #scared @ Port Of Shanghai. China http://someurl,everyone,hi,620917057903828992,620917057903828992,47181398,2015-07-14T11:25:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '4797714c95971ac1', 'coordinates': {'type': 'Point', 'coordinates': [121.505348, 31.41158044]}}"
Instagram,#sad #selfie #missing #love #lonely #broken #hopeful #scared😕😢😱 @ mohammadabad http://someurl,everyone,hi,619524679104077825,619524679104077825,1333028029,2015-07-10T15:12:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '5cc2d2572ae4d7de', 'coordinates': {'type': 'Point', 'coordinates': [79.4361335, 27.3078738]}}"
Instagram,#selfie #fever #cold #scared #love #lonely #broken #missing #waiting...😕😤😱 @ mohammadabad http://someurl,everyone,hi,618968431879172097,618968431879172097,1333028029,2015-07-09T02:22:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '5cc2d2572ae4d7de', 'coordinates': {'type': 'Point', 'coordinates': [79.4361335, 27.3078738]}}"
Mobile Web (M2),badal itii zoor zoor say garaaj rae *-* #Scared,everyone,hi,618157086501945344,618157086501945344,3024914142,2015-07-06T20:38:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
Twitter for Android,Koi please beton (son) ka bhi socho!! Kahi aisa na ho ke pasa ulta pad jaye! #scared,everyone,hi,615215183707811840,615215183707811840,182914957,2015-06-28T17:48:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Instagram,#mouse #pet #white #scared @ Khajiyaar...dalhousie http://someurl,everyone,hi,612819226907287553,612819226907287553,285738370,2015-06-22T03:07:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '6126727c53ef01b1', 'coordinates': {'type': 'Point', 'coordinates': [76.05749833, 32.54554667]}}"
Twitter for Android,Aj kitchen me iftari bnate hue moat ko bht qareeb se dekha :( #feeling #scared :(,everyone,hi,612636415965310977,612636415965310977,3017075733,2015-06-21T15:01:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '003faa615af988db', 'coordinates': {'type': 'Point', 'coordinates': [71.5676995, 34.0005162]}}"
Twitter for Android,@someuser ab Iran humare saath kya karega soch.... #scared,everyone,hi,610728376853135360,610729609504501760,469133044,2015-06-16T08:44:20.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,370224559,"[{'type': 'replied_to', 'id': '610729370794110976'}]",
Instagram,"#walk #yeah #lolz #scared #l4l #f4f @ Grand Abe Hotel, Jayapura http://someurl",everyone,hi,608897436887695360,608897436887695360,292218432,2015-06-11T07:23:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '473acb78adf57217', 'coordinates': {'type': 'Point', 'coordinates': [140.66602683, -2.61066405]}}"
TweetDeck,"@someuser khi khi...ghodi nahin chadhe to kya hua, shaadiyan bahut dekhi hain humne ;)| | waise band to humara bhi bajega ek din :/ #scared",everyone,hi,607575021603717120,607579540521508865,549027419,2015-06-07T16:07:05.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,19326574,"[{'type': 'replied_to', 'id': '607579258341474305'}]",
Twitter for Android,S-Tumhe kuch ho jaata to...mai itni der se awaaz laga rahi thi | #scared #SaddaHaq,everyone,hi,603570561982210051,603570561982210051,2343371106,2015-05-27T14:36:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",#scared,,,{'place_id': '317fcc4b21a604d5'}
Facebook,Dekh Bhai.... #results #scared #BackBencherss #trolled http://someurl,everyone,hi,602723542942244864,602723542942244864,232470202,2015-05-25T06:31:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,@someuser @someuser ede tidhh ch pta ni ki kuch huna #scared,everyone,hi,601223821039955969,601225707377729537,949201670,2015-05-21T03:19:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,298555755,"[{'type': 'replied_to', 'id': '601224555445751808'}]",
Twitter for Android,@someuser kuch to gadbad che 😳 #Scared @someuser @someuser @someuser,everyone,hi,601056880773857281,601078529481015296,1853581304,2015-05-20T17:34:23.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#scared,2590006953,"[{'type': 'replied_to', 'id': '601077801584701440'}]",
Facebook,Khatam bus aaj ye dehashat hogi...| #scared| #result| #icse — feeling daar,everyone,hi,600148021670748161,600148021670748161,2307920329,2015-05-18T03:56:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for iPhone,@someuser abhi tho nahi aaya dekho aage kya hota hai everyone is outside the house #scared,everyone,hi,599509389314170880,599511575381180416,95017329,2015-05-16T09:47:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,2316844363,"[{'type': 'replied_to', 'id': '599511292928393216'}]",
Instagram,#office #boring #alone #scared #earthquake #kathmandu @ Naag Pokhari http://someurl,everyone,hi,599125953244241920,599125953244241920,181498177,2015-05-15T08:15:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,"{'place_id': 'f1d3a53f8a3cc7e9', 'coordinates': {'type': 'Point', 'coordinates': [85.32411419, 27.71350048]}}"
Twitter for Android,1 hr nahudae 2-2 choti jhatka #scared,everyone,hi,594388323977728000,594388323977728000,739918200,2015-05-02T06:29:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for iPhone,Dil mein ek ajeeb sa dar hai! #LateNight #scared,everyone,hi,593914268719939584,593914268719939584,1692226117,2015-04-30T23:06:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
LinkedIn,"भारत में पत्नी से रेप नहीं हो सकता, अपराध मानना सही नहीं: केंद्र सरकार| #news #wife #rape #concept #socity #scared http://someurl",everyone,hi,593587676759994368,593587676759994368,2308544557,2015-04-30T01:28:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,Ye kya ho raha hai...wapus aaya #earthquake #scared,everyone,hi,591857797488193536,591857797488193536,165320729,2015-04-25T06:54:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,,,
Twitter for Android,Dubara aa raha hain yarrr.........ab bas karoo.....#scared #earthquake,everyone,hi,591857485629169665,591857485629169665,141892882,2015-04-25T06:53:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Hootsuite,#scared #earthquake kasam se itta dar laga mere car hilnay lage thie,everyone,hi,591850325306376192,591850325306376192,40198143,2015-04-25T06:24:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '74effb34539b2d64', 'coordinates': {'type': 'Point', 'coordinates': [80.94429874, 26.81982709]}}"
Twitter for Android,Ammmooohhhh its YUVI PAJI time... #scared #orangeArmy #SRHvsDD,everyone,hi,589389138991808514,589389138991808514,2621422776,2015-04-18T11:24:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Windows Phone,@someuser Aapa yei get up utaar diya Tu sahe wala Halloween 👻 strat hojai ga 😉#scared 😓,everyone,hi,586288712188825601,586289581915537408,2888454341,2015-04-09T22:08:23.000Z,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 0, 'quote_count': 0}",#scared,2568167336,"[{'type': 'replied_to', 'id': '586288712188825601'}]",
Twitter for Android,@someuser 😡 Oops !! Kya hua ?? #Scared,everyone,hi,584773436519555072,584773436519555072,2290118138,2015-04-05T17:43:46.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,,,
Twitter for Android,#NowWatching Case 39 .. Eeeeek #scared ha ha,everyone,hi,584485666165231616,584485666165231616,3029180440,2015-04-04T22:40:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#scared,,,
Twitter for Android,@someuser kasam se! Jald goal na maara to dokha ho sakta hai #skeptical #scared #arsenalfan,everyone,hi,584322839790006272,584323905361313792,198070782,2015-04-04T11:57:29.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",#scared,170009403,"[{'type': 'replied_to', 'id': '584323238861213696'}]",
Twitter for Android,ajeeb log| ajeeb study| ajeeb zamana| | #scared,everyone,hi,583944407805603840,583944407805603840,297268353,2015-04-03T10:49:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,Aba ta sachhai darr lagna thalyo  #Scared #Afraid_To_Lose_Him,everyone,hi,580411029357645824,580411029357645824,328307102,2015-03-24T16:49:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter Web Client,@someuser Mujhy Jane do  #aahat #sonyTv #scared #ghost  http://someurl,everyone,hi,579555168611512320,579555168611512320,1229757198,2015-03-22T08:08:14.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",#scared,1457736258,,
Twitter for iPhone,Mujhy Jane do 🙉🙈🙊😓😓😢😢😢 #aahat #sonyTv #scared #ghost 😣😣 http://someurl,everyone,hi,579516539293986816,579516539293986816,1457736258,2015-03-22T05:34:44.000Z,"{'retweet_count': 9, 'reply_count': 5, 'like_count': 20, 'quote_count': 0}",#scared,,,
Mobile Web (M2),Lower & चद्दर के बिच मे Physical सबंध बन रहे हे और फल स्वरुप Spark पैदा हो रहे हे ।| |  BC रात को आग न लग जाए #Scared,everyone,hi,575310217979764736,575310217979764736,487921063,2015-03-10T15:00:19.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Facebook,Mjhy rat mi bhyank khwab aya.. Bhyank logo ka :/ #scared,everyone,hi,574834782846205952,574834782846205952,2400351091,2015-03-09T07:31:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Twitter for Android,"Tejas keeps saying miss pooja naal gaana, hor khwaish hai ni | #scared",everyone,hi,573742750354440193,573742750354440193,2379084553,2015-03-06T07:11:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#scared,,,
Facebook,Jaise Jaise para chadta ja raha hai...| Ghar me CHIPKALIO ka dikhna badta ja raha hai. ...!| | #ihateit| #scared — feeling scared,everyone,hi,568791598236094464,568791598236094464,278402201,2015-02-20T15:17:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,
Instagram,🚑😕#hospital #clinic #sick #scared #helpme #sos #sharm #egypt @ Sharm el-Sheikh http://someurl,everyone,hi,564792353043783681,564792353043783681,559690915,2015-02-09T14:26:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#scared,,,"{'place_id': '0059d5d735b78b94', 'coordinates': {'type': 'Point', 'coordinates': [34.2881, 27.8636]}}"
