public_metrics,source,created_at,id,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,geo,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Echofon,2016-12-30T21:52:43.000Z,814952383428042752,814938726531002368,@someuser a friend lost her dad in hospital and her mum died about 4 hours later in the chair at home. #heartbroken,76971322,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814938726531002368'}]",,717951949430239232
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:51:35.000Z,814952095749054465,814952095749054465,"#heartbroken @someuser I think I wore them out, and Ive probably only done 1000 miles in them! Better order some more! http://someurl",315971638,en,everyone,#heartbroken,,{'place_id': '7448efd8dc7d7542'},
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:34:31.000Z,814947803218714625,814947803218714625,Aunt sammi come home with Marie? -my two year old niece. #heartbroken,467673142,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:30:08.000Z,814946697642213376,814946697642213376,Just found a hole in my fav leggings... #heartbroken,2950621266,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:23:00.000Z,814944903843160065,814944903843160065,"Cause its not right, Im magnetised| To somebody that dont feel it.. 💔#heartbroken @someuser",186438214,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:15:24.000Z,814942989021835264,814942989021835264,Hair + burrito = potential breakup 💔 @someuser #heartbroken,755769122,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T21:01:53.000Z,814939587911045120,814666685571538945,@someuser @someuser you hes got a girlfriend right? #heartbroken,272840125,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814936758571896832'}]",,1028376378
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone,2016-12-30T20:53:26.000Z,814937463760310272,814937463760310272,My boy and Canadian artist @someuser alongside Garry Sandhu! #Heartbroken #JovansPunjabiSongOfTheDay http://someurl,47201670,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T20:28:36.000Z,814931211759984646,814931211759984646,FOUR BAGS WORTH😍😍😍😍 BUT youre ridding of Cashmere Glow???  #heartbroken loll @someuser http://someurl,415239970,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T20:15:39.000Z,814927954018975745,814550722519805952,@someuser I really loved Carrie. #Heartbroken,869531054,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814550722519805952'}]",,30340295
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",Twitter for iPhone,2016-12-30T20:01:43.000Z,814924446305845248,814924446305845248,Christian broke up with me last night. #heartbroken 💔 @someuser,469784500,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web Client,2016-12-30T19:39:50.000Z,814918940275200000,814881573770301440,@someuser In Miami and you didnt call ...#heartbroken LOL,26978184,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814881573770301440'}]",,82939583
"{'retweet_count': 0, 'reply_count': 2, 'like_count': 3, 'quote_count': 0}",TweetDeck,2016-12-30T19:20:57.000Z,814914187981885440,814914187981885440,That moment when your project gets pulled out from under you.   And all hopes of it and its impact die.... #heartbroken,1397732437,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-30T19:10:40.000Z,814911601924927489,814911601924927489,"Im in the doldrums, handed in a project 👏, about to start a spec ❤️, and lost a good friend on boxing day 💔 #screenwriting #heartbroken",197637704,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T19:09:28.000Z,814911297720565763,814911297720565763,ARE YOU KIDDING ME @someuser?????!!!!!! #vikingsseason4 #heartbroken #devastated #nothingwilleverbethesame,26581786,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,2016-12-30T19:08:09.000Z,814910968274845696,814157046539026432,"@someuser Getting strength from you and MP. Dec 20, wife of 40!yrs diagnosed with stage 4 lung cancer from nowhere #heartbroken #fight",22354448,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814157046539026432'}]",{'place_id': '37a7a3220f8e2174'},69838948
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T18:54:06.000Z,814907432581398528,814907432581398528,@someuser why have you taken the 9pm George Michael special off !!#ripgeorgemichael #heartbroken,18994464,en,everyone,#heartbroken,,,3826680281
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web Client,2016-12-30T18:52:11.000Z,814906947270889472,814906426606948352,@someuser Does anyone care?  You guys already let us down this year... Just lay down and let the Raiders get what they need... #heartbroken,314751301,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814906602709024768'}]",,18734310
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Newsoneplace To Twitter,2016-12-30T18:29:39.000Z,814901277469642758,814901277469642758,(Mirror):#Heartbroken mum searching for answers after angel daughter found dead two.. http://someurl http://someurl,3534222021,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T18:25:20.000Z,814900190683373568,814900190683373568,np stay by miley cyrus 🎧🎶 #fav #heartbroken #acahje,716875874016997376,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T17:52:48.000Z,814892005646094344,814892005646094344,Wasted my time! #heartbroken,74863522,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web Client,2016-12-30T17:52:45.000Z,814891990609522688,814891990609522688,ANIMAL Abusing Caveman FUR Hags (http://someurl #DebbieReynolds #debbieandcarrie #CarrieFisher #heartbroken #furries #furfest #UGG http://someurl,2252072918,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T17:48:58.000Z,814891040893087744,814891040893087744,"It really doesnt matter. Fuck you, 2016. | #2016 #fuckyou #fence #heartbroken #nevermissyou... http://someurl",2443296614,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad,2016-12-30T17:46:12.000Z,814890344135487488,814886991418556420,@someuser @someuser Both about Just Making Your Art and Living YOUR Life without censor or censure meaning shit. #Heartbroken,15517108,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814886991418556420'}]",{'place_id': '01fac15539ff6509'},15517108
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Linkis: turn sharing into growth,2016-12-30T17:45:12.000Z,814890092074516480,814890092074516480,Im almost dead 🔪💊 | #depressed #sad #lonely #alone #broken #heart #heartbroken #feeling #written... http://someurl,2731402064,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-30T17:38:59.000Z,814888526311460868,814864784189456388,@someuser & yet you never answered or returned the call #heartbroken 😢 http://someurl,146981081,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814864784189456388'}]",,503568949
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Linkis: turn sharing into growth,2016-12-30T17:35:55.000Z,814887756124004352,814887756124004352,Im almost dead 🔪💊 Help! 😔| #depressed #sad #lonely #alone #broken #heart #heartbroken #feeling... http://someurl,2731402064,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Linkis: turn sharing into growth,2016-12-30T17:35:08.000Z,814887559469944833,814887559469944833,Im almost dead 🔪💊| #depressed #sad #lonely #alone #broken #heart #heartbroken #feeling #written... http://someurl,2731402064,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T16:46:02.000Z,814875200424591360,814875200424591360,Why couldnt you just be honest ? Why did you have to do me like that !? Of all people !! Me !?! | #disappointed #heartbroken #done,34217118,en,everyone,#heartbroken,,,
"{'retweet_count': 5, 'reply_count': 0, 'like_count': 12, 'quote_count': 1}",Twitter for iPhone,2016-12-30T16:09:22.000Z,814865976063881218,814865976063881218,Catch me tomorrow nite New a years eve @someuser Bham... See u all there performing all the hits #Heartbroken #yaaraDildara and more http://someurl,34680131,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Facebook,2016-12-30T15:52:25.000Z,814861707919167488,814861707919167488,wonderful #heart #HeartNews #heartbroken http://someurl http://someurl,423251067,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '814841141128531968'}]",,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T15:52:18.000Z,814861681167740928,814861681167740928,wonderful #heart #HeartNews #heartbroken http://someurl,101483264,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '814841141128531968'}]",,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T15:33:56.000Z,814857057132281858,814857057132281858,When your tummy isnt feeling well and your cat refuses to cuddle with you 😔 #Betrayed #Heartbroken #YouThinkYouKnowSomebody,129347352,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T15:30:00.000Z,814856067788181504,814856067788181504,So Im on a diet and my mum has took it to the extreme and even took the chicken skin off my chicken 😭😭#Unbelievable #heartbroken,3174376253,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T15:28:38.000Z,814855723662405633,814855723662405633,Said goodbye to this little one on Wednesday after nearly 20 years #heartbroken http://someurl,177700931,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T15:21:01.000Z,814853805976260609,814853805976260609,I was so upset Christmas day not unwrapping a lynx Africa set for the first time in years #heartbroken,839613312,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T14:59:56.000Z,814848500366065665,814848500366065665,#heartbroken story/#poem that you will never ever want to happened with your #family http://someurl,105767927,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '814838491838291968'}]",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-30T14:32:33.000Z,814841610898968576,814841610898968576,Why Vegan - Less Animal Products= http://someurl ...| #HAPPYNEWYEAR #brokenheart #heartbroken #healthylifestyle #DietaryGuidelines,2252072918,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T14:10:41.000Z,814836108664016897,814836108664016897,2016 enough! Enough now. | #heartbroken #GeorgeMichael #CarrieFisher #DebbieReynolds #RIP | too much 😭😭😭💔💔,2417135688,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T13:46:22.000Z,814829987773710337,814829987773710337,#heartbroken. What am I going to look at when I make a cup of tea now? Ill have to strike up conversations! 🙈😅 http://someurl,241720104,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '814823901289127936'}]",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T13:15:08.000Z,814822125777420288,814822125777420288,http://someurl| A compassionate guide to help you manage painful loss.#Grief #heartbroken #kindness #compassion #mentalhealth http://someurl,2562400460,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T12:50:50.000Z,814816012914880512,814816012914880512,#FlashbackFriday to when my boys were babies! Mally I miss you so much #heartbroken #CatsOfTwitter #catsofinstagram http://someurl,762941212739395584,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T12:07:29.000Z,814805101843881985,814805101843881985,@someuser Dale is a smart man! Never bet with your heart I loss 2 grand on 2003 Superbowl betting on my Raiders! #heartbroken Hahahaha,4836181541,en,everyone,#heartbroken,,,482343301
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T11:09:06.000Z,814790410761478144,814790410761478144,Poor little pigeon!!! 😔😢 #nature #walking #notsobeautiful #heartbroken #animallover #pigeon #rip... http://someurl,81689767,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T10:20:52.000Z,814778271787339776,814778271787339776,I believe one can really die of a broken heart. #heartbroken,21062835,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Echofon,2016-12-30T08:12:54.000Z,814746068168704000,814746068168704000,@someuser cant see him recovering from this.. #heartbroken #moneyracket http://someurl,20200576,en,everyone,#heartbroken,,,581940393
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T07:51:30.000Z,814740680757178368,813887620237447168,@someuser Loved both her & her mom. When Disney bought LucusFilms Carrie said she was now a Disney Princess. #heartbroken,2825314962,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '813887620237447168'}]",,3325980382
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T06:29:30.000Z,814720046740230144,814720046740230144,When your friend of 20 years gets engaged doesnt include you in her bridal party. #heartbroken 💔,17271822,en,everyone,#heartbroken,,,
"{'retweet_count': 4, 'reply_count': 1, 'like_count': 12, 'quote_count': 1}",Twitter for Android,2016-12-30T06:04:54.000Z,814713856219979776,814713856219979776,#heartbroken well miss you #CarrieFisher http://someurl,4852513038,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T06:03:21.000Z,814713467336855552,814713467336855552,Oh #Pakistan what are you doing? #Heartbroken #AUSvPAK @someuser,2885222298,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T05:58:54.000Z,814712347801616384,814712347801616384,"Quick little doodle I did today, still broken... 😢 #CarrieFisher #kennybaker #rip #StarWars #heartbroken http://someurl",1731621114,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T05:46:57.000Z,814709340322103296,814709340322103296,I imagine an army of angels gathering...  So many dying. #Grief #leftbehind #heartbroken #neverfeltmorealone #myworldsblurry #wishdogstalked,30165785,en,everyone,#heartbroken,,{'place_id': '3df4f427b5a60fea'},
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Instagram,2016-12-30T05:44:59.000Z,814708843234136065,814708843234136065,"...and she asked, whats holding you back?| | #writersofinstagram #writer #heartbroken... http://someurl",2224555963,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T05:36:54.000Z,814706811324551168,814706811324551168,My dad as a young man with his brother #heartbroken #missingmydad #2016sucked Patrick Potter should have died #evil http://someurl,18889701,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T05:31:35.000Z,814705471630217217,814705471630217217,Everyone is playing Princess Leia (more than usual) on Star Wars Battlefront. Shes a badass. #CarrieFisher #heartbroken,27800678,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web Client,2016-12-30T05:19:39.000Z,814702466436468736,814686521437671425,.@someuser Been listening to @someuser since 92 when I saw them @ #HORDE fest. Was @ #MSG 97/98/09 Life/work kept me in LA #HeartBroken,16343134,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814686521437671425'}]",,265515807
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T04:23:04.000Z,814688227009425410,814688227009425410,"Tonight I realized that Ive been in denial since puberty - I CANNOT GROW FACIAL HAIR, NOR SHOULD I. #heartbroken",522788836,en,everyone,#heartbroken,,,
"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T04:19:29.000Z,814687327737892867,814685799295746050,@someuser @someuser @someuser i thought youre by my side uhukssss #heartbroken,748677851889541120,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814686883770867712'}]",,804645929831649280
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T04:11:34.000Z,814685334760001536,814685334760001536,HUNNY NO WHY DO YOU LEAVE IN THE FIRST PLACE YOURE PREGNANT WITH MY BABY!!! #lillie #mylove #heartbroken http://someurl,695024088335654912,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",Twitter Web App,2016-12-30T03:57:47.000Z,814681866477436928,814681866477436928,Miss you so much 💔🐶😥😔 #bestfriend #cantsleep #heartbroken #needyouback http://someurl,51593751,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T03:38:12.000Z,814676935389364224,814676935389364224,At least theyre together now. #CarrieFisher #DebbieReynolds #RIP #heartbroken #ripDebbie #RIPCarrie,89135015,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetCaster for Android,2016-12-30T03:28:07.000Z,814674399752163329,814674399752163329,Now I know this is Rena final season... #heartbroken but congratulations!!!,302379038,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T03:13:25.000Z,814670701579948036,814670701579948036,Dont wait yall live every day to the fullest #heartbroken #supersad #RIPROSE,517704936,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T02:43:29.000Z,814663167364202496,814379320151928832,"@someuser oh man! Why you no like mooli paratha? And if you no like rajma, there will be no place for you in heaven. #heartbroken",18937546,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814379320151928832'}]",,441742191
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T02:39:33.000Z,814662178649370624,814662178649370624,"😢 May we meet again, Ragnar Lothbrok. #endofanera #vikings #heartbroken http://someurl",4870946423,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '814545987914104832'}]",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T02:35:14.000Z,814661093205413892,814661093205413892,Check out this item in my Etsy shop http://someurl #OnceUponATime #BeautyandtheBeast #Outlander #ClaireFraser #heartbroken,335802267,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T02:34:39.000Z,814660943733018624,814660943733018624,Im still in shock and gutted that we lost @someuser | | #heartbroken,72045291,en,everyone,#heartbroken,,{'place_id': 'dc482d90e88b4cc7'},
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:57:04.000Z,814651486911295488,814651486911295488,Just ate my way through a tub of ice cream after finding out that Serena is getting married. #heartbroken 💔 http://someurl,300466198,en,everyone,#heartbroken,,{'place_id': '42b23fa9d1cdfb5b'},
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:49:47.000Z,814649654432460804,814649654432460804,Wow 495 views! Thanks yall. Lets get it over 500 #chocolate #cheesecake #heartbroken http://someurl,731848512166498305,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:48:35.000Z,814649351201034241,814649351201034241,So sad. 😢😢😤😤😢😢 #heartbroken #travisfimmel http://someurl,1129800571,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '814647213397868544'}]",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:45:51.000Z,814648662542454785,814648662542454785,.@someuser HOW COULD YOU KILL #Ragnar?! WHY?! I cant watch the show anymore. I cant watch without Ragnar. #Heartbroken #Vikings,735353191,en,everyone,#heartbroken,,{'place_id': '011add077f4d2da3'},
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:35:07.000Z,814645960571781121,814645960571781121,Every time I let somebody in or trust me they show me why I should of never did #heartbroken,1037713320,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:26:59.000Z,814643916674842625,814456626296061952,@someuser I havent forgiven 2016 for Alan Rickman yet :( #heartbroken,21507097,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814456626296061952'}]",,24586907
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T01:23:55.000Z,814643145589788672,814642491395809280,@someuser time. #BillieLourd #LetHerMourn #HeartBroken #CarrieFisher #DebbieReynolds #RIPBeautifulSouls ❤💔,114562360,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814642604180733952'}]",,114562360
"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for Android,2016-12-30T01:22:16.000Z,814642728944291842,814642728944291842,this all feels like a bad dream that i cant wake up from....💔💔💔💔😢😢😢 #heartbroken #grieving #inmourning #missmybabybrother http://someurl,602319074,en,everyone,#heartbroken,,,
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T01:00:25.000Z,814637228961972224,814637228961972224,When you wake up today to how u feel gonna sleep that nite #heartbroken,719821365239554050,en,everyone,#heartbroken,,,
"{'retweet_count': 1, 'reply_count': 1, 'like_count': 7, 'quote_count': 1}",Vine - Make a Scene,2016-12-30T00:55:02.000Z,814635874327687168,814635874327687168,We destruct our hearts from ever missing them.. 💔 #RIPAlanRickman #IMissYou #Heartbroken #ILoveYou #Alwa... http://someurl,270117261,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T00:52:03.000Z,814635123442405376,814635123442405376,when you realize that you left your christmas cookies at home #heartbroken http://someurl,30943297,en,everyone,#heartbroken,,{'place_id': '6ffcf3b0b904bbcb'},
