source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,geo,referenced_tweets,in_reply_to_user_id
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",190296982,A proposta do #inktober de hoje era #worried e como eu poderia aplicar isso em muita coisa no... http://someurl,786432110059978752,786432110059978752,pt,everyone,2016-10-13T05:03:20.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2183457068,"#worried #inktober2016 #inktober Quando tiver um tempo sai uma coisa legal, eu acho. Por enquanto vou me acostumando a desenhar todo dia. http://someurl",786369700028710912,786369700028710912,pt,everyone,2016-10-13T00:55:21.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3237356183,#dia12 #day12 #inktober #inktober2016 | Décimo segundo desenho para o Inktober. | #worried... http://someurl,786334039951089664,786334039951089664,pt,everyone,2016-10-12T22:33:39.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",41694416,Todo mundo postando artes maravilindas e eu não sei o que desenhar hoje... #worried O que será... http://someurl,786300020681273347,786300020681273347,pt,everyone,2016-10-12T20:18:28.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",706902212635660288,Dia 12 #inktober2016| Mais 1 desenho do @someuser no #Inktober da Escape. Tentamos roubar no sorteio pra ele ficar fora mas não rolou. #Worried http://someurl,786245201627078656,786245201627078656,pt,everyone,2016-10-12T16:40:38.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",85786118,"Trabalho da faculdade, é mole???? #roughday #worried #nofilter #deboismo @ Quinta da Boa Vista http://someurl",786189337905987584,786189337905987584,pt,everyone,2016-10-12T12:58:39.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2654192765,@someuser ¿¡que sucede!? 😦 #worried #PanicAttack http://someurl,782079952795631616,782052979050418176,pt,everyone,2016-10-01T04:49:25.000Z,#worried,,"[{'type': 'replied_to', 'id': '782052979050418176'}]",319443575
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2372067402,si delima #worried hahaha,778867290494242816,778867290494242816,it,everyone,2016-09-22T08:03:27.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",168879554,Os meus pais saíram do hotel à 3 horas.. Ainda não disseram nada. Já liguei 23 vezes na última hora e meia | #worried,772408766214053888,772408766214053888,pt,everyone,2016-09-04T12:19:35.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",738788074319142912,"@someuser hahahahahah para de me divulgar, vai q a musa lê vei! #worried. Te amo",768255687050821632,768255511393406976,pt,everyone,2016-08-24T01:16:43.000Z,#worried,,"[{'type': 'replied_to', 'id': '768255511393406976'}]",2203928410
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",422978755,A ritmo de #Worried,767919660608217088,767919660608217088,es,everyone,2016-08-23T03:01:29.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",236807135,@someuser #worried tara dota,764978387622297601,764976188276088832,pt,everyone,2016-08-15T00:13:54.000Z,#worried,,"[{'type': 'replied_to', 'id': '764976188276088832'}]",33447499
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",66574480,"😢😥 quando eu acho que ele vai pra frente, ele pára de novo #worried",763728853453959168,763728853453959168,pt,everyone,2016-08-11T13:28:42.000Z,#worried,{'place_id': '1a25ff74971944c8'},,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",178303503,*starts new OQ fic* | | #worried #butIcandoit #Ihopeso,762730236433825792,762730236433825792,pt,everyone,2016-08-08T19:20:33.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757124762153857025,JESUS <3 <3 <3| #Worried,757909474191388672,757909474191388672,en,everyone,2016-07-26T12:04:34.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",177442600,A sonreir! #selfie #worried #selfie #countdown #ineedamiracle #focus #beard #bear #me... http://someurl,755966690731622401,755966690731622401,es,everyone,2016-07-21T03:24:38.000Z,#worried,,,
Trendspostr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",723206326168391681,A #top #US #bank #regulator #is #worried #about #a #real-est... http://someurl #realestateloans http://someurl,754118573698711552,754118573698711552,es,everyone,2016-07-16T01:00:53.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}",741527406427537410,choro- #Worried http://someurl,750576981117378560,750576981117378560,es,everyone,2016-07-06T06:27:52.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",17588349,@someuser @someuser ditto. #worried,746429040211398656,746393382667300864,it,everyone,2016-06-24T19:45:25.000Z,#worried,,"[{'type': 'replied_to', 'id': '746420802384502784'}]",432867443
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1523777678,oi meu piercing ta com bolinba em cima estou #worried,745658658541940741,745658658541940741,pt,everyone,2016-06-22T16:44:12.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",33678088,"explica, explica... mas na real GRÊMIO levar 3 da chape é 5% de evolução da chape e 95% de involução do GRÊMIO. #worried",743481080993452032,743481080993452032,pt,everyone,2016-06-16T16:31:17.000Z,#worried,,,
Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1666282604,#Worried #little #sister á Retrograde Wear á @someuser http://someurl #Roll #Megaman #RT #Share #Buy #Retro,741027489959546880,741027489959546880,pt,everyone,2016-06-09T22:01:35.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",569539524,Ñam ñam ñam ñam ñam ñam ñam ñam ñam ñam ñam ñam ñam ñam ñam... ñem| #confused #tired #worried #overthinking,729860896311234560,729860896311234560,pt,everyone,2016-05-10T02:29:32.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",17410192,@someuser nota 6: condicionadíssimos pela expulsão nota 7: Geraldes não. joga contra os castores #tweetpastel #worried,723635729922928641,723630926631190528,pt,everyone,2016-04-22T22:12:57.000Z,#worried,,"[{'type': 'replied_to', 'id': '723633205492985856'}]",19722435
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",178017456,@someuser ditto. #worried,721030161831886848,721004369131347968,it,everyone,2016-04-15T17:39:21.000Z,#worried,{'place_id': '6a6d896ba1cb5dc4'},"[{'type': 'replied_to', 'id': '721004369131347968'}]",600198190
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",40055878,@someuser curtiu um post no @someuser e não deu nem replay em nenhum tweet. #worried #badthingsarecoming,715732485196365825,715732485196365825,pt,everyone,2016-04-01T02:48:16.000Z,#worried,,,205298047
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",85587340,Até eu que não penso só nisso fico dessa forma #Worried,715723477613809664,715723477613809664,pt,everyone,2016-04-01T02:12:29.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",375357777,@someuser IM SO #WORRIED PAULINE,714827665929334788,714644728961044481,pt,everyone,2016-03-29T14:52:51.000Z,#worried,,"[{'type': 'replied_to', 'id': '714824680998199296'}]",11320692
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",40742783,Hmmm no Otamendi #worried #derbydaynerves #MCFC,711567715463467010,711567715463467010,et,everyone,2016-03-20T14:58:58.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",275679672,#worried Ramiz #WT20 #IndvsPak,711208793607163905,711208793607163905,tr,everyone,2016-03-19T15:12:44.000Z,#worried,{'place_id': '00cc0d5640394308'},,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",104640506,"@someuser o homem-aranha é mt foda cara, so oq ta me deixando intrigado é o fato dele parecer virtual no trailer do avengers #worried",709068171140063233,709037359132778499,pt,everyone,2016-03-13T17:26:40.000Z,#worried,,"[{'type': 'replied_to', 'id': '709064027809423360'}]",56524705
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",225152574,#Working #ReallyLongHair #cute #Missing #Worried #Blondy @ Atento... http://someurl,708834215689846785,708834215689846785,pt,everyone,2016-03-13T01:57:01.000Z,#worried,"{'place_id': '006446967d46b032', 'coordinates': {'type': 'Point', 'coordinates': [-77.08531472, -12.04445374]}}",,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",986532236,@someuser isto tudo é um meltdown?| #worried,707557732728086528,707557732728086528,pt,everyone,2016-03-09T13:24:43.000Z,#worried,,,879813313
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",162107139,Temo outro tempo de nuvens cinzas... Que O Pai tenha pena de nós... #worried http://someurl,705419771383320576,705419771383320576,pt,everyone,2016-03-03T15:49:14.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",198008297,@someuser Migo kd tu?! #worried,702548573091729409,702548573091729409,pt,everyone,2016-02-24T17:40:07.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",207499880,"Brasileiro postando #worried sobre problema local, interno, americano.",690229566871248896,690229566871248896,pt,everyone,2016-01-21T17:48:47.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",74550347,"Pai, dá paz pro meu coração! Cuida da Pri durante essa viagem! #worried",688187563966730240,688187563966730240,pt,everyone,2016-01-16T02:34:35.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2490181956,@someuser oh não o que aconteceu ao teu iPhones 6S rose gold da Apple?!?!? #WORRIED #dontleaveustelemoveldaana,680204070267793408,679696600390832128,pt,everyone,2015-12-25T01:51:02.000Z,#worried,,"[{'type': 'replied_to', 'id': '679696600390832128'}]",1292001180
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",39316552,"aojonas, tá tudo bem?| #worried #avidadejonas| Do castanheiraalexandre :D http://someurl",677309286888906753,677309286888906753,pt,everyone,2015-12-17T02:08:12.000Z,#worried,,,
Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",268971260,Tô moída... #tired #worried,675513314278047744,675513314278047744,pt,everyone,2015-12-12T03:11:39.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1115733824,sera que tao alimentando meu filhote direito eu to #worried,672629319089434625,672629229352275968,pt,everyone,2015-12-04T04:11:41.000Z,#worried,,"[{'type': 'replied_to', 'id': '672629229352275968'}]",1115733824
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4345599399,"Tentando entender, como não foi junto a calçada? O que se passa na cabeça dessa pessoa?.. Além de lipídios. #worried http://someurl",671881973816795138,671881973816795138,pt,everyone,2015-12-02T02:42:00.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",52116753,Suave #nightnight #worried http://someurl,670074965098655744,670074965098655744,pt,everyone,2015-11-27T03:01:35.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2426374555,Quando vc se chateou cmg foi a hr q mais precisei de vc cmg .. #Fragile #alone #sad #worried,666062263133069312,666062263133069312,pt,everyone,2015-11-16T01:16:33.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",60383330,"Castiel nem pra e chamar pra fazer maratona na Netflix, magoei Cas :/ :P| Não gostei nada dessa visão do Sam #worried| #SPN #SPNFamiIly",666000899660230656,666000899660230656,pt,everyone,2015-11-15T21:12:42.000Z,#worried,{'place_id': '1b107df3ccc0aaa1'},,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",379653324,@someuser e o gatinho do oliver #worried,664563515869499392,664562033849933824,pt,everyone,2015-11-11T22:01:03.000Z,#worried,,"[{'type': 'replied_to', 'id': '664563290266279936'}]",965193368
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2968346121,Miley# Cyruss #fans #worried #over #her #skinny #frame http://someurl,662987945008308224,662987945008308224,in,everyone,2015-11-07T13:40:18.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3198277398,sorry na po.. | #stressed #worried,659630159377526785,659630159377526785,tl,everyone,2015-10-29T07:17:39.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",351655664,"Essa é a hora em que eu começo a me preocupar, certo? Tava bom o sossego da terça-feira :/ #problemstechnologycantsolve #worried #badday",656630383371493376,656630383371493376,pt,everyone,2015-10-21T00:37:37.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",297122280,Aquela sensação de que vai acontecer alguma coisa... #fear #worried,649227715694993408,649227715694993408,pt,everyone,2015-09-30T14:22:04.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2833229802,@someuser Oh la ... Ça va pas ? #Worried http://someurl,648556548315328513,648552098410442752,fr,everyone,2015-09-28T17:55:05.000Z,#worried,,"[{'type': 'replied_to', 'id': '648552098410442752'}]",2484739553
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1348136515,Sin poder dormir 😐 #sleep #night #worried,647675828650663936,647675828650663936,de,everyone,2015-09-26T07:35:25.000Z,#worried,,,
Twitter for Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",371914967,".@someuser @someuser Jo, el que em preocupa mes, es saber si encara tindrem sortides i postes de Sol quan siguem independents... #worried",643484998524379136,643094307730255872,ca,everyone,2015-09-14T18:02:33.000Z,#worried,,"[{'type': 'replied_to', 'id': '643094307730255872'}]",184186065
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",26907306,Mas depois de Para Sempre Alice estou revendo esse negócio de viver fulltime p/ universidade...parece que não dá muito certo 😕 #worried,642037048132673536,642037048132673536,pt,everyone,2015-09-10T18:08:55.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",255171551,"Exausta e com muito sono, porém pensamentos keep me awake. #worried",636756287901040640,636756287901040640,pt,everyone,2015-08-27T04:25:04.000Z,#worried,,,
Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2811632930,#Flight #Attendant Gripes - #Worried #Unhappy #MarriageCounseling #SelfEsteem  #BeverlyHills #LagunaBeach #Psychologist...,635121799093727233,635121799093727233,pt,everyone,2015-08-22T16:10:11.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",63863647,Recebi dois áudios no WhatsApp com mais de 2 minutos cada Oo #worried,634017035320692736,634017035320692736,pt,everyone,2015-08-19T15:00:15.000Z,#worried,,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1300238617,Hehehe!| #worried http://someurl,632204699857494016,632204699857494016,tl,everyone,2015-08-14T14:58:40.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",63538359,Que dia! E ainda n acabou #worried,631286864486510592,631286864486510592,pt,everyone,2015-08-12T02:11:31.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",54360929,"Ai meu Deus, preciso fazer as contas #worried 😂😂😂😂 http://someurl",630591761363169281,630591761363169281,pt,everyone,2015-08-10T04:09:26.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",33383241,"@someuser kkkkkkkkkkkkkkk ai, será? #worried",626360852237668352,626358610151518208,pt,everyone,2015-07-29T11:57:19.000Z,#worried,,"[{'type': 'replied_to', 'id': '626359958506983425'}]",28193595
Twitter for BlackBerry,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",51878166,Últimos ajustes na série de abdominal para o exame de troca de faixa! 😧😧 #worried #sábado,624351502971326469,624351502971326469,pt,everyone,2015-07-23T22:52:52.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2784189362,Preocupado #Worried http://someurl,622821637537271808,622821637537271808,es,everyone,2015-07-19T17:33:44.000Z,#worried,,,
Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",53404044,...aquele momento em que vc pensa se seu braço será o mesmo novamente! #worried #shoulderinrecovery,621673181875728384,621673181875728384,pt,everyone,2015-07-16T13:30:11.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",41216690,Todays #Portuguese word >#preocupado adj> English: #worried. Use in a sentence: Estamos muito PREOCUPADOS com ele.,619430298036494336,619430298036494336,pt,everyone,2015-07-10T08:57:46.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",179289447,"Se a minha mãe se passa quando não lhe atendo o telemóvel, imaginem o que penso quando são estes dias e ela não me atende a mim. #Worried",618879218005381121,618879218005381121,pt,everyone,2015-07-08T20:27:58.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",133443600,800ft vertical ?????? Mas o homem e doido ????? 😱 #Worried,613418987326701568,613418987326701568,pt,everyone,2015-06-23T18:50:58.000Z,#worried,{'place_id': 'c1430b24da8e9229'},,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",169698791,"Então, por enquanto como ficou o profile? #worried",608565603763400704,608565603763400704,pt,everyone,2015-06-10T09:25:21.000Z,#worried,,,
iOS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",250345762,photo de lemondefr http://someurl  😔😪 #sad #worried #hope4peace #stopDaesh,604346036128190464,604346036128190464,fr,everyone,2015-05-29T17:58:17.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",943422660,@someuser Bebeste água e ficaste assim? Sentes-te bem? Está tudo ok? #worried,601757207462584320,601756339371651072,pt,everyone,2015-05-22T14:31:13.000Z,#worried,,"[{'type': 'replied_to', 'id': '601756339371651072'}]",542923119
Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2706140752,@someuser Maco!  #worried:-:-),600940588192636928,600922996635729920,es,everyone,2015-05-20T08:26:15.000Z,#worried,,"[{'type': 'replied_to', 'id': '600940134754816000'}]",191765987
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",238721362,Imagina durante Rio Olimpíadas 2016. #Rio2016 #Worried http://someurl,600229850952138752,600229850952138752,pt,everyone,2015-05-18T09:22:02.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",279195086,Que no tenga nada mi pulguita 😔 #worried,597142783758049280,597142783758049280,es,everyone,2015-05-09T20:55:08.000Z,#worried,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1266936229,Alguém explica pro Malcom que não adianta cruzar se não tem NINGUÉM pra finalizar! #worried #LibertadoresFOXSports,596108513832771584,596108513832771584,pt,everyone,2015-05-07T00:25:19.000Z,#worried,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2510106264,@someuser ???????? COSA???? O.O #worried,593861157158559744,593841094653288448,pt,everyone,2015-04-30T19:35:07.000Z,#worried,,"[{'type': 'replied_to', 'id': '593841094653288448'}]",127064486
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",340161710,"@someuser bro teu Cell ta off, tentei ligar-te #worried",593476314943873024,593474170014572545,pt,everyone,2015-04-29T18:05:54.000Z,#worried,,"[{'type': 'replied_to', 'id': '593474455357231104'}]",208042726
Tumblr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1161396847,Álbum de fotos: #worried Oliver #for his wifey #Felicity http://someurl,588834684299255808,588834684299255808,pt,everyone,2015-04-16T22:41:43.000Z,#worried,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",181052107,OM. O_O #worried,588751879980515330,588751879980515330,pt,everyone,2015-04-16T17:12:41.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1348050156,#Worried #4 #us @ Instituto Evangélico Luis Siegel http://someurl,585804185016213505,585804185016213505,pt,everyone,2015-04-08T13:59:36.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",83695102,😐| #worried @ Jabaquara http://someurl,585454990275121152,585454990275121152,in,everyone,2015-04-07T14:52:01.000Z,#worried,"{'place_id': '68e019afec7d0ba5', 'coordinates': {'type': 'Point', 'coordinates': [-46.640112, -23.647134]}}",,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2162120719,Cara de tareas a último momento. #homework #sleep #worried http://someurl,585313327519178752,585313327519178752,es,everyone,2015-04-07T05:29:06.000Z,#worried,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",556140956,Guarda costa behind me! The great Gulera alsacionhavenes ...#Worried??? | Então #TsokaDaki ! http://someurl,585087249496309760,585087249496309760,pt,everyone,2015-04-06T14:30:45.000Z,#worried,,,
