lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,geo,in_reply_to_user_id,referenced_tweets
tl,814847385440428032,814847385440428032,2016-12-30T14:55:30.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyung oppa💞💗| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814847125636816898,814847125636816898,2016-12-30T14:54:28.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyung oppa💘💙| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814846839463628800,814846839463628800,2016-12-30T14:53:20.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💕 Birthday Taehyung oppa💞💙| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814846576577236992,814846576577236992,2016-12-30T14:52:17.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyung oppa💞💟| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814846255478153216,814846255478153216,2016-12-30T14:51:01.000Z,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyung oppa💞💙| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814846134803775488,814846134803775488,2016-12-30T14:50:32.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💟Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814846028490776581,814846028490776581,2016-12-30T14:50:06.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💞Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814845941442232321,814845941442232321,2016-12-30T14:49:46.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💝Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814845797388779520,814845797388779520,2016-12-30T14:49:11.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💘Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814845554853191682,814845554853191682,2016-12-30T14:48:14.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💖Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814844862000283650,814844862000283650,2016-12-30T14:45:28.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💕Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814843655592624128,814843655592624128,2016-12-30T14:40:41.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💜Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814842897350725632,814842897350725632,2016-12-30T14:37:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4219200080,Instagram,Ang cute nyo Juls 😘😍❤👭 @someuser| | #JuliaMontes #Happy #Love #HautesCousins #CocoJul (🎥Christine) http://someurl,everyone,#happy,,,
tl,814842643595214851,814842643595214851,2016-12-30T14:36:39.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",758255885730713600,Twitter for Android,💙Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814841027479498753,814841027479498753,2016-12-30T14:30:14.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",758255885730713600,Twitter for Android,❤Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814839585670709249,814839585670709249,2016-12-30T14:24:30.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa❤| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814839461724884992,814839461724884992,2016-12-30T14:24:01.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814839240865386498,814839240865386498,2016-12-30T14:23:08.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💛| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814839072317259777,814839072317259777,2016-12-30T14:22:28.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💚| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814838034248056832,814838034248056832,2016-12-30T14:18:20.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💙| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814837859098054657,814837859098054657,2016-12-30T14:17:39.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💗| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814837702503694336,814837702503694336,2016-12-30T14:17:01.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💘| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814837091699859456,814837091699859456,2016-12-30T14:14:36.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",758255885730713600,Twitter for Android,💗Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814836954789384193,814836954789384193,2016-12-30T14:14:03.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💟| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814836523275169793,814836523275169793,2016-12-30T14:12:20.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💝| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814835854069956608,814835854069956608,2016-12-30T14:09:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",122917258,Instagram,Kuya Js famous halo-halo! soO Good! 😋😋😋#halohalo #kuyaJ #yummy #foodporn #sweettooth #happy... http://someurl,everyone,#happy,"{'place_id': '011a05612b6a331c', 'coordinates': {'type': 'Point', 'coordinates': [121.08333333, 14.575]}}",,
tl,814835490801094658,814835490801094658,2016-12-30T14:08:14.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💞| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814834690217476096,814834690217476096,2016-12-30T14:05:03.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💖| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814833842934583296,814833842934583296,2016-12-30T14:01:41.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💓| #Happy V day| #Happy Taehyung day | @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814832235002163200,814832235002163200,2016-12-30T13:55:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",122917258,Instagram,Kuya Js famous halo-halo! Hmmm... sO good! 😋😋😋 #halohalo #kuyaJ #merry #happy #friday #sweettooth http://someurl,everyone,#happy,,,
tl,814831628866334720,814831628866334720,2016-12-30T13:52:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",790896556224372736,Twitter for Android,pahababl sa 2016.| | #Get- together| #happy| #complete http://someurl,everyone,#happy,,,
tl,814823026743214080,814823026743214080,2016-12-30T13:18:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",81316412,Instagram,Maroon 6 😆😝 #lol| •| •| #boomerang #family #together #happy #maroon #outfit #hutapeafamily... http://someurl,everyone,#happy,,,
tl,814820162524299265,814820162524299265,2016-12-30T13:07:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",155829359,Facebook,Aftr Worship!!!| Huling Pagsamba ngyn taon 2016| Himala!! Ngksma sma dn s Pgtupad...| | #happy| #blessed — feeling... http://someurl,everyone,#happy,,,
tl,814819007777959937,814819007777959937,2016-12-30T13:02:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",773995889421680641,Twitter for Android,Mi bias  Te amo bebe  #HappyBirthdayTaehyung #| #HappyVIrthday  taehyung day#| #happy v day# http://someurl,everyone,#happy,,,
tl,814816916866859008,814816916866859008,2016-12-30T12:54:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3527691501,Twitter for iPhone,Thank you po sa pasalubong #happy #blessed #happynewyear http://someurl,everyone,#happy,,,
tl,814805368849068032,814805368849068032,2016-12-30T12:08:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3894089418,Twitter for iPhone,Sarap tumulong sa kapwa #Happy,everyone,#happy,,,
tl,814795992965021696,814795992965021696,2016-12-30T11:31:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",592934902,Instagram,Magkuya bonding ☺️| #giftfromabove #thankful #happy #igphilippines #igers #igkiddies #igdaily... http://someurl,everyone,#happy,"{'place_id': '01b763b150004405', 'coordinates': {'type': 'Point', 'coordinates': [125.6413843, 7.11022633]}}",,
tl,814791942475108352,814791942475108352,2016-12-30T11:15:11.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",3185707573,Twitter for Android,#SanaSa2017 single pa din ako! single is life. hoooo! solo life #happy!! positive lang. lol,everyone,#happy,,,
tl,814786582016233472,814786582016233472,2016-12-30T10:53:53.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💓| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814773910390439936,814773910390439936,2016-12-30T10:03:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",801264328930258944,Twitter Web Client,#Happy New Year Po Sa Inyo,everyone,#happy,,,
tl,814768374173536256,814768374173536256,2016-12-30T09:41:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2713405429,Facebook,@someuser (f)  shopping 😉|  ready na mga regalo ko 😘 | | #happy,everyone,#happy,,2817995382,
tl,814766232402591744,814766232402591744,2016-12-30T09:33:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1471927483,Instagram,#iloveit #perfectmoment #happy #amazing #streetfun#kohchang#thai @ Kc Grande Resort and Spa Koh... http://someurl,everyone,#happy,,,
tl,814759606979133440,814759606979133440,2016-12-30T09:06:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814646956874088449,Twitter for Android,#Happy V Day| Kim taehyung(Alien)| Saranghaeyo<3| We love you| BTS-V,everyone,#happy,,,
tl,814758711466098688,814758711466098688,2016-12-30T09:03:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",135369894,Instagram,Pink panther sari! 💚💛❤️✨✨💖🏵#love #beautiful #tbt #instagood #me #happy #follow #cute #summer... http://someurl,everyone,#happy,,,
tl,814749624091156480,814749624091156480,2016-12-30T08:27:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",949053446,Twitter for iPhone,A perfect LECHON KAWALi for this cold weather! Tara po saluhan nyu po ako. 🐷 #hungry #yummy #happy #instauae #food #foodie #dubai #UAE 😊 http://someurl,everyone,#happy,{'place_id': '001907e868d06e24'},,
tl,814748844080513024,814748844080513024,2016-12-30T08:23:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3245843382,Mobile Web (M2),#happy taehyung day,everyone,#happy,,,
tl,814742989167697920,814742989167697920,2016-12-30T08:00:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812988040515710976,Twitter Web App,Isang linggo na lng makikita ko na yung best gift na bigay sakin #happy,everyone,#happy,,,
tl,814742014948298752,814742014948298752,2016-12-30T07:56:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806789183075282944,Twitter for Android,@someuser @someuser | Paki Hi kos akong bana. HAHAHAHA 😂😂😂| #HappyTaehyungDay 🎉| #HappyVirthDay 🎂| #HappyTaeTaeDay 💘,everyone,#happy,,1409798257,
tl,814740001434914816,814740001434914816,2016-12-30T07:48:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",517140863,Facebook,Gift ko nmn para sa sarili ko.. Hehe| #happy 😍💜😍,everyone,#happy,,,
tl,814720844610076672,814720844610076672,2016-12-30T06:32:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2984790033,Twitter for Android,#HAPPY #NewYear  🎊|  2017 🎊🎉🎈-  #TheCanadianTenors   #Hallelujah   http://someurl  #LeonardCohen #Frank Nagler 💛 http://someurl,everyone,#happy,,,
tl,814714258235625472,814714258235625472,2016-12-30T06:06:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2343076196,Twitter for Android,Kim TaeHyung day💙 | #Happy Birthday Kim TaeHyung| #V #BTS #Alien #Taetae,everyone,#happy,,,
tl,814711747495870464,814711747495870464,2016-12-30T05:56:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3308663318,Twitter for Android,#Happy BDay Taehyung | #StayHANDSOME http://someurl,everyone,#happy,,,
tl,814703515679346688,814703515679346688,2016-12-30T05:23:49.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 1}",758255885730713600,Twitter for Android,💓Happy Birthday Taehyung oppa💓| #Happy V day🎉| #Happy Taehyung day | @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814699726658555905,814699726658555905,2016-12-30T05:08:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",288301247,Instagram,Feeling blessed ang titoladang may pangalan. 🌲🌲🌲 #Happy #InnerPeace... http://someurl,everyone,#happy,"{'place_id': '003d47f62835a9f1', 'coordinates': {'type': 'Point', 'coordinates': [120.59842898, 16.41178558]}}",,
tl,814698762002108417,814698762002108417,2016-12-30T05:04:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",538983029,Instagram,Busy sila then ako nakaleave nanggugulo sa office hahahh! 😀😁😂😉| #SimplyJustKDLanzar #happy... http://someurl,everyone,#happy,,,
tl,814663662258438144,814688789196980232,2016-12-30T04:25:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1409552192,Twitter for Android,@someuser @someuser linte hahahaha #happy lang gane e #walangbaby,everyone,#happy,,3106572380,"[{'type': 'replied_to', 'id': '814676384215728129'}]"
tl,814686973650534402,814686973650534402,2016-12-30T04:18:05.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",748367818979184640,Twitter Web App,#kilig| #happy| #nasabiKoNaYungNarardamanKo| 😉😘😘😍😍😍| Wag kalimutang magdala ng payong at maulan. Hugs 🐘🐼🐻🐷 http://someurl,everyone,#happy,,,
tl,814685938244730880,814685938244730880,2016-12-30T04:13:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3224869773,Twitter for Android,"#Happy Birthday| BHALU BHAINA| Sri Taraprasad bahinipati (chiefwhip odisha)| Mla, jeypore http://someurl",everyone,#happy,,,
tl,814681663141621760,814681663141621760,2016-12-30T03:56:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811410387501346816,Twitter for Android,#happytaehyungday #happy birthday taehyung http://someurl,everyone,#happy,,,
tl,814108669679845376,814680220049506310,2016-12-30T03:51:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3305472559,Twitter for iPhone,@someuser @someuser @someuser #Happy Birthday Joe Manganiello...💙💙💙💙,everyone,#happy,{'place_id': '1c69a67ad480e1b1'},22667054,"[{'type': 'replied_to', 'id': '814108669679845376'}]"
tl,814678511923429376,814678511923429376,2016-12-30T03:44:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1471927483,Instagram,#beautiful #happy #flower#asia#thailand#kohchang @ Kc Grande Resort and Spa Koh Chang http://someurl,everyone,#happy,,,
tl,814670663520653312,814670663520653312,2016-12-30T03:13:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",790101726820966400,Twitter for Android,#Happy Birthday Taehyung ñ🎁🎀🎊 http://someurl,everyone,#happy,,,
tl,814669847254568960,814669847254568960,2016-12-30T03:10:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4823163843,Twitter for Android,#HappyTaehyungDay #HappyVirthday #HappyVDay #뵈생일ᄎᄏ  SARANGHAE!@someuser,everyone,#happy,,,
tl,814655885955862528,814655885955862528,2016-12-30T02:14:33.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",810456861082152960,Twitter for Android,#HappyTaehyungDay😍😍😘😘 | #HappyVDay😍😍 | #Happy Bwii Day😍😘😘| #Happy Birthday Kim Taehyung😘 http://someurl,everyone,#happy,,,
tl,814651937601753089,814651937601753089,2016-12-30T01:58:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1471927483,Instagram,#holliday #happy #fun #sunset #enjoy #beautiful @ Kc Grande Resort and Spa Koh Chang http://someurl,everyone,#happy,,,
