reply_settings,geo,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,in_reply_to_user_id,referenced_tweets
everyone,{'place_id': '00180402799fed03'},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-30T18:32:43.000Z,792796390652989441,792796390652989441,Twitter for Android,573909897,zh,為什麼都無法早睡啦😤😤😤| #angry | #stayuplate http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-26T09:09:26.000Z,791205083916546048,791205083916546048,Instagram,3307476979,zh,老媽在念我 做個紀念| | #mother #mom #mad #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-11T15:22:48.000Z,785863225631997952,785863225631997952,Instagram,262988225,zh,ㄍㄋㄋ我寧願繼續住在山上陪我家兒紙也不要搬到新家送走兒紙🖕😿| This is a shit opportunity cost 💩 #sad #angry #ilovemycat... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-05T08:42:53.000Z,783588258261377024,783588258261377024,Instagram,1474155620,zh,紮好雙麻花還是沒勇氣走出門| 誰說出國就敢cosplay春麗的| 😤😤😤（原來emoji的鼻孔沒放大我好自覺）| #travel| #angry| #tie| #hair| #fail| #cosplay| #p... http://someurl,#angry,,
everyone,,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-28T16:00:20.000Z,781161629182521345,781161629182521345,test-123xx,4421561545,zh,Щ(ಠ益ಠЩ) #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-15T08:50:18.000Z,776342365606903808,776342365606903808,Instagram,373980890,zh,大賣場結帳區出現大尼莫，搶著跟他拍照。😄| #nemo #disney #angry #cute #bigdoll #love http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-13T17:00:17.000Z,775740897061396480,775740897061396480,protemote-xxss,734404303750713346,zh,（╬ಠ益ಠ) #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-06T21:00:16.000Z,773264577349971968,773264577349971968,protemote-xxss,734404303750713346,zh,(ノಠ益ಠ)ノ #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-18T11:47:52.000Z,766240193443602432,766240193443602432,Instagram,391221270,zh,為了皮卡立馬下捷運！| 結果還是沒有遇到牠😂😂| | #pokemongo #pikachu #angry #sad http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-18T10:30:25.000Z,766220702479515652,766220702479515652,protemote-xxss,734404303750713346,zh,ლ(ಠ益ಠლ #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-17T10:21:23.000Z,765856041200394241,765856041200394241,Facebook,897664044,zh,我要吃飯！其餘免談| #baby #dinner #angry #eat http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-14T01:30:52.000Z,764635368855597056,764635368855597056,test-123xx,4421561545,zh,୧༼ಠ益ಠ༽୨ #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-11T13:00:21.000Z,763721716485029892,763721716485029892,test-123xx,4421561545,zh,凸ಠ益ಠ)凸 #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-11T01:59:05.000Z,763555303438753796,763555303438753796,Instagram,46029889,zh,🐶🐶史高比表示你唔好行近我，休怪我不客氣！😤 #angry #chihuahua http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-09T06:15:34.000Z,762895076502765568,762895076502765568,Instagram,187531240,zh,🎠2016.07.08🎠| 🔥🔥🔥🔥🔥| 我相信如果我再少多dd既忍耐力，應該會即刻暴走兼走人。💣💥| #angry #aliceinthewonderland #redqueen... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-29T15:52:12.000Z,759053923282018304,759053923282018304,Instagram,1295673373,zh,一個惹毛比比後的爽樣😁| #惹弟弟生氣是我的興趣 #我是q比 #小情人 #puppy #funny #angry #qb #xd http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-26T10:07:09.000Z,757879926401867776,757879926401867776,Twitter Web App,60500201,zh,最最最最最讨厌那些无中生有的人。不知是不是见不得人好还是只是喜欢故意找麻烦。#wtf #angry,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-24T03:44:37.000Z,757058883001155585,757058883001155585,Instagram,277090449,zh,睇到憤怒了的 coyi_____co_co | 😂😂| | #get #angry #amazingnight #cant #forgot http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-18T16:39:53.000Z,755079655552610304,755079655552610304,Instagram,1731141380,zh,#經前症候群| 心情低落的時候| 就是要迫自己的貓玩SHOW| #SNOW #sucks #unhappy #blue #hate #angry #confused #love #cat... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-07-15T10:08:46.000Z,753894065738047488,753894065738047488,Instagram,2923486098,zh,Oh my god!!!! What are you doing my baby 😭😱| | 兒子造反...| | #broken #baby #boy #naughty #omg #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-15T07:25:57.000Z,753853092127318016,753853092127318016,Instagram,2384508830,zh,朋友很鬧在打羽球還硬要我拍喜怒哀樂😄| #happiness #angry #sad #joy #friends #fun #laugh #great #rainydays #sunnydays... http://someurl,#angry,,
everyone,"{'place_id': '1e5cb4d0509db554', 'coordinates': {'type': 'Point', 'coordinates': [-123.076615, 49.238869]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-04T08:01:32.000Z,749875778859438084,749875778859438084,Instagram,555271978,zh,請不要來打擾我的生活😠😠😠！！#覺得煩 #angry #getaway #hate get away from me 👊👊👊🙅🙅🙅！！我想要平靜的生活!!🦄🦄🦄 @ Knight Street http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-17T20:33:10.000Z,743904342428704768,743904342428704768,Twitter Web Client,3827309959,zh,原來在我第二次私訊給@someuser 鼓鼓的那天(4/17) 他就看了我的訊息 乾 為什麼facebook現在才顯示!!!! 之前check過很多次都沒顯示!! #angry 但他有看就好 #happy,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-16T10:38:38.000Z,743392334700765184,743392334700765184,Instagram,2757577946,zh,該沈默時沈默，該出聲時出聲，永遠容不下別人激怒我，但是如果總是這樣操之而過急，也許很多事情就會變得不一樣了。| #angry #impatientlywaiting #change... http://someurl,#angry,,
everyone,"{'place_id': '01120f703ae9184a', 'coordinates': {'type': 'Point', 'coordinates': [116.27502942, 39.90914458]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-11T17:13:01.000Z,741679644118638592,741679644118638592,Instagram,4514896460,zh,#angry #birds #Pika #sisters #summer 😉 @ 北京五松體育館 http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-11T15:57:08.000Z,741660548450816000,741660548450816000,Instagram,594152200,zh,為什麼晚上吃東西這麼爽啦😡😡😡 #無限憤怒 #instapic #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-09T11:49:00.000Z,740873325971406848,740873325971406848,Instagram,378727184,zh,今天我超暴躁| 瓦尼也超級歡| 我們兩個根本快崩潰| #Tuesday #tired #badday #angry #crying #allday #cranky #goodnight http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-09T07:00:08.000Z,740800632702009344,740800632702009344,test-123xx,4421561545,zh,ლಠ益ಠ)ლ #Angry #顏文字 #kaomoji #emoticon http://someurl,#angry,,
everyone,{'place_id': '01514a7563cab6a1'},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-02T04:39:50.000Z,738228608041406464,738228608041406464,Twitter for Android,3034831632,zh,愤怒😠不甘心！#my #自己 #社会 #生活 #life #iam #heart #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-23T06:25:54.000Z,734631421571149824,734631421571149824,Twitter for Android,3034831632,zh,复杂的心情啊#my #自己 #社会 #生活 #life #style #iam #heart #clothes #eyes #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-20T08:17:09.000Z,733572253548351491,733572253548351491,Instagram,2757577946,zh,終於啊⋯⋯| 有時候真的脾氣ㄧ來，就考驗你的EQ時刻。| #roadrage #angry #EQ #likeforlike #like4like #follow4follow... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-19T18:02:25.000Z,733357155948986368,733357155948986368,Instagram,824624838,zh,我本來不以為意，但我真心覺得這是我的心態無誤！thats right its me #easy #angry #pokerface #nothappy #haha 🙄🙄🙄 http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-18T14:14:01.000Z,732937286749442049,732937286749442049,Twitter for Android,3034831632,zh,对于那些不了解我的人我只能跟你们说 注意你们的一言一行！姐姐脾气很不好不要惹到我！#my #自己 #社会 #生活 #life #style #iam #heart #clothes #smile #eyes #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-15T13:37:33.000Z,731840946774659073,731840946774659073,Instagram,3059231150,zh,拜託別把我射出去啊啊啊啊| Help me......| #angry #bird #taipei @ ATT 4 FUN http://someurl,#angry,,
everyone,"{'place_id': '00180402799fed03', 'coordinates': {'type': 'Point', 'coordinates': [121.5657507, 25.03522991]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-13T16:40:31.000Z,731162216762744832,731162216762744832,Instagram,2343322796,zh,"只能先透露一點點..... It only can to see a little. 🙈 Its my case, my baby.🚼 #angry ? #movie #comingsoon... http://someurl",#angry,,
everyone,"{'place_id': '00180402799fed03', 'coordinates': {'type': 'Point', 'coordinates': [121.5657507, 25.03522991]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-13T16:00:40.000Z,731152187431100416,731152187431100416,Instagram,2343322796,zh,"只能先透露一點點..... only a few to see . 🙈 Its my case, my baby.🚼 #angry ? #movie #comingsoon... http://someurl",#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-21T11:27:08.000Z,723110817986535424,723110817986535424,Cute Frenchie!,2340671790,zh,別惹哥😡沒看到我這殺氣的眼神😤😱😤| #法鬥 #狗 #frenchiegram #angry #eye#frenchbulldog #dogs #pet #puppy http://someurl http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-19T03:47:52.000Z,722270463230099456,722270463230099456,Instagram,2867803855,zh,#kenting | 催催催！真不知道在急什麽！爛招！| #ㄌㄧㄚˇㄍㄨㄥˊ #煩 #ㄍㄢˋ #圖文不符 #別惹我 #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-01T04:28:58.000Z,715757827944488961,715757827944488961,Instagram,296131888,zh,"四月的第一天, 愚人节真的和我们开了玩笑~ 使得我们要被逼分开, 使我们更加坚决要离开。真的很bad mood!  #angry #down #april http://someurl",#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-31T10:51:48.000Z,715491781899497473,715491781899497473,Twitter for Android,707277900777660416,zh,难得开心几天，又让某人破坏了我的好心情！哼！！😖😡💢💢| #cat #cats #kitty #daily #hmm #angry  #notwell #behappy http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-30T14:17:57.000Z,715181271824134145,715181271824134145,Instagram,3233498798,zh,Such a busy day.| 真是一個累到爆炸| 久違的怒吼😵😵| 意外我的爆發力哎哈哈哈😄| #roar | #angry | #busy http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-30T06:25:34.000Z,715062391923478529,715062391923478529,Instagram,61749270,zh,科技讓生活方便，但也使人憤怒| 😡😡😡 #phonesucks #moody #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-28T12:17:55.000Z,714426290519031809,714426290519031809,Instagram,2898617947,zh,如果人也可以像動物一樣單純。| 那該有多好。| | 安穩的一個人。真的有這麼難?| | #BM #feeling #Sometimes #angry #owow #single #animal... http://someurl,#angry,,
everyone,"{'place_id': 'f7c22e0cf7b3af2b', 'coordinates': {'type': 'Point', 'coordinates': [139.70043619, 35.66737474]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-17T10:30:08.000Z,710412897336188928,710412897336188928,Instagram,385281804,zh,很佩服我自己竟然能跟那麼以自我為主的人當朋友👍 I cant  believe have princess personality s girl is my friend 😲#angry... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-11T07:39:13.000Z,708195558339391488,708195558339391488,Twitter Web Client,110145338,zh,[今日头条]文庆路上段第17座的熟食中心的“莲记熟食”摊，今早爆发一场罕见纠纷。一名文身男疑不满摊位助手把一包米粉交给比他迟出现的顾客，而大发雷霆，连买30包炒面炒米粉，在档口前狂砸泄愤，惊动警察上门。#beehoon #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-02T04:03:24.000Z,704879754512605186,704879754512605186,Instagram,994302115,zh,壮壮生大气了......因为看到彦祖穿他的衣服哈哈哈哈哈！ #angry #mad #cat #britishshorthair #britishblue #funny http://someurl,#angry,,
everyone,,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",2016-02-27T19:58:05.000Z,703670458533572608,703670458533572608,TweetDeck,40813384,zh,最怒首長！#梁振英 #FB 被怒爆，隨便貼文就有上萬怒| http://someurl| #Angry #HK #Facebook #FacebookReactions @someuser http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-27T09:15:41.000Z,703508794928734208,703508794928734208,Instagram,76899569,zh,How i burn my anger.| | 撒雅人生於這個地方| | #怒火 #火 #撒雅人 #龍珠 #我最喜愛cartoon之一 #毒 #anger #angry #burn #fire... http://someurl,#angry,,
everyone,,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 8, 'quote_count': 0}",2016-02-26T23:27:03.000Z,703360657362542592,703360657362542592,TweetDeck,40813384,zh,臉書新符號開通半小時，他被按上千個「怒」.....http://someurl| #facebook #臉書 #表情符號 #angry #梁振英 #香港 #HongKong #LeungChunYing #國際新聞 http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-26T14:25:12.000Z,703224297016262656,703224297016262656,Facebook,75325150,zh,喂呀！大家覺得點先?! What do you think of our new poster and coming concert? #like #love #haha #wow #sad #angry (#dislike... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-02-26T00:57:38.000Z,703021066692665344,703021066692665344,Twitter Web Client,2181579553,zh,上一秒才說FB手機改版改一半，下一秒就發現可以用了，而且還比手機版精緻(表情會動)，厲害厲害| #like #love #haha #wow #sad #angry #facebook,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-02-24T10:57:36.000Z,702447278351581185,702447278351581185,Instagram,1946550918,zh,Wow 想表達的憤怒有人聽得懂真好💗| | 有發現我脖子長痘痘嗎，哈哈哈| #angry #life #台湾 #台灣 #taiwan #talk #wow #love  #pimple #eyes #ha http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-14T20:48:00.000Z,698971976367476736,698971976367476736,Instagram,555271978,zh,有種感覺是說不出的感受⋯⋯🤐🤐🤐| 有些失望是只能默默承受⋯⋯😶😶😶| #tried #feeling #angry #disappointed http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-02T10:51:24.000Z,694473185979305985,694473185979305985,iAskNewQuestion,3299571025,zh,http://someurl #iAsk #美食 #食記 #評價 #Angry #Burger 有Angry Burger  美式餐廳的食記可以參考嗎？,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-21T21:46:42.000Z,690289442855092224,690289442855092224,iAskNewQuestion,3299571025,zh,http://someurl #iAsk #食譜 #料理 #Angry #bird #造型餅乾 請問哪裡有Angry bird 造型餅乾食譜教學？,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-11T04:39:29.000Z,686407055851257856,686407055851257856,Instagram,3633401052,zh,好饿！开始七个小时的出差赶路🐾#angry #cake #glasses #coffee #lunch #lunchtime #rest #restaurant #iphone... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-01-10T04:59:23.000Z,686049674923474945,686049674923474945,Instagram,3308317590,zh,本來昨天秩序很好的結果今天呢😦？| 看到有其他影片有人喊不要推擠結果還是不聽😐😐| 自己就要好好管理秩序不是都要麻煩工作人員管| 讓防彈他們可能也會留下不好的印象😟😟| #angry... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-06T15:00:04.000Z,684751289314484224,684751289314484224,Cute Frenchie!,2340671790,zh,說好的喜怒哀樂 @someuser #happy #angry #sad #joy #emotions #angela #sweet #frenchbulldog http://someurl http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-12-16T00:02:32.000Z,676915276273815552,676915276273815552,Instagram,443088181,zh,是誰？到底是誰？六點多打給我⋯⋯⋯都不用睡嗎 ? #angry #life #who  #peace #taiwan #tired #hi... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-12-10T13:01:57.000Z,674937094733713408,674937094733713408,Instagram,117069695,zh,牠瘋了| | #catgram #cat #kitten #kittygram #animals #animal #angry #crazy #cats #instacat #instakitty http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-12-08T03:52:10.000Z,674073961311821824,674073961311821824,Twitter for iPhone,408378125,zh,虚伪到了几点... #angry #fakers #stayawayfromme,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-12-01T03:34:21.000Z,671532759530229760,671532759530229760,Instagram,2419613730,zh,有一天我一定會受夠--| 妳的忽冷忽熱--| 那真的讓我很討厭。| #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-26T16:30:23.000Z,669916117507448833,669916117507448833,Instagram,927640909,zh,😠| 點解可以唔聽我講野。| 點解可以當我發噏瘋。| 我個人係好talkative。| 我仲好需要attention。| #I #am #mad #angry #upset #thankyou http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-25T13:15:31.000Z,669504688555888640,669504688555888640,Instagram,1276144926,zh,生氣生氣生氣生氣生氣生氣😒| (雖然這張是假生氣)| #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-24T09:06:06.000Z,669079535653142528,669079535653142528,Buffer,4250844262,zh,乁(òᨓó)ㄏ #Angry #Emoticon #ASCII #Unicode http://someurl,#angry,,
everyone,"{'place_id': '00180402799fed03', 'coordinates': {'type': 'Point', 'coordinates': [121.5027084, 25.0398903]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-13T14:14:16.000Z,665170821778792448,665170821778792448,Instagram,607439282,zh,這個傲嬌的人今天完全惹怒我😒| 真的超想揍你🖕🏻🖕🏻🖕🏻| 還好吃到三味食堂我氣消一半😑| #playfully #angry #beat... http://someurl,#angry,,
everyone,"{'place_id': '00b51c7d1aee21d3', 'coordinates': {'type': 'Point', 'coordinates': [120.183, 22.9833]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-04T14:09:25.000Z,661908109078589440,661908109078589440,Instagram,472626930,zh,"心情寫照!| 盡力了，結果如何平靜面對。| #angry #crazy。#破喉嚨 @ Tainan, Taiwan http://someurl",#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-11-01T20:01:16.000Z,660909493375639554,660909493375639554,Instagram,228981491,zh,最討厭已讀不回的人| TMD手機拿去燒啦💢| #taiwan #kaoshiung #summer #phone #heta #MTFK #getout #angry http://someurl,#angry,,
everyone,{'place_id': 'dc9f45ade0b39636'},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-10-28T14:55:15.000Z,659382926237237249,659382926237237249,Twitter for iPhone,1096332452,zh,到底是多倒霉才会为了一只不好吃的炸鸡翼而断送了我的牙齿...... #emo #angry,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-10-26T11:44:57.000Z,658610263386669057,658610263386669057,Instagram,290596942,zh,要不是為了錢，老娘我早就不幹了！| 你自己交代好就不會有問題發生啊！| 你當我天書啊！咩都知我就吾Q洗坐係到做呢份工啦！| #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-10-21T16:25:07.000Z,656868827041542144,656868827041542144,Instagram,423858474,zh,心情歹歹，謝謝煙煙🚬⭕️⭕️⭕️| #bad #badday #Angry#lonley #tattoos #tattoolife #vape #vaper #vapor #vapelife... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-10-20T14:52:37.000Z,656483161640058880,656483161640058880,Instagram,3327927524,zh,💀憤怒牙齦🔥被叭客帶壞了～| #dog #angry #face #teeth http://someurl,#angry,,
