source,geo,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,in_reply_to_user_id,referenced_tweets
Twitter Web Client,,UYEAH | |  #super http://someurl,everyone,es,814908436412583936,814908436412583936,738361734927396864,2016-12-30T18:58:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#super,,
Buffer,,SUPERPODERES http://someurl #potencial #potential #strength #energia #power #powerful #potencia #energy #super #poder #stayfocused,everyone,es,814878822688550913,814878822688550913,745218642,2016-12-30T17:00:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,"{'place_id': '9d8ae4b0fac2036a', 'coordinates': {'type': 'Point', 'coordinates': [-79.51021471, 8.97540555]}}",Cena de Navidad 2016! @someuser | #tb #super #tsc #cenanavideña2016 @ Club Unión http://someurl,everyone,es,814868048427581440,814868048427581440,378049566,2016-12-30T16:17:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,El participante Martin Otero para la rifa del super colchón | #Rifa #super #super #colombia #colchón #palmira... http://someurl,everyone,es,814849048058335232,814849048058335232,143202833,2016-12-30T15:02:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,its time! ✨⏳ empieza el año con un #super complemento!!⏱🍾🥂 Reloj #paulhewitt | #happynewyear http://someurl,everyone,es,814839728545689600,814839728545689600,2354899484,2016-12-30T14:25:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Android,,@someuser @someuser la Maite GH15  sólo preguntaba al #Super  ¿ cuántos Spicologos avia  eso eso es lo k le hace falta a ala tipa Ghvip,everyone,es,814531886382915584,814824574240129025,946684542,2016-12-30T13:24:51.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#super,241118636,"[{'type': 'replied_to', 'id': '814531886382915584'}]"
dlvr.it,,#Chevy #cheyenne #super (#East #palo #ca) $12000: Estado. General bien mecanicamente pintura nueva llantas nuevas... http://someurl http://someurl,everyone,es,814812824878940160,814812824878940160,2595181597,2016-12-30T12:38:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,"Diseño de personaje, SUPER #diseñodepersonaje #conceptart #ilustracióndigital #super #donpedro http://someurl",everyone,es,814792894146080768,814792894146080768,2813326705,2016-12-30T11:18:58.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Android,,Y más #BBPPtransformadoras para finalizar el año. Nuestros docentes son unos #super #eduktransformers. ;) http://someurl,everyone,es,814762805849128960,814762805849128960,4099534521,2016-12-30T09:19:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",#super,,"[{'type': 'quoted', 'id': '814546700161454080'}]"
Twitter for iPhone,,"@someuser amiga, lo escribí mientras hacía popo, #súper #conexión #💖#💖#💖#💖💖#💖#💖",everyone,es,814694088561872897,814697172939735040,1517450677,2016-12-30T04:58:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,327740921,"[{'type': 'replied_to', 'id': '814696845205237760'}]"
Facebook,,Jajaja ya disponible registro previo en android de #Super #Mario #Run http://someurl,everyone,es,814648384116101120,814648384116101120,234965772,2016-12-30T01:44:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
La Pionera de Clorinda,,"El consumo en los súper no reacciona: volvió a caer un 7,5% en # .... #Caida #Super #Ventas #Argentina http://someurl",everyone,es,814626625287553025,814626625287553025,561591089,2016-12-30T00:18:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Windows,,#wowwh impresionante @someuser su #físico #super trabajado. #rouseyvsnunes #UFC207 #FridayDec30 #mygirl #Championship #RondaRousey http://someurl,everyone,es,814622532871524353,814622532871524353,393105340,2016-12-30T00:02:01.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",#super,,"[{'type': 'quoted', 'id': '814613510823047168'}]"
TweetDeck,,#Super #descuento en estos #productos de #IRIScan. ¡Aprovechalo es por #TiempoLimitado! http://someurl http://someurl,everyone,es,814617246844801028,814617246844801028,1262076524,2016-12-29T23:41:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Hootsuite,,"Televisor 42” FHD Panasonic, alta definición en todo su esplendor. #SUPER #PRECIO con 32% de dcto en Jumbo .co: http://someurl http://someurl",everyone,es,814591916595499008,814591916595499008,330505265,2016-12-29T22:00:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for iPhone,,Sin la #Redbull no habria hecho ni la mitad de todo lo que hice hoy ☺️ #pega #super #aseoenelhogar 😌,everyone,es,814574107836694528,814574107836694528,439659224,2016-12-29T20:49:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,"{'place_id': 'e0fcc42568ce0659', 'coordinates': {'type': 'Point', 'coordinates': [14.381138, 41.0365384]}}",#super #retrosuperfuture #design #ricerca #autorizeddealer @someuser @ Salmoiraghieviganó... http://someurl,everyone,es,814569899205029888,814569899205029888,287770312,2016-12-29T20:32:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Crowdfire Inc.,,#Súper #bono @someuser : 200% de tus ingresos ¡hasta 1.000€! http://someurl #casino #slots #ruleta http://someurl,everyone,es,814567504181919744,814567504181919744,460274958,2016-12-29T20:23:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for iPhone,,@someuser @someuser jajajajaja! Resulta que el contrato es hasta fin de año. Lo sabian. Y ahora extorsionan para q todos paguemos? #Super,everyone,es,814557856003305472,814563658172952576,208696168,2016-12-29T20:08:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#super,142802581,"[{'type': 'replied_to', 'id': '814557856003305472'}]"
Instagram,,💫👑💎💍Ya empezaron los regalitos de #navidad2016 #thanks #super @someuser !!! 😍😍😍 http://someurl,everyone,es,814560227848843264,814560227848843264,1873850462,2016-12-29T19:54:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,Los participantes para la rifa del súper colchón | #Rifa #super #Super #colombia #colchón #palmira #Supersuave... http://someurl,everyone,es,814559892774256641,814559892774256641,143202833,2016-12-29T19:53:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,Los participantes para la rifa del súper colchón | #Rifa #super #super  #colombia #colchón #palmira #Supersuave... http://someurl,everyone,es,814559354070429696,814559354070429696,143202833,2016-12-29T19:50:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
androidsite-new,,#Super Mario Run v 1.1 #Android App #Download http://someurl http://someurl,everyone,es,814555320202776576,814555320202776576,2587632518,2016-12-29T19:34:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,#super women nude freida pinto xxx nude movie http://someurl,everyone,es,814551073553874946,814551073553874946,634341400,2016-12-29T19:18:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,#Eres un #Super #Terremotiiicoooo pero #Te #Suuuuupeeeerrr #Amo  #Priinceesiitaa #Rosmary  😘😘😘😜👑... http://someurl,everyone,es,814533028114481152,814533028114481152,1390636147,2016-12-29T18:06:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,"Televisor 49” FHD Smart Tv LG, ideal para grandes espacios de tu casa. #SUPER #PRECIO hasta 38% dcto en Jumbo .co: http://someurl http://someurl",everyone,es,814518720970313728,814518720970313728,330505265,2016-12-29T17:09:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,Ven y aprovecha últimos días de #SUPER #DESCUENTOS EN #DEPILACION #PERMANENTE #SHR‼️ | 50% en #CUERPO #COMPLETO... http://someurl,everyone,es,814514985984524288,814514985984524288,434955817,2016-12-29T16:54:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,"Una #SÚPER #OFERTA que no puedes perderte.  Lavadora 16 kg/35lb Gris Samsung hasta con 37% de dcto en Jumbo .co, ver:http://someurl http://someurl",everyone,es,814511101060796416,814511101060796416,330505265,2016-12-29T16:39:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#super,,
MultiAnime App,,#Super Mario Run llega a Android  - http://someurl http://someurl,everyone,es,814509435192221696,814509435192221696,84152390,2016-12-29T16:32:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
MultiAnime Twitter,,#Super Mario Run llega a Android  http://someurl http://someurl,everyone,es,814509403466563584,814509403466563584,869238002,2016-12-29T16:32:29.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",#super,,
Tumblr,,📷 #Super Mario Run llega a Android  Que tal a toda la banda de MultiAnime!  El día de hoy ha llegado a... http://someurl,everyone,es,814509390187429889,814509390187429889,84152390,2016-12-29T16:32:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
TweetDeck,,Si quieres botanear ven a #SaleVale y encuentra tus botanas favoritas. #TuSúperConviene #Puebla #Super http://someurl,everyone,es,814508789613395968,814508789613395968,3077594899,2016-12-29T16:30:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Hootsuite,,¡Estamos de #Súper! ¿Te falta algún regalo de Reyes de última hora? ¡Pues con más razón no puedes perdértelo! > http://someurl http://someurl,everyone,es,814472326150582272,814472326150582272,252495673,2016-12-29T14:05:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Windows,,#IN COM PRE SI BLE. NO SE 😞 PUEDE #MATAR A UN #SUPER #HÉROE. #HE-MAN #infamia http://someurl,everyone,es,814465806071398401,814465806071398401,149705985,2016-12-29T13:39:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,"[{'type': 'quoted', 'id': '814187274065903616'}]"
Twitter Web Client,,@someuser ¿un ejemplo de gestión? http://someurl #Retail #super #comercio,everyone,es,814455400250671104,814455400250671104,1139624803,2016-12-29T12:57:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,343327901,
Instagram,"{'place_id': '01fcc4a23f17e1ed', 'coordinates': {'type': 'Point', 'coordinates': [-69.88473999, 18.47343171]}}","Mi #tbt de hoy es #super #especial, hace como año y medio,| #primera #foto de Niko #elprincipito... http://someurl",everyone,es,814452210176299008,814452210176299008,69962377,2016-12-29T12:45:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,#super felicitaciones que te llegan en Navidad y tienen mensajes preciosos. Gracias... http://someurl,everyone,es,814451720285777920,814451720285777920,2657666408,2016-12-29T12:43:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",#super,,
Instagram,,Mario Run Fanart 🎨 #super #Mario #run #supermario #art #fanart #my #first #full #art #created... http://someurl,everyone,es,814441670871838720,814441670871838720,2866151919,2016-12-29T12:03:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Android,,¿ dónde responde el #Super x favor ? @someuser @someuser @someuser @someuser #GranHermano http://someurl,everyone,es,814426310139318272,814426310139318272,717350183823142912,2016-12-29T11:02:18.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#super,,"[{'type': 'quoted', 'id': '814425773599821824'}]"
Twitter for Android,,Un colis  #super cest la merde,everyone,fr,814422162698289154,814422162698289154,4152492435,2016-12-29T10:45:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,Colore per Paola Dietista Chiari! #super #colorecapelli #purplehair #parrucchieri #cremona —  carico/a presso... http://someurl,everyone,it,814404893742133249,814404893742133249,2718125438,2016-12-29T09:37:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,#super sex book somnophilia sex http://someurl,everyone,de,814383536568434688,814383536568434688,769057854,2016-12-29T08:12:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for iPhone,,👌🏼Metropole QVB 👤👃🏼☕️ #sydney #coffee #super #flatwhite #latteart http://someurl,everyone,es,814342109197205504,814342109197205504,725175358044004354,2016-12-29T05:27:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#super,,
Instagram,,Uffff ya casi vacaciones 😎🌸🌍🎊☀ | #descanso | #yestonoesbroma| #super 💙🎶🌸🌌👑🎉🌞🍕🍫🐼 http://someurl,everyone,es,814333570466467840,814333570466467840,172189014,2016-12-29T04:53:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,gracias a los amigos de Crystal Medina el tour estuvo #SUPER!! 100% #RECOMENDADO!! http://someurl,everyone,es,814320775725355008,814320775725355008,888531637,2016-12-29T04:02:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,daisy de la hoya nude #super nasty porn http://someurl,everyone,es,814320734201782272,814320734201782272,545601351,2016-12-29T04:02:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Android,,#SUPER JUNIOR| #SOMPIAWARDS| COMO PAPAS,everyone,es,814318233973096448,814318233973096448,811615703220555776,2016-12-29T03:52:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Hootsuite,,"#Super #Mario #Run: solo 8% de los que probaron, lo compraron| http://someurl http://someurl",everyone,es,814302453877403648,814302453877403648,67916104,2016-12-29T02:50:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,{'place_id': '1d9a5370a355ab0c'},@someuser lanzaron #Super y ahora los escuchamos en el #RPUK http://someurl,everyone,es,814279231194693632,814279231194693632,27578775,2016-12-29T01:17:51.000Z,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 7, 'quote_count': 1}",#super,524167164,
Twitter for Android,,"@someuser que bien por la #super @someuser en Sahagún,Cordoba  @someuser",everyone,es,814273992571895808,814273992571895808,196154755,2016-12-29T00:57:02.000Z,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 2, 'quote_count': 0}",#super,716363533,
Hootsuite,,#Súper bebidas 100% elaboradas con CALIDAD #CORENLIUS,everyone,es,814272274492747776,814272274492747776,2915879668,2016-12-29T00:50:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web App,,#TeamSuperJunior| #SOOMPIWARDS | Cuando te das cuenta que #super junior son muchos...,everyone,es,814256811054366720,814256811054366720,3722610497,2016-12-28T23:48:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for iPhone,,No dejes que el miedo te impida hacer lo que mas quieres #CantaLaPelicula #Super🔝🔝🔝🔝,everyone,es,814254463720521728,814254463720521728,93204362,2016-12-28T23:39:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Pinterest,,Oración de sanación al Arcángel Rafael. Have a #Super #Falalalalalalalala #Christmas✨  #Peace and #L http://someurl,everyone,es,814253665099935744,814253665099935744,2260768729,2016-12-28T23:36:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for iPhone,,Mi perra penso que seria buen recibimiento morderme el brazo #super http://someurl,everyone,es,814244871472979968,814244871472979968,94241971,2016-12-28T23:01:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,¿Estas preparado para superar tus limitaciones mentales?| | #noche #cena #x #super #supernatural... http://someurl,everyone,es,814244267417694208,814244267417694208,211688771,2016-12-28T22:58:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,Diviértete en #LaHacienda por solo $250 pesos por 8 horas | ¿Qué Mas Necesitas?| Pendientes con nuestro #Super descuento para el mes de Enero http://someurl,everyone,es,814242154344280066,814242154344280066,754054034907029504,2016-12-28T22:50:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,japanese solo nude #super mario naked http://someurl,everyone,es,814238705443622912,814238705443622912,563045009,2016-12-28T22:36:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
RetroDeals,,#Super #Nintendo/#SNES/#NES/console/#SNES #retrogaming #ebay http://someurl http://someurl,everyone,es,814232341665161216,814232341665161216,703537008002605057,2016-12-28T22:11:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for Android,,#telebingo #super #extra | Cierre de año 😃 | #conducción @someuser  # Claudiocristian @someuser  @someuser  | 🙌🙌🙌🙌👍🎉🎉🎤🎤🎤 http://someurl,everyone,es,814222847023443968,814222847023443968,1655251236,2016-12-28T21:33:48.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",#super,,
Twitter Web Client,,#super sexual orgasm dementieva nude http://someurl,everyone,es,814214057704030208,814214057704030208,317832175,2016-12-28T20:58:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,Mostrando un poco de mis superpoderes... #poderes #super #hero #heroe #truco #ilusion #power... http://someurl,everyone,es,814212520760250368,814212520760250368,790151702,2016-12-28T20:52:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,"{'place_id': '003f97dd7a518791', 'coordinates': {'type': 'Point', 'coordinates': [-76.541083, 3.429889]}}",@someuser en #super #concierto #feria de #cali @someuser.. http://someurl,everyone,es,814211917891964928,814211917891964928,50092947,2016-12-28T20:50:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,36483808,
RetroDeals,,#Super #Nintendo/#SNES/#NES/SUPER MARIO KART/#SNES #retrogaming #ebay http://someurl http://someurl,everyone,es,814208820750716929,814208820750716929,703537008002605057,2016-12-28T20:38:04.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",#super,,
Twitter Web Client,,@someuser #Super es cabron,everyone,es,814206940980989952,814206940980989952,4821751879,2016-12-28T20:30:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,2410701839,
Twitter Web Client,,"Televisor 28” HD LG, ideal como primer Tv. #SUPER #PROMO del 35% en Jumbo .co: http://someurl http://someurl",everyone,es,814197108739809281,814197108739809281,330505265,2016-12-28T19:51:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,porno for pyros discography #super sexy non nude teen http://someurl,everyone,es,814182243992301569,814182243992301569,266412352,2016-12-28T18:52:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,popeyes sex #super sexy lesbian sex http://someurl,everyone,ht,814180192591736836,814180192591736836,53889851,2016-12-28T18:44:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Facebook,,"#Super #Promo #Navideña!!!! | Para que en estas fiestas luzcas un cabello sano, sedoso, brillante y totalmente... http://someurl",everyone,es,814166417218174976,814166417218174976,410511550,2016-12-28T17:49:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,stolen porn videos #super mario nude http://someurl,everyone,es,814157308821471233,814157308821471233,227716516,2016-12-28T17:13:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,Seguridad 🚨 #kiterdelfuturo #cartagenakitesurf #encolombiakitesurf #encolombiakite  #super... http://someurl,everyone,es,814145241783631872,814145241783631872,765635858695327744,2016-12-28T16:25:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
IFTTT,,super shore nombres #TheMemebot #super shore nombres #Funny #Meme http://someurl http://someurl,everyone,ca,814142063394570241,814142063394570241,737394371809533952,2016-12-28T16:12:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,#super mario porn guide teen porno sport http://someurl,everyone,es,814140063772721152,814140063772721152,286835731,2016-12-28T16:04:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,"{'place_id': '272596500e51c07a', 'coordinates': {'type': 'Point', 'coordinates': [51.67888889, 32.65722222]}}",Iran exprerience ❤🇮🇷 #iran #mediorientale #travel #super #newyear #persia #persian #esfahan... http://someurl,everyone,es,814135795657252865,814135795657252865,225409791,2016-12-28T15:47:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Instagram,,regrann from @someuser  -  Jueves navideño 🎄 🎄🎋#Talentovenezolano #súper #coquetas... http://someurl,everyone,es,814129455832723457,814129455832723457,721768752396779521,2016-12-28T15:22:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,woomensexy #super mario nude http://someurl,everyone,it,814124486303842304,814124486303842304,260004251,2016-12-28T15:02:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
TweetDeck,,"Tú y tus amigos saben que el súper #1 es #SaleVale, visítanos en tu sucursal más cercana. #TuSúperConviene #Puebla #Super #Tienda http://someurl",everyone,es,814116199957020672,814116199957020672,3077594899,2016-12-28T14:30:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter Web Client,,sexos videos #super tight teen pussy http://someurl,everyone,es,814109554892042240,814109554892042240,119114758,2016-12-28T14:03:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
Twitter for iPhone,{'place_id': 'efcdd0cc2919c82a'},@someuser @someuser @someuser #super guapas amigas saludos,everyone,es,813814090321854464,814104461572505600,215124248,2016-12-28T13:43:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,805270477262491653,"[{'type': 'replied_to', 'id': '813814090321854464'}]"
Twitter for Android,,#Super #GHVip @someuser  una elección  perfecta @someuser @someuser @someuser #Telecinco #Mediaset ole ole @someuser http://someurl,everyone,es,814103454461399040,814103454461399040,3432016029,2016-12-28T13:39:23.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#super,,"[{'type': 'quoted', 'id': '814091029204897793'}]"
Twitter Web Client,,#super hot nud porno de cubana http://someurl,everyone,es,814102495811268608,814102495811268608,67815382,2016-12-28T13:35:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#super,,
