source,public_metrics,geo,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,in_reply_to_user_id,referenced_tweets
Vine for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,3957103882,Boa tarde genteeee! #music #ILove #pumped #BrasilNoTopo #vineoftheday #BoaTarde #Brasil #summer  #goodmusic http://someurl,767764283837050881,767764283837050881,pt,everyone,2016-08-22T16:44:04.000Z,#pumped,,
Vine for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3957103882,Boa noite geeentche!  #pumped #goodnigth #boanoite #BrasilNoTopo #brasileirosnovine #okok #music #ILove #good http://someurl,767557662619922432,767557662619922432,pt,everyone,2016-08-22T03:03:01.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '07d9e2448c086000'},45157410,Fim de treino. #malhanderson #Grande #blessed #fitness #gymlife #pushpullgrind #sex #pumped #shape #feliz http://someurl,766800781454475264,766800781454475264,pt,everyone,2016-08-20T00:55:27.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,3927710352,"one etudé down, two to go! #pumped 😁💯",758435133611384833,758435133611384833,pt,everyone,2016-07-27T22:53:21.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3196733989,@someuser in 23 hrs!! @someuser #pumped,758120509586505729,758120509586505729,in,everyone,2016-07-27T02:03:09.000Z,#pumped,18863815,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,73228652,Estou ouvindo Foster the People na OiFM! Aperte o play e escute você também: http://someurl #Pumped,756936898023682048,756936898023682048,pt,everyone,2016-07-23T19:39:54.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,3189162998,"#bsn #preworkout #pumped #fitness #gymrat #gymlife #getbigordietrying @someuser @ Miramar,... http://someurl",754840302897209344,754840302897209344,pt,everyone,2016-07-18T00:48:47.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",{'place_id': '2b8922cbe7f16337'},344988276,Florida ✈ Costa Rica 🇨🇷⚽️ #pumped,754686532573954049,754686532573954049,it,everyone,2016-07-17T14:37:45.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,90236733,📍🚒💦🔥 6/26/2016 [Part 1] | #LivePerDay #SeizeTheDay #Pumped http://someurl,747177279457988608,747177279457988608,en,everyone,2016-06-26T21:18:39.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,239431489,@someuser concert! #pumped,746848331834470400,746848331834470400,es,everyone,2016-06-25T23:31:32.000Z,#pumped,23375688,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,195054606,IRA seminar prep #pumped #iRAsareexciting #SMoreCB http://someurl,745252758983483392,745252758983483392,pt,everyone,2016-06-21T13:51:18.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,737309154126204928,Boom - P.O.D. #goodmorning #pumped #music #energy,742715243449733120,742715243449733120,pt,everyone,2016-06-14T13:48:07.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,529321486,Taxi @ 3:40am| Bus @ 4:00am| Plane @ 7:15am| Barcelona @ 10:25am| | #pumped,732657131791482880,732657131791482880,pt,everyone,2016-05-17T19:40:46.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2687916535,Não ta fácil não ... #tocomsonomesmo #mas  #estudar #faz #parte kkkkkk #pumped #foco #dedication... http://someurl,730834100316078080,730834100316078080,pt,everyone,2016-05-12T18:56:42.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,4277247154,"A tentar manter a calma com todo o agreste bombardeamento de uncharted 4 a vir de todos os lados, ONDE QUER QUE ESTEJA! #uncharted4 #pumped",729789907187675136,729789907187675136,pt,everyone,2016-05-09T21:47:27.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,1038647106,hehe @someuser #pumped http://someurl,725512743474831360,725512743474831360,tl,everyone,2016-04-28T02:31:32.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,862172083,One month til Colorado #PUMPED 😜💯,722990178659237888,722990178659237888,pt,everyone,2016-04-21T03:27:45.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 68, 'reply_count': 21, 'like_count': 97, 'quote_count': 2}",,1633761120,@someuser #rosebutt #pumped #streched| | http://someurl http://someurl agarro bebe? @someuser,717965410461749248,717965410461749248,pt,everyone,2016-04-07T06:41:07.000Z,#pumped,,
IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,4509998126,Amanhã tem PUMP WHITE #pump #pumped #pumpslz #pumpteam #pumpwhite #pumpblack #pumpcollors #djing #djlife #producer ... http://someurl,708417986982518784,708417986982518784,pt,everyone,2016-03-11T22:23:04.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,614048484,@someuser prom2k16 #pumped #cantwait #Noah,706703670461730816,706699696241303553,pt,everyone,2016-03-07T04:50:59.000Z,#pumped,2488416054,"[{'type': 'replied_to', 'id': '706700080296779776'}]"
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '00c9d1dd71ddc799', 'coordinates': {'type': 'Point', 'coordinates': [-81.70861111, 30.16861111]}}",315495624,"#WaistTrainer| | #Pumped| | #Fit| | #missingAbout200plusSteps @ Orange Park, Florida http://someurl",699371320405000196,699371320405000196,pt,everyone,2016-02-15T23:14:51.000Z,#pumped,,
Tweetbot for iΟS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,24222832,☕️☕️ espresso doble ✅ | | #club5am| #letsgo| #pumped,698109854179790848,698109854179790848,pt,everyone,2016-02-12T11:42:14.000Z,#pumped,,
TweetDeck,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",,2719714754,Sexy Monsta ! !| #HornyBeast| #HugeBodybuilder| #pumped| #roided| #gearedup| #JuicePig| #Hardon| #Boner| #HotAss| #FetishGear http://someurl,693848794060861440,693848794060861440,en,everyone,2016-01-31T17:30:18.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,63918616,@someuser @someuser @someuser Vancouver!!!! #AOworld #pumped,692622887010828288,692618665984851968,fr,everyone,2016-01-28T08:18:59.000Z,#pumped,17329538,"[{'type': 'replied_to', 'id': '692618665984851968'}]"
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.9469452, 40.8156967]}}",59510382,#yougottalovesports #hollaatyaboy #pumped #nowitsaparty @ Calabar Imports Harlem http://someurl,682814791455535104,682814791455535104,ca,everyone,2016-01-01T06:45:07.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1551028626,@someuser #pumped Go Brofresco! :3,677953853703200769,677933848928350210,pt,everyone,2015-12-18T20:49:29.000Z,#pumped,1340163590,"[{'type': 'replied_to', 'id': '677933848928350210'}]"
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3299201234,"#forrestfitt #fitnessaddict #pumped #positive @ Denver, Colorado http://someurl",676458389564760065,676458389564760065,pt,everyone,2015-12-14T17:47:02.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,159236974,Penguins vs Bruins ✊🏼 #pumped,671435378386010112,671435378386010112,fr,everyone,2015-11-30T21:07:23.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,60174234,#GymTime 💯💯💯💨 quemando duro #bombeando #pumped #pumping 💣💣💣💣 http://someurl,669502992228483073,669502992228483073,pt,everyone,2015-11-25T13:08:46.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",,258533464,Nanada tomorrow! 🇨🇦🇨🇦🇨🇦 #pumped #cantwait,668993907510943744,668993907510943744,pt,everyone,2015-11-24T03:25:51.000Z,#pumped,,
iOS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2579981755,Formiga VS Cejudo is up next!!! #UFCMexico #UFCMonterrey #UFCFightNight #Pumped #TheMMAComplex,668289581620400128,668289581620400128,pt,everyone,2015-11-22T04:47:07.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1067339888,Conquered #TCSNYCMarathon ! #finishline #pumped #iamarunner #nycmarathon #marathon #marathonfinisher http://someurl,660993828057432064,660993828057432064,pt,everyone,2015-11-02T01:36:23.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3351155315,"Disclaimer: Gente, to marcando os eps que assisti mas não foram agora não, viu? Amanhã já vai ter o 2o de AHS Hotel pra baixar! #pumped",654507420497117188,654507420497117188,pt,everyone,2015-10-15T04:01:43.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",,123898159,O que um café e uns ovos mexidos não fazem pelo começo de seu dia... #pumped / Uma boa música tb ajuda!,653920996957753344,653920996957753344,pt,everyone,2015-10-13T13:11:29.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '67b98f17fdcf20be'},33102739,@someuser concert #pumped,642858274413543424,642858274413543424,es,everyone,2015-09-13T00:32:11.000Z,#pumped,59325073,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,521797692,Serena vs. Venus.....| #Pumped @someuser @someuser,641405936804962304,641405936804962304,in,everyone,2015-09-09T00:21:06.000Z,#pumped,,
Tumblr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,89766259,Foto: I #love #big #huge #long #massive #monster #pumped #cock #balls!!!!!!!! http://someurl,638754286751608832,638754286751608832,in,everyone,2015-09-01T16:44:24.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,60666379,#backnbiceps #pumped #bulkingseason #bcaa #proteinshake #vitamins #deadlift new pb #bentoverrows #wings #growthegame #ISYMFS,638704133181186048,638704133181186048,pt,everyone,2015-09-01T13:25:06.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,561398294,Rio de Janeiro here I come!!! #pumped,631514040699854848,631514040699854848,pt,everyone,2015-08-12T17:14:14.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3399577960,Ufc forever! #pumped,627664577866678272,627664577866678272,pt,everyone,2015-08-02T02:17:51.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","{'place_id': '5e4b6834e36e68fa', 'coordinates': {'type': 'Point', 'coordinates': [-117.5212708, 33.8900948]}}",779746502,#CoreWorkout #workout #JourneyToMe #UFCGym #HateEarlyMornings #DrBStyle #Pumped @ UFC Gym Corona http://someurl,626535377868836864,626535377868836864,pl,everyone,2015-07-29T23:30:49.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2566262233,Fortaleza tomorrow @someuser #pumped #fortaleza ✈️✈️✈️✈️,625840887885643776,625840887885643776,pt,everyone,2015-07-28T01:31:09.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,67685566,Asi o mas grande? 😂😂 #TeamNatural #Flexing #biceps #fitness #fitnessfreak #lifestyle #fitlife #pumped http://someurl,622152755151536128,622152755151536128,es,everyone,2015-07-17T21:15:50.000Z,#pumped,,
Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,289815544,#mine #sludge #pumped into #mealielands #JohanGericke #Tegeta #Brakfontein #Gupta #coal #coal #mine #Delmas http://someurl,621981692862066688,621981692862066688,es,everyone,2015-07-17T09:56:06.000Z,#pumped,,
Instagram,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,310533975,Concert tee: ✔️ #u2 #chegg #one #invisibletour #concerttee #concert #pumped http://someurl,619624154116059136,619624154116059136,es,everyone,2015-07-10T21:48:05.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': 'd54a39cd6263b153', 'coordinates': {'type': 'Point', 'coordinates': [-8.604922, 41.1299074]}}",2293465778,Ando a ficar grosso devido a isso ahahah 😂| #gamer #exercise #get #pumped #up @ escola condução... http://someurl,619133233905704960,619133233905704960,pt,everyone,2015-07-09T13:17:20.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '759c5982d28a7b07', 'coordinates': {'type': 'Point', 'coordinates': [-75.07164804, 38.37493458]}}",935828827,#dirtyheads #super #pumped #ocmd @ Seacrets: Jamaica USA http://someurl,618552205864509440,618552205864509440,es,everyone,2015-07-07T22:48:32.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",,2608537557,Alderney 🇨🇦 #pumped #CanadaDay 🎉,616250268678791169,616250268678791169,da,everyone,2015-07-01T14:21:28.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,118292397,P.E.A.C.E ❤| .| .| #bodybuilding #bodybuilder #ChestDay #bieceps #pump #pumped #workout #gym #healthy... http://someurl,614933479327969280,614933479327969280,pt,everyone,2015-06-27T23:09:01.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,301480045,ENTOURAGE! #EntourageMovie #pumped,606812483475664898,606812483475664898,fr,everyone,2015-06-05T13:19:04.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","{'place_id': '01e8a1a140ccdc5c', 'coordinates': {'type': 'Point', 'coordinates': [138.61093429, -34.92138203]}}",60022705,#Pumped #ChinChin @someuser @ Africola http://someurl,606341062144212992,606341062144212992,pt,everyone,2015-06-04T06:05:49.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",,956549876,vacay 2k15 #GulfShores @someuser @someuser @someuser @someuser @someuser  #Pumped,604100993534402561,604100993534402561,pt,everyone,2015-05-29T01:44:35.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,806540208,Alexandria got Qdoba?!😳😛💦 #PUMPED,602150957850365954,602150957850365954,pt,everyone,2015-05-23T16:35:50.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '28679b23ed15b380'},2864264433,"Depression, polar air mass #pumped",600605544152436736,600605544152436736,fr,everyone,2015-05-19T10:14:55.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1939232677,#pumped 😂 lets gooooioo http://someurl,597993288788942848,597993288788942848,en,everyone,2015-05-12T05:14:44.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",{'place_id': '1bcb27fccfb2825f'},427041660,Zante 2k15! @someuser #pumped,594582235640143872,594582235640143872,eu,everyone,2015-05-02T19:20:26.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1122523614,@someuser bomb. #pumped,593891038541971456,593891038541971456,pt,everyone,2015-04-30T21:33:52.000Z,#pumped,52496551,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,69998571,¡¡Ansiosa por ver Avengers!! #TeamThor #SoManyMemories #Pumped,593510982321766400,593510982321766400,pt,everyone,2015-04-29T20:23:39.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,230408255,Porto 😂 #pumped,590596384161673217,590596384161673217,es,everyone,2015-04-21T19:22:05.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,39098147,Tengo 5 semanas | ..lets do this!  #pumped http://someurl,590335694754738176,590335694754738176,pt,everyone,2015-04-21T02:06:12.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1723669015,Eheheheheheheheheh #Pumped | Get it?!  http://someurl,589923818128482304,589923818128482304,tl,everyone,2015-04-19T22:49:33.000Z,#pumped,,"[{'type': 'quoted', 'id': '589916962395922432'}]"
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,101171624,Falco bebe! 😆😆 #80s #cool #sunglasses #derkommissar #pumped #jam #dancemoves #me #germany #falco... http://someurl,587136883920019456,587136883920019456,pt,everyone,2015-04-12T06:15:16.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,101171624,Falco bebe! #80s #cool #sunglasses #derkommissar #pumped #jam #dancemoves #me #germany #falco http://someurl,587136474945945600,587136474945945600,pt,everyone,2015-04-12T06:13:38.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,142018256,New deus ex................... #pumped,585843007766695936,585843007766695936,pt,everyone,2015-04-08T16:33:52.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,87018123,@someuser hehe #pumped,583805656932679680,583764689814949889,tl,everyone,2015-04-03T01:38:09.000Z,#pumped,516551834,"[{'type': 'replied_to', 'id': '583764689814949889'}]"
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",,267902429,New PB - 320kgs #gym #pumped #oldfatguy #naebad http://someurl,583004267075776512,583004267075776512,pt,everyone,2015-03-31T20:33:43.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",,572127839,HSM pandora made my day #pumped,580019114531373057,580019114531373057,pt,everyone,2015-03-23T14:51:47.000Z,#pumped,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,346840879,UFC 185 babyyyy #millers #pumped http://someurl,576969165271117824,576969165271117824,pt,everyone,2015-03-15T04:52:23.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 9, 'reply_count': 2, 'like_count': 18, 'quote_count': 0}",,2669877300,Essential #SXSW guides| | http://someurl| | http://someurl| | http://someurl| | #Pumped #Prepared http://someurl,575771071229485056,575771071229485056,ca,everyone,2015-03-11T21:31:35.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,2494422535,Sabelo que con esto me motivo #bmx #music #pumped The Subways - Rock & Roll Queen - Official Video: http://someurl,573862746435031041,573862746435031041,en,everyone,2015-03-06T15:08:35.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': 'adce35d78ba1a1bd', 'coordinates': {'type': 'Point', 'coordinates': [-93.8751116, 42.0459981]}}",64775643,@someuser Concert. #randomroadtrip #pumped,573286547174244352,573286547174244352,es,everyone,2015-03-05T00:58:58.000Z,#pumped,161743719,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2448856160,T -11hrs!!! #excited #pumped,570053361288007681,570053361288007681,pt,everyone,2015-02-24T02:51:27.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,3047372201,Estou numa pseudo banda na escola de musica com putos #pumped,569951794299838464,569951794299838464,pt,everyone,2015-02-23T20:07:51.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,37244772,@someuser @someuser @someuser @someuser mos def! #Pumped,569240946392477696,569234901247004673,es,everyone,2015-02-21T21:03:12.000Z,#pumped,14992840,"[{'type': 'replied_to', 'id': '569240785834545153'}]"
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1364192227,Colorado #pumped #imhome,567704383538737152,567704383538737152,es,everyone,2015-02-17T15:17:27.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",,15162474,@someuser ditto #pumped #CHSherewecome http://someurl,566065906456211456,566063488695824384,it,everyone,2015-02-13T02:46:43.000Z,#pumped,466793285,"[{'type': 'replied_to', 'id': '566063488695824384'}]"
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,387823814,PB 11.4km #Pumped #Sweatlife 💦😅,565669208659623939,565669208659623939,in,everyone,2015-02-12T00:30:23.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,911632776,Defense ❤🏀| #pumped #Alas,564417959880179712,564417959880179712,pt,everyone,2015-02-08T13:38:22.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",,1164842887,Bonnnnaaarroooooo 2015!!!!! #pumped,564254633888342016,564254633888342016,pt,everyone,2015-02-08T02:49:22.000Z,#pumped,,
WordPress.com,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2729361481,Toronto #mondays #thompson #hotel #underground #smiles #relaxation #blonde #flawless #lashes #happy #pumped... http://someurl,562463728839311361,562463728839311361,es,everyone,2015-02-03T04:12:57.000Z,#pumped,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,232976511,Retomando couchsurfing! #Pumped,562449468155760640,562449468155760640,pt,everyone,2015-02-03T03:16:17.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1259378664,Silva va diaz tonight #pumped #UFC183 #Silva,561723915832410112,561723915832410112,pt,everyone,2015-02-01T03:13:12.000Z,#pumped,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,457016030,UFC NO COVER CHARGE #beastmode #steak #schoonerbeer #slammers #pumped #aleyard,561667139870806016,561667139870806016,pt,everyone,2015-01-31T23:27:36.000Z,#pumped,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '010bf7f82c40a09c', 'coordinates': {'type': 'Point', 'coordinates': [-72.63481836, 42.20474612]}}",1036392060,Ma made rubens 👅 #pumped,557303957446737923,557303957446737923,pt,everyone,2015-01-19T22:29:52.000Z,#pumped,,
