,text,emotion
38,stupid cunts !!! #[PERSON]  ,anger
39,....I sure hope whoever stole them will not be blessed in any way for their bad deeds (a few hours ago I would have put that quite differently).,anger
40," How's this for double standards. The gentleman, photographed by [PERSON] , is not allowed on FaceBook. The lady who is showing a LOT more than the gentleman, is allowed by FaceBook. Go figure how their twisted minds work at the FaceBook headquarters!!!",anger
41,"and ice just so administration would get better cars and or clothes. Attached proof, but I beg you do your own research first.",anger
42,Ban and stop this things  Dont buy any products of Israeil buycott Request everyone to LIKE AND SHARE ...................... LETS SEE,anger
43,Ct guns being seized because he gave the wrong answer at a detox meeting. Instead of giving the man help...they take his guns.  My guns being seized by the CT state police.,anger
44,"against formalin . Smile Foundation is going to start a movement against Formalin , join us",anger
45," don't believe this girl, who can do anything for money. she had given ad so that maximum votes from young Indians can make congress to win and again make INDIA poorer.. I Support [PERSON] .... share it as much as possible to kill this congress [PERSON] .. i hate congress.. with...",anger
46,. [PERSON] (H/P: +000-00000000) and Mr. [PERSON] (+0000-0000000 or +0000-0000000). Thank you for your time.  ,anger
47,liberty and ability to go through proper thought process like FEAR.,anger
48,"activity with my family and friends will no longer be made public. Now, copy and paste this text on your own wall (do not “share” it!). Once I see it published on your page, I will un-check the same for you. Thanks so much. ...",anger
49,was wrong anyway..? We had better hope from you.,anger
50,´m certainly NOT hanging all day around in studios and having big party! So get LOST you amateurs !!!!,anger
51, Some things need to be left behind...this time there s no turning Back....cant not change my fu......paste...stop Using it Against me [PERSON] ,anger
52,Fuck u isreal..........go to hell  [PERSON] Israel :p Pray For Gaza :( Maximum Share !,anger
53,Shit Aint Cute At All!! [PERSON] !!,anger
54,"Hi friends if u have received any message from me at around 0.00pm, ignore it, its virus please do not click on the link, it will automatically send message to ur friends, sorry for disturbance",anger
55,"parliamentary legislation and amendments as unconstitutional. This is not the spirit of Indian federalism, but a gross violation of People rights and free will.",anger
56,supervision mandate from his criminal conviction.,anger
57,I had to use it buddy ! It's time for me to start sip  I'm done.... ,anger
58,MADE ME LEAVE MY SHIT IN THE GUTTA ASS PART OF MY CITY...THOSE BASTARDZ..but anyway...who know a cat that can pop this joint on my whip that will come to me? [PERSON] at yo boy..,anger
59,hooked up & stole th...See More ,anger
60,"that I won't ever vote such a movement, that breaks the Laws, Attacks people and has a Dictatorship inside. -Ærk",anger
61,"You dont think if foxes playing with toys. :) Darn, I left my toy outside today and the fox found it. I was so mad!!! . By [PERSON] ",anger
62,.....Me saying . --------------------------------...,anger
63, 0rd notification I received containing the same BS! Never fall for this crap! This is a phishing scam! ,anger
64," Excited much for the faculty outing on Monday, [PERSON] , yes! ",anger
65,"soul and body. (Let the words To the wise Be sufficient) in Irmo, SC",anger
66,. Excuse me guys but you're doing nothing else than wasting water. off,anger
67, That's how I feel today! ,anger
68,TO RAISE AWARENESS IN THE TOWN FOLKS THANKS BE SAFE BE INSURED.,anger
69,. I am so disgusted! To my Michigan friends let's share this and let Mackinaw City Fire Chief [PERSON] know that he is an uncaring jerk who should be ashamed of himself!,anger
70,> Globe Telecom,anger
71,"is no need to waste water and ice just so administration would get better cars and or clothes. Attached proof, but I beg you do your own research first.",anger
72,travelling around [PERSON] touching women's breasts in public vehicles. Anyone who sees him should immediately report to the security personnel nearby.,anger
73,No surprise...  This is Chicago's finest in a empty lot sleeping taking a nap and later he will come in walk to the restroom read the paper and go back out to continue his well needed nap after fighting all the crime here in Chicago. .... ,anger
74,The Wal-mart Gift card is SPAM do not click!!!!!!! ,anger
75,"Wow  If you live in Southwest Detroit Do not buy from this ice cream truck, The back of the spoons have [PERSON] on them an when we confronted him he took off off.",anger
76,around a different people. YO KEEP IT MOVING.... I WANT MY LIFE TO BE PEACEFUL... NO ONE WILL TAKE away my peace REAL TALK. If I don't F*** with you Stay Away from me....I got nothing but love and respect for my real friends. GOOD NIGHT. off. 0000...,anger
77,Breed Specific Legislation drives me crazy!! More people are going to get bit by those Chihuahuas and mini terriers than by my old arthritic teddy bear of a German Shepherd!! As long as you're not a chicken you have nothing to worry about! Some people... ,anger
78,everything...[PERSON] Anyway Hope you all have a Wonderful Sunday :-) Please feel free to tag/share from original link <0<0<0 . Personal Works...,anger
79,These Educated HRs are Enough to deal with the Professionals and Employees.. But not enough Matured to Deal with the Humans...That's the toughest and the simplest Job they dont know.. (Those who know this are working in the Best companies in this world) in Trivandrum.,anger
80, There u go Mr.[PERSON] . Evidence to prove that [PERSON] is breaking the VIP culture.standing in queue and waiting for his turn and not using protocol just like all of u.When you don't have anything to back your point it's always best to keep your mouth shut.,anger
81,"pre-production meeting......You know I've put a lot of time, money and effort into promoting a lot of bands/musicians thru the visual arts, maybe you all can help me get some volunteers!!!!",anger
82, Give ur valuable time for ur loved one....♥ .,anger
83,"he is the guy for you! Anyone in The Williamsport Pa. area Bishop's Electrical, Free Estimates 00 hour Emergency Service - 000-0000 or 000-0000. You won't be disappointed. Okay have a great day!!!",anger
84,accept me as a friend but says when asked that they do not know me.,anger
85,every day...Let them know that an alternative route is all that is asked for [PERSON] Lisa Wise [PERSON] Singline Galloways Pharmacy Thank you so very much for your support...We appreciate it <0,anger
86, I will give Israel a great fuckk When I caught them under my feet Motherfucker Israel .,anger
87, THIS PUNK JUST RAPED A 00 YEAR OLD LITTLE GIRL LAST NIGHT. I NEED AN ADDRESS IN K.V. WHERE HE IS. WE ARE LOOKING FOR HIM. SO ARE THE POLICE.HIS NAME IS JOEL ALMANZA.,anger
88,PWD [PERSON] maje le rahe h yar...  Once again the exam has postponed. this is our bad destiny friends.,anger
89,"WHO HAVE YOUNG TEENAGER AND YOUNG KIDS DO YOU ALLOWED YOUR YOUNG BROTHERS , YOUNG SISTERS, , TEEN DAUGHTERS ANG TEEN SONS TO WATCH THIS GARBAGE NUDE, SEX VEDIOS ON THE FACE BOOKS? NOW IS THIS RIGHT TO POST HERE IN FACE BOOKS BECAUSE OF HIS MANIACS REASONS? PLEASE COMMENT HERE . Like...",anger
90,"one at Lahore Safari Park. While the law may not act against such jackals, we can at least spread this on facebook so it eventually gets to them that the civilized people consider them the lowly scum that they are. For a complete video, watch  a high res image also. ...",anger
91, How can anyone explain this?!? ,anger
92,UiTM.. is training extremist? Hazman [PERSON]  What the Heck!!!!! '[PERSON] ' in Seminar?? What will be next?? Oh my Malaysian.... .,anger
93,share it here on Fb....but i doubt i can make money on you....because i think you are ugly cunt.....sex predator....,anger
94, To whoan ever stole my helment if i have to take a bat to whoop you better believe its comin!! You see it let me kno! off.,anger
95,REASON!!! Most of y'all probably most likely didn't read to the end but oh well I said my thoughts and if you don't like them then Oh well.,anger
96,Sam #fb bitches be lik...#hmm_dis_nega_man_paa_im_i_his_class....afta a guy proposes [PERSON] her here....n whu told [PERSON] hasnt gah gf..???...whyc up yah koz chaw of his #bitches gat #class pass u.. ,anger
97,call me. off ,anger
98, I am STILL trying to get into your jeans GEORDIE!!! ,anger
99,I have trust issues.... off. *** If you feel like that you need to control who I go out with to a movie and just plain hangout you need some help seriously lmao. Friends hang out [PERSON] at least I have a life other than warming my dinner in a microwave and watch shit on my Blue ray player...,anger
100,with info it would be greatly appreciated.,anger
101," My new account sa skype,,,,,just add me lady_cincin #chappa cgi lng ug bhat ug new acount, #bullshit #radji0000  .",anger
102,"keep sharing this from now on, until - if it ever happens - TRUE justice is served. I'm disgusted at what our world as come to be: everything revolves around money now...  ",anger
103,"... Matane [PERSON] ,,",anger
104,mempertahankan Islam.  ,anger
105,"Wantz!  I tried writing my novels on this, but people could see right through the plot. ",anger
106,have problems with these life choices family makes is just not right in any book or god you believe In. Even Facebook you are not a adult if you can't handle Criticism. you dont need to be on here.,anger
107, We are .,anger
108, I knew it... they're cold... ,anger
109,Queen Dilly Dally off  ,anger
110," Foreal. Gets annoying seeing all these girls cry on here about not getting anything because they're single. Try not having one of your parents on days like this, or both. Then y'all can whine and complain. ",anger
111, People Against ISIS I am Indian and we hate secular,anger
112,large Flex boards and by announcement through Speakers and opens,anger
113,thought of anyone but their self! . My love n r baby!!!...,anger
114,closed area) If you know this guys personally I suggest a swift kick in the Junk!,anger
115,.... and the investigation takes 00 weeks . A lesson to learn ....  ,anger
116,", ANDY & VICKY AS WELL)TO KEEP & SHOWN THE MAH RESPECT ON OVER ME. ANOTHER ONE IS THAT AM ASKING TO THOSE (BINNY,BALLY, CODY(RAPHTA HARI),BIKKI(BIKKI KUMAR BHAGAT),ANDY & VICKY), ABOUT NOT TO ASK ANY SILLY QS OR MAKE ANY DIRTY COMMENT,OTHER THEN ABUSE ME....... ",anger
117,BASTARDS of BHARAT MAATA...  Should be hanged....,anger
118,Sick in head they would never have gut's to go to war.  This is what some little fucker has done to the war memorial at Woodhouse Mill! A long painful death is all I can wish for them. ,anger
119,..im off my soap box now. Grrrrr... off,anger
120,"Who doesn't like my post by words then unfriend me, You can't change me and you can't give me order this is my way, Better shut up your mouth if you never know what is the reason then tell me and I will share to you.",anger
121," These are lotus seed pods!! You idiots, stop creeping people out with your Photoshopped videos.. It's creepy, gross and scary! Stop it already you spammers! ",anger
122, angry angry hz all fri .,anger
123," Finally we made it to the NY times, but wait a second, look at the picture they used, Who is the victim here? Finalmente estamos en la portada del New York Times, pero no necesariamente como las victimas....[PERSON] ! ",anger
124,"a fake call letter from a fake company. I enquired the postman, he told that Rs.00 is for postal services and the remaining Rs.000 will be given to that company. Some fake companies were cheating graduates like this. Please be careful",anger
125, i am also angry as well lovely as well <0 mean lovely ♥ .,anger
126,"That's a shame sorry excuse of a Mother or even even a woman.......  I hope this child's parents have already been arrested, arraigned, prosecuted, sentenced, and have this baby taken away from them for LIFE! #SoWrong #MounBlanPouYoTaYeVre! #Smh off.",anger
127,tail!! It has had to be amputated!! [PERSON] is deffo the colour round here!! Jealousy!! How sick are you to do this to a childs pony!! A big thanks to [PERSON] for all their help and police co-operation!! Please please check your horses tails!! I hope karma gets you before we do!! ...,anger
128,I'm late posting this but check this b.s. out  AWW HELL NAW SOMEBODY CALL #TRICK #TRICK TO HANDLE THIS.. LOL,anger
129, [PERSON] awam mai zara bhi shaoor ho to iss pic [PERSON] bad khud hi decide [PERSON] k [PERSON] log kia ha apas mai?or kaisy hum sub ko [PERSON] ....?be positive nd think..... ,anger
130, ♡!!![PERSON] so don't be surprised!!!♡ ,anger
131,...REFLITAM !!!  ,anger
132,"deserve this shit, all he does is work to provide for his family! His pride & joy has been STOLEN >:( . If you fukn need a car then fukn buy one! Cheer up babe xx off",anger
133," Parents pay close attention 0 what ur teaching ur daughters! Not n expert, just a little piece of advice n they learn what they see. ",anger
134,#Downed & #Depressed!!!!,anger
135, My first thought about the weather is on the umbrella' rain wins & blocks my bike riding! Blah! ,anger
136,  at at pannampally nager. DON 0 By NJ DESIGNS! Special thanks to Mether Flats and all Facebook Friends!,anger
137,Lol!  『Go Ahead I Now Yall Going To Ues My Post.SMH.. ,anger
138,cents so if you ain't got nothing niice to say zip your trap mind your own business and stay out of ours you attack one of us you are attacking and army behind us and we will fight back and i promise Karma will take care of you sorry lying butts nobody make my mama upset off  -[PERSON] ...,anger
139,next you can enjoy it again. and mobile user keep your mobile power off and next use your facebook. here is network [PERSON] /temporary unavailable/error.!!! thank you.,anger
140,What is wrong with people just makes me sick  So apparently some idiots are putting razor blades on playgrounds and parks. For my friends with children PLEASE be CAREFUL!....Let me catch an idiot doing this and I will hurt you myself!! Everyone with children PLEASE share! off.,anger
141,Women are temperamental. Thats [PERSON] % temper and [PERSON] % mental. ,anger
142,"this incident was racially motivated. Once we decide how to handle this, I’ll be sure to share the details. (In the photo, my son [PERSON] is on the left and one of my brothers, [PERSON] , sits on his right) off",anger
143,"Sharing this along for a friend! If you see it, let them know!  BOLO new britain ct or surrounding areas ...stolen minivan. ..plate # 0afup0 dark red...do not approach call 000 or contact me with location [PERSON] off.",anger
144,everyone else in this country.,anger
145, Never seen Such a Cowards like the fans of ajithkumar....... [PERSON] ..... Photoshop vechu evlo cheap and fraud activities....... cha..... Oru poll la [PERSON] .... [PERSON] kevlamana velai........,anger
146,[PERSON] pridal na fb takyto status : Not in the mood this morning. . [PERSON] ,anger
147,[PERSON] with...,anger
148," Hi friends, Happy Saturday!!!! I have a work day with my dad and mom today, so I'll work hard, and I know that my Instagram is down or maybe I have a network error, I'm getting it every time, and it won't let me log in into my account, [PERSON] . ",anger
149,did after that!! ,anger
150,"anywhere in the World.. to God be the Glory,, wortless servant Forever ;O)",anticipation
151,build our new Rental Center and Waiting Area! We look forward to serving you at our new location June 0!!,anticipation
152,:00pm-0:00pm. All kids welcome!  ,anticipation
153,When you give somebody your heart and they treat it like trash don't wait around move on. And if when they come back shut them down. #NosecondChances #youmissedout #notme #ImOndaloose #WatchOut!!! haha lol,anticipation
154, WHO IS GOING TO WIN TOMORROW? [PERSON] #MVP and the Miami Heat OR [PERSON] -[PERSON] and New York Knicks CAN'T FREAKING WHAT TOMORROW IT'S GOING TO BE LIT WITH THE TWO BEST FRIENDS GO UP AGAINST EACH OTHER VOTE WHO WILL WIN,anticipation
155,"in Room 0  BIG UP ALL THE EVENT ORGANISERS & PROMOTERS, DJS, MCS, VENUES & SUPPORTERS!!!!!  ",anticipation
156,babies! Thanks! #GoBeasts ,anticipation
157," FOLLOW us on InstaGram! And if you refer a friend you get $00 on your pre pay account... don't have 0???? Don't worry, we can make one for you any time. And your friend will get a waived processing fee for showing us they follow us on both FB and IG! ",anticipation
158,Go Germen....go Gemen.....go Germen.............  cant wait couting time tonight/t.morning,anticipation
159,yas there!,anticipation
160," A gift from my wonderful mom and dad. A wonderful christmas gift, yes iPhone 0s it is. ",anticipation
161,tuned for MORE fun details ;)  ,anticipation
162," Here's a peek at the new spring catalog!!!! Lots of exciting new patterns, designs and products. Want to know more, call me or leave me a message or your email in my message box. my website is ",anticipation
163, Hmari new car [PERSON] :),anticipation
164, Contact us for video folio to get guaranteed work in TV. Shoot in Delhi & Chandigarh only.  .,anticipation
165,[PERSON] Veronica Martinez Jr moreno Margarita [PERSON] family friends support  Last minute notice who down to help throw a surprise party i pick my son up this Friday from airport can't do this alone,anticipation
166,person by [PERSON] and 0st is ofcoarse [PERSON] ................ ,anticipation
167," I TOLD YALL N UNDEFEATED CANTON TIGERS BLEW THEM OUT 00 to 0 Told yall we fall down but,we get up!!!!!",anticipation
168,"sa mga naging inspirasyon q. :))) Inda & Tatang, Tita's & Tito's, Friends, Cousins, Relatives. :)) esp. YOU! :D [PERSON] , thank you & congrats [PERSON]  #thankyou to our make-up artist [PERSON] :))) ***APRIL 00 - punta ho kayo samen no? :D :)",anticipation
169,"overweight my entire life,” says [PERSON] , who went from a size 00 to 00.* “I’m lighter now than I was when I was in eighth grade! In fact, before this program, I couldn’t even run.” If you know someone who needs help let me know.",anticipation
170,WHO wanna be my cover,anticipation
171,AT&T and Mercy Corp. you won't be able to miss us!!  ,anticipation
172,Be proud of who you are....what you have...everyone is unique....i am proud to be POGAY.....[PERSON] .......[PERSON] ,anticipation
173, Friday at [PERSON] : Don't miss the exciting pre-gala lobby concert featuring music by [PERSON] performed by the,anticipation
174,"six back [PERSON] ...............  A Big mountain mushroom was plugged in nambiyar konnu hill station  in Wayanad, India. thiruttu pasanga",anticipation
175, In ooty enjoying the climate  ,anticipation
176,all the other Magnum performers will post here as well. So keep Singing Out in preparation for joining us at the piano in September!  ,anticipation
177,Shout-out to [PERSON] for making it to TEDx as a guest Speaker :D  Yikes!,anticipation
178, In our country tonight goes [PERSON] :0 I am so exided :) Beautiful movie :♥ -Sel♥,anticipation
179,Okay [PERSON] is awesome.  Got tickets to BOTH of [PERSON] and [PERSON] shows. Grab yours NOW!   .,anticipation
180, EAGLES WIN on to the playoffs !!! ,anticipation
181,[PERSON]  Hey hey baby bro [PERSON] to do his thing in Jersey with August [PERSON] Wish I was there to cheer you on! I'll catch the next one!,anticipation
182,phenomenal Resurrection Service will be held at 00:00am promptly. You don't want to miss this mighty word that will be brought forth by Bishop [PERSON] . THIS IS YOUR SET TIME! ,anticipation
183, [PERSON] 's Royal Enfield Classic Delivery  ,anticipation
184, Net even ons,anticipation
185,Like us at  Share this post and suggest our little page to your friends. Your support will help us greatly.! :[PERSON]  D [PERSON] and [PERSON] ,anticipation
186,grab the passes  Hurry Up Folks 0 Days Left !! Grab Ua Passes Asap !! #Unlimited_Soft_Drinks #Moctail_Free_Per_Pass! #Veg_And_NonVeg_Starters_Available ! For Passes Contact Meh Flamboyant :0000000000,anticipation
187,[PERSON] this preview...  A preview of this coming NBA season. [PERSON] Love and [PERSON] out [PERSON] . #SpanishBull #KingJames #KLove #CavsNation #ChicagoBaby,anticipation
188,and compare [PERSON] as a host hon [PERSON] ak asa live talk show ho ga [PERSON] k tamaam users full enjoy [PERSON] gy [PERSON] ,anticipation
189,This is how we park :D  This is how we park the jeeps at the bank :P  .,anticipation
190,invite [PERSON] /davide ,anticipation
191,wohoooooo. new dealership is in progress. bitter sweet the test track is gone  FINALLY broke ground for our new dealership expansion! ,anticipation
192,and gratitude and being a panelist on intergenerational cross cultural communications in today's global economy/classroom. ,anticipation
193,", and that everything you do is completely WILL-ABLE to your kiddos from day 0. With products that truly change lives, the foundation is set; just root yourself in care and love and the rest will follow. We’re going to have a blast girl! ",anticipation
194,"cards, cookbooks, aprons, cooking utensils, free food products, etc. I have definitely been in my happy place this week! I can hardly wait till next year's Iowa State Fair!",anticipation
195,"=0&source=00&ref=bookmark  For more information about this animal, call: Moreno Valley Animal Services at (000) 000-0000 Ask for information about animal ID number [PERSON] ",anticipation
196,will be a recital at Columbia University in Manhattan.,anticipation
197,", love, and of course, a learning journey with a dash of fun filled activities! [PERSON] UP YOUR RAMADHAN!!",anticipation
198," FYI... 00 days left and Even if you have reserved you spot in the pool already. please.. please TEXT [PERSON] and your full name to (000) 000-0000 some spots still available, Thx to the many of you whom have reserved your spot so far!  ",anticipation
199, My photo has been selected as,anticipation
200, Come on Sox!! It's 00 out I'm enjoying it!!! 0 outs and I can warm up!,anticipation
201, 00 may Se pehle aapka Results kiya kehta hai........? [PERSON] me aane bali humari neyi Government [PERSON] ....................? A:-BJP B:-Congres [PERSON] final [PERSON] friends only 00 days remaining to Govt. Results opening. Come on Comments fast. (Yours Wellcome) with Deep...,anticipation
202,This will be a blast......also a special guest singer to do a duet  ,anticipation
203,off at either SAFE location!!!!  ,anticipation
204,. Please do add your word and don't forget or neglect to copy.,anticipation
205,"FAITH! I CALL IT DONE! AMEN. [PERSON] T. [PERSON] LOVING YOU ESPECIALLY Y-O-U .  JUNE 00, 0000 We are smilin. [PERSON] T. [PERSON] LOVING YOU ESPECIALLY Y-O-U...",anticipation
206,"know from Patchwork that blind cats can adjust and live good lives, but we are mostly worried about the seizures and brain trauma. Please send positive energy, prayers, etc. to this sweet baby to help his brain and spirit heal.  ",anticipation
207,"under 00 free Tutn Up doggs AND Turn Up Burgers $$$$ giveaways, face paint, live music,games,pictures and more Countdown starts now!!! ",anticipation
208, *AOA* FLYDUBAI - KARACHI JEDDAH ONEWAY TICKETS AVAILABLE ON 0ND MAY 0000 - FLIGHT # FZ000/FZ000 (SHORT CONNECTION) FEW SEATS LEFT ! HURRY UP TO CONTACT AT 00000000000.,anticipation
209, MASTER'S ACTION BEGINS.... .,anticipation
210, New Morgan Taylor colors for you to choose from. Here is,anticipation
211, SON OF MARS!!  .,anticipation
212,". www.heidiemerson.myrandf.biz [PERSON] , Level V Leader 000-000-0000 ",anticipation
213,. Hosted by [PERSON] ( X-mens Mystique) Airing Aug 0 0pm. And guess who else is on it!  ,anticipation
214," Attention all campers, presidents, leaders, counselors.. some of our local churches still don't have camp transportation. If your church is renting a van, a bus or even cars and you have extra room for more teens, please let us know.  at...",anticipation
215, 0NIGHT 0NIGHT 0NIGHT DON'T WAIT IN THAT LONG LINE TONIGHT. COME SEE ME DRINK SPECIAL IS CRAZY. .,anticipation
216, Spread the Christmas cheer... .,anticipation
217,kiosks as well with this patriotic card design!  Here is the JW Photo Kiosk design for Mandan's Independence Day Parade & Street Festival  ,anticipation
218, 00-Sep-00 Super Anti Oxidant Q00 超级抗氧化剂-[PERSON] (GDIR) Career Sharing- [PERSON] (DIR) How to Leverage Resources- ABC Rules 借力， 省力， 不费力 （ABC 法则）- GanFS (GDIR) Summary Meeting - [PERSON] ([PERSON] ) MC-June [PERSON]  Poh.,anticipation
219,my new [PERSON] name RP0 coors light will be there giving away lift tickets also from 00 to 00 ,anticipation
220,[PERSON] Jadhav  HAPPY HOLI ....SAVE WATER ...USE NATURAL COLORS.... .,anticipation
221,", it’s used to calibrate satellites. ",anticipation
222,. SEHWAG IS UNSTOPABLE.. . my friends is my world...,anticipation
223, Catch #Me And Djhuache Mix Mixing Live Tomorrow Night At [PERSON] #NightClub Ladies Go In Free B0 00Pm,anticipation
224,lord at [PERSON] .... <0 <0 #MEDIACREATIONPRODUCTIONS #DMCFAMILY #TEAMDAE ,anticipation
225,"and pink undertones, Radiant Orchid emanates great joy, love and health. PURPLE. Oh yeah, i'm loving you already 0000. with Carleen Abangan Tagum and [PERSON] ",anticipation
226,conceive. I believe. I achieve. #ispforever,anticipation
227,Lol  Not too much to ask is it?! You can keep yer wine and dine bullshit! Haha! ,anticipation
228, Anyone with a Jeep needs a good looking,anticipation
229,Bling Bling that's how my Unce roll [PERSON]  You will never guess what happened to me today?  ,anticipation
230,"Interview :Mon, April 00th & Tue, April 00th 0000 0 Sessions : 00AM -0PM and 0PM-0PM Bring your CV and Your best personalities! At Domain Senayan City B0For more info +000000000000@OPCO_ID ",anticipation
231,the ethereal tones of the Swedish nyckelharpa and violin played by [PERSON] . + Support Act: ☆ KIHAYA BLUES ☆ [PERSON] from Tanzania + DJ Fenomeno Show (Open The Gate Sound) Join the event:   ,anticipation
232,breaking news ! i am proud to say that i am [PERSON] aunt my sister had her baby to night and it all good with my sister and her litte m he was 0 pounds and 00ozs,anticipation
233,"on sale now:  more details:  Have a great week everyone, Much Love <0  ",anticipation
234,"[PERSON] of 0000, your behinds the scenes work crew preparing for our upcoming reunion on Sept. 0th in Snohomish, has prepared your event schedule for a sneak peak. 00 days! I keep looking for [PERSON] in our yearbook, Anyone else been able to find him????? LOL!",anticipation
235," Remember me, and I'll be there. When you feel lost somewhere. And I know with just one magic touch, it can all reappear. #G0BRememberMe i'm so exited hashtag for tonight",anticipation
236, This is it folks! Absolute last chance to rage mont Mont Tremblant .,anticipation
237,going to be AMAZING!!! — ,anticipation
238,"spoken over all here this Night. The Conference is FREE! The only night that cost money is the Women's Banquet. Get your tickets quick, because they are selling out. No tickets will be sold at door.  ",anticipation
239,.com/events/000000000000000/?fref=ts  ,anticipation
240,/Lisa-McCabe0  ,anticipation
241,"The gift of gifts...please join us!  SPOKEN WORD ARTIST, SINGERS, ETC. I'm now putting together the line up for our first open mic night. Fri. 0/00 @ 0:00. Pool Table, music, [PERSON] host bar and lots of <0. Please comment if you will join us! [PERSON] spread the word. Thanks. ...",anticipation
242,whitening booster pen with all bookings before Xmas A whiter brighter smile will make you look healthier younger and more attractive,anticipation
243,GO BIG!!!!!! [PERSON] !!!!!!!  Totally excited for tomorrow's free Fitclub sesh on Blouberg beachfront! Take a drive out and come support us!!! Healthy active lifestyle! Loooove P0!!!,anticipation
244,Tomorrow night all my fun friends in Lebanon!!!  Tomorrow night ladies & gents & everybody in between. So looking forward to a fantabulous show tomorrow night! Don't miss it!  ,anticipation
245,restaurant  ,anticipation
246,ITS GOIN DOWN!!!!!....  Going Down Tonight !!! Great weather great music !! So Come Out and Party !!! [PERSON] and [PERSON] on the Decks !!! CRAZY DRINK SPECIALS !!! Patio Bar Open !!! So [PERSON] to Oryx Ultralounge !!!  ,anticipation
